i_doc,doc,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12,Topic 13,Topic 14,Topic 15,Topic 16,Topic 17,Topic 18,Topic 19,Topic 20,Topic 21,Topic 22,Topic 23,Topic 24,Topic 25,Topic 26,Topic 27,Topic 28,Topic 29,Topic 30,Topic 31,Topic 32,Topic 33,Topic 34,Topic 35,Topic 36,Topic 37,Topic 38,Topic 39,Topic 40,Topic 41,Topic 42,Topic 43,Topic 44,Topic 45,Topic 46,Topic 47,Topic 48,Topic 49,Topic 50,Topic 51,Topic 52,Topic 53,Topic 54,Topic 55,Topic 56,Topic 57,Topic 58,Topic 59,Topic 60,Topic 61,Topic 62,Topic 63,Topic 64,Topic 65,Topic 66,Topic 67,Topic 68,Topic 69,Topic 70,Topic 71,Topic 72,Topic 73,Topic 74,Topic 75,Topic 76,Topic 77,Topic 78,Topic 79,Topic 80,Topic 81,Topic 82,Topic 83,Topic 84,Topic 85,Topic 86,Topic 87,Topic 88,Topic 89,Topic 90,Topic 91,Topic 92,Topic 93,Topic 94,Topic 95,Topic 96,Topic 97,Topic 98,Topic 99,Topic 100,Topic 101,Topic 102,Topic 103,Topic 104,Topic 105,Topic 106,Topic 107,Topic 108,Topic 109,Topic 110
0,87fcecde-b317-4518-bea1-cc8d14a18107.FPKM.txt.gz,0.02500312851958453,0.08982605431109998,0.0022275059441872105,0.016243273682893255,0.0022024777875109497,0.000850957326992867,0.011888374421223877,0.038543361281441625,0.011888374421223877,0.001827055437367038,0.09245401076210737,0.022275059441872105,0.0002502815667626079,0.04054561381554248,0.021549242898260542,0.00020022525341008635,0.049430609435615065,0.008884995620072582,0.01984732824427481,0.00473032161181329,0.03669127768739832,2.5028156676260793e-05,0.021624327368289325,0.04850456763859342,0.0015517457139281692,0.0002502815667626079,0.0005756476035539982,0.003003378801151295,0.0017269428106619948,0.004254786634964335,0.012764359904893005,0.00020022525341008635,0.00010011262670504317,0.03306219496934051,0.001076210737079214,0.023451382805656364,0.004455011888374421,0.0,0.0,0.00012514078338130396,0.024052058565886623,0.00015016894005756475,0.0,0.009911150043799274,0.0,0.05839068952571643,0.004980603178575898,0.0014766612438993868,0.00020022525341008635,0.02485295957952697,0.0015267175572519084,0.0016768864973094732,0.00012514078338130396,2.5028156676260793e-05,0.0,0.0016018020272806908,0.0005506194468777374,0.002753097234388687,0.0126392191215117,5.0056313352521587e-05,0.0003253660367913903,0.00015016894005756475,0.0,0.0003754223501439119,0.004980603178575898,0.003879364284820423,0.0012263796771367788,0.0,0.0,0.0004505068201726943,0.015267175572519083,0.00022525341008634714,0.0030534351145038168,0.082918283068452,0.0005506194468777374,5.0056313352521587e-05,0.0002753097234388687,0.0034288574646477287,7.508447002878238e-05,5.0056313352521587e-05,0.0,7.508447002878238e-05,2.5028156676260793e-05,0.006757602302590414,0.00017519709673382555,0.0012764359904893004,0.0003754223501439119,0.0,0.0,0.0002753097234388687,0.0013014641471655612,0.016493555249655862,0.0,0.016618696033037166,0.0051808284319859845,0.0,5.0056313352521587e-05,0.00020022525341008635,0.025028156676260793,0.0006257039169065198,0.001201351520460518,0.0,7.508447002878238e-05,0.0020022525341008633,0.0034538856213239895,0.0,0.0019772243774246025,0.00012514078338130396,0.0003253660367913903,2.5028156676260793e-05
1,bbf9a30d-3067-491b-9aea-0cb9bed91969.FPKM.txt.gz,0.04983248317285926,0.08780296399142797,0.003833267936373789,0.01868340828831004,0.0033503365428148866,0.0005432978177537654,0.010624490658295856,0.01925688931816124,0.029821013552262233,0.00256557302828167,0.06507500528206211,0.011922368778485407,0.0004527481814614711,0.06821405934019498,0.02230539374000181,0.000664030666143491,0.04928918535510549,0.011318704536536777,0.010232108901029248,0.0043765657541275545,0.036974434819353474,0.0,0.016600766653587274,0.04696507802360327,0.001116778847604962,0.0007243970903383538,0.0024750233919893757,0.004406748966224986,0.00018109927258458844,0.01026229211312668,0.027678005493344603,0.0003621985451691769,0.00039238175726660833,0.023210890102924753,0.0006338474540460595,0.04135100057348103,0.0,6.036642419486282e-05,0.0,0.0004225649693640397,0.01198273520268027,6.036642419486282e-05,0.0,0.003018321209743141,0.00012073284838972564,0.09758232471099575,0.01328061332286982,0.0004225649693640397,3.018321209743141e-05,0.013612628655941565,0.0,0.003320153330717455,0.002746672300866258,0.0,3.018321209743141e-05,0.003169237270230298,0.0010564124234100994,0.008390932963085932,0.00685158914611693,0.00021128248468201986,0.0004527481814614711,0.0003018321209743141,0.0,0.004436932178322417,0.007968367993721892,0.00428601611783526,0.00039238175726660833,0.001629893453261296,0.0,0.00021128248468201986,0.009085146841326854,0.0003621985451691769,0.0012978781201895505,0.031149074884549214,0.00024146569677945128,0.00018109927258458844,0.00024146569677945128,0.003621985451691769,0.0,0.0023241073315022186,3.018321209743141e-05,0.00048293139355890256,0.001177145271799825,0.01847212580362802,0.0,6.036642419486282e-05,0.0,0.0,0.0,0.0006036642419486282,0.0,0.015302888533397724,3.018321209743141e-05,0.002203374483112493,0.002807038725061121,0.00012073284838972564,0.00021128248468201986,0.000664030666143491,6.036642419486282e-05,0.0,0.00012073284838972564,6.036642419486282e-05,0.008390932963085932,3.018321209743141e-05,0.011711086293803387,0.00039238175726660833,0.0017506263016510218,0.0007847635145332167,0.012375116959946877,0.004104916845250672
2,c909a75f-23e8-4c96-82f2-72e46fdb8155.FPKM.txt.gz,0.020377759131462232,0.02541226432864702,0.0031508467900748325,0.023905337602959056,0.00011986917136154255,0.000616470024145076,0.004880387691148518,0.0016439200643868692,0.010651232083839923,0.0036303234755210028,0.050259431135161056,0.0017637892357484117,0.0024145075945682143,0.07068856276863537,0.0460468859701697,0.0016439200643868692,0.011524564618045447,0.013528092196516944,0.008253848656609072,0.012962994674383959,0.07841156223778618,0.0005137250201208966,0.041234994948370636,0.07974724729010052,0.014401424730722468,0.0004966008527835334,0.004212545164991352,0.0006849666934945288,0.0005650975221329862,0.02217579670188537,0.04294741168210696,0.0002397383427230851,0.00013699333869890578,0.011010839597924552,0.00011986917136154255,0.05729746391081734,0.0024316317619055773,8.56208366868161e-05,6.849666934945289e-05,0.0007705875301813449,0.0007877116975187081,0.002311762590544035,0.008270972823946435,0.000308235012072538,0.00035960751408462764,0.08990187852115691,0.0003767316814219909,0.00018836584071099544,0.0004966008527835334,0.009007312019453054,0.0051372502012089665,0.006849666934945289,0.001472678391013237,0.006781170265595836,0.004024179324280357,0.0009247050362176139,8.56208366868161e-05,0.003733068479545182,0.03551552305769132,8.56208366868161e-05,0.000616470024145076,0.005702347723341952,0.0001712416733736322,0.0004109800160967173,0.01595972395842252,0.0013356850523143311,6.849666934945289e-05,5.137250201208966e-05,0.0,0.0,0.0012671883829648784,1.7124167337363222e-05,3.4248334674726444e-05,0.0006678425261571656,6.849666934945289e-05,8.56208366868161e-05,0.002243265921194582,0.000616470024145076,5.137250201208966e-05,0.0022946384232066714,1.7124167337363222e-05,0.0016439200643868692,0.0006507183588198024,0.0006849666934945288,0.0,0.0,5.137250201208966e-05,0.0,0.000702090860831892,0.00027398667739781155,0.00010274500402417933,8.56208366868161e-05,8.56208366868161e-05,0.0006507183588198024,0.0,5.137250201208966e-05,0.006181824408788123,0.00035960751408462764,0.0,3.4248334674726444e-05,0.0001712416733736322,3.4248334674726444e-05,0.0005308491874582599,0.006233196910800212,0.0009075808688802507,0.0072606469510420055,0.0005993458568077127,8.56208366868161e-05,0.07769234720961693,0.015600116444337894
3,1c89ff2f-6e0a-4244-952b-1391dba1b815.FPKM.txt.gz,0.05443703654806698,0.042401038572403016,0.003916650163927212,0.02083745901819702,6.601095781899796e-05,0.004180693995203204,0.0171188417277268,0.00547890949897683,0.032147336457852005,0.009615596188967368,0.04209298743591436,0.0034985807644068913,0.008669439126895065,0.07476841155631835,0.034325698065878936,0.023719937509626598,0.00838339164301274,0.013730279226351574,0.006667106739718793,0.003344555196162563,0.033797610403326954,0.0005060840099456509,0.0194072215987854,0.052104649371795715,0.007063172486632781,0.0011661935881356305,0.010473738640614343,0.003388562501375228,0.00033005478909498974,0.024027988646115255,0.041014808458204065,0.00290448214403591,0.001892314124144608,0.02081545536559069,0.0001760292208506612,0.04728584945100887,0.00033005478909498974,0.00015402556824432856,0.002200365260633265,0.0020023323871762714,0.0026184346601535857,0.0005280876625519837,0.0007921314938279754,0.0019803287345699387,0.01053974959843334,0.09111712544282351,0.0007041168834026448,0.0007921314938279754,0.0004840803573393183,0.01452241072017955,0.0,0.009109512179021718,0.0016502739454749488,0.00013202191563799591,0.0001760292208506612,0.00015402556824432856,2.200365260633265e-05,0.0018703104715382753,0.030167007723282065,0.00015402556824432856,0.00028604748388232445,0.0005720949677646489,8.80146104253306e-05,0.0012322045459546285,0.008427398948225405,0.002970493101854908,0.00011001826303166325,4.40073052126653e-05,0.0,4.40073052126653e-05,0.021189517459898343,2.200365260633265e-05,0.0002200365260633265,0.0020023323871762714,2.200365260633265e-05,4.40073052126653e-05,0.002596431007547253,0.0014742447246242876,4.40073052126653e-05,0.008339384337800074,0.0012762118511672937,0.0016062666402622836,0.0004620767047329857,0.001320219156379959,4.40073052126653e-05,0.00011001826303166325,0.0004620767047329857,0.0,2.200365260633265e-05,0.0012542081985609612,0.00026404383127599183,0.00026404383127599183,0.00011001826303166325,0.00182630316632561,0.0002200365260633265,0.0005280876625519837,0.0006161022729773142,0.0010341716724976346,6.601095781899796e-05,0.0001760292208506612,0.00015402556824432856,0.0,0.000946157062072304,0.006315048298017471,0.0025524237023345875,0.0016722775980812816,0.0019363214293572732,0.0001760292208506612,0.06411864369485334,0.012784122164279271
4,2a6ae2e8-733f-4349-8eec-d25e2b4abf86.FPKM.txt.gz,0.051203263086335826,0.06069340584636302,0.004758667573079538,0.010768184908225696,0.0016043507817811013,0.003725356900067981,0.01922501699524133,0.016696125084976206,0.036709721278042146,0.003344663494221618,0.0682800815771584,0.00989802855200544,0.002692046227056424,0.0575118966689327,0.03926580557443916,0.0007885791978246091,0.0396736913664174,0.012399728076138681,0.014357579877634263,0.0032087015635622025,0.04560163154316791,5.4384772263766146e-05,0.01326988443235894,0.06643099932019035,0.0023657375934738275,0.00021753908905506458,0.0023929299796057106,0.009055064581917063,0.000380693405846363,0.012154996600951734,0.02876954452753229,0.0004078857919782461,0.00032630863358259685,0.026974847042828008,0.00024473147518694766,0.037498300475866754,0.0005438477226376615,0.00010876954452753229,0.0,0.001849082256968049,0.003997280761386812,0.00046227056424201225,0.0,0.012019034670292318,0.0013324269204622705,0.10001359619306595,0.005791978246091094,0.0005982324949014276,0.00021753908905506458,0.008973487423521415,0.00024473147518694766,0.003997280761386812,0.0007341944255608429,0.00035350101971447993,8.157715839564921e-05,0.00274643099932019,0.0006254248810333107,0.002175390890550646,0.007532290958531611,0.0004078857919782461,0.000380693405846363,0.00032630863358259685,2.7192386131883073e-05,0.0008157715839564922,0.006607749830047587,0.005003399048266486,0.0013596193065941536,0.0,2.7192386131883073e-05,0.00010876954452753229,0.01971447994561523,2.7192386131883073e-05,0.001522773623385452,0.028361658735554046,0.002229775662814412,0.00021753908905506458,0.0009789259007477907,0.0051393609789259,0.00013596193065941537,0.0065533650577838205,0.00024473147518694766,0.00043507817811012917,0.003725356900067981,0.006009517335146159,0.0,0.00043507817811012917,0.0,0.0,2.7192386131883073e-05,0.0029095853161114887,0.00024473147518694766,0.0007070020394289599,2.7192386131883073e-05,0.01974167233174711,0.004459551325628824,0.00027192386131883074,0.0001903467029231815,0.0011964649898028553,2.7192386131883073e-05,0.0005166553365057784,8.157715839564921e-05,5.4384772263766146e-05,0.0001903467029231815,2.7192386131883073e-05,0.0011692726036709722,0.002610469068660775,0.0014683888511216859,0.0006254248810333107,0.01530931339225017,0.0
5,0a2c1866-d6e1-4add-bcb0-b297ba1394ac.FPKM.txt.gz,0.060137728013457396,0.059454344740577196,0.002680965147453083,0.01616464280082006,0.0023129895389791305,0.002050149818640593,0.01259002260421595,0.01700572990590338,0.04883562003890028,0.0028123850076223517,0.05619513220837933,0.014429900646585713,0.0002891236923723913,0.055248909215160596,0.03808547547705409,0.0003679756084739526,0.029227776901645377,0.012064343163538873,0.01280029438048678,0.0049413867423645065,0.027519318719444883,5.256794406770751e-05,0.02604741628554907,0.0958313620354308,0.0024181254271145457,0.00021027177627083005,0.001077642853388004,0.0027861010355884983,0.001077642853388004,0.014508752562687273,0.044919308205856066,0.0008410871050833202,0.0013404825737265416,0.022499080060978813,0.00034169163644009884,0.035010250749093204,0.00010513588813541503,0.0,0.0,0.0005519634127109288,0.004599695105924407,5.256794406770751e-05,2.6283972033853757e-05,0.0022078536508437154,0.00010513588813541503,0.1115754612837092,0.004625979077958261,0.00010513588813541503,0.0024181254271145457,0.015165851863533617,0.0,0.002549545287283814,0.0016821742101666404,5.256794406770751e-05,0.0,0.0018661620144036167,0.00010513588813541503,0.0071492403932082215,2.6283972033853757e-05,0.00010513588813541503,0.0003942595805078063,0.00021027177627083005,0.0,0.0018924459864374705,0.011118120170320139,0.004415707301687431,0.0009199390211848815,0.0,0.0,0.0007885191610156126,0.0008148031330494664,0.00034169163644009884,0.0019712979025390317,0.03732324028807233,0.0014193344898281027,0.0002891236923723913,0.0,0.001945013930505178,2.6283972033853757e-05,0.0,5.256794406770751e-05,0.0008936550491510277,0.0,0.007622351889817589,0.0,0.0,0.0,0.0,7.885191610156126e-05,0.02150028912369237,0.00031540766440624505,0.006781264784734269,5.256794406770751e-05,0.010592440729643063,0.001945013930505178,0.0,0.00034169163644009884,0.001524470377963518,0.0,0.00023655574830468382,0.0010250749093202965,0.0002628397203385376,5.256794406770751e-05,0.0001839878042369763,0.0021290017347421544,0.0,0.00044682752457551384,0.00034169163644009884,0.0002628397203385376,0.00023655574830468382
6,cf1a1478-68c1-431b-86cb-c4ddb105accf.FPKM.txt.gz,0.0528952941784183,0.06583501213905676,0.003486750348675035,0.012268195671264012,0.004726483805981714,0.005346350534635054,0.02993439743788419,0.018957590784647968,0.04217676532878764,0.004054961516607263,0.06363965080840953,0.01652977943075572,0.003383439227232812,0.05571052223771889,0.026060230383800818,0.0012913890180277906,0.03783769822821427,0.011622501162250116,0.01758871842553851,0.006586083991941732,0.0468774213544088,0.0002066222428844465,0.012319851231985124,0.04762642698486492,0.001652977943075572,0.00038741670540833723,0.0018337724055994629,0.006095356165091172,0.001807944625238907,0.013197995764244021,0.024071491296038017,0.0005940389482927837,0.0005682111679322279,0.025492019215868588,0.00046490004649000463,0.025621158117671367,0.00025827780360555814,0.0007231778500955628,2.5827780360555812e-05,0.0018854279663205744,0.015135079291285707,0.0006456945090138953,2.5827780360555812e-05,0.004803967147063382,0.0027119169378583604,0.10248463247068547,0.00573376724004339,0.000413244485768893,0.0004390722661294488,0.017872824009504622,0.00010331112144222325,0.0020403946484839094,0.001394700139470014,0.00023245002324500232,0.00010331112144222325,0.001368872359109458,7.748334108166744e-05,0.003150989203987809,0.0044423782220156,0.00023245002324500232,0.00023245002324500232,0.0004907278268505605,0.00038741670540833723,0.0014980112609122372,0.005630456118601168,0.006715222893744511,0.0006198667286533395,0.0002066222428844465,0.0,0.005966217263288393,0.01745957952373573,2.5827780360555812e-05,0.0017304612841572396,0.008419856397541196,0.0014980112609122372,0.0012913890180277906,0.0015754946019939046,0.0025569502556950256,0.0003615889250477814,0.0066377395526628444,0.00025827780360555814,0.0006198667286533395,0.0005682111679322279,0.013740379151815692,0.00010331112144222325,0.0004907278268505605,0.00038741670540833723,0.0,0.0002066222428844465,0.006224495066893951,0.00046490004649000463,0.007283434061676739,0.0,0.010408595485303993,0.001937083527041686,0.0007490056304561186,0.0007490056304561186,0.0014463557001911256,0.0,0.0002066222428844465,0.00025827780360555814,0.0,0.004339067100573377,0.0001549666821633349,0.0014205279198305698,0.004339067100573377,0.0028410558396611395,0.00025827780360555814,0.022186063329717443,0.0
7,eab58571-a6f1-4bc4-aa01-0df9c4beb79f.FPKM.txt.gz,0.08822879858657244,0.05800022084805654,0.005714443462897526,0.010738736749116608,0.0014079063604240283,0.0015459363957597172,0.026308524734982332,0.009662102473498232,0.07401170494699646,0.00441696113074205,0.03674359540636042,0.01385821554770318,0.0005245141342756184,0.06708259717314488,0.024983436395759718,0.0004969081272084805,0.018109540636042403,0.012809187279151944,0.008143772084805654,0.007536439929328622,0.03343087455830389,5.521201413427562e-05,0.012201855123674912,0.07365282685512367,0.0073984098939929325,0.0003588780918727915,0.0018219964664310953,0.004085689045936396,0.000579726148409894,0.019931537102473498,0.06901501766784453,0.00022084805653710247,0.0016563604240282686,0.02255410777385159,0.0005521201413427562,0.03862080388692579,0.00019324204946996466,8.281802120141343e-05,0.0008005742049469965,0.0008005742049469965,0.0066254416961130744,0.00041409010600706715,0.0,0.004554991166077739,0.00019324204946996466,0.12447548586572438,0.0015459363957597172,0.00022084805653710247,0.0002760600706713781,0.00668065371024735,0.0,0.012367491166077738,0.001904814487632509,0.0007729681978798586,0.00013803003533568905,0.0002760600706713781,0.0002760600706713781,0.008723498233215547,0.0012146643109540636,5.521201413427562e-05,0.00016563604240282687,0.0006073321554770318,0.0,0.0021256625441696112,0.009606890459363958,0.005604019434628975,0.0005245141342756184,0.0,0.0,0.0009662102473498234,0.005604019434628975,0.0,0.0009386042402826855,0.006266563604240283,0.00011042402826855124,0.00022084805653710247,0.00044169611307420494,0.002318904593639576,0.000579726148409894,0.00011042402826855124,0.00024845406360424026,0.004969081272084805,0.00201523851590106,0.013775397526501768,0.0,0.00013803003533568905,5.521201413427562e-05,0.0,0.0005521201413427562,0.0008833922261484099,0.0002760600706713781,0.00041409010600706715,5.521201413427562e-05,0.00022084805653710247,0.0006073321554770318,0.0,0.005051899293286219,0.0013803003533568905,0.0,5.521201413427562e-05,0.0005521201413427562,5.521201413427562e-05,0.0,0.0,0.001739178445229682,2.760600706713781e-05,0.00022084805653710247,5.521201413427562e-05,0.0013803003533568905,2.760600706713781e-05
8,07ad35fc-1e35-43b3-a252-193323d5e680.FPKM.txt.gz,0.0414992569761682,0.038692278056029504,0.0012108536518245362,0.010365641110316107,0.0013392775239877447,0.002293283431485864,0.029023795108885097,0.01069587392445007,0.03129873227291907,0.0016328178032179353,0.06145999596382116,0.00998036949382648,0.0016511640706698223,0.03861889298622195,0.028913717504173774,0.008787862109453832,0.032087621773350214,0.008806208376905718,0.018804924138184086,0.0033390206762434183,0.05028711908562203,5.503880235566074e-05,0.011503109692333095,0.07465096226172785,0.0016144715357660484,0.00023850147687452987,0.009540059074981195,0.0021648595593226558,0.0018346267451886914,0.008952978516520814,0.01812611224246427,0.0009173133725943457,0.0018346267451886914,0.014493551286990662,0.0003118865466820775,0.0428935733025116,0.00014677013961509532,1.8346267451886914e-05,1.8346267451886914e-05,0.000421964151393399,0.004054525106867008,0.0007705432329792504,3.669253490377383e-05,0.005999229456767021,0.00036692534903773826,0.07074320729447593,0.00321059680408021,0.0017428954079292567,0.0002568477443264168,0.02085970609279542,0.0,0.007008274166620801,0.0034490982809547398,0.0011007760471132147,9.173133725943457e-05,0.0012108536518245362,0.00047700295374905973,0.003650907222925496,0.029390720457922837,0.0002568477443264168,0.00029354027923019063,0.000843928302786798,0.0001284238721632084,0.00036692534903773826,0.007448584585466087,0.0037242922927330437,0.00023850147687452987,1.8346267451886914e-05,0.0,0.0008806208376905719,0.005155301153980223,0.0,0.0019813968848037865,0.0033206744087915315,0.001706202873025483,7.338506980754766e-05,0.0010090447098537803,0.0028987102573981324,0.0005136954886528336,0.0253728878859596,0.0,0.00020180894197075605,0.0011925073843726494,0.009063056121232135,0.0,0.0014493551286990662,7.338506980754766e-05,0.0,5.503880235566074e-05,0.0006054268259122681,0.0002751940117783037,0.004751683270038711,3.669253490377383e-05,0.0007888895004311373,0.005522226503017961,0.0001284238721632084,0.00029354027923019063,0.0005503880235566074,0.0,0.00034857908158585137,0.00011007760471132149,0.0,0.01942869723154824,0.00023850147687452987,0.0009540059074981195,0.0008622745702386849,0.0014126625937952923,0.00018346267451886913,0.12025978314711872,3.669253490377383e-05
9,700fa398-8999-430e-a52d-0e7a40a2d45b.FPKM.txt.gz,0.03432590658299288,0.04022238133344565,0.0038748262645832456,0.01872130733268753,0.0012003537884850272,0.0018110601019247778,0.005749062881691446,0.008086593943478078,0.020026955313144926,0.0009897654045402855,0.04573979699279788,0.007728593690772017,0.00016847070715579328,0.04976203512614244,0.020363896727456515,0.0013688244956408205,0.0251021353662132,0.007539064145221749,0.006212357326369877,0.008465653034578613,0.03331508234005812,4.211767678894832e-05,0.022638251274059724,0.04453944320431285,0.0037274143958219265,0.0003158825759171124,0.002358589900181106,0.0016425893947689845,0.0006738828286231731,0.009118477024807312,0.03862190961546561,0.00025270606073368994,0.0007370593438065956,0.0193951901613107,0.0002948237375226383,0.03617908436170661,2.105883839447416e-05,0.0,0.0,8.423535357789664e-05,0.0026534136377037443,0.00012635303036684497,2.105883839447416e-05,0.0013267068188518721,0.00012635303036684497,0.08088699827317525,0.001305647980457398,0.00016847070715579328,0.0010108242429347598,0.013751421471591627,0.0,0.004211767678894832,0.0022111780314197868,0.00012635303036684497,0.0,0.0026744724760982184,0.00014741186876131914,0.005791180558480394,0.21103061955102556,0.001179294950090553,0.00025270606073368994,0.00033694141431158656,0.0,0.0005685886366508024,0.007770711367560966,0.0027797666680705892,0.0005054121214673799,0.0,4.211767678894832e-05,0.00023164722233921578,0.018363307079981468,0.0,0.002105883839447416,0.01669965884681801,0.001979530809080571,0.00014741186876131914,0.00012635303036684497,0.003032472728804279,6.317651518342249e-05,0.013246009350124247,0.00046329444467843155,0.0003158825759171124,0.0014951775260076655,0.0045697679316008925,6.317651518342249e-05,0.00016847070715579328,0.0001052941919723708,0.0,0.014993892936865602,0.005496356820957756,0.00018952954555026744,0.001558354041191088,2.105883839447416e-05,0.00035800025270606075,0.0022111780314197868,2.105883839447416e-05,0.011645537632144211,0.0005054121214673799,0.0,0.00025270606073368994,0.00018952954555026744,0.0007160005054121215,0.00046329444467843155,0.00012635303036684497,0.0025691782841258475,0.0,0.0010950595965126563,2.105883839447416e-05,0.0319462578444173,2.105883839447416e-05
