i_doc,doc,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12,Topic 13,Topic 14,Topic 15,Topic 16,Topic 17,Topic 18,Topic 19,Topic 20,Topic 21,Topic 22,Topic 23,Topic 24,Topic 25,Topic 26,Topic 27,Topic 28,Topic 29,Topic 30,Topic 31,Topic 32,Topic 33,Topic 34,Topic 35
0,87fcecde-b317-4518-bea1-cc8d14a18107.FPKM.txt.gz,0.4026780127643599,0.01419096483543987,0.215066950319109,0.01924665248404455,0.14761606807658617,0.0047553497684895505,2.5028156676260793e-05,0.0003754223501439119,0.010361656863971969,0.00017519709673382555,0.008459516956576148,0.00022525341008634714,0.00020022525341008635,0.04940558127893881,0.0,0.0,0.05839068952571643,0.0015267175572519084,2.5028156676260793e-05,0.0005506194468777374,0.012964585158303092,0.0004254786634964335,0.0,0.0017269428106619948,0.00022525341008634714,5.0056313352521587e-05,0.0003754223501439119,5.0056313352521587e-05,0.016618696033037166,0.0051808284319859845,0.025028156676260793,7.508447002878238e-05,0.0020022525341008633,0.0019772243774246025,2.5028156676260793e-05
1,bbf9a30d-3067-491b-9aea-0cb9bed91969.FPKM.txt.gz,0.47601943798859075,0.026953608403006247,0.18526455585403398,0.01889469077299206,0.06661434909903112,0.01862304186411518,0.00021128248468201986,0.0015091606048715704,0.010624490658295856,0.0,0.002293924119404787,9.054963629229422e-05,0.0009054963629229422,0.05097944523256165,3.018321209743141e-05,0.00012073284838972564,0.09758232471099575,0.0,0.0,0.0010564124234100994,0.019226706106063807,0.0009356795750203737,0.001690259877456159,0.0002716489088768827,0.0003621985451691769,0.00018109927258458844,0.0,0.00021128248468201986,0.002203374483112493,0.002807038725061121,6.036642419486282e-05,0.008390932963085932,3.018321209743141e-05,0.0017506263016510218,0.004104916845250672
2,c909a75f-23e8-4c96-82f2-72e46fdb8155.FPKM.txt.gz,0.4818398205387263,0.037775913146223264,0.17571108104868402,0.00027398667739781155,0.0054112368786067774,0.008836070346079422,0.0007363391955066185,0.0005822216894703495,0.0024316317619055773,0.0,0.004606401013750707,0.0024487559292429403,0.0024145075945682143,0.0030481017860506535,0.012466393821600424,0.00035960751408462764,0.08990187852115691,0.0051372502012089665,0.006781170265595836,8.56208366868161e-05,0.11320787026730825,0.01520626059557854,8.56208366868161e-05,0.0,1.7124167337363222e-05,8.56208366868161e-05,5.137250201208966e-05,0.006883915269620015,0.0006507183588198024,0.0,0.0,0.0005308491874582599,0.006233196910800212,0.0005993458568077127,0.015600116444337894
3,1c89ff2f-6e0a-4244-952b-1391dba1b815.FPKM.txt.gz,0.45437542632076927,0.05615332145136093,0.17847162628996413,0.0003520584417013224,0.0139503157524149,0.04233502761458402,0.0012982155037736265,0.0013422228089862917,0.004268708605628535,4.40073052126653e-05,0.0029484894492485753,0.004048672079565207,0.003608599027438555,0.009351552357691377,0.0010561753251039673,0.01053974959843334,0.09111712544282351,0.0,0.00013202191563799591,2.200365260633265e-05,0.09428565141813541,0.004840803573393183,4.40073052126653e-05,0.00015402556824432856,2.200365260633265e-05,4.40073052126653e-05,0.0004620767047329857,0.0006381059255836469,0.00182630316632561,0.0002200365260633265,6.601095781899796e-05,0.000946157062072304,0.006315048298017471,0.0019363214293572732,0.012784122164279271
4,2a6ae2e8-733f-4349-8eec-d25e2b4abf86.FPKM.txt.gz,0.49196464989802857,0.03866757307953773,0.18732834806254248,0.0045411284840244735,0.059959211420802176,0.006689326988443236,0.00046227056424201225,0.0008429639700883753,0.007477906186267845,0.0,0.00663494221617947,0.0008429639700883753,0.0022841604350781783,0.03586675730795377,0.00013596193065941537,0.0013324269204622705,0.10001359619306595,0.00024473147518694766,0.00035350101971447993,0.0006254248810333107,0.02284160435078178,0.003915703602991163,5.4384772263766146e-05,0.0005438477226376615,2.7192386131883073e-05,0.00021753908905506458,0.0,0.00021753908905506458,0.01974167233174711,0.004459551325628824,2.7192386131883073e-05,0.0001903467029231815,2.7192386131883073e-05,0.0014683888511216859,0.0
5,0a2c1866-d6e1-4add-bcb0-b297ba1394ac.FPKM.txt.gz,0.5212374494033538,0.0227356358092835,0.17794249066918993,0.010513588813541502,0.07317457814224886,0.007622351889817589,0.00010513588813541503,0.0005519634127109288,0.010434736897439942,0.0,0.003679756084739526,0.0001314198601692688,0.0014456184618619565,0.04250118277874152,2.6283972033853757e-05,0.00010513588813541503,0.1115754612837092,0.0,5.256794406770751e-05,0.00010513588813541503,0.0002891236923723913,0.00021027177627083005,0.0002628397203385376,0.0007885191610156126,0.00034169163644009884,0.0002891236923723913,0.0,0.0004205435525416601,0.010592440729643063,0.001945013930505178,0.0,5.256794406770751e-05,0.0001839878042369763,0.00044682752457551384,0.00023655574830468382
6,cf1a1478-68c1-431b-86cb-c4ddb105accf.FPKM.txt.gz,0.45051397282917505,0.03584895914045147,0.20781032078103207,0.01350792912857069,0.05062244950668939,0.007980784131411747,0.0016788057234361279,0.0006456945090138953,0.008316545276098972,0.00010331112144222325,0.002815228059300584,0.0012913890180277906,0.002505294694973914,0.04819463815279715,0.0005165556072111163,0.0027119169378583604,0.10248463247068547,0.00010331112144222325,0.00023245002324500232,7.748334108166744e-05,0.026628441551733044,0.006405289529417842,0.0002066222428844465,0.006456945090138953,2.5827780360555812e-05,0.0012913890180277906,0.00038741670540833723,0.0009556278733405651,0.010408595485303993,0.001937083527041686,0.0,0.004339067100573377,0.0001549666821633349,0.0028410558396611395,0.0
7,eab58571-a6f1-4bc4-aa01-0df9c4beb79f.FPKM.txt.gz,0.5637698763250883,0.04488736749116608,0.16022526501766785,0.0019324204946996467,0.03539090106007067,0.00756404593639576,0.00019324204946996466,0.00041409010600706715,0.007205167844522968,0.0,0.0032575088339222616,0.002042844522968198,0.005769655477031802,0.029704063604240282,0.00013803003533568905,0.00019324204946996466,0.12447548586572438,0.0,0.0007729681978798586,0.0002760600706713781,0.002594964664310954,0.0010766342756183746,5.521201413427562e-05,0.0011042402826855124,0.0,0.00022084805653710247,5.521201413427562e-05,0.005604019434628975,0.00022084805653710247,0.0006073321554770318,0.0,0.0,0.0,0.00022084805653710247,2.760600706713781e-05
8,07ad35fc-1e35-43b3-a252-193323d5e680.FPKM.txt.gz,0.42644064065165943,0.04659951932779276,0.17084044251197095,0.007797163667051938,0.027721210119801127,0.02419872676903884,0.00023850147687452987,0.000421964151393399,0.007888895004311372,0.0,0.004513181793164181,0.0013025849890839708,0.000623773093364155,0.025831544572256775,0.0002568477443264168,0.00036692534903773826,0.07074320729447593,0.0,0.0011007760471132147,0.00047700295374905973,0.14965050360504156,0.002715247582879263,1.8346267451886914e-05,0.002329975966389638,0.0,7.338506980754766e-05,7.338506980754766e-05,0.00034857908158585137,0.0007888895004311373,0.005522226503017961,0.0,0.01942869723154824,0.00023850147687452987,0.0014126625937952923,3.669253490377383e-05
9,700fa398-8999-430e-a52d-0e7a40a2d45b.FPKM.txt.gz,0.3630964915975235,0.035463083856294486,0.1628269384660742,0.004738238638756686,0.0352946131491387,0.00926588889356863,8.423535357789664e-05,0.00033694141431158656,0.007749652529166491,6.317651518342249e-05,0.0045697679316008925,0.000652823990228699,0.00040011792949500903,0.01838436591837594,6.317651518342249e-05,0.00012635303036684497,0.08088699827317525,0.0,0.00012635303036684497,0.00014741186876131914,0.24297687739544288,0.00046329444467843155,0.0007160005054121215,0.00040011792949500903,0.0,0.00014741186876131914,0.0001052941919723708,0.026639430569009814,0.00035800025270606075,0.0022111780314197868,0.0,0.00046329444467843155,0.00012635303036684497,0.0010950595965126563,2.105883839447416e-05
10,c56cda8a-0755-4715-9c46-5bc6280a5bf0.FPKM.txt.gz,0.41253683364586125,0.04775588729513187,0.17239363904244698,0.0003409395319387283,0.018215912135012054,0.05296739156905243,0.0010471714195260942,0.0005114092979080924,0.0029953973163188274,0.0,0.0029953973163188274,0.0038477461461656477,0.002824927550349463,0.013053113508511311,0.0020212843679224607,0.0037990404987458294,0.07517716679248959,2.4352823709909163e-05,0.00021917541338918248,0.0,0.12186152984438546,0.044346491975744584,0.00012176411854954583,2.4352823709909163e-05,0.0,7.305847112972749e-05,4.8705647419818326e-05,0.00757372817378175,0.0012663468329152765,0.0,0.0,2.4352823709909163e-05,7.305847112972749e-05,0.0006331734164576382,0.011226651730268124
11,8970e6da-5904-483d-8770-0ede67f98cf4.FPKM.txt.gz,0.4394220081511671,0.054411686868152224,0.2531890118033134,0.012544328587307469,0.055285026200179964,0.014979092785687822,0.00034404276716244113,0.001058593129730588,0.005848727041761499,0.0011115227862171174,0.004154978034192558,0.0010850579579738528,0.0015614248663526173,0.04702799978828137,7.93944847297941e-05,0.0014820303816228233,0.05771979039856032,0.0,0.0001587889694595882,5.2929656486529405e-05,0.02707351929285979,0.0031228497327052346,5.2929656486529405e-05,0.000979198645000794,2.6464828243264702e-05,0.0001323241412163235,0.0003175779389191764,0.000529296564865294,0.007383687079870852,0.0038638649235166462,0.0,0.001958397290001588,0.0,0.0030434552479754406,0.0
