Topic 1	Topic 2	Topic 3	Topic 4	Topic 5	Topic 6	Topic 7	Topic 8	Topic 9	Topic 10	Topic 11	Topic 12	Topic 13	Topic 14	Topic 15	Topic 16	Topic 17	Topic 18	Topic 19	Topic 20	Topic 21	Topic 22	Topic 23	Topic 24	Topic 25	Topic 26	Topic 27	Topic 28	Topic 29	Topic 30	Topic 31	Topic 32	Topic 33	Topic 34	Topic 35
ENSG00000034510	ENSG00000211890	ENSG00000111341	ENSG00000171428	ENSG00000141424	ENSG00000090382	ENSG00000143632	ENSG00000202198	ENSG00000143369	ENSG00000153002	ENSG00000244734	ENSG00000131771	ENSG00000133048	ENSG00000145824	ENSG00000186832	ENSG00000104332	ENSG00000075624	ENSG00000161634	ENSG00000188257	ENSG00000179593	ENSG00000211895	ENSG00000124107	ENSG00000105825	ENSG00000159212	ENSG00000129437	ENSG00000121769	ENSG00000161055	ENSG00000163220	ENSG00000159763	ENSG00000160180	ENSG00000163631	ENSG00000172551	ENSG00000178372	ENSG00000189058	ENSG00000225972
ENSG00000108298	ENSG00000132465	ENSG00000164919	ENSG00000117472	ENSG00000115461	ENSG00000169245	ENSG00000162896	ENSG00000200087	ENSG00000095321	ENSG00000135346	ENSG00000165272	ENSG00000064886	ENSG00000105894	ENSG00000159388	ENSG00000102837	ENSG00000109846	ENSG00000184009	ENSG00000100604	ENSG00000229314	ENSG00000183569	ENSG00000211896	ENSG00000186847	ENSG00000167653	ENSG00000136457	ENSG00000114200		ENSG00000185559	ENSG00000143556			ENSG00000171564	ENSG00000175535			ENSG00000230076
ENSG00000143320	ENSG00000170323	ENSG00000099194	ENSG00000233622	ENSG00000110092	ENSG00000179862	ENSG00000104879	ENSG00000212232	ENSG00000115457	ENSG00000243480	ENSG00000173267	ENSG00000047457	ENSG00000163017	ENSG00000152661	ENSG00000124102	ENSG00000160307	ENSG00000112306	ENSG00000089199	ENSG00000182853	ENSG00000134201	ENSG00000211677	ENSG00000186081	ENSG00000269235	ENSG00000169347			ENSG00000146453	ENSG00000143546			ENSG00000171557				
ENSG00000197956	ENSG00000173432	ENSG00000109062	ENSG00000003989	ENSG00000109436	ENSG00000163520	ENSG00000196091	ENSG00000252481	ENSG00000162078	ENSG00000226085	ENSG00000122679	ENSG00000121039	ENSG00000049540	ENSG00000113739	ENSG00000196754	ENSG00000168309	ENSG00000203875	ENSG00000268751	ENSG00000091513	ENSG00000096088	ENSG00000211893	ENSG00000118849		ENSG00000110169			ENSG00000185615	ENSG00000163221			ENSG00000171560				
ENSG00000126709	ENSG00000100985	ENSG00000187837	ENSG00000108176	ENSG00000183779	ENSG00000242265	ENSG00000175084	ENSG00000238741	ENSG00000148344		ENSG00000174938	ENSG00000135744	ENSG00000165474	ENSG00000138449	ENSG00000205420	ENSG00000073756	ENSG00000227615	ENSG00000184226	ENSG00000132693	ENSG00000158104	ENSG00000211679	ENSG00000148346		ENSG00000204936			ENSG00000143536								
ENSG00000160862	ENSG00000099953	ENSG00000187608	ENSG00000162482	ENSG00000074410	ENSG00000171346	ENSG00000146648	ENSG00000212443	ENSG00000166825		ENSG00000166165	ENSG00000164764	ENSG00000243955	ENSG00000187244	ENSG00000167768	ENSG00000136842	ENSG00000143333		ENSG00000257017	ENSG00000172250	ENSG00000211899	ENSG00000163347		ENSG00000235454			ENSG00000272817								
ENSG00000117984	ENSG00000122176	ENSG00000169710	ENSG00000164403	ENSG00000197249	ENSG00000169442	ENSG00000229344	ENSG00000251791	ENSG00000140443		ENSG00000198125	ENSG00000107984	ENSG00000132692	ENSG00000071967	ENSG00000167656	ENSG00000237248	ENSG00000168758		ENSG00000158874	ENSG00000241720	ENSG00000211892	ENSG00000188505					ENSG00000168925								
ENSG00000206503	ENSG00000130208	ENSG00000120738	ENSG00000163040	ENSG00000109472	ENSG00000172724	ENSG00000111245	ENSG00000208772	ENSG00000124466		ENSG00000125144	ENSG00000129167	ENSG00000175646	ENSG00000134352	ENSG00000188508	ENSG00000187699	ENSG00000235162		ENSG00000118137	ENSG00000258926	ENSG00000211897	ENSG00000163739					ENSG00000142789								
ENSG00000149273	ENSG00000197766	ENSG00000185499	ENSG00000106688	ENSG00000146476	ENSG00000137077	ENSG00000164879	ENSG00000168298	ENSG00000158406		ENSG00000142875	ENSG00000169085	ENSG00000233196	ENSG00000214530	ENSG00000171401	ENSG00000261616	ENSG00000139194		ENSG00000110245	ENSG00000099984	ENSG00000254709	ENSG00000111215					ENSG00000219073								
ENSG00000130303	ENSG00000168209	ENSG00000170345	ENSG00000237940	ENSG00000176907	ENSG00000186395	ENSG00000101470	ENSG00000259001	ENSG00000166920		ENSG00000134184	ENSG00000225792	ENSG00000231346	ENSG00000101210	ENSG00000092758		ENSG00000213553		ENSG00000242252	ENSG00000227242	ENSG00000099958	ENSG00000112299					ENSG00000172016								
