,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6
ENSG00000000971,0.0002321765673565868,0.0,0.0,0.0,0.0,0.0
ENSG00000001561,0.00021874782765318325,0.0,0.0,0.0,0.0,0.0
ENSG00000002834,0.002026250676848464,0.0,0.0,0.0,0.0,0.0
ENSG00000002933,0.0,0.0010547112666385642,0.0,0.0,0.0,0.0
ENSG00000003249,0.00029013798595320736,0.0,0.0,0.0,0.0,0.0
ENSG00000003436,6.320055728994025e-05,0.0,0.0,0.0,0.0,0.0
ENSG00000003989,0.0,0.0,0.00739156768695316,0.0,0.0,0.0
ENSG00000004776,0.0,0.0013850234050238916,0.0,0.0,0.0,0.0
ENSG00000004799,0.0007135706900301369,0.0,0.0,0.0,0.0,0.0
ENSG00000004838,0.0,0.0002738852589213912,0.0,0.0,0.0,0.0
ENSG00000004866,0.0001479367320508418,0.0,0.0,0.0,0.0,0.0
ENSG00000005243,0.00031360381241644437,0.0,0.0,0.0,0.0,0.0
ENSG00000005249,0.0005911678655056846,0.0,0.0,0.0,0.0,0.0
ENSG00000005469,0.00021397745400084483,0.0,0.0,0.0,0.0,0.0
ENSG00000005513,0.0,0.00010973433684448551,0.0,0.0,0.0,0.0
ENSG00000005884,0.0003523182899186591,0.0,0.0,0.0,0.0,0.0
ENSG00000006015,0.00017043745401794095,0.0,0.0,0.0,0.0,0.0
ENSG00000006016,0.0,0.00021080361234622895,0.0,0.0,0.0,0.0
ENSG00000006118,0.0004639119440863677,0.0,0.0,0.0,0.0,0.0
ENSG00000006128,0.0,1.830060955587124e-05,0.0,0.0,0.0,0.0
ENSG00000006210,0.0,0.001402076245746408,0.0,0.0,0.0,0.0
ENSG00000006282,0.0004264107408078691,0.0,0.0,0.0,0.0,0.0
ENSG00000006327,0.0008814988723581195,0.0,0.0,0.0,0.0,0.0
ENSG00000006831,0.000984434160474763,0.0,0.0,0.0,0.0,0.0
ENSG00000007264,2.426548447432261e-05,0.0,0.0,0.0,0.0,0.0
ENSG00000007312,0.0,0.0,0.000665169858005969,0.0,0.0,0.0
ENSG00000007516,0.0,0.00025267318875435863,0.0,0.0,0.0,0.0
ENSG00000008283,0.0013062275739012912,0.0,0.0,0.0,0.0,0.0
ENSG00000008394,0.000835808068069537,0.0,0.0,0.0,0.0,0.0
ENSG00000008441,0.0008851386950292679,0.0,0.0,0.0,0.0,0.0
ENSG00000008513,0.0004910727420491038,0.0,0.0,0.0,0.0,0.0
ENSG00000008516,3.438529447668215e-05,0.0,0.0,0.0,0.0,0.0
ENSG00000008517,0.0004505383532113149,0.0,0.0,0.0,0.0,0.0
ENSG00000008735,0.0001727261303944964,0.0,0.0,0.0,0.0,0.0
ENSG00000008838,0.000564420683755579,0.0,0.0,0.0,0.0,0.0
ENSG00000009790,0.0,0.0,0.00017442659662906163,0.0,0.0,0.0
