i_doc,doc,Topic 1,Topic 2
0,87fcecde-b317-4518-bea1-cc8d14a18107.FPKM.txt.gz,0.6341101200711872,0.36588987992881283
1,bbf9a30d-3067-491b-9aea-0cb9bed91969.FPKM.txt.gz,0.4944050200553046,0.5055949799446955
2,c909a75f-23e8-4c96-82f2-72e46fdb8155.FPKM.txt.gz,0.13243021942027292,0.8675697805797271
3,1c89ff2f-6e0a-4244-952b-1391dba1b815.FPKM.txt.gz,0.2295913727704095,0.7704086272295905
4,2a6ae2e8-733f-4349-8eec-d25e2b4abf86.FPKM.txt.gz,0.5076302986573783,0.4923697013426216
5,0a2c1866-d6e1-4add-bcb0-b297ba1394ac.FPKM.txt.gz,0.4888141631820499,0.5111858368179502
6,cf1a1478-68c1-431b-86cb-c4ddb105accf.FPKM.txt.gz,0.5067878522285358,0.4932121477714641
7,eab58571-a6f1-4bc4-aa01-0df9c4beb79f.FPKM.txt.gz,0.4188462461868165,0.5811537538131836
8,07ad35fc-1e35-43b3-a252-193323d5e680.FPKM.txt.gz,0.20611896773739344,0.7938810322626065
9,700fa398-8999-430e-a52d-0e7a40a2d45b.FPKM.txt.gz,0.13362460292925196,0.866375397070748
10,c56cda8a-0755-4715-9c46-5bc6280a5bf0.FPKM.txt.gz,0.24436371273310895,0.7556362872668911
11,8970e6da-5904-483d-8770-0ede67f98cf4.FPKM.txt.gz,0.6118517282122202,0.38814827178777983
12,74dfc8ec-405b-4ffa-a282-daac57bf4d01.FPKM.txt.gz,0.4091027924772928,0.5908972075227071
13,ec27c2ca-312a-4e06-bc8f-ca8cb085ab3e.FPKM.txt.gz,0.7129598551897904,0.2870401448102096
14,78e16228-2d9f-4e19-bbd2-b0bb85e8faa2.FPKM.txt.gz,0.5240906420456334,0.47590935795436656
15,512b0f65-4ee9-4d01-b453-075499fe9d83.FPKM.txt.gz,0.4366964822586008,0.5633035177413992
16,6632e6de-5170-4096-a298-078b6bfd3760.FPKM.txt.gz,0.3312752672869034,0.6687247327130965
17,b44cdb13-1812-4bf6-825e-edae5bc5376a.FPKM.txt.gz,0.17113781152712407,0.828862188472876
18,e54638eb-8b35-4cf1-af4e-3411dfbd1ba2.FPKM.txt.gz,0.16278478654875203,0.837215213451248
19,c8c58445-3c7f-4c98-85b0-6a707c3d8473.FPKM.txt.gz,0.4706559930595859,0.5293440069404141
20,c3ed7c7a-b80a-4de2-8dfb-b60bcf336375.FPKM.txt.gz,0.4746170468481352,0.5253829531518648
21,24d7f10a-ac34-4f7e-8424-d2fc0d32ac58.FPKM.txt.gz,0.2991754568638019,0.700824543136198
22,e6981360-42ea-402a-aead-f6f2b31ef30c.FPKM.txt.gz,0.44208871009641276,0.5579112899035873
23,ad778372-ad13-4d11-ac15-900de7d9637a.FPKM.txt.gz,0.23457964611116988,0.7654203538888301
24,3067f41a-e3f1-47f5-9545-56d54fa75b98.FPKM.txt.gz,0.36636656943525664,0.6336334305647434
25,63b48baa-7826-4b1e-ae67-7cdbd36a4e92.FPKM.txt.gz,0.49577293075633283,0.5042270692436671
26,720b9121-0bc4-4ff8-8a36-f146fea4da3c.FPKM.txt.gz,0.4476404956319307,0.5523595043680694
27,2656413d-a5d2-4812-9ce9-a02c15ab04bd.FPKM.txt.gz,0.9912057217415942,0.008794278258405725
28,8e5a3c88-35f5-4620-86d7-53c014a2687b.FPKM.txt.gz,0.4971010585582737,0.5028989414417264
29,915d5363-e343-4154-86cb-dbef1a586192.FPKM.txt.gz,0.22230885242025503,0.777691147579745
30,7c4cee3c-a8d6-4016-84e3-106d18d1c2e8.FPKM.txt.gz,0.46503131640554407,0.5349686835944558
31,3ab61b3d-13bd-4fca-ac15-f70acbce447c.FPKM.txt.gz,0.12061066624106886,0.8793893337589311
32,2d3e6de2-dc7c-4078-8d1c-aecac52b4a44.FPKM.txt.gz,0.6841097570259516,0.3158902429740485
33,00511204-3512-4a5e-b664-60271e968903.FPKM.txt.gz,0.7183853927737152,0.2816146072262848
34,f1d5de66-76f3-4911-a877-3571069649a8.FPKM.txt.gz,0.3914252194385327,0.6085747805614673
35,e3067466-096f-4bea-993f-b0469a7e11e3.FPKM.txt.gz,0.3178355846398696,0.6821644153601304
36,67418961-d894-42a9-ae6a-21f41e6ca9bf.FPKM.txt.gz,0.41381246168748,0.58618753831252
37,96ddce60-2be5-4f57-814b-35722aa00fd9.FPKM.txt.gz,0.5833616139802273,0.4166383860197727
38,e8201ee9-2e0a-4a8e-bc99-6e2482da919d.FPKM.txt.gz,0.33246924307976405,0.667530756920236
39,bf247059-bf60-4e1f-a865-6e715e2db9a2.FPKM.txt.gz,0.32726280320699486,0.672737196793005
40,e91a54c8-5b35-47e6-a65d-0e3b07b31d40.FPKM.txt.gz,0.6610859967538554,0.3389140032461446
41,7f2c3de9-a1b9-413a-821c-02dbcad4ea0b.FPKM.txt.gz,0.44850592557263125,0.5514940744273689
42,d6bbcaba-61a7-4360-bc15-1426f8eafa82.FPKM.txt.gz,0.3811525837070101,0.61884741629299
43,ab1f0023-6b52-41b6-9867-87599e4d6d60.FPKM.txt.gz,0.18722383352787503,0.812776166472125
44,94dcaa51-315e-43d9-875c-4c4ae2e9bef3.FPKM.txt.gz,0.23577749329183856,0.7642225067081614
45,6a818968-d75b-44b5-8b1e-53ff8274ea92.FPKM.txt.gz,0.3803056056172496,0.6196943943827504
46,f790ef4c-71bf-43a7-a610-4006a4c0a42c.FPKM.txt.gz,0.1947481786727873,0.8052518213272126
47,ee6beadb-79ab-4f2f-87cc-bba566e6bc24.FPKM.txt.gz,0.1741845452091789,0.8258154547908211
48,0d38dab7-b983-4829-9a5b-d79f0fee6f26.FPKM.txt.gz,0.45931165429136334,0.5406883457086368
49,ba65f95e-4a58-4378-925b-60f864c4f5de.FPKM.txt.gz,0.45588770668362727,0.5441122933163728
50,0b5a79f8-be5b-4b72-b5e9-a764a70b2b38.FPKM.txt.gz,0.29280591197420663,0.7071940880257933
51,6f618400-b914-4103-bf46-9c026b470aa0.FPKM.txt.gz,0.48787743995340205,0.5121225600465981
52,609420eb-0650-4187-8b48-cb1ea5fa0d8d.FPKM.txt.gz,0.5213225841125657,0.4786774158874343
53,05eb3daf-d392-4ede-87d6-8f0aef8b6372.FPKM.txt.gz,0.40645449773057274,0.5935455022694273
54,27035d6f-4b2d-48ef-ae2b-b3cf52d67903.FPKM.txt.gz,0.824639520015983,0.17536047998401696
55,133909c8-05bc-41ea-97aa-44eb699da75f.FPKM.txt.gz,0.1523924634662257,0.8476075365337743
56,4dcd18d6-b7b2-4a92-bcbe-361c7278e84e.FPKM.txt.gz,0.4974853607753407,0.5025146392246592
57,26bfd2ed-0d81-48ae-afd5-cf61b249bc14.FPKM.txt.gz,0.4195608017005993,0.5804391982994007
58,9ae1330c-a197-416a-9d5f-3ca16b36ec90.FPKM.txt.gz,0.3093223537341101,0.6906776462658899
59,4f6e9a85-31c9-468b-b121-1e235f159010.FPKM.txt.gz,0.36036008912390943,0.6396399108760905
60,bf78430f-6c70-4e76-ade6-a434e0770d5f.FPKM.txt.gz,0.3771923148901719,0.622807685109828
61,8ddc8e8b-d131-4f4e-96ec-078ced613de6.FPKM.txt.gz,0.18630317673862545,0.8136968232613746
62,ffd7b10e-8c0c-4aeb-81a0-b060108d57fa.FPKM.txt.gz,0.6108069914606129,0.3891930085393871
63,6f2d3476-cfb8-4e9e-abd0-266cc679d0df.FPKM.txt.gz,0.015317062586098433,0.9846829374139016
64,26e8feed-d934-4dbc-8b04-d771b2a65915.FPKM.txt.gz,0.5011136659486557,0.49888633405134436
65,fe07bbb2-6d46-44b4-8363-1e1b8d648660.FPKM.txt.gz,0.4645768130104241,0.5354231869895759
66,fd3c752c-4a40-4ae9-bfb0-b0315eca3d1d.FPKM.txt.gz,0.5045688922705679,0.4954311077294322
67,053e76fc-4063-4039-9bac-bfbe73929d0e.FPKM.txt.gz,0.45267896300344895,0.5473210369965511
68,ee7d6b4b-a341-4a9b-9a3a-38526e749cdd.FPKM.txt.gz,0.31923289585796294,0.680767104142037
69,7e89a428-9132-4efa-b119-10241f0ecdcc.FPKM.txt.gz,0.5227581983234784,0.4772418016765215
70,148d950b-4202-4f3f-be15-84735cd08a48.FPKM.txt.gz,0.12811740556139659,0.8718825944386034
71,648e4d91-e53f-47c8-b343-e224d2a72956.FPKM.txt.gz,0.37842271496927316,0.6215772850307268
72,aa42dd76-efb1-4fb7-9922-cf54540844e7.FPKM.txt.gz,0.2792403611515014,0.7207596388484986
73,c1f0e689-1d11-4f7d-8386-616efe367e52.FPKM.txt.gz,0.37199325362276825,0.6280067463772316
74,d4675ebb-2444-4e2f-ade2-5c5af9882399.FPKM.txt.gz,0.17908337931029128,0.8209166206897088
75,900a1913-f3b7-46ca-88be-c180a5fb5265.FPKM.txt.gz,0.372515915257983,0.6274840847420171
76,21feac5d-641f-4802-a910-51b73431de3c.FPKM.txt.gz,0.3578441410182552,0.6421558589817448
77,07858399-2ec0-4d01-b197-b362873e56a8.FPKM.txt.gz,0.09838688717757284,0.9016131128224272
78,0827bd64-de4e-45bc-9e75-a9bdce41f4a5.FPKM.txt.gz,0.14080638875491144,0.8591936112450886
79,999edb9e-8a45-4115-84d5-fca75dcfa639.FPKM.txt.gz,0.4601379745154443,0.5398620254845556
80,23393a6a-bfbc-4dec-9ab5-e78a487a095f.FPKM.txt.gz,0.41049205798366856,0.5895079420163315
81,4a9bb3fd-4e75-4585-82f7-7254889b9838.FPKM.txt.gz,0.47163744588436224,0.5283625541156378
82,22c16f46-950f-4389-bb16-b5cec4d8b94e.FPKM.txt.gz,0.3858681408560548,0.6141318591439452
83,90d19c5c-f80b-454b-b776-99d13f01617e.FPKM.txt.gz,0.6743833579309972,0.32561664206900265
84,c443bbe4-b053-47fa-a7a9-97457e44e2a0.FPKM.txt.gz,0.4026936977956938,0.5973063022043061
85,7bcc02ad-a4c7-44e1-8654-10c4598f936d.FPKM.txt.gz,0.999904936932408,9.506306759202747e-05
86,acf02cd5-270d-40c0-864d-abebe048f309.FPKM.txt.gz,0.6766017882190173,0.32339821178098255
87,bdc7d527-3905-4905-b245-b282883ea3a6.FPKM.txt.gz,0.5703109170583158,0.42968908294168406
88,f31566a9-ffde-40fa-b879-71827a3540a9.FPKM.txt.gz,0.4760726026081631,0.5239273973918368
89,e1f960fc-6efa-4492-9f44-8e645ec8bfc2.FPKM.txt.gz,0.6427349963461777,0.35726500365382224
90,3ec6ccd2-6cd9-4094-8a3d-98ae065ff95c.FPKM.txt.gz,0.47233453735884356,0.5276654626411565
91,552e9a21-3493-4567-8d55-40e7f8009a5f.FPKM.txt.gz,0.5421741833038769,0.45782581669612304
92,471d762f-bd20-4665-9e2f-cc7ce8f94001.FPKM.txt.gz,0.21216334974661935,0.7878366502533807
93,90c4dd6e-a5cd-44fb-ad0c-8a27d88429c5.FPKM.txt.gz,0.380411988721712,0.619588011278288
94,e1557786-4586-409f-9c5a-a559535f0aa0.FPKM.txt.gz,0.4155250211958526,0.5844749788041473
95,5d6adefb-ceda-4ef2-a6b9-8077fd618ae6.FPKM.txt.gz,0.4429607387772224,0.5570392612227776
96,5c006621-470c-4d58-9c59-804988b955d9.FPKM.txt.gz,0.6578159565362195,0.3421840434637805
97,5ec8fcf2-85bc-4c30-9329-62b1cc47b67f.FPKM.txt.gz,0.11217110067458234,0.8878288993254176
98,ec83d8bd-7f42-4be1-aa49-18b436bf7cce.FPKM.txt.gz,0.4015390931183334,0.5984609068816666
99,deaa56c1-8031-4c65-b3bc-1228407e06ea.FPKM.txt.gz,0.38343459287270704,0.616565407127293
100,7bda3c7f-9e51-4e8a-9398-e9dc1dee8c62.FPKM.txt.gz,0.19885620165044732,0.8011437983495527
101,b73518ee-287c-4130-9da2-61772aa195fc.FPKM.txt.gz,0.47042031658404254,0.5295796834159575
102,fa49537b-edee-4d4f-823d-b6c574d33900.FPKM.txt.gz,0.3488342468708972,0.6511657531291027
