Topic 1,Topic 2
ENSG00000202198,ENSG00000202198
ENSG00000200087,ENSG00000211896
ENSG00000034510,ENSG00000034510
ENSG00000211896,ENSG00000163220
ENSG00000159763,ENSG00000211895
ENSG00000211895,ENSG00000211677
ENSG00000161634,ENSG00000172551
ENSG00000212232,ENSG00000211893
ENSG00000163220,ENSG00000211679
ENSG00000211677,ENSG00000189058
ENSG00000172551,ENSG00000211899
ENSG00000211893,ENSG00000159763
ENSG00000189058,ENSG00000211897
ENSG00000211679,ENSG00000184009
ENSG00000184009,ENSG00000143556
ENSG00000211899,ENSG00000197956
ENSG00000075624,ENSG00000143546
ENSG00000197956,ENSG00000075624
ENSG00000108298,ENSG00000108298
ENSG00000211897,ENSG00000211892
ENSG00000206503,ENSG00000124107
