i_doc,doc,Topic 1,Topic 2,Topic 3,Topic 4
0,87fcecde-b317-4518-bea1-cc8d14a18107.FPKM.txt.gz,0.29420287067071443,0.2985982217562766,0.39111987121045894,0.01607903636255011
1,bbf9a30d-3067-491b-9aea-0cb9bed91969.FPKM.txt.gz,0.35114337727357287,0.3007993066439639,0.3434990559876626,0.004558260094800613
2,c909a75f-23e8-4c96-82f2-72e46fdb8155.FPKM.txt.gz,0.45596597196830974,0.4497950273723267,0.0894872244739477,0.004751776185415833
3,1c89ff2f-6e0a-4244-952b-1391dba1b815.FPKM.txt.gz,0.5065439822266251,0.2905586815497812,0.20122367047274775,0.0016736657508457774
4,2a6ae2e8-733f-4349-8eec-d25e2b4abf86.FPKM.txt.gz,0.3441655398328212,0.24058935737903947,0.4014245427186936,0.013820560069445742
5,0a2c1866-d6e1-4add-bcb0-b297ba1394ac.FPKM.txt.gz,0.32835463226699985,0.30845612092058544,0.35697208435838074,0.0062171624540339485
6,cf1a1478-68c1-431b-86cb-c4ddb105accf.FPKM.txt.gz,0.31325823608953446,0.2434627314994788,0.4365699697056819,0.006709062705304819
7,eab58571-a6f1-4bc4-aa01-0df9c4beb79f.FPKM.txt.gz,0.3233539339261923,0.3021560969513352,0.3730948595344206,0.0013951095880518683
8,07ad35fc-1e35-43b3-a252-193323d5e680.FPKM.txt.gz,0.504039144906972,0.28079781757029415,0.21384237824535002,0.001320659277383787
9,700fa398-8999-430e-a52d-0e7a40a2d45b.FPKM.txt.gz,0.6004571597934554,0.3081448812745744,0.09071677303162197,0.0006811859003482432
10,c56cda8a-0755-4715-9c46-5bc6280a5bf0.FPKM.txt.gz,0.5244628488432141,0.2840724216668794,0.1900134287434431,0.0014513007464633336
11,8970e6da-5904-483d-8770-0ede67f98cf4.FPKM.txt.gz,0.26363843889081845,0.13217060294988497,0.5990801513911377,0.00511080676815906
12,74dfc8ec-405b-4ffa-a282-daac57bf4d01.FPKM.txt.gz,0.2430740611073494,0.4315937897626777,0.3221209662233901,0.003211182906582885
13,ec27c2ca-312a-4e06-bc8f-ca8cb085ab3e.FPKM.txt.gz,0.0679777605642059,0.08362103955469859,0.8467867386579587,0.001614461223136825
14,78e16228-2d9f-4e19-bbd2-b0bb85e8faa2.FPKM.txt.gz,0.2869751739234918,0.26067785748186156,0.4477344544216202,0.004612514173026535
15,512b0f65-4ee9-4d01-b453-075499fe9d83.FPKM.txt.gz,0.3290055652231712,0.17029246909587065,0.49936280069106204,0.0013391649898961023
16,6632e6de-5170-4096-a298-078b6bfd3760.FPKM.txt.gz,0.34511081609319555,0.33567177021605316,0.3181473550817211,0.0010700586090302633
17,b44cdb13-1812-4bf6-825e-edae5bc5376a.FPKM.txt.gz,0.5346645253755684,0.3455575844614338,0.11871854014617181,0.0010593500168258852
18,e54638eb-8b35-4cf1-af4e-3411dfbd1ba2.FPKM.txt.gz,0.13315612734487925,0.7356719514741,0.13054233530597817,0.0006295858750426519
19,c8c58445-3c7f-4c98-85b0-6a707c3d8473.FPKM.txt.gz,0.2724877615561021,0.23957866951110302,0.4861390940449149,0.0017944748878799433
20,c3ed7c7a-b80a-4de2-8dfb-b60bcf336375.FPKM.txt.gz,0.27892929992831883,0.22089607706603423,0.4889665086501745,0.011208114355472453
21,24d7f10a-ac34-4f7e-8424-d2fc0d32ac58.FPKM.txt.gz,0.4995786117729766,0.17783691542300595,0.3153308462608091,0.007253626543208416
22,e6981360-42ea-402a-aead-f6f2b31ef30c.FPKM.txt.gz,0.3347728934457598,0.18483127627955345,0.4789421457404151,0.0014536845342716276
23,ad778372-ad13-4d11-ac15-900de7d9637a.FPKM.txt.gz,0.34911848101284243,0.44927811626761643,0.20082355042686953,0.0007798522926716362
24,3067f41a-e3f1-47f5-9545-56d54fa75b98.FPKM.txt.gz,0.41842888708053483,0.20992792939438543,0.37012282677091984,0.0015203567541599025
25,63b48baa-7826-4b1e-ae67-7cdbd36a4e92.FPKM.txt.gz,0.34090858627354825,0.3283097204865132,0.327624133821585,0.0031575594183535934
26,720b9121-0bc4-4ff8-8a36-f146fea4da3c.FPKM.txt.gz,0.2875107391334063,0.26951185803465183,0.44004380408342686,0.0029335987485149197
27,2656413d-a5d2-4812-9ce9-a02c15ab04bd.FPKM.txt.gz,0.05759192823808281,0.04347777266950359,0.07070120772842807,0.8282290913639856
28,8e5a3c88-35f5-4620-86d7-53c014a2687b.FPKM.txt.gz,0.37710522950728526,0.25798595100005234,0.3614204638142795,0.0034883556783828333
29,915d5363-e343-4154-86cb-dbef1a586192.FPKM.txt.gz,0.33463218315739307,0.5116682401075445,0.14976851656510257,0.00393106016995985
30,7c4cee3c-a8d6-4016-84e3-106d18d1c2e8.FPKM.txt.gz,0.31533282899806847,0.25711514656593903,0.413623225050618,0.013928799385374488
31,3ab61b3d-13bd-4fca-ac15-f70acbce447c.FPKM.txt.gz,0.659177912472903,0.2504163791996086,0.08993011687270157,0.00047559145478672394
32,2d3e6de2-dc7c-4078-8d1c-aecac52b4a44.FPKM.txt.gz,0.07049411082537295,0.04007266122086415,0.8887168859792077,0.0007163419745552091
33,00511204-3512-4a5e-b664-60271e968903.FPKM.txt.gz,0.019357353551479273,0.037079879010276026,0.9433437953323217,0.00021897210592299778
34,f1d5de66-76f3-4911-a877-3571069649a8.FPKM.txt.gz,0.2653546537153061,0.2404125876438529,0.49329279671134946,0.0009399619294916908
35,e3067466-096f-4bea-993f-b0469a7e11e3.FPKM.txt.gz,0.29077302810473743,0.4656640540986004,0.23893811694395256,0.004624800852709566
36,67418961-d894-42a9-ae6a-21f41e6ca9bf.FPKM.txt.gz,0.28961880115299116,0.3342355732552802,0.374465478327503,0.0016801472642256146
37,96ddce60-2be5-4f57-814b-35722aa00fd9.FPKM.txt.gz,0.25099211556109635,0.14170655554911926,0.5973612602810827,0.009940068608701617
38,e8201ee9-2e0a-4a8e-bc99-6e2482da919d.FPKM.txt.gz,0.319345112121686,0.43941942200307144,0.23630540322538704,0.004930062649855632
39,bf247059-bf60-4e1f-a865-6e715e2db9a2.FPKM.txt.gz,0.40742408862557167,0.37206628942288644,0.21910796490824339,0.001401657043298356
40,e91a54c8-5b35-47e6-a65d-0e3b07b31d40.FPKM.txt.gz,0.07674199932841264,0.05446991449082835,0.867798329124105,0.0009897570566539267
41,7f2c3de9-a1b9-413a-821c-02dbcad4ea0b.FPKM.txt.gz,0.2897912150075322,0.2620539712130974,0.440350238552699,0.007804575226671315
42,d6bbcaba-61a7-4360-bc15-1426f8eafa82.FPKM.txt.gz,0.2637384272443218,0.42602041818118486,0.30736560933535945,0.0028755452391337807
43,ab1f0023-6b52-41b6-9867-87599e4d6d60.FPKM.txt.gz,0.6205067165596214,0.23703314564642675,0.14067011092895634,0.0017900268649955078
44,94dcaa51-315e-43d9-875c-4c4ae2e9bef3.FPKM.txt.gz,0.033561500442140284,0.69694079360078,0.05370186775421601,0.2157958382028638
45,6a818968-d75b-44b5-8b1e-53ff8274ea92.FPKM.txt.gz,0.3763718720140234,0.20720214644661036,0.4152312980871827,0.0011946834521834907
