Topic 1,Topic 2,Topic 3,Topic 4
ENSG00000211896,ENSG00000163220,ENSG00000153002,ENSG00000202198
ENSG00000211893,ENSG00000143556,ENSG00000170323,ENSG00000200087
ENSG00000211677,ENSG00000172551,ENSG00000100604,ENSG00000034510
ENSG00000211895,ENSG00000143546,ENSG00000173432,ENSG00000159763
ENSG00000211679,ENSG00000211896,ENSG00000166819,ENSG00000184009
ENSG00000211899,ENSG00000189058,ENSG00000167676,ENSG00000075624
ENSG00000034510,ENSG00000143632,ENSG00000211445,ENSG00000212232
ENSG00000211892,ENSG00000124107,ENSG00000123689,ENSG00000112306
ENSG00000189058,ENSG00000211677,ENSG00000196616,ENSG00000161634
ENSG00000186847,ENSG00000111341,ENSG00000244734,ENSG00000211895
ENSG00000178372,ENSG00000211893,ENSG00000170345,ENSG00000108298
ENSG00000211897,ENSG00000112306,ENSG00000167588,ENSG00000111341
ENSG00000111341,ENSG00000104879,ENSG00000175445,ENSG00000197956
ENSG00000090382,ENSG00000034510,ENSG00000143196,ENSG00000117984
ENSG00000075624,ENSG00000211679,ENSG00000075624,ENSG00000143320
ENSG00000143320,ENSG00000126709,ENSG00000138207,ENSG00000126709
ENSG00000164919,ENSG00000141736,ENSG00000187288,ENSG00000206503
ENSG00000120738,ENSG00000225972,ENSG00000034510,ENSG00000238741
ENSG00000160180,ENSG00000211899,ENSG00000197766,ENSG00000160862
ENSG00000163220,ENSG00000124102,ENSG00000135218,ENSG00000212443
ENSG00000011465,ENSG00000111245,ENSG00000120738,ENSG00000130303
