i_doc,doc,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12,Topic 13,Topic 14
0,87fcecde-b317-4518-bea1-cc8d14a18107.FPKM.txt.gz,0.04527323628154801,0.10115521227317008,0.10033673596899048,0.10038443807547867,0.000128485721593978,0.06991077522078107,0.04667247300221806,0.17098919967227524,0.008771650544078767,0.004387156882681703,0.26542054880823096,0.017141620365687497,0.05210211908794212,0.017326348095323452
1,bbf9a30d-3067-491b-9aea-0cb9bed91969.FPKM.txt.gz,0.0923524555668603,0.1057260214059221,0.12184058432957069,0.026774189633375516,0.0008489074365526928,0.10680371757985678,0.09453516316436479,0.06229523176949092,0.026304963063539126,0.01404279504981131,0.16502723283084647,0.04221681276088192,0.07848128629724231,0.0627506391116852
2,c909a75f-23e8-4c96-82f2-72e46fdb8155.FPKM.txt.gz,0.033005848033454036,0.04546605244608714,0.04160510940459035,0.015402240260539456,6.012966319360705e-05,0.05494610389940109,0.050868230397708825,0.021436403178172834,0.011419882033926155,0.3052498314374216,0.03260434785960776,0.2126372465256947,0.12359974531416858,0.051698829546033866
3,1c89ff2f-6e0a-4244-952b-1391dba1b815.FPKM.txt.gz,0.08807625123234436,0.05305491091544239,0.052466637799767964,0.009366179031196383,0.0001882779656229637,0.06419097999358943,0.08933436818525912,0.0192783744753606,0.06881375098083196,0.14066141837614987,0.04219353353331552,0.22282463942138625,0.0890464680901157,0.0605042099996175
4,2a6ae2e8-733f-4349-8eec-d25e2b4abf86.FPKM.txt.gz,0.11240233311904807,0.07799113842051218,0.10642081730096999,0.09194488682368007,0.0005943729257221877,0.08661714851909405,0.09456570767638228,0.049317541919959115,0.07039129071859125,0.01878360707858902,0.1088944827693498,0.05205983889805622,0.08618037322282447,0.043836460607221225
5,0a2c1866-d6e1-4add-bcb0-b297ba1394ac.FPKM.txt.gz,0.07822128630535925,0.10593003365526914,0.10273734081478887,0.04264777719723267,0.00030736300051029044,0.13734644091371465,0.12151770906077483,0.0666023509988956,0.03769261723391944,0.010072891006889751,0.14609107344247313,0.03059770427835505,0.08834346088483719,0.031891951206980115
6,cf1a1478-68c1-431b-86cb-c4ddb105accf.FPKM.txt.gz,0.12152110731833111,0.09490816708939744,0.11373205131584574,0.04914878939806844,0.000264462277780746,0.08980615299498643,0.09108496719273246,0.05871640547023887,0.09483702147930764,0.015264869209732993,0.11220820548017678,0.04197540958611237,0.06577538380139575,0.050757007385893234
7,eab58571-a6f1-4bc4-aa01-0df9c4beb79f.FPKM.txt.gz,0.11066673507594778,0.08828025914247634,0.10372868731811435,0.007812063072501011,0.00010251438230433252,0.10953335812259662,0.17377294831767442,0.03664566873195761,0.06958390578238208,0.02915939138688134,0.09142208217277648,0.05003035585863882,0.0894593415693513,0.03980268906639752
8,07ad35fc-1e35-43b3-a252-193323d5e680.FPKM.txt.gz,0.1184525714079206,0.05358725300365566,0.05265395389708212,0.01962621610901803,0.00010238732721912083,0.04564703707186978,0.06986688274474837,0.03944255377901966,0.05414447720000151,0.12460228482338953,0.04522621077125279,0.19421920408447726,0.06104412868679396,0.12138483909355167
9,700fa398-8999-430e-a52d-0e7a40a2d45b.FPKM.txt.gz,0.040234874136270485,0.04511048884921877,0.04566473245502014,0.0084950397795681,4.2557929757024e-05,0.04968384635307683,0.04352926257818643,0.025600732080556687,0.014261702440646529,0.37782510390242835,0.06447472130707821,0.22351288716242484,0.038743808594762556,0.022820242431004993
10,c56cda8a-0755-4715-9c46-5bc6280a5bf0.FPKM.txt.gz,0.1027463904621786,0.04287468758874358,0.049360701145193225,0.008537183464613962,0.00014836589817116696,0.04956468117607734,0.08705976359609911,0.014390678915091845,0.0725234834765689,0.25439848708365126,0.043649767893123186,0.17596768559925474,0.04443077221437624,0.05434735148685682
11,8970e6da-5904-483d-8770-0ede67f98cf4.FPKM.txt.gz,0.12227306515482694,0.06155603886633312,0.10401095536619352,0.04430606025220022,0.00016791617604564664,0.056167776168189874,0.07517977283872626,0.04801866227296632,0.2548193065946872,0.01971900281934109,0.09415213812766647,0.047144546648290465,0.04294413410937598,0.02954062460515696
12,74dfc8ec-405b-4ffa-a282-daac57bf4d01.FPKM.txt.gz,0.04595610836487734,0.12125023188677009,0.11256940635914096,0.012754179134603666,0.001490860226233772,0.10922897007499416,0.06593260868415458,0.2041824036776078,0.015767664899246962,0.026158153687207013,0.13461653081607072,0.021122127585551667,0.0913462955209766,0.037624459082564884
13,ec27c2ca-312a-4e06-bc8f-ca8cb085ab3e.FPKM.txt.gz,0.022460695462884844,0.02239366847233278,0.03200618923040862,0.022673569780318686,7.878538688802735e-05,0.02173215261324714,0.020356012782462792,0.7859992906782625,0.012068475591381921,0.0025268487721285164,0.02790591064078601,0.008086134228141749,0.01545700381698153,0.0062552625437746635
14,78e16228-2d9f-4e19-bbd2-b0bb85e8faa2.FPKM.txt.gz,0.11475516546888975,0.12316112975116819,0.12576515042849454,0.05075648340903799,0.0006220534735759811,0.09668275892639841,0.09244020162450996,0.07943403237305707,0.051865309793401815,0.008777321216013519,0.13301108963838743,0.028560124822942554,0.056143043568964074,0.03802613550515871
15,512b0f65-4ee9-4d01-b453-075499fe9d83.FPKM.txt.gz,0.17894470024433765,0.06308759888985231,0.07477448185274654,0.011670287648264914,7.004724583564804e-05,0.062421308291631124,0.10799815449245061,0.06370971568067162,0.19788465409972814,0.026458631298025885,0.05423611020700288,0.06458105390727262,0.0448632286500017,0.04930002749217845
16,6632e6de-5170-4096-a298-078b6bfd3760.FPKM.txt.gz,0.07477486532605207,0.0709461309979859,0.09929108536509494,0.009411797075606814,9.715372366677349e-05,0.08639857478111912,0.08855362590607417,0.06428894471588055,0.06450394911770391,0.0451449459447611,0.08468244035657886,0.10728459738311928,0.16416225066163656,0.04045963864472
17,b44cdb13-1812-4bf6-825e-edae5bc5376a.FPKM.txt.gz,0.049390121082607194,0.04103104772269385,0.039113574866365554,0.0033331427243721784,0.000294551005343601,0.06163721087864696,0.06842071457999549,0.0185598232348842,0.0229954839509307,0.1841412940187651,0.03365624461330131,0.3066418176223047,0.1336627413688691,0.03712223233092003
18,e54638eb-8b35-4cf1-af4e-3411dfbd1ba2.FPKM.txt.gz,0.025162310981053978,0.04049230037917502,0.04040570083474365,0.003048220520561872,3.113199715857611e-05,0.04213198943080568,0.03832154151847011,0.023846623976285702,0.06159768147363409,0.12803288343450134,0.014694158959910428,0.4157875221228821,0.13428233701895295,0.032165597351864576
19,c8c58445-3c7f-4c98-85b0-6a707c3d8473.FPKM.txt.gz,0.08625974287436762,0.08576785213391377,0.09967653059083811,0.017608032851086832,0.00016206782195615012,0.08844483052527977,0.11346429186061932,0.0578574554544812,0.17035866261710667,0.01740214645364333,0.08805847980881765,0.052597294644169436,0.08309210950556929,0.03925050285815092
20,c3ed7c7a-b80a-4de2-8dfb-b60bcf336375.FPKM.txt.gz,0.11218450267404563,0.0508835668013992,0.07021711414124247,0.06891362445595742,0.0002266132517275036,0.060989524280644795,0.07178221366299443,0.023465091532678395,0.25948358035155317,0.030839862517558624,0.058432437577869784,0.043016244243244905,0.051496521651191354,0.0980691028578923
