Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12,Topic 13,Topic 14
ENSG00000034510,ENSG00000143632,ENSG00000143320,ENSG00000159763,ENSG00000202198,ENSG00000108298,ENSG00000100985,ENSG00000153002,ENSG00000170323,ENSG00000163220,ENSG00000163631,ENSG00000211896,ENSG00000187608,ENSG00000172551
ENSG00000120738,ENSG00000104879,ENSG00000111341,ENSG00000161634,ENSG00000200087,ENSG00000115461,ENSG00000211895,ENSG00000160180,ENSG00000173432,ENSG00000143556,ENSG00000115461,ENSG00000211677,ENSG00000126709,ENSG00000189058
ENSG00000011465,ENSG00000111245,ENSG00000141424,ENSG00000089199,ENSG00000212232,ENSG00000141741,ENSG00000129437,ENSG00000164919,ENSG00000167676,ENSG00000143546,ENSG00000111341,ENSG00000211893,ENSG00000169245,ENSG00000124107
ENSG00000132465,ENSG00000198125,ENSG00000105894,ENSG00000160862,ENSG00000238741,ENSG00000131748,ENSG00000142173,ENSG00000100604,ENSG00000166819,ENSG00000211896,ENSG00000141424,ENSG00000211899,ENSG00000178372,ENSG00000204936
ENSG00000118523,ENSG00000168530,ENSG00000166825,ENSG00000075624,ENSG00000212443,ENSG00000160180,ENSG00000143632,ENSG00000135346,ENSG00000211445,ENSG00000124102,ENSG00000135052,ENSG00000211897,ENSG00000145824,ENSG00000163220
ENSG00000105894,ENSG00000101470,ENSG00000112306,ENSG00000184009,ENSG00000251791,ENSG00000108344,ENSG00000130635,ENSG00000101210,ENSG00000123689,ENSG00000205420,ENSG00000171428,ENSG00000034510,ENSG00000211895,ENSG00000179593
ENSG00000157404,ENSG00000125414,ENSG00000003989,ENSG00000172551,ENSG00000252481,ENSG00000160862,ENSG00000106333,ENSG00000117472,ENSG00000175445,ENSG00000186832,ENSG00000184009,ENSG00000172724,ENSG00000034510,ENSG00000155368
ENSG00000128016,ENSG00000092054,ENSG00000206503,ENSG00000100604,ENSG00000112306,ENSG00000125686,ENSG00000111341,ENSG00000142875,ENSG00000196616,ENSG00000211677,ENSG00000153714,ENSG00000211679,ENSG00000157601,ENSG00000178372
ENSG00000111341,ENSG00000114854,ENSG00000115461,ENSG00000268751,ENSG00000034510,ENSG00000109062,ENSG00000175899,ENSG00000187837,ENSG00000167588,ENSG00000211893,ENSG00000138449,ENSG00000167768,ENSG00000135480,ENSG00000034510
ENSG00000170345,ENSG00000180209,ENSG00000128016,ENSG00000034510,ENSG00000259001,ENSG00000143320,ENSG00000162576,ENSG00000141424,ENSG00000170345,ENSG00000118849,ENSG00000185499,ENSG00000196754,ENSG00000164919,ENSG00000096088
ENSG00000211677,ENSG00000173991,ENSG00000181788,ENSG00000114200,ENSG00000075624,ENSG00000141424,ENSG00000115461,ENSG00000109436,ENSG00000244734,ENSG00000148346,ENSG00000013588,ENSG00000206503,ENSG00000165949,ENSG00000211896
ENSG00000133392,ENSG00000077522,ENSG00000159388,ENSG00000130203,ENSG00000184009,ENSG00000104332,ENSG00000090382,ENSG00000108176,ENSG00000143196,ENSG00000211899,ENSG00000104447,ENSG00000198502,ENSG00000168394,ENSG00000169919
ENSG00000165949,ENSG00000170290,ENSG00000109062,ENSG00000142173,ENSG00000108298,ENSG00000169710,ENSG00000120738,ENSG00000105290,ENSG00000120738,ENSG00000102837,ENSG00000162078,ENSG00000159189,ENSG00000169908,ENSG00000143546
ENSG00000115415,ENSG00000141424,ENSG00000187608,ENSG00000142156,ENSG00000208772,ENSG00000211890,ENSG00000102837,ENSG00000104381,ENSG00000138207,ENSG00000211897,ENSG00000233622,ENSG00000100985,ENSG00000167768,ENSG00000211890
ENSG00000110492,ENSG00000130598,ENSG00000149257,ENSG00000197956,ENSG00000111341,ENSG00000211677,ENSG00000132465,ENSG00000214530,ENSG00000187288,ENSG00000124107,ENSG00000116133,ENSG00000178372,ENSG00000160180,ENSG00000211895
ENSG00000125740,ENSG00000175084,ENSG00000013583,ENSG00000189058,ENSG00000117984,ENSG00000128016,ENSG00000143320,ENSG00000197457,ENSG00000197766,ENSG00000182853,ENSG00000159212,ENSG00000130203,ENSG00000119917,ENSG00000075624
ENSG00000178695,ENSG00000196091,ENSG00000183779,ENSG00000149273,ENSG00000269900,ENSG00000185885,ENSG00000160862,ENSG00000143369,ENSG00000105974,ENSG00000169469,ENSG00000143753,ENSG00000268751,ENSG00000137959,ENSG00000162882
ENSG00000159388,ENSG00000196296,ENSG00000110092,ENSG00000187097,ENSG00000211895,ENSG00000187608,ENSG00000171223,ENSG00000104267,ENSG00000135218,ENSG00000160213,ENSG00000148154,ENSG00000133048,ENSG00000130203,ENSG00000132465
ENSG00000179388,ENSG00000211895,ENSG00000142156,ENSG00000112306,ENSG00000197956,ENSG00000143536,ENSG00000109062,ENSG00000164125,ENSG00000131471,ENSG00000188505,ENSG00000196396,ENSG00000167656,ENSG00000176046,ENSG00000126709
ENSG00000186847,ENSG00000239474,ENSG00000112562,ENSG00000179593,ENSG00000168298,ENSG00000130303,ENSG00000118785,ENSG00000150687,ENSG00000148180,ENSG00000197956,ENSG00000134352,ENSG00000118849,ENSG00000111335,ENSG00000100031
ENSG00000112936,ENSG00000105048,ENSG00000168743,ENSG00000206503,ENSG00000263740,ENSG00000110092,ENSG00000142552,ENSG00000137331,ENSG00000004776,ENSG00000131771,ENSG00000106688,ENSG00000173369,ENSG00000133048,ENSG00000171557
