i_doc,doc,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12,Topic 13,Topic 14,Topic 15,Topic 16,Topic 17,Topic 18,Topic 19,Topic 20,Topic 21,Topic 22,Topic 23,Topic 24,Topic 25,Topic 26
0,87fcecde-b317-4518-bea1-cc8d14a18107.FPKM.txt.gz,0.022467368346736225,0.04510136170549052,0.0028746938414092008,0.026808370284664665,9.875059172965826e-05,0.04409200985373567,0.014783229310488269,0.04237216234970301,0.045891832119680995,0.0018157162127308652,0.06320212303484561,0.00864719442845344,0.025104986910621706,0.006806644736587339,0.11733892448977767,0.018047830774508944,0.03547872598868395,0.086703555587346,0.01683499718993434,0.15116055069523923,0.026137798377665687,0.04620165928926865,0.03825690060041476,0.07610377757528801,0.0030618281543259773,0.03460700755066954
1,bbf9a30d-3067-491b-9aea-0cb9bed91969.FPKM.txt.gz,0.04576895792245643,0.04916881230200158,0.010570237766044903,0.04541445466912143,0.0007231153534711756,0.05109008213117645,0.03502075044947564,0.04207285242858884,0.05608478868563346,0.0049155520565626115,0.0750600425994284,0.025687502192137113,0.03890951996502631,0.021013385428394867,0.04179954458263787,0.03499765822762229,0.05655541646713305,0.06187308182186279,0.035264314614792826,0.027706083445856962,0.035481729737201456,0.02103798376933493,0.055388366401246635,0.06726341151999313,0.008533336968659683,0.05259901849413928
2,c909a75f-23e8-4c96-82f2-72e46fdb8155.FPKM.txt.gz,0.02155916770044769,0.016601200896243524,0.00487565151353596,0.07148740806510298,3.606171888869164e-05,0.022436526740567724,0.026178996975861842,0.02862888616714367,0.011460429313500031,0.1328178074736002,0.019734758497623295,0.05686953228498951,0.048377790795287264,0.06837099909113183,0.011443322966916114,0.075266585594527,0.024577963762525346,0.018540367780468307,0.03021450763920342,0.004362225871897801,0.015576493391590335,0.009445502889617078,0.026456083478660162,0.02143497093983271,0.20675096650745806,0.026495791943379483
3,1c89ff2f-6e0a-4244-952b-1391dba1b815.FPKM.txt.gz,0.042320827761483625,0.02721952858819108,0.038631374191884886,0.0583521981462814,0.00011938603102771654,0.022869761767605537,0.05490679858192287,0.024435075873399128,0.01858536065946812,0.018903572387858503,0.023174490884085353,0.08348044335030867,0.04194701731540913,0.07909177518920572,0.0271797357538884,0.0529983027924032,0.03058846901010305,0.022818227974116458,0.04734649385769181,0.005437743393967491,0.024711199402527115,0.00421635745158353,0.028960638588163598,0.01969253124273076,0.16473576826672987,0.037276921537963054
4,2a6ae2e8-733f-4349-8eec-d25e2b4abf86.FPKM.txt.gz,0.052933108080520756,0.042593039061804235,0.0367088961088237,0.036322331003668835,0.0005287218283330081,0.03636346991881364,0.03952257254676301,0.03591114950525246,0.051443803140727676,0.006662898380804661,0.052175068178924415,0.03341151284147033,0.040012633989833186,0.030830824408683944,0.05049935534459985,0.03572066202298052,0.05642640242726405,0.04550322509858183,0.044226960076790264,0.022156408135140093,0.04052088135907761,0.05087825071139874,0.04466299162258065,0.05229828112369918,0.01069560661706852,0.05099094646639488
5,0a2c1866-d6e1-4add-bcb0-b297ba1394ac.FPKM.txt.gz,0.04133466856853675,0.04246264487072449,0.01386229233167467,0.03390417131677047,0.00022932427615547852,0.05600540240767746,0.045967980285213025,0.049128913153532114,0.09793694199850973,0.0062229863365071796,0.06143584198305298,0.01457897680411965,0.038712150381048034,0.02245390642774109,0.028771264854170392,0.03969793416934606,0.06223894429538687,0.05502750821739458,0.04513114129515781,0.02370359155083869,0.03422220190785055,0.01922874018935454,0.05567500597989001,0.06394615778971945,0.0019068762268695735,0.04621443238275823
6,cf1a1478-68c1-431b-86cb-c4ddb105accf.FPKM.txt.gz,0.053166960871964056,0.054763384308346236,0.05388748010332164,0.03332246896144787,0.00020385567396860504,0.041092610962435265,0.03802502882154426,0.039255647414792844,0.06723625450808435,0.007299535575202305,0.05250460939821737,0.02876211969208064,0.03287233636500357,0.028351607801020206,0.049781233785368376,0.02689517575374782,0.045580748585265306,0.05469927592208003,0.040839166368927204,0.024237304322634216,0.041339198872119384,0.030357438473820622,0.04339905783094027,0.055627504721198685,0.00801088020950697,0.0484891146969618
7,eab58571-a6f1-4bc4-aa01-0df9c4beb79f.FPKM.txt.gz,0.057043990835199426,0.039364981751103555,0.03346010994102904,0.03510775257560277,6.656175444568092e-05,0.04095962364385247,0.08600510002703936,0.04366008746891473,0.05271851646299589,0.02526052526686819,0.046779169944393045,0.02254910653479718,0.04504053628624107,0.03540387378131948,0.029368634199958332,0.04239856958895987,0.04841554177606223,0.04636358653680263,0.06156331840165748,0.010171419142985635,0.037654699374526694,0.0013270853287691,0.05844875730160821,0.047035351151004316,0.0036077745561252485,0.05022532636773833
8,07ad35fc-1e35-43b3-a252-193323d5e680.FPKM.txt.gz,0.0332341974175617,0.04754229430225046,0.026774088459837652,0.03213348902285174,7.384233518886156e-05,0.021794439883979166,0.038849654035901605,0.027912368691154075,0.0316586740151955,0.008115428770065602,0.02627828852032629,0.13330419699027507,0.03869203114860688,0.04621492006501175,0.03641435854459278,0.022444694777536557,0.02255522812671807,0.02656210749763749,0.03476978769308839,0.01494979435751935,0.02092168371949492,0.036965329089667834,0.024893080176509274,0.028415003636566835,0.19086877278221376,0.027662245940248405
9,700fa398-8999-430e-a52d-0e7a40a2d45b.FPKM.txt.gz,0.01871020267922725,0.018531480946084804,0.005798219041614645,0.01845297727112003,3.082804667248959e-05,0.02210934122220212,0.018867100752234234,0.020575637334405303,0.02612693722275415,0.07684442429975953,0.02992291046508688,0.21348149567811647,0.020722197225489295,0.017984548030202403,0.018542800263238256,0.020555022067509005,0.026545397722857005,0.022162002934888292,0.021325539638080624,0.009566254749308075,0.015951717682582033,0.0019257540725718162,0.02497561571060259,0.025333694531513743,0.2797328046055948,0.025225095806284077
