i_doc,doc,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12,Topic 13,Topic 14,Topic 15,Topic 16,Topic 17,Topic 18,Topic 19,Topic 20,Topic 21,Topic 22,Topic 23,Topic 24,Topic 25,Topic 26,Topic 27,Topic 28,Topic 29
0,87fcecde-b317-4518-bea1-cc8d14a18107.FPKM.txt.gz,0.011078821043279393,0.03447188796958712,0.002995695564341147,0.013680514445230595,9.412275100030378e-05,0.019407412661680487,0.01574781012433245,0.054148095553829004,0.009940527846420896,0.0019670566856960334,0.09297821777026265,0.026634340512098006,0.029151870996254107,0.014733989422741308,0.013301553007570004,0.01994339896157025,0.03143639907118795,0.08350059192832486,0.02673503468742285,0.17652352880434913,0.03657283952803479,0.07867008758064072,0.02222119699145505,0.05831850055741875,0.014218764117439192,0.09710506100602972,0.006935589665682381,0.004954328931549647,0.002532761814571145
1,bbf9a30d-3067-491b-9aea-0cb9bed91969.FPKM.txt.gz,0.029217211400771707,0.04596010056220149,0.009112522442711197,0.02993964238125746,0.0007063990613688206,0.03327044390701684,0.027817619210713178,0.044250839793787924,0.023235170330745923,0.005278876613505048,0.08139489479531746,0.04715003494075891,0.032810907337680925,0.0320209640902114,0.03814022800828986,0.03532359265554844,0.0489676502111391,0.06495242541985526,0.043964274807945805,0.02379485765675783,0.044568800346434824,0.05586706199507454,0.03985992756483315,0.008478526466165266,0.029447302949217578,0.08407354127304131,0.020810570062163847,0.011801246846733606,0.007784366868751347
2,c909a75f-23e8-4c96-82f2-72e46fdb8155.FPKM.txt.gz,0.014798214387512202,0.02132349962924179,0.004507223767083095,0.050203048375051774,3.5196537558114036e-05,0.023702563301412204,0.015082893675478621,0.021697574886649647,0.005286906656484433,0.05945059114933182,0.013944654468858562,0.03361261914931028,0.0484895264352147,0.04059199410268454,0.005580079160347663,0.05759323189429925,0.022890786581358503,0.013846143277500098,0.02348044854616084,0.003857817984272156,0.011802767693981487,0.010570046659282531,0.024255449332398895,0.009480488974007864,0.05243960430044789,0.013563522289400675,0.03276821142058462,0.17812296665256938,0.1870219287115164
3,1c89ff2f-6e0a-4244-952b-1391dba1b815.FPKM.txt.gz,0.046387384415911226,0.02851360287930422,0.02861815306173832,0.06897260292726905,0.00011085951620098368,0.030321794385209915,0.024452557640718135,0.018263722683485143,0.031249989772100847,0.015693579964636446,0.01613253675733447,0.036187616082189025,0.033862092621552854,0.04320590027497237,0.014146224976980431,0.043006689486235296,0.02814394910465616,0.019065085939030668,0.03111619051985762,0.005158346554070263,0.027119290502341565,0.018032336769387564,0.03308465428997473,0.0031176275007030914,0.05161668881014768,0.01741817300712449,0.06453702719166321,0.058045878414325174,0.164419443950879
4,2a6ae2e8-733f-4349-8eec-d25e2b4abf86.FPKM.txt.gz,0.043712454639210294,0.03748843605725003,0.028601475533148745,0.03405825856330145,0.0005066472427316668,0.03351814142720796,0.030331609403183447,0.03265383152754518,0.04315663940697826,0.0062169042373611165,0.04625513488550876,0.04209540269081127,0.03449581338613986,0.03375768727723453,0.021447803006010062,0.03355226462697682,0.04768226787955092,0.04375784793961133,0.04175050092520104,0.019916579939063893,0.052216964258509156,0.05401963669525351,0.038803107956769035,0.05629822253905605,0.033444672330664144,0.049444570657869086,0.03358768155329784,0.017710668501604368,0.009518774912949949
5,0a2c1866-d6e1-4add-bcb0-b297ba1394ac.FPKM.txt.gz,0.02157122492684844,0.04509052161116311,0.012677106424992896,0.023183083620696758,0.00022307832787517025,0.04801952804538111,0.033408166682540395,0.04996292904599403,0.033521211154163906,0.006385168647424215,0.06625599663967716,0.04912489173321498,0.034302961666398825,0.0348029144882689,0.01127779730863624,0.039528724088101555,0.0669471744719594,0.05768409872423972,0.05466158833423906,0.02291752366210635,0.04235825725281339,0.04924510540958403,0.04216270311639864,0.02447344925354892,0.028480593853953403,0.06094967552054715,0.0246451677649571,0.014970009647114948,0.00116934857716033
6,cf1a1478-68c1-431b-86cb-c4ddb105accf.FPKM.txt.gz,0.04989996146274432,0.043436357650745744,0.037462732971979176,0.03044652132889837,0.0001897972812004616,0.03357510243825022,0.030881746244312606,0.04081643371523634,0.06268127802451444,0.0065885616049401055,0.052754257909009936,0.03857583768550341,0.027964529530804715,0.03091136149620367,0.028376939720047234,0.026720891507369563,0.04146594558550522,0.05317211089746227,0.037580246988291405,0.021550105163069277,0.05183251843551846,0.05695574343051457,0.03826865948097049,0.026097099820173504,0.028847773922170365,0.05254021005396764,0.029791063641850326,0.013952107556264977,0.006664104452481409
7,eab58571-a6f1-4bc4-aa01-0df9c4beb79f.FPKM.txt.gz,0.032990372096477094,0.04136342516933294,0.028246009183017794,0.033175428653216744,6.162277825441867e-05,0.04481616434204864,0.036176164631348325,0.03842856346173578,0.043772547676009625,0.023856145403406213,0.038030025398369145,0.060553757915317266,0.03464021869263499,0.04502756667565017,0.01039835609021243,0.04053229107903045,0.04778546455296634,0.045953586036561224,0.05340654284312114,0.009114119542625648,0.04709591299798386,0.03370941596913458,0.05517629438005425,0.0015846165377571594,0.03506516153871505,0.04029743118087877,0.04093516725788575,0.035443696455771355,0.0023639314604831114
8,07ad35fc-1e35-43b3-a252-193323d5e680.FPKM.txt.gz,0.0911799080143867,0.03474981527751499,0.016390112299379304,0.06469535575691726,6.7460631835567e-05,0.018786745952817277,0.020204684074282723,0.026311244171228335,0.043589210668991595,0.00668626917125272,0.02137920681043073,0.029281188435051245,0.03220602229867445,0.03456101781277489,0.05600764506631962,0.02310968843818774,0.02067784589050224,0.023724296511388514,0.026509189105533813,0.014364281832061794,0.02353514738660725,0.028205413544408676,0.02479528795673908,0.00559831349763507,0.04033562399814751,0.020207753754553002,0.02521891498759268,0.027888213898235932,0.1997341427565493
9,700fa398-8999-430e-a52d-0e7a40a2d45b.FPKM.txt.gz,0.015562942287883033,0.023200970445133706,0.005993855864682484,0.02638092327863288,3.199077434566037e-05,0.018809157660580056,0.014141211251683123,0.021689709612412223,0.011017852710559576,0.06590633576147978,0.033072451917596064,0.027795210535243867,0.01957776033400368,0.018926114484233855,0.0083257252482288,0.02150256337939655,0.029151357179620065,0.025380644999757493,0.027530024044430272,0.009587443136119506,0.021262483576052323,0.02198560346704056,0.021442849257706547,0.0021198511928953263,0.01971755233239458,0.029341996937293294,0.01290088888287245,0.06868262327564677,0.3789619061720756
