i_doc,doc,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12,Topic 13,Topic 14,Topic 15,Topic 16,Topic 17,Topic 18,Topic 19,Topic 20,Topic 21,Topic 22,Topic 23,Topic 24,Topic 25,Topic 26,Topic 27,Topic 28,Topic 29,Topic 30,Topic 31,Topic 32,Topic 33,Topic 34,Topic 35,Topic 36,Topic 37,Topic 38
0,87fcecde-b317-4518-bea1-cc8d14a18107.FPKM.txt.gz,0.020301385126068584,0.02354612534949202,0.002100253938750506,0.04485168578896082,4.5403524467856824e-05,0.025316147011731162,0.006925481028927076,0.0430183689371932,0.015113211256194014,0.0011971410629319195,0.07345152397264353,0.004995151371928022,0.013984502617530087,0.012004157178951019,0.022607460401217104,0.01333464439165885,0.029981408453492463,0.0458867241451806,0.021683493602035253,0.14918353212302235,0.022280755413079074,0.07107689562697721,0.018730908341042952,0.07464343510835954,0.002086986023967995,0.030996615737117705,0.005442681064479006,0.01927124279141419,0.0035943202358733584,0.018252883339247048,0.0001267008171396065,0.03376377779487063,0.008394202050652787,0.002899090865371079,0.02240866865046508,0.030636860391966173,0.03972444070145817,0.02614173376414219
1,bbf9a30d-3067-491b-9aea-0cb9bed91969.FPKM.txt.gz,0.0342946496874704,0.03012948237075733,0.006299084839258958,0.004435122460285284,0.0002151629323641434,0.036816471593801615,0.01385983677976262,0.03339593275910179,0.025168384063198015,0.0029446351767913903,0.06428453528113709,0.01794751461946497,0.021014295429850845,0.02453315830003315,0.02811936539845519,0.02449276905369975,0.03742271716043945,0.0410798083852198,0.03078471568170592,0.013520426362777666,0.031252263523266904,0.04468392411619826,0.03094176362524002,0.048442433828157445,0.006217346926319054,0.04500858742459146,0.015923570369703828,0.02139339065712909,0.026512608179596903,0.029572604403288908,0.0006701694380102994,0.03690088093380558,0.02528683056798537,0.012510877654541744,0.02765493786134701,0.03714715595266766,0.03809420169883736,0.03102838450373788
2,c909a75f-23e8-4c96-82f2-72e46fdb8155.FPKM.txt.gz,0.012295020210071,0.021767302364178478,0.0032788220087204578,0.00894230794272233,2.7869719328849348e-05,0.014113237260819417,0.01140172435994166,0.017516099395077575,0.006304653852935263,0.09493011241511626,0.00918386472134378,0.06838075635236995,0.05579339345218241,0.03765444808078592,0.01318629550166749,0.050145605483460566,0.017160480035337097,0.012232940413108214,0.021304332659784358,0.0022937133069186435,0.014042361909886553,0.006049722408110247,0.014088746987344433,0.01085383982715028,0.20113164483007517,0.011430231632872115,0.045635655242377726,0.04926123909775062,0.004400168271752348,0.015401186589265783,4.407849565163678e-05,0.008596946762890847,0.05027055148118321,0.00666799084148408,0.015793933150089777,0.019185204684907666,0.019375367252498624,0.02985815099883917
3,1c89ff2f-6e0a-4244-952b-1391dba1b815.FPKM.txt.gz,0.025437813795904245,0.024287879439082234,0.02217369329719857,0.002290634015629548,5.912711476247941e-05,0.020126787050311765,0.02001050400360475,0.01472419929404988,0.017379662533717092,0.011516093574610968,0.011630566491301014,0.07456352844868297,0.037686762798584836,0.033103231323194,0.02387378185787913,0.03561185832600581,0.02333587508926564,0.01741840760935132,0.02362129453920272,0.003042346757463258,0.022923678777381138,0.011324345692787957,0.02359680870059466,0.010734869400769183,0.15791970234760463,0.019664330119380895,0.04823072937533858,0.026355614456997495,0.00879014847370962,0.02592860432229699,0.00014138525510449236,0.01730874275123041,0.059501054425337416,0.045492655404123866,0.018101853436135445,0.024193543257757622,0.017392076058436387,0.020505810385210987
4,2a6ae2e8-733f-4349-8eec-d25e2b4abf86.FPKM.txt.gz,0.036511022355130575,0.02739537436935498,0.021842562474556054,0.04540817278891024,0.00018737323536177218,0.029565876345036143,0.018957421861255173,0.023816925652837953,0.03359283189294904,0.004221017964924372,0.039735353209144716,0.023161583813678513,0.02390395017233437,0.025749533093580374,0.03421488421700531,0.02491790941137763,0.0347760074348928,0.03185320540409208,0.028856124672342807,0.011382537338617552,0.03510313659709617,0.046874913427632975,0.03343091592469443,0.03520930914772398,0.008165882735673945,0.03860415607064186,0.022386980006827095,0.020340889285683672,0.006989148042570218,0.03227248277204133,0.0004382345539252286,0.0385316910433751,0.025596257843354838,0.03148988870195761,0.022659455284657404,0.026946177847351236,0.0291222984102778,0.025788514597132498
5,0a2c1866-d6e1-4add-bcb0-b297ba1394ac.FPKM.txt.gz,0.030653224817687404,0.030791276615911127,0.009159156890009604,0.01829802491723577,8.93893316213458e-05,0.04284944383346674,0.01635596695709605,0.03508888793163211,0.06407766181216411,0.00413602168531675,0.05202593086289904,0.0109687744083479,0.021917836200449427,0.027950428410175157,0.024148586974436233,0.029949933863140106,0.03887562496892694,0.03595773451966589,0.0359461075887962,0.012097883962029547,0.030926606570046387,0.031312486081768405,0.03147138500505569,0.048262997809126955,0.0008381721155424781,0.037213844754116945,0.020265327403918804,0.026656191364833434,0.003186145913945008,0.029268914787942798,0.0002268083741517907,0.03351963629105076,0.025242419106675833,0.005684128163158681,0.03157019591971533,0.03266716017615527,0.03601084821895221,0.034338835392835984
6,cf1a1478-68c1-431b-86cb-c4ddb105accf.FPKM.txt.gz,0.0397489231417986,0.029792521380129822,0.03044718665191504,0.019711559540221857,7.997388556836974e-05,0.03250078848633125,0.020678574489467725,0.030232588505972765,0.04438898152746224,0.004945564528793191,0.03830205862044429,0.017274171302014037,0.01802475048265782,0.02271514861621427,0.03175117043116173,0.019341415416392616,0.030117042578048606,0.03590133898436159,0.027254014582850296,0.012123739121225333,0.035085957527677805,0.03991772986829367,0.034413687618955836,0.04135246919836061,0.005541545170802237,0.0369737512499403,0.017044121854924967,0.018715190520617066,0.015397980124965006,0.03296963191443192,0.00021104232548033224,0.041830552879657285,0.02247023768019889,0.04368951881073062,0.025826306145772224,0.030598616543113247,0.03129848327308741,0.021331665019959055
7,eab58571-a6f1-4bc4-aa01-0df9c4beb79f.FPKM.txt.gz,0.03933201279163015,0.03308991992411576,0.022225259734840224,0.0006751848047784442,4.012473214172273e-05,0.03682408830103336,0.021259833036024023,0.027855941136978705,0.04118381520899558,0.020230890935129312,0.026845876165908104,0.019736913698943166,0.030734789720997677,0.03578485628078584,0.025432615388417963,0.03341205672492898,0.03544952219936009,0.035048822351385026,0.037226748945661005,0.004949266900901624,0.035953427623846915,0.017750948639609996,0.04205892862648273,0.024695465726446018,0.001866134156789212,0.036912982399914064,0.028446943526102962,0.03616952547962349,0.003598071880036608,0.0355306010981687,9.110889807038215e-05,0.03404492850664814,0.03961836182449932,0.011472336810511595,0.03186835126402955,0.03343951580990483,0.029196493870791516,0.029947334875567284
8,07ad35fc-1e35-43b3-a252-193323d5e680.FPKM.txt.gz,0.025546311923459113,0.02508484518043001,0.010707720801307562,0.0027933441598724457,3.974234859146662e-05,0.018014006074216594,0.013487541251263979,0.019106112999584934,0.022551976892930373,0.004218636352251007,0.01674411864054095,0.073132188446987,0.027378969225391268,0.021681374699056625,0.022835037806583785,0.016204440122408844,0.015629240351753816,0.018651690945956572,0.01986982877433193,0.009399296764085411,0.018308499439747494,0.02393346862537629,0.01991103385572496,0.02047817541882073,0.1802115594554907,0.017157075553848652,0.015443791425818542,0.018342349952584307,0.0525325489855853,0.019636618791229393,8.768105661888536e-05,0.019432294306337035,0.022957816667092117,0.10910146100811824,0.017382115930189034,0.02424318812958883,0.019387408616885014,0.018376489019940694
9,700fa398-8999-430e-a52d-0e7a40a2d45b.FPKM.txt.gz,0.014803964113202261,0.015393575841375165,0.004121663547976915,0.0009980746495341364,2.6155165270290088e-05,0.017258529358989565,0.007117379964843438,0.015705951261611648,0.015487936041726377,0.06315197832002062,0.02497963755688207,0.1428743279479468,0.013350496777781034,0.014172227152270877,0.015490786207705517,0.014719902169787876,0.019333739919784865,0.0175845553009765,0.017507364253862255,0.005385945808879602,0.015756029668972795,0.015427569674913287,0.014768848105051241,0.018865395577226125,0.3184953714202045,0.01875856406883676,0.01008341159696537,0.015625068163802523,0.004280778488924449,0.015529856334033964,4.065734971674294e-05,0.013509218930938057,0.021849795117390908,0.006087013992978988,0.014503878938013595,0.022104596845413004,0.017267933974854117,0.017581820391335795
