i_doc,doc,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12,Topic 13,Topic 14,Topic 15,Topic 16,Topic 17,Topic 18,Topic 19,Topic 20,Topic 21,Topic 22,Topic 23,Topic 24,Topic 25,Topic 26,Topic 27,Topic 28,Topic 29,Topic 30,Topic 31,Topic 32,Topic 33,Topic 34,Topic 35,Topic 36,Topic 37,Topic 38,Topic 39,Topic 40,Topic 41,Topic 42,Topic 43,Topic 44,Topic 45,Topic 46,Topic 47,Topic 48,Topic 49,Topic 50
0,87fcecde-b317-4518-bea1-cc8d14a18107.FPKM.txt.gz,0.013127821110433154,0.016526309083238874,0.00418495566503176,0.01577232551254723,3.4757079995677094e-05,0.015575286243535554,0.004546709787764193,0.022791492444099736,0.011140237230629483,0.0006552675656198251,0.03362068547943245,0.004748898976948237,0.01388705092683467,0.007985748429559885,0.027674873749475377,0.015227059727250275,0.016565056612511717,0.011269157983406513,0.017784193554455298,0.07318511258488979,0.015504173355071007,0.023464985255810773,0.023548912672611604,0.062956255113253,0.010887000909127972,0.07343331392060647,0.00284359654102151,0.03314208880693549,0.001559377135568062,0.023467298201761154,0.00017098728195169338,0.0752422536202587,0.009980665606518158,0.009562447294087053,0.012009791906849048,0.026392636029035747,0.038906061336209906,0.017770922779273602,0.009618844676988843,5.462216127915159e-05,0.002472125296619066,0.02157417001140473,0.016669640866062683,0.047432126879022776,0.009585799611497832,0.03062928273219044,0.06051645848857459,0.0014570886923291003,0.0011266086753556439,0.011717464395064646
1,bbf9a30d-3067-491b-9aea-0cb9bed91969.FPKM.txt.gz,0.024324189833701364,0.02477310192426733,0.010304636925497206,0.026276750614333006,9.03169059739306e-05,0.0238719942818008,0.013436162908587857,0.022814723512360344,0.02004591352153678,0.001881749227307501,0.03855956516405116,0.011487088728140166,0.016538876997589755,0.017878596799886345,0.028183698778452077,0.021909095888892352,0.028343460771253114,0.012399214867583885,0.02351974872175766,0.009035212861339051,0.022964414588447907,0.013164850841753804,0.029848439892454746,0.040501783338588955,0.018450799598396836,0.03930481760342843,0.008777958913948981,0.02245924903505373,0.003413245438335322,0.0308203413845655,0.0007660139874080341,0.021121359041480135,0.021254236362521682,0.02090716888702684,0.01725929680244257,0.029451138316263954,0.03119592414146688,0.022930886375905336,0.020854895780141186,0.00021081219874856662,0.011425649074932475,0.025274685494801257,0.02438409223718639,0.023241385689715288,0.022787664917628722,0.028729197930082544,0.03634805654750479,0.00850617767834367,0.004415541285699875,0.023555817381413643
2,c909a75f-23e8-4c96-82f2-72e46fdb8155.FPKM.txt.gz,0.0163419452300063,0.012093293322735213,0.004324047238664783,0.039915468268433694,2.3014730117560852e-05,0.016511642999032964,0.00979228471065339,0.016364719374801023,0.004589570508478006,0.08261461739687012,0.00998726259243842,0.05150873066501276,0.031139270341994936,0.03176699268236908,0.007777988524323185,0.03036630396197358,0.013027708639353252,0.004737032715966707,0.014364875121197641,0.0012685706338988164,0.008306249678937018,0.008512371398764085,0.009957839723947011,0.006439500022964261,0.029599457106033306,0.008278715030469709,0.05125888886110634,0.019520183422102995,0.16820231331230723,0.00982726041858539,5.317050539400819e-05,0.0024225657421099683,0.025849881978435036,0.014496819064075062,0.012546337341084776,0.015168238228070173,0.010120107319028637,0.02215079284226582,0.02480836781268361,2.57780667004673e-05,0.00549289642457692,0.014311077383281315,0.012901194768343366,0.015825963970624312,0.009930137734094256,0.011417348532701101,0.008695820784314988,0.056226634644807975,0.0024469052641413348,0.016691842959728
3,1c89ff2f-6e0a-4244-952b-1391dba1b815.FPKM.txt.gz,0.02120370319063935,0.01785581153528252,0.020976059871451326,0.03379886941462901,3.6323665964661595e-05,0.015343492759722207,0.029887194772899278,0.01294210842541969,0.012546695297036847,0.006397934138713738,0.012338069562133373,0.05746306415682457,0.020601869160328676,0.02617964438375991,0.013637804651285048,0.01978102889270311,0.01670334872714484,0.008215303808881552,0.01564635535825861,0.0018261285545977594,0.01708900774472799,0.0019088871198145723,0.013721966695839733,0.006924649850943621,0.026418589439675268,0.012028187855259753,0.04478641917950791,0.011147004657486543,0.11139271475077109,0.01432919818214411,0.00017625329983236789,0.0053772324356785115,0.028279384095795952,0.026371192108366116,0.015210040916246004,0.015752943664223328,0.011198214603038022,0.0165642203768249,0.025358547486860106,5.774374311549332e-05,0.030677189671164985,0.01739342901200466,0.018648927862692052,0.017876346169759905,0.019167887480604693,0.01245138646013678,0.010610955166160828,0.06452794565667617,0.0190066191576474,0.02216610482932519
4,2a6ae2e8-733f-4349-8eec-d25e2b4abf86.FPKM.txt.gz,0.025290665465855785,0.022075923351362315,0.02588191998984575,0.020136283764622603,9.30713173937013e-05,0.018245357438799757,0.023088206822999908,0.01807663028490031,0.02478794750076787,0.002325188562946621,0.025779487042039466,0.015176486289467944,0.018822062740990197,0.01885149151797535,0.028081687228519593,0.01987005796101445,0.02840239712625691,0.013371641226453247,0.02254211644972973,0.00817779908723833,0.02923694062383087,0.030839366864643534,0.024845866428150787,0.03208352275425098,0.0193667919330347,0.026339236571937465,0.014272837947023196,0.017852860333907535,0.0037412519809367417,0.02579520132342871,0.0004535473215068049,0.04528679029419105,0.0204890311585241,0.02673053757207229,0.01681112068411791,0.019909327032223954,0.023574975013523524,0.0194251704960239,0.021437866460438194,0.00016069200925029626,0.021641702386631857,0.01765824773272988,0.021888207623498118,0.021391005327818218,0.02560038902415202,0.021307996906849373,0.025954314909153505,0.012324505806573155,0.01598390447308809,0.018520369837309335
5,0a2c1866-d6e1-4add-bcb0-b297ba1394ac.FPKM.txt.gz,0.024393861238201496,0.025853872142866507,0.012694965425575305,0.017376952336830176,5.185558554483627e-05,0.027919680544493997,0.013797491204492987,0.025528468751141287,0.06450735819372513,0.0024446973127455794,0.03136948806735276,0.0077120493371033326,0.018106060969199762,0.020900071148608517,0.022964370382200172,0.023928543333918535,0.031654007450308184,0.011693288446966673,0.026639891361414824,0.008206756746279608,0.022983976235079844,0.011014883017822266,0.0270068214845153,0.03597571245324395,0.01731248745681939,0.027761521679760637,0.012235431056816966,0.02317731718456117,0.0005477271544711274,0.026802389566764024,0.00026962203290735817,0.023459690612342276,0.022856367490060828,0.017469966637743826,0.021221921211633025,0.02653217135082877,0.029093073410436907,0.025358272079111684,0.02255288636845246,7.99066383960558e-05,0.0030824705105429876,0.032298224699725576,0.024406904669776356,0.02269141141175261,0.014646643863490856,0.030421455329185856,0.03236919232313678,0.002995433969166367,0.006345024390161322,0.019287363732323818
6,cf1a1478-68c1-431b-86cb-c4ddb105accf.FPKM.txt.gz,0.02371536837681284,0.025678800882938637,0.031452340302940786,0.01819555362916475,4.635524886983351e-05,0.01930979068634297,0.027223518088086415,0.020618954922983122,0.036635009831250204,0.003412778536696164,0.02627881831828243,0.012491638904624304,0.015011791437675682,0.015597533772117153,0.0279857487756726,0.016411693960214635,0.02298111674769783,0.015803674050333207,0.020592514824860884,0.008621137169770903,0.028749456182891178,0.01797261867558533,0.027246682608326748,0.033317443127688945,0.017501195543051927,0.0278241770470622,0.010994166807817589,0.017343623255102456,0.0028726475168384447,0.027674051321236053,0.00025014882849127163,0.03590882707718023,0.018483444534785363,0.0234885311587633,0.018084364180435734,0.02280544267492902,0.027508871805475614,0.0166268249269069,0.017282209401883193,8.09258004369461e-05,0.030942777008653395,0.01812278988430902,0.023055537689246675,0.021234076612321243,0.02199360665830587,0.023810512685497272,0.026221936924130385,0.006621238568350771,0.024299453974391125,0.02361827905257057
7,eab58571-a6f1-4bc4-aa01-0df9c4beb79f.FPKM.txt.gz,0.031303849615437876,0.029963614184258986,0.027762296241245484,0.017663529006240308,3.274702313221506e-05,0.024634626548394694,0.022869626361738546,0.023376117379216063,0.028643086279330095,0.017022724578191997,0.024856889149785216,0.01358124688759099,0.020448132645984,0.025454822239611135,0.020928247424694922,0.022074199076667588,0.025644936767329818,0.012250446627981245,0.02325112728961142,0.0031463984508629437,0.02888241255464455,0.0004089097972978688,0.02880608460007784,0.01549523461095949,0.020363239578802594,0.023048260153374113,0.017429896096260444,0.01683258817737853,0.0011993805715843598,0.025351384352568694,0.00015109019274936382,0.007461634986041926,0.02833307996683741,0.024104987859212893,0.02287952255989648,0.023734562728831163,0.0244236099813962,0.023840370189724243,0.02813677662580959,4.171291059180444e-05,0.004294330343162785,0.04503960858936853,0.029768993561628924,0.02715207852687007,0.016096625155378522,0.02430571899268381,0.023726105325737906,0.005020982968250694,0.015868106172124533,0.03289404809344895
8,07ad35fc-1e35-43b3-a252-193323d5e680.FPKM.txt.gz,0.016611272876274837,0.016902937345371724,0.014739385113891485,0.018250577371781006,2.9343447352651928e-05,0.012114955816263158,0.027968037444976303,0.014205612241750572,0.01432165593146031,0.002996807555975669,0.013680176762170563,0.05007630795477036,0.019282641976434183,0.017923088442948633,0.013641319392948064,0.012449423094954455,0.010941141484549251,0.007038216087070102,0.015174587912379063,0.006066985252883242,0.013227135441791995,0.02514095809289888,0.014371208710240502,0.016216754114573337,0.02127859772252857,0.011599097780811503,0.0083899510614232,0.013503631572685013,0.10784133451753326,0.016405389361079124,0.00012213329227688706,0.014339029613299064,0.01510895675349763,0.01692450934834074,0.012930283962413034,0.014485940451393427,0.01553205330271424,0.013217476163190309,0.014765378090268677,4.121270189409533e-05,0.14566525449833656,0.011931458024425823,0.01754247645608956,0.011567025168784544,0.02420210494161115,0.013405083024044315,0.012327488595574726,0.07702754306370517,0.009031780344878802,0.007444280321490056
9,700fa398-8999-430e-a52d-0e7a40a2d45b.FPKM.txt.gz,0.011551955327288687,0.010564204003022682,0.004953778300457592,0.008941085430251376,2.448340026916695e-05,0.011774871432302613,0.005792399106959871,0.011357395221036707,0.013003070061558316,0.05185100626535365,0.01586516292380441,0.011418398022392601,0.008801458633060807,0.009906536696004971,0.011936997070567569,0.011163988128669,0.014224701259423236,0.005111431645123287,0.013088354341133824,0.003267266451469782,0.010366350606543435,0.0007316375635217865,0.011446761677051182,0.013327366550240048,0.010410111562991882,0.012619066188837404,0.005516467561937111,0.010708079439001057,0.023585677659252582,0.012335979482314019,5.88638395111067e-05,0.005870089110978005,0.011341743655148766,0.009364750170007726,0.008861859823249853,0.013143086214185282,0.011736995895392142,0.012027009476498773,0.0109415827140209,2.832884350282558e-05,0.00394078029392533,0.01299885113087159,0.011750248273977137,0.011893007620905114,0.009480799459624833,0.01270967545473914,0.011684036828714313,0.4864221375740079,0.002908637524834184,0.0071914740840646005
