i_doc,doc,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12,Topic 13,Topic 14,Topic 15,Topic 16,Topic 17,Topic 18,Topic 19,Topic 20,Topic 21,Topic 22,Topic 23,Topic 24,Topic 25,Topic 26,Topic 27,Topic 28,Topic 29,Topic 30,Topic 31,Topic 32,Topic 33,Topic 34,Topic 35,Topic 36,Topic 37,Topic 38,Topic 39,Topic 40,Topic 41,Topic 42,Topic 43,Topic 44,Topic 45,Topic 46,Topic 47,Topic 48,Topic 49,Topic 50,Topic 51,Topic 52,Topic 53,Topic 54
0,87fcecde-b317-4518-bea1-cc8d14a18107.FPKM.txt.gz,0.012559734898648893,0.014799479386294646,0.0018605052981949552,0.018833242118763697,3.9506772856663145e-05,0.017329824369524814,0.008916923542406245,0.01900651663282985,0.025318924705007694,0.0007004975211419409,0.022452483741674824,0.0019152823840029186,0.009569638985522901,0.0020845531035236825,0.022295378749585624,0.012182960326364664,0.018610673718308608,0.02845272978098387,0.012561993644342344,0.10401923525358302,0.022766680884725617,0.04562464965113221,0.017213073056078425,0.03154498431926413,0.0059261363177141625,0.041468917280392294,0.004514536331852412,0.042900327205102215,0.002087956191488438,0.01123694867434879,0.0013734362594971087,0.03945937505423007,0.002804942272959825,0.010505470576393368,0.012312106443364255,0.05017558344399589,0.027247842389425205,0.015197880538383796,0.013858078718628082,7.2286055709316e-05,0.022797021684478894,0.023364445909054527,0.00307076490671531,0.015888442920285017,0.011804570909775403,0.04778970393437975,0.018551762546513546,0.0014636922395403072,0.003282345079382338,6.849201030733162e-05,0.035303636565037676,0.017085790346055674,0.04633167899132202,0.0013963553589051104
1,bbf9a30d-3067-491b-9aea-0cb9bed91969.FPKM.txt.gz,0.022999790621739576,0.02133344143826203,0.005857621554470518,0.020760400558910874,0.00014748999664843457,0.023842851750901825,0.018447456860148967,0.02243708074775183,0.027775477755220417,0.0016931465903426248,0.0292512609992723,0.00377573435142331,0.015219284993395782,0.023435396834012395,0.02137154196634794,0.019957486883785795,0.031578125716787385,0.028347322209813917,0.021198717830645683,0.007942365358212163,0.026127269438765532,0.003841226503232543,0.025178598858559092,0.02640012770834781,0.01351355584580385,0.03601578626312638,0.01276448468722216,0.013355538991486126,0.004500845375525677,0.019762079805057876,0.005129196735165148,0.03272290897530067,0.01060287252040176,0.020376683155499856,0.015782378092159804,0.028504893223819733,0.02439682254506479,0.020593829595131202,0.023630476813538425,0.00040266642598675925,0.02761960155864675,0.026938997683055122,0.010693915504454355,0.01979221757721452,0.022497862068849253,0.031411362650762296,0.024817022779553968,0.007294480044883946,0.006968403233141086,0.00030113026988491323,0.037786416510143105,0.022885043829411724,0.02571250569545248,0.004306804017257628
2,c909a75f-23e8-4c96-82f2-72e46fdb8155.FPKM.txt.gz,0.0119156460803758,0.016863720412923958,0.0030504362463923207,0.01779136500061952,2.4097328711889088e-05,0.014971109300452985,0.013618221159053508,0.01173943011639714,0.0027848025555507524,0.04699140203743574,0.013250132619356488,0.09285137236270068,0.03310807362042037,0.0036906021378378707,0.007634677954460772,0.029911185870793475,0.00957472390569367,0.008349754475516703,0.012708104751592036,0.00110882014429745,0.009595392006907481,0.008115042064127439,0.011125861616667468,0.012541131880617768,0.03573577051751963,0.007516057704717518,0.02472329708417911,0.011520118994915977,0.0977590149120891,0.012836105528917246,0.11949000568209497,0.00534042348890237,0.05447546212718277,0.00978055220933138,0.011120896045203348,0.011045179495416448,0.012881580349085788,0.020216785558777862,0.015728327906909603,2.904934786315156e-05,0.007862203402552854,0.015332453287348275,0.007095278381720075,0.02377404087061878,0.005910797989228304,0.0076718336959243376,0.00859641927729004,0.044612438287211724,0.004602685237628193,2.6451152054331103e-05,0.008172433337654259,0.009085653270616485,0.012031938916990566,0.0017116402911521108
3,1c89ff2f-6e0a-4244-952b-1391dba1b815.FPKM.txt.gz,0.019843247023081337,0.017872416026500238,0.01533071502856217,0.01918566033751041,4.71651609485153e-05,0.01611026043288648,0.024745131394339752,0.013335993750178956,0.006113723307401248,0.005087375748348031,0.013862821037900623,0.07905596124732572,0.023667882221384245,0.006993397940657419,0.01472813401638531,0.021385524034472872,0.0137708437041981,0.0130070036453082,0.018826792085580732,0.0017238773846255534,0.01364313161309758,0.001725966709013899,0.016244809231918282,0.010517825176939487,0.0327042208912647,0.011464409414359897,0.03123862008898494,0.006657194594513617,0.06772632671596335,0.020905321079179813,0.046469423039617944,0.009590743763189911,0.06144268149691606,0.020422380999113966,0.013163546169015715,0.010276963711588113,0.01241011280685936,0.01603045653005955,0.01842302405382633,8.945865589297414e-05,0.013487400545995596,0.010488867924536545,0.028203111135703177,0.017206170908726563,0.017298979030361303,0.009173474266644777,0.016665974094333184,0.0477743804107361,0.011339209165897706,7.044235205417948e-05,0.013745961753250616,0.015462184736952107,0.010803462166002668,0.022439839239894132
4,2a6ae2e8-733f-4349-8eec-d25e2b4abf86.FPKM.txt.gz,0.02480110597042329,0.0183631914098502,0.01716505254886047,0.023550118845676715,0.00013560728607691036,0.01851633646763886,0.019164156528359896,0.019185374493649442,0.024883731171256064,0.002124789236540069,0.022370294228147312,0.004638619838312663,0.018092996913585385,0.004445798032697171,0.025595840526296956,0.018073249030071327,0.030877613212006133,0.023591112210748943,0.02253558144096124,0.007124966636027289,0.025497383440046078,0.04455747626234187,0.02402247678339367,0.02387945315928115,0.017129981346354534,0.026323892157567978,0.01720090894743391,0.011626096379071816,0.005153264778365341,0.022224666677459048,0.011477658262507863,0.02853099345049034,0.012080900665562042,0.026254278499057874,0.014754505874276923,0.01675330300495316,0.020682634357222066,0.0179370944168633,0.021476017067129895,0.00027731171304488705,0.02584246249810591,0.018413443645793875,0.018180562349353006,0.018429605254339447,0.031010743837080686,0.020195017652184025,0.02722544503295905,0.010837266976541334,0.011339971425664352,0.0002174139819139857,0.02387245919355526,0.025232844999098343,0.018166554427839477,0.017960375455960968
5,0a2c1866-d6e1-4add-bcb0-b297ba1394ac.FPKM.txt.gz,0.02132960536239562,0.02293667872895167,0.00781686208803573,0.017058080800011668,7.052587017030714e-05,0.027368328582270958,0.022306055080324218,0.02630278510861959,0.09028167221608288,0.002442640695216232,0.025555195493780332,0.0006116703787783846,0.016718855794618903,0.0020101024039501695,0.017270067760219138,0.02197110907051741,0.03334809220198952,0.02544533994178603,0.025357994334224768,0.006659941052541157,0.024491522665904934,0.017196302349131363,0.02543732944691811,0.025031313649395648,0.013784870735723454,0.026250973876291044,0.016173320282575798,0.014828671179981536,0.002119070877193171,0.021303849423090784,0.008652383068111323,0.02636627813702953,0.00724677035907775,0.01839444801534766,0.018719217960170887,0.02377481759805295,0.025288229446591298,0.023686462031162866,0.02462312178817627,0.000153814150696932,0.02049213443565399,0.027035851908966166,0.005796997082952715,0.022227560158060305,0.01411487507668722,0.02847649885658973,0.02282358504117373,0.002890312086177181,0.008503098539982872,0.00010524087288742559,0.026823857680609974,0.017164534750138898,0.0208211103831666,0.006339973121845072
6,cf1a1478-68c1-431b-86cb-c4ddb105accf.FPKM.txt.gz,0.02456012254237175,0.01952434814554166,0.022876366861140713,0.021167307887426677,6.177741248049921e-05,0.019776097563167477,0.018281354324904436,0.022168770953845403,0.040026169746358885,0.0030140932000739286,0.021130276010238522,0.003754093047863251,0.013998490173834584,0.012883354755007605,0.024723054957171465,0.014545341943298346,0.02264498740631145,0.025417653683925182,0.02028623646668265,0.007554196712610889,0.025118922418821493,0.018643284628211364,0.023840974589977276,0.022523767533185815,0.01371475528436964,0.025702538231889154,0.01337351618753538,0.011006128205281173,0.004220598619950147,0.0226971620833037,0.011585865543119675,0.033938432072881,0.009573591244504593,0.023936000656125375,0.015792932932221553,0.022185501640914537,0.0227000923373084,0.015396725017708168,0.018748397300118784,0.00012718034452935143,0.025531411588006404,0.017283256780894117,0.024479070412383168,0.01836313077035487,0.02767706228194932,0.02454490351385134,0.026187425796831934,0.005697329488595829,0.01369010178183359,0.00010596910416192209,0.028906242058340893,0.0229823416696643,0.022756488899498047,0.02857480518742243
7,eab58571-a6f1-4bc4-aa01-0df9c4beb79f.FPKM.txt.gz,0.0283655190816481,0.024049665855521183,0.017927917546131635,0.016359989037649285,3.70065071856556e-05,0.025105629236585464,0.03910323159234416,0.027930112676985988,0.020754382542973227,0.016112452991523273,0.02288781246332034,0.0014114541627936183,0.02123833888196692,0.002374448109204323,0.01743669161851633,0.02239831445848498,0.02524544396653009,0.02500301955908373,0.02945210579950165,0.002940985388392547,0.025664167906327497,0.00042868487309179995,0.030574466416872552,0.018849981276790263,0.01881247275768507,0.021611250400033227,0.02510931399265089,0.007525737903025061,0.0035429934883675525,0.02979589813122666,0.014457515068114503,0.02292960126190078,0.011866340937348514,0.024638979464214197,0.018272723747194245,0.019949109579995034,0.023027412505466773,0.026527540809106343,0.02712314636658037,6.471124402491616e-05,0.01862402872392164,0.021616374105095967,0.009576399497666845,0.030121139073264216,0.014024144002107344,0.02002843291771865,0.027916743411485884,0.004382450918615507,0.012884503007565216,4.913511413045041e-05,0.030466445253404775,0.018278906179035524,0.018854698835411413,0.01627002935421808
8,07ad35fc-1e35-43b3-a252-193323d5e680.FPKM.txt.gz,0.019022674849222796,0.015358549470346355,0.008994716773080478,0.020997376160884675,3.421252153155338e-05,0.012259527442204217,0.019858464137282393,0.013906613325531468,0.01144536832902604,0.002311688694537168,0.012562155755782452,0.09264871814550711,0.019717039847809814,0.04888212495004821,0.015048821717892756,0.011156741785047988,0.011255715050436,0.01365298022896677,0.014248105829403713,0.005340891324825325,0.013836184184875854,0.0019391307265980726,0.012190427606654997,0.014524812822272621,0.021798400860727853,0.011432041247336959,0.01173324427481068,0.010060119964282155,0.05660441140833202,0.01570279785957023,0.004189766170761272,0.01373977431588923,0.04600320473413657,0.017508418328147986,0.011255518813979685,0.012694319558363854,0.014262490656203972,0.012082319925569218,0.012122539714775806,6.22882433602608e-05,0.020573411937709746,0.010900229284448844,0.10420305236314832,0.010008751305966077,0.03148449407496136,0.011530777176173533,0.018362623168411387,0.058188972340664114,0.005878097091714868,4.7269691674132667e-05,0.011380708607746533,0.011559840565923117,0.011468810624073771,0.011968264011367627
9,700fa398-8999-430e-a52d-0e7a40a2d45b.FPKM.txt.gz,0.009823031304211192,0.010185900498621692,0.0036298399540410924,0.008393143905646452,2.551923632449619e-05,0.010828233762870438,0.009159108019727025,0.009832192974949795,0.017319380682821524,0.05149066502380013,0.013111906761652855,0.018522882704145874,0.008489651711507918,0.002430133728730362,0.009341486189457654,0.010372063749897908,0.014047768775035777,0.010601850376849154,0.011271862536928124,0.002719841119318011,0.010665287741771046,0.0006386015443102625,0.010401883978123212,0.010566207976462773,0.00857516478600128,0.01214670342139648,0.00729678098185451,0.006013385304598072,0.014993719632465844,0.009557476334634095,0.003168359740893225,0.009609864442553875,0.01772367578173082,0.008532920883037158,0.007977710442797247,0.010504436475571512,0.01001103443553091,0.010758988753426858,0.010585780116778496,3.324671711496229e-05,0.010081945550542103,0.012345512660547375,0.004487959981399963,0.0109971445486101,0.008058712984958517,0.011213744397175672,0.00874854191370706,0.48612719076765376,0.0032708916027138664,2.9130627036361806e-05,0.011122617142151748,0.010091129864187108,0.00982212479113487,0.0022456606605916253
