i_doc,doc,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12,Topic 13,Topic 14,Topic 15,Topic 16,Topic 17,Topic 18,Topic 19,Topic 20,Topic 21,Topic 22,Topic 23,Topic 24,Topic 25,Topic 26,Topic 27,Topic 28,Topic 29,Topic 30,Topic 31,Topic 32,Topic 33,Topic 34,Topic 35,Topic 36,Topic 37,Topic 38,Topic 39,Topic 40,Topic 41,Topic 42,Topic 43,Topic 44,Topic 45,Topic 46,Topic 47,Topic 48,Topic 49,Topic 50,Topic 51,Topic 52,Topic 53,Topic 54,Topic 55,Topic 56,Topic 57,Topic 58,Topic 59,Topic 60,Topic 61,Topic 62,Topic 63,Topic 64,Topic 65,Topic 66,Topic 67,Topic 68,Topic 69,Topic 70,Topic 71,Topic 72,Topic 73,Topic 74,Topic 75,Topic 76,Topic 77,Topic 78,Topic 79
0,87fcecde-b317-4518-bea1-cc8d14a18107.FPKM.txt.gz,0.00966330394758243,0.007017878933796097,0.011297135549974267,0.0041345464439864685,6.297874127608319e-05,0.007840741212411935,0.003488917035147508,0.009443225048758216,0.010600723307070197,0.00038719534793079286,0.006531052145739379,0.001963665421864609,0.010915711006510266,0.0016524485550635706,0.008744801112618395,0.0043834442039846966,0.0101380140680812,0.002259224773623407,0.006623535911121905,0.017766841009239007,0.008264196416479283,0.03786516419523773,0.01090947790260137,0.01915418942371599,0.0035999667605059807,0.010289485697487196,0.002032731427735144,0.01114849746883726,0.0008521232218249915,0.006702619750122656,3.6201391091588504e-05,0.029404835140597413,0.0050185011600700135,0.0003825795528574212,0.00603611794115809,0.010977360912918168,0.030410275730074102,0.006144169503918859,0.006154231228588263,3.1350548521949734e-05,0.009860495442899993,0.012519870384055772,0.006881512231353031,0.00704789697695622,0.00877137713539198,0.02208032816973919,0.017013225409707972,0.000349855462389938,0.0008422807827317264,0.014462397789959069,0.009688492757403725,0.006545439912528283,0.016591278195774523,0.010021339021109724,0.03521018113270077,0.0073890072012550686,0.0052698233713810595,0.03531100614857815,0.0038196949708001176,0.014782456510296827,0.009828187785867332,0.011245958479829536,0.006742359004363655,0.003599041604949017,0.0015793124723479954,0.014427722875494329,0.0019436223841392461,0.14893486599914377,0.01112851070011941,0.007816535460269218,0.050370457693403224,0.09592435218232466,0.005795308475330589,0.003323172690378031,0.01458680930610414,0.004293256333266667,0.006005692572537315,0.01226106789913808,0.005406347923856316
1,bbf9a30d-3067-491b-9aea-0cb9bed91969.FPKM.txt.gz,0.01686765129939578,0.012400028821267622,0.016496704743673634,0.005762019676871581,0.00024999297542080976,0.013123733120678466,0.009894103026956756,0.012646800809101284,0.015301924771151797,0.000879573749624227,0.012859841247601839,0.0073167869681912846,0.010631101609889433,0.00427962558130132,0.01309950717173623,0.009530836771390527,0.018365329440804986,0.0031571763805824664,0.01221388982506095,0.016537004035651406,0.013569089603444207,0.0025653396310102534,0.016772906667220533,0.017751877008072542,0.008628387982148536,0.017775767026632923,0.0064741576739523,0.0031509645840813935,0.0020486739656427485,0.013538850801939088,0.00011533200769331728,0.020580163398424844,0.012945261466114225,0.005088847502567124,0.008472459478570489,0.01521428384124276,0.02369426258563955,0.010524589215196218,0.013482253463235599,8.449287751075817e-05,0.01608607913371051,0.019230522765219495,0.012794438303469765,0.012444846638533631,0.016272870277906814,0.018256286370739783,0.018266736901761345,0.0025357679607439557,0.0031932793611469017,0.035541241587052276,0.016741060904529658,0.010977192997349759,0.015402169213513535,0.016303623623881512,0.01716324334041109,0.013957057798604917,0.01005952230787095,0.022227956257847323,0.008102443369269892,0.01839522325839561,0.016883725170064937,0.00862087358145012,0.012129606385661447,0.009190884409347413,0.020893177547163175,0.014766458898946552,0.005193779303666175,0.015232129752061294,0.01454930819339555,0.014588265631362179,0.030781584581142076,0.023414386963991,0.01057649361171239,0.009227702801563084,0.01601505359919959,0.010742409895663527,0.010985300924240358,0.018235057093470813,0.009930646477247904
2,c909a75f-23e8-4c96-82f2-72e46fdb8155.FPKM.txt.gz,0.008196774597841884,0.009774867352225257,0.004981866431558322,0.03891493952748157,3.4017978637034864e-05,0.009456660344204636,0.006757800395183375,0.009942003238554084,0.002037125395102061,0.037609491768948254,0.016613456218746388,0.02822642451231562,0.015049263535611396,0.025234380477957424,0.0067426030049897515,0.02515370808307774,0.006151954186095936,0.00216321749938658,0.00970162863805589,0.004531480449959516,0.008140230383577685,0.007615034269949439,0.007347869898269254,0.006791885577223583,0.026541164997767666,0.00737218167728601,0.014510145806285159,0.0008337545944900355,0.132982737629024,0.008485794650490965,2.5349579216370644e-05,0.0021957765393847348,0.017278560280133626,0.003888109392911937,0.006427631809520405,0.010098685275642111,0.003964733231453877,0.016451730281982758,0.011080993154730686,2.244856952012449e-05,0.006573098895998719,0.007881506518176323,0.008404350599744823,0.013840028921067192,0.0073629078349666584,0.005415711595571941,0.006500661709120788,0.055992358037099496,0.0013493271979034252,0.002070439753222032,0.009425915946687364,0.0063697696956001755,0.006818324102846954,0.004186815585236521,0.003764770773814523,0.014189501214177558,0.024686080324546042,0.003608288509735803,0.020686556298208703,0.005832530380531264,0.006369264230946983,0.020440521585011383,0.01351581690783079,0.01267294321295171,0.001963205588506938,0.007909585313965661,0.041007055342784066,0.0031963095321507822,0.010214927894386643,0.009041976520854835,0.0026424917094256288,0.0028493284708166057,0.012376243001805265,0.021427537800792453,0.00893631574749671,0.0030773641507422,0.01886369125253931,0.008708086350299337,0.020499910257643236
3,1c89ff2f-6e0a-4244-952b-1391dba1b815.FPKM.txt.gz,0.010365302710955478,0.013092326626974132,0.008489734106648628,0.04612665360756801,7.478831206769534e-05,0.009407006870912981,0.017078334062114703,0.008854873859765211,0.003728438291367619,0.002467243537034264,0.012971114107894064,0.04101632526888055,0.009516149252738006,0.02253343243709351,0.010823685812577111,0.017599358297908617,0.009040751002893362,0.003462681111517346,0.012902440090889852,0.0071905875346343975,0.011566701866815804,0.0013452150850420776,0.008421441223846483,0.006098158797020977,0.024818301207608577,0.009950726167317599,0.02523024854305085,0.001063592555595091,0.08965586762931817,0.013683668795612416,3.843740668927759e-05,0.004912610017578135,0.018815578962099937,0.03234301624710521,0.008311229325188553,0.010308381219594357,0.004736229224908473,0.011923609729162317,0.013817323515523285,3.2680581202274e-05,0.010440987240049415,0.007186734316558836,0.012436460437000559,0.012408388558057724,0.010553520137384156,0.006249450079938725,0.008796785431331802,0.024339518646024513,0.016594595645819,0.012846587946604645,0.012926752758243523,0.013444918890347966,0.007793768920617284,0.01074821744231468,0.004303261490582176,0.012802708861768056,0.01503372615948658,0.003980721882776972,0.01705202941526829,0.00853936819712266,0.009218188605243111,0.009527803070817631,0.011628691302107344,0.021780288388734043,0.004024210944812228,0.007645840861344541,0.017877755428350094,0.003567465409458967,0.00911608111442564,0.011786994401479149,0.0038425108438760592,0.002313985663280038,0.01357973748971248,0.02244860253510695,0.008786348419289923,0.015454872276159819,0.01476637713399023,0.010005008150431104,0.010336490501367888
4,2a6ae2e8-733f-4349-8eec-d25e2b4abf86.FPKM.txt.gz,0.015723192804625308,0.012779373534186789,0.01768775359301492,0.007364032367288146,0.00021874782182635102,0.010601050422337837,0.015376282947735635,0.011503881546950596,0.0171073639631433,0.0011010515602963402,0.012363930332748492,0.009387291634796605,0.0115349647220011,0.006991689277207041,0.01630720672216013,0.01121229572159999,0.01967122223122917,0.004152576805464077,0.013661394834198138,0.015031078690412996,0.016076545328955336,0.03931045272413595,0.014701547048653498,0.01612858336569695,0.010673588062440587,0.016507641754797492,0.011991921687875237,0.0035882739848671417,0.0021727982720235964,0.01483823794775363,0.00012090318482256875,0.024989675759600795,0.012366123469829139,0.01565274260915701,0.008975258332241725,0.01237513878321944,0.015041710758119357,0.01087956599667395,0.014260574334045645,9.11230538561602e-05,0.016302028390885737,0.013660264863576658,0.013992345045396445,0.012209847113790374,0.019857548505847013,0.013476689160459859,0.016775206899980525,0.004508439138862117,0.015562142653079584,0.01218037564129395,0.014715848016012013,0.016452125710796944,0.013998150962953386,0.017206802050901353,0.016059372884108886,0.013132726682038976,0.01038406768012575,0.012243159357479045,0.011995728915604147,0.015500070584532365,0.01711741332363631,0.00968044182162934,0.011744817577474087,0.008529956340186643,0.0028868933919030653,0.01248925880154023,0.008391714790784108,0.01004985208727807,0.012670981303153932,0.014919396071601568,0.016197249226340322,0.01087889508285267,0.011933348319869757,0.012479007341115367,0.01278550156752174,0.020088049805847236,0.011056343186428055,0.01431538351580942,0.011053768195315176
5,0a2c1866-d6e1-4add-bcb0-b297ba1394ac.FPKM.txt.gz,0.01697121336123469,0.013053740266351628,0.014304032866075444,0.003075368637472488,0.00010276809547487806,0.014946442839148893,0.008008986412725898,0.015956498219170265,0.075664848684245,0.001447422249472847,0.013167803498208177,0.003676704934687478,0.010718909730272203,0.004424016182651117,0.012250564965336126,0.012019799181798352,0.020134151076706797,0.003222441106219915,0.014619964418611235,0.012330305175152175,0.013901448646225152,0.015044084817546145,0.016363436919211938,0.016879838782092142,0.008072628168957654,0.015586293788707758,0.007933555691090994,0.003175866130582612,0.00024152298924623228,0.013608245117966754,5.966954134045547e-05,0.015931192955666862,0.013667806577496269,0.0007057243731359823,0.011254521362542725,0.015040232478627139,0.019243067076917225,0.014252329926225884,0.014704630465515824,4.72952155429992e-05,0.013342196988725656,0.02138428308246004,0.013206749064163024,0.013456534943665254,0.013715290660893355,0.01838132318155109,0.01861043902758151,0.0009015811721603125,0.004932513150908567,0.013739106040357284,0.014634032375675463,0.008715833554557335,0.013707190871334747,0.016235552396840883,0.012698527372778693,0.01438547503308166,0.013234678303170029,0.017613851190827017,0.009728230136207626,0.016076297438205274,0.01541543312271198,0.008025717831018894,0.012483906662162009,0.015845207244027954,0.001177278772742179,0.015018673844285797,0.007777302177024634,0.0115851738403919,0.014400394470587647,0.015660898500036338,0.01976443649154137,0.019729800311147103,0.010420709392531962,0.009858003845845679,0.014872989855936474,0.012380986943595013,0.012019419388676905,0.01566966907585454,0.013384939319082391
6,cf1a1478-68c1-431b-86cb-c4ddb105accf.FPKM.txt.gz,0.015014183679433102,0.013648281994287519,0.019250565845468727,0.005982823493797289,9.579539277753212e-05,0.011075965234774958,0.01725653992957751,0.012587799945506004,0.02445406733471627,0.001656919612043382,0.010480712777691316,0.007678314453969191,0.009307290245873822,0.0065224004365870974,0.015191552355061035,0.00822210564202935,0.015086809812454458,0.0049679533231556956,0.012780380676651933,0.014454979493695699,0.01552220820145909,0.016182420432469837,0.014430040918345209,0.01553081649746056,0.008793445441577783,0.015296492669114353,0.010988006289553284,0.0033547658652037134,0.0015087812508533759,0.014547988448945882,4.921485670558974e-05,0.026159204631171277,0.010825449343405555,0.02541045869814036,0.009923855240734707,0.013656223936026802,0.020156282215483153,0.008385078287983426,0.01180881165596819,4.000088956623157e-05,0.015212149120408539,0.012415774852803704,0.014347641981939495,0.011516563552418778,0.01372981878386163,0.016240259914608472,0.01614682867791191,0.002470765623579665,0.026624268516188113,0.0190819068907405,0.014343527716489847,0.013916581331903072,0.014863321202727674,0.018972544411298763,0.015938935305815957,0.010390543933540958,0.00922242739606514,0.01522080897410001,0.010155897289327392,0.01638594970016176,0.015874913696494186,0.00885397941007345,0.009962895103911006,0.007731515016599123,0.010387574122786684,0.013857393871327076,0.007871514103624654,0.010283914185694774,0.013341081122464902,0.013984679992893522,0.022962883502520532,0.014127035012660076,0.012985930106961866,0.009699336022479596,0.013819655994116513,0.023890137634633914,0.009376840971430836,0.01434847475960199,0.01115874274411381
7,eab58571-a6f1-4bc4-aa01-0df9c4beb79f.FPKM.txt.gz,0.018978569050030692,0.01454914639919805,0.01766386811427556,0.005103257546816196,4.8413070192470894e-05,0.01290471523691795,0.010808082361766214,0.01566505879702034,0.011363374419158141,0.011699880871841614,0.014856488198439561,0.006089800052971139,0.009805737048500749,0.006909185265873283,0.0132096436801188,0.013866409425670394,0.014301319018263215,0.00331447282418767,0.017056824871329892,0.010018869942573309,0.016590418517243702,0.00020843811829336482,0.016211032082125414,0.011845346706261185,0.010898569223343929,0.015297161785256369,0.013064879693047274,0.0014502720497427978,0.0005152336421977162,0.01747088079409149,3.363297423706881e-05,0.010086883110267168,0.0178547822805015,0.0014941287377505201,0.011220888406095772,0.01570065116000184,0.013507256966560861,0.016245266364437676,0.01748545278445946,3.077693909287485e-05,0.013752905717715886,0.016705462468015363,0.016520931020656986,0.017787517066693265,0.010995346157514314,0.013355061167853574,0.016934254542574214,0.002588207428190555,0.013533056387672188,0.031096982573009555,0.018242741282684775,0.01073244639140269,0.011945868164360426,0.02384342922474856,0.006618183779977932,0.014301830851246339,0.014799929158056535,0.009434944636255008,0.012425376951109436,0.015739168937515476,0.013361717864677113,0.008122958987372027,0.011677667543520634,0.047467685360224166,0.0011078513269347486,0.014243585970084502,0.010622485042866475,0.007445187827078639,0.01457600770916848,0.015787515564278015,0.011841843687467228,0.0061067425286094055,0.014052228838309202,0.013780133958951018,0.013380919774621334,0.02335479771589232,0.013670184913854409,0.01737397529376648,0.015247797654917643
8,07ad35fc-1e35-43b3-a252-193323d5e680.FPKM.txt.gz,0.009101478819031002,0.013534649349498742,0.009581914708012581,0.037043032603296736,5.1211072291391245e-05,0.007362749560069088,0.02932562205455476,0.008980094441362796,0.006686406406963436,0.001017275644851915,0.008371831813408776,0.0413725139639208,0.011661251858063703,0.008642043699738231,0.009973815525508179,0.00831978721914415,0.007143682634015255,0.0021563337816162555,0.00989739278663704,0.006717297046108769,0.009167782556344928,0.0012040837669537335,0.00840663282462097,0.010164148690898213,0.016798627400407915,0.008850152584968551,0.007533584519376308,0.003046685947566641,0.09136269829687746,0.011754433012825678,3.37085864152192e-05,0.011101808963365904,0.010420990977614536,0.1315653432042287,0.006772076566309371,0.010269535408106737,0.009251881629999239,0.00839071154995538,0.009390194195184963,2.9114707076319363e-05,0.011877130117209795,0.00744117093872323,0.011961612973541107,0.006934461937933763,0.010761781477307926,0.008367571292164092,0.008953020201975278,0.028802380339446463,0.007596377181561242,0.004209749035909155,0.008709370552667578,0.006179195358087265,0.00817190102194749,0.008315842345039553,0.01039697905568817,0.009516550437355277,0.010177661041656691,0.007461956763865798,0.012675215193392538,0.010047168730305577,0.010740014350626135,0.010414295209317576,0.00893486153604418,0.006648341572998348,0.04286431878734413,0.008648149390796648,0.005104189253513677,0.006698829439834804,0.010284174429811162,0.010455831955947324,0.008412059821727677,0.0052694787457129395,0.0077058143278033175,0.0111595644732215,0.008938927029023012,0.009351890657689627,0.011068231092980281,0.008902827530223478,0.007386524022415953
9,700fa398-8999-430e-a52d-0e7a40a2d45b.FPKM.txt.gz,0.008335534246244744,0.007310573243020842,0.006980835922044351,0.008580532831581701,3.220080525140203e-05,0.007289421799190186,0.004766395615663978,0.007221825388358517,0.015177518437209334,0.01952905116118788,0.009280177306853633,0.011728953895269166,0.005996967419962926,0.0029266713081395525,0.007225033423318705,0.006565040994483937,0.009809091981575114,0.001898220166455549,0.007660454460103268,0.008285759596835744,0.00762965018065275,0.00035957451946217226,0.008338793693121875,0.00805666237610129,0.007266962612985914,0.008775226905682469,0.003967554370830995,0.001607852991283767,0.03519995580298728,0.0079465234128134,2.501782538338269e-05,0.006521719707551469,0.008715959302929826,0.0029215485707143373,0.0048214319513017615,0.008712912712744828,0.008400545426873114,0.007199277182990702,0.007646996661912297,2.3740040520293443e-05,0.008106429489611301,0.009840659042619194,0.007411310527683315,0.008181695541016202,0.00870673359100759,0.007983217825285329,0.00750143265641638,0.433674577689817,0.002255320857235128,0.006697723283589184,0.008244321651285587,0.006629986697050391,0.007486011147292577,0.0071630605015321125,0.0074504770963112876,0.008694166141985217,0.007700240069690608,0.008367260836439705,0.005745296008134352,0.00802634808114023,0.008383821560323128,0.005243594103495976,0.006958595560592288,0.00681625996880676,0.0015426130510099582,0.007740579557470543,0.003845686299900004,0.005430816206904285,0.007966478057264111,0.007103190066148566,0.0077114822295268875,0.00720979703372433,0.005663131884735339,0.007213839711270023,0.008403802011947535,0.004419233940784751,0.007174907482508141,0.008589917112043996,0.005977819174806494
