subtissue,tissue,l0,l1,l2,l3
LumB,BRCA.Lum,0,0,0,0
LumA,BRCA.Lum,1,0,0,0
LumA,BRCA.Lum,2,0,0,0
LumA,BRCA.Lum,3,0,0,0
LumB,BRCA.Lum,4,1,0,0
LumB,BRCA.Lum,5,1,0,0
LumA,BRCA.Lum,6,1,0,0
LumB,BRCA.Lum,7,1,0,0
LumB,BRCA.Lum,8,1,0,0
LumA,BRCA.Lum,9,2,0,0
LumB,BRCA.Lum,10,2,0,0
LumA,BRCA.Lum,11,2,0,0
LumB,BRCA.Lum,12,2,0,0
LumA,BRCA.Lum,13,3,1,0
LumA,BRCA.Lum,14,3,1,0
LumA,BRCA.Lum,15,3,1,0
LumA,BRCA.Lum,16,3,1,0
LumA,BRCA.Lum,17,3,1,0
LumA,BRCA.Lum,18,3,1,0
LumA,BRCA.Lum,19,3,1,0
LumB,BRCA.Lum,20,4,1,0
LumA,BRCA.Lum,21,4,1,0
LumB,BRCA.Lum,22,4,1,0
LumA,BRCA.Lum,23,4,1,0
LumA,BRCA.Lum,24,4,1,0
LumA,BRCA.Lum,25,5,1,0
LumA,BRCA.Lum,26,5,1,0
LumB,BRCA.Lum,27,5,1,0
LumA,BRCA.Lum,28,5,1,0
LumB,BRCA.Lum,29,6,2,0
Her2,BRCA.Her2,30,6,2,0
Her2,BRCA.Her2,31,6,2,0
LumA,BRCA.Lum,32,7,2,0
LumB,BRCA.Lum,33,7,2,0
LumB,BRCA.Lum,34,8,2,0
LumB,BRCA.Lum,35,8,2,0
LumB,BRCA.Lum,36,8,2,0
LumB,BRCA.Lum,37,8,2,0
LumA,BRCA.Lum,38,9,3,0
LumB,BRCA.Lum,39,9,3,0
LumA,BRCA.Lum,40,9,3,0
LumA,BRCA.Lum,41,9,3,0
LumA,BRCA.Lum,42,9,3,0
LumA,BRCA.Lum,43,9,3,0
LumA,BRCA.Lum,44,10,3,0
LumB,BRCA.Lum,45,10,3,0
LumA,BRCA.Lum,46,10,3,0
LumA,BRCA.Lum,47,10,3,0
LumA,BRCA.Lum,48,10,3,0
LumA,BRCA.Lum,49,10,3,0
LumA,BRCA.Lum,50,11,3,0
LumA,BRCA.Lum,51,11,3,0
LumA,BRCA.Lum,52,11,3,0
LumA,BRCA.Lum,53,11,3,0
LumA,BRCA.Lum,54,11,3,0
LumA,BRCA.Lum,55,11,3,0
LumA,BRCA.Lum,56,12,4,0
LumA,BRCA.Lum,57,12,4,0
LumA,BRCA.Lum,58,13,4,0
LumA,BRCA.Lum,59,13,4,0
LumA,BRCA.Lum,60,13,4,0
LumA,BRCA.Lum,61,14,4,0
LumB,BRCA.Lum,62,14,4,0
LumB,BRCA.Lum,63,15,5,0
LumA,BRCA.Lum,64,15,5,0
LumB,BRCA.Lum,65,15,5,0
Her2,BRCA.Her2,66,15,5,0
LumB,BRCA.Lum,67,16,5,0
LumB,BRCA.Lum,68,16,5,0
LumA,BRCA.Lum,69,16,5,0
LumA,BRCA.Lum,70,16,5,0
LumA,BRCA.Lum,71,17,6,1
LumA,BRCA.Lum,72,17,6,1
LumA,BRCA.Lum,73,17,6,1
LumA,BRCA.Lum,74,17,6,1
LumB,BRCA.Lum,75,17,6,1
LumB,BRCA.Lum,76,17,6,1
LumA,BRCA.Lum,77,17,6,1
LumA,BRCA.Lum,78,17,6,1
LumA,BRCA.Lum,79,17,6,1
LumA,BRCA.Lum,80,17,6,1
unknown,BRCA.Lum,81,17,6,1
LumA,BRCA.Lum,82,18,6,1
LumA,BRCA.Lum,83,18,6,1
LumA,BRCA.Lum,84,18,6,1
LumA,BRCA.Lum,85,18,6,1
LumA,BRCA.Lum,86,18,6,1
LumA,BRCA.Lum,87,18,6,1
LumA,BRCA.Lum,88,18,6,1
LumA,BRCA.Lum,89,18,6,1
LumB,BRCA.Lum,90,19,6,1
LumB,BRCA.Lum,91,19,6,1
LumB,BRCA.Lum,92,19,6,1
LumA,BRCA.Lum,93,19,6,1
LumA,BRCA.Lum,94,19,6,1
LumB,BRCA.Lum,95,19,6,1
LumB,BRCA.Lum,96,19,6,1
LumB,BRCA.Lum,97,19,6,1
LumB,BRCA.Lum,98,19,6,1
LumA,BRCA.Lum,99,19,6,1
Her2,BRCA.Her2,100,19,6,1
LumA,BRCA.Lum,101,20,6,1
LumA,BRCA.Lum,102,20,6,1
LumA,BRCA.Lum,103,20,6,1
LumA,BRCA.Lum,104,20,6,1
LumA,BRCA.Lum,105,20,6,1
LumA,BRCA.Lum,106,20,6,1
LumA,BRCA.Lum,107,20,6,1
LumA,BRCA.Lum,108,20,6,1
LumA,BRCA.Lum,109,20,6,1
LumA,BRCA.Lum,110,21,6,1
LumA,BRCA.Lum,111,21,6,1
LumA,BRCA.Lum,112,21,6,1
