i_doc,doc,MEdarkred,MEorange,MEdarkturquoise,MElightyellow,MEcyan,MElightcyan,MEroyalblue,MEdarkgrey,MEblack,MEdarkorange,MEsalmon,MEgrey60,MEturquoise,MEred,MEmagenta,MEpurple,MEgreen,MEyellow,MEdarkgreen,MElightgreen,MEgreenyellow,MEtan,MEbrown,MEmidnightblue,MEblue,MEpink,MEgrey
0,87fcecde-b317-4518-bea1-cc8d14a18107.FPKM.txt.gz,-0.0070705198502208095,0.000895892106696594,-0.00213432154387421,-0.00643117034120434,-0.0110288265926612,0.0376950045332219,-0.0010511242693057,0.0313246145691578,-0.0014229305239565801,0.00650510002196087,-0.0029265090827074,0.00284710053266249,-0.0008193808043026981,-0.0044767516592511,-0.0220469488783371,-0.00389305956180318,-0.000589375211817863,-0.0139265892143127,-0.00653489681368339,-0.00120981761478565,-0.0204154200450007,-0.0244929141582451,-0.00292726182029189,-0.00488977026636663,-0.0152077032054417,-0.0147323994464723,-0.0399576013245971
1,bbf9a30d-3067-491b-9aea-0cb9bed91969.FPKM.txt.gz,0.0247465827245122,0.0037533886562168203,-0.000749898649381321,-0.00773044641043046,0.000196074408617339,0.0061118018335342295,-0.00247174534710042,-0.00138037668850675,0.00039020397994433,-0.00666586572673493,-0.0009561954893207949,0.00113134099484684,0.0033453230446703697,-0.00472736972312839,-0.0176850138584225,-0.00221789030364133,-0.00131743332426868,-0.0107371785758853,-0.000200521375105928,0.00463208453269766,-0.00892649866321917,0.0083626620315622,-0.00243020112573361,-0.00299661651944437,-0.0110742801350409,-0.0135463383860079,-0.014651202952733
2,c909a75f-23e8-4c96-82f2-72e46fdb8155.FPKM.txt.gz,0.007166282210687159,-0.0149242424863189,-0.00355531987486784,-0.00962815035273246,-0.0163935711371839,0.00134297745146306,-0.00233377583662968,-0.0065438368853488705,-0.0030707998495735603,-0.0033366329545046302,-0.007041314894562109,0.00280390148239177,-0.0053227528235535795,0.0100226624462328,0.103864292173802,0.0127630441421396,0.0264538717637891,0.0207548245876533,0.0133566350567395,0.0068060936713545605,-0.0137119515441109,-0.0325046969057369,-0.00110553256573314,-0.00105963817193113,-0.0138651195100063,-0.0124626056981748,0.0587505852681067
3,1c89ff2f-6e0a-4244-952b-1391dba1b815.FPKM.txt.gz,-0.00462735543075649,-0.00481223492277505,-0.00682101698712282,-0.00543113921354965,-0.0064587642544214,0.005047012851296,-0.000353291092824605,0.0007103371648221379,0.0007480513055946559,0.00226223837375819,0.000305062134151873,0.00686324693415596,0.00578077172637716,-0.00227694311525871,0.0291427109087985,-0.000749107257485676,0.0111329631082886,0.10478831430729901,0.0326894465733294,-0.000790871865419982,0.0132328559252589,-0.0214428387461929,0.00252046003316148,0.00790084701399005,-0.00150368046157487,-0.006680183730204721,0.0430405818763138
4,2a6ae2e8-733f-4349-8eec-d25e2b4abf86.FPKM.txt.gz,-0.00312234249864873,-0.0129419479779433,-0.0104895169967818,-0.010784720992053002,-0.00727095874022505,-0.00708147406072645,-0.00245239596453442,-0.00281141805731419,-0.00321011017946094,-0.00808228222065948,-0.00210331179281326,-0.0047402069909864,-0.00471526624555895,-0.0038530801471582,-0.0039268616362044,-0.00120440338210942,-0.00776214407075898,-0.0078007662764867204,-0.00260168034681318,0.00136689660237238,-0.006677641086307039,-0.00510419668086892,-0.00186321232600247,-0.0011603939965811401,-0.0018542452932399699,-0.0119199776999782,-0.0129791856855497
5,0a2c1866-d6e1-4add-bcb0-b297ba1394ac.FPKM.txt.gz,-0.0057509077662780605,-0.0030938690341591802,-0.00604353449707829,-0.00855010859065628,0.0055721775326845,-0.00653213698277665,-0.00213418038074341,-0.00420761965840343,-0.00453168699631193,-0.0072678002574536795,-0.0011402805252999,-0.0013178446690026199,-0.00739566595922525,0.00037272868806426096,-0.0056951854474814705,-0.00272848923974045,-0.0154232328702992,-0.00887139708950347,-0.009345709440036671,0.00298955253925426,0.009592350078274341,0.0723861685296254,-0.00271570227130764,-0.0036804862854328897,-0.00651570050684437,-0.0129641533792874,-0.00968211896967078
6,cf1a1478-68c1-431b-86cb-c4ddb105accf.FPKM.txt.gz,-0.00388290412839795,-0.00813412917339763,-0.0070616444862757,-0.00845850456852893,-0.00573192140359684,0.00266254714478359,-0.00109277857709918,0.00566953089316706,-0.0017783691816364103,-0.000678932839566853,0.0023966023520663,0.0017995397129756101,0.00016536642269722901,-0.00171362539368137,-0.0153849683572215,-0.00244326837653843,-0.0036423954575022202,-0.00623910620403636,-0.00257944167302119,-0.00293626835111312,-0.00541866752420269,-0.0031953388898627,-0.00148189855556823,-0.0015770503897354,-0.0023686681100007698,0.0018511977563545898,-0.0125183572350139
7,eab58571-a6f1-4bc4-aa01-0df9c4beb79f.FPKM.txt.gz,0.0526899288534919,-0.011472115184152,-0.0071319362615451095,-0.0116656281393857,0.0168574807028313,-0.0067340950873424395,-0.0023644824654844602,0.0104295217825179,-0.00353939778208245,-0.0055659209540697705,-0.0009339154870917141,-0.0045531455956801,-0.00479048770518083,-0.0032438756596616302,-0.0123852571701034,-0.00390612952389854,-0.00566844413364574,-0.0028841630555564,-0.00589353852262841,-0.00190868121559062,0.0213257879937673,0.167255208318589,-0.00161779995381401,0.00229487062744915,-0.00173967797445958,-0.0077989396812231295,0.00719616931908981
8,07ad35fc-1e35-43b3-a252-193323d5e680.FPKM.txt.gz,-0.011853164873076999,-0.0127075391325011,-0.00922425266401287,-0.00807118006535478,-0.0118682545551508,-0.0058878517156044,-0.0023152677315665397,-0.00766865773670712,-0.00194310826090795,-0.006890512103610811,-0.00541867144111664,-0.00491948572428727,-0.00451400909210958,0.000348758396857634,0.0215694914616804,-0.0006449718617535361,0.0119165491188542,0.08051937261228999,0.00695141364158587,0.00414228611860207,-0.005298205340770829,-0.0179651549609994,-0.00228276109071293,0.000274666420143935,-0.00665917398419822,0.016822626560361,-0.0118294930326858
9,700fa398-8999-430e-a52d-0e7a40a2d45b.FPKM.txt.gz,0.00760643320897915,-0.0119855901615495,-0.00989753142123067,-0.00995411992354736,-0.0130478565547774,-0.00167237155816449,-0.00179291200439078,-0.00614431081453122,-0.00247662755687439,-0.007053028786944091,-0.00616331367746265,-0.00262287029775287,-0.00386242540105726,-0.00389443680750125,-0.0227745109346956,-0.00152452215177752,-0.0112586049640893,-0.000280061615454592,-0.00260153495103289,-0.0015615239572263,-0.000525415901023905,0.0240152881030856,-0.00316097095873699,-0.00296106839917021,-0.0127300246419549,-0.017485654048648,-0.00133735269338011
10,c56cda8a-0755-4715-9c46-5bc6280a5bf0.FPKM.txt.gz,-0.0068115829382456704,-0.014648348112305,-0.00947268011577571,-0.0132847196002896,-0.013821109838525,0.0021194104460761803,0.004734294973779671,0.00207284344973934,-0.00359171276133777,-0.000233909507391482,0.00173908184090603,-0.00785695623096341,-0.0030691571015814103,-0.0037377145613907,-0.0172779440280959,-0.0026588497232851,-0.0124039383270027,0.00817269448035035,-0.0110723999967406,-0.00654865962243968,-0.00160855576665351,0.054163204224755,-0.0019624052110740397,0.0073600603390165205,0.0013154834312503198,-0.0158371008507984,0.0261587213884339
11,8970e6da-5904-483d-8770-0ede67f98cf4.FPKM.txt.gz,-0.00517707206930165,-0.0100682687412884,-0.00452519567854146,-0.0112359139673795,-0.004039234323678679,0.0015753158867715,-0.00150991832242678,0.00905794469224016,0.00161890377694003,0.0170749483967774,0.00292084923993803,0.00230034831884184,0.0067200667016897205,-0.00229811490563467,-0.0140275328179522,-0.00279075218787668,-0.000365625728977382,0.0241618483950049,-0.00839221324527501,-0.00699372230705776,-0.0074676150772665095,-0.0017902888289218699,-0.00035346962880839904,0.00021306737919491,0.0130599694357769,0.0170816115416235,-0.016872442158071002
