MEdarkred,MEorange,MEdarkturquoise,MElightyellow,MEcyan,MElightcyan,MEroyalblue,MEdarkgrey,MEblack,MEdarkorange,MEsalmon,MEgrey60,MEturquoise,MEred,MEmagenta,MEpurple,MEgreen,MEyellow,MEdarkgreen,MElightgreen,MEgreenyellow,MEtan,MEbrown,MEmidnightblue,MEblue,MEpink,MEgrey
ENSG00000057663,ENSG00000008838,ENSG00000108298,ENSG00000008838,ENSG00000077782,ENSG00000033327,ENSG00000091704,ENSG00000042062,ENSG00000124171,ENSG00000011590,ENSG00000004866,ENSG00000127364,ENSG00000015479,ENSG00000091583,ENSG00000006015,ENSG00000106123,ENSG00000010030,ENSG00000007312,ENSG00000112576,ENSG00000120937,ENSG00000005243,ENSG00000038427,ENSG00000010282,ENSG00000023171,ENSG00000000971,ENSG00000013297,ENSG00000010292
ENSG00000085377,ENSG00000094804,ENSG00000108306,ENSG00000073605,ENSG00000085788,ENSG00000048649,ENSG00000142789,ENSG00000116991,ENSG00000168298,ENSG00000105679,ENSG00000042832,ENSG00000135976,ENSG00000105679,ENSG00000105697,ENSG00000099624,ENSG00000125968,ENSG00000068079,ENSG00000008517,ENSG00000112578,ENSG00000129103,ENSG00000010327,ENSG00000082196,ENSG00000018625,ENSG00000073060,ENSG00000004776,ENSG00000024422,ENSG00000011426
ENSG00000112297,ENSG00000108344,ENSG00000108349,ENSG00000108344,ENSG00000104221,ENSG00000074201,ENSG00000161055,ENSG00000121440,ENSG00000178502,ENSG00000125631,ENSG00000113296,ENSG00000136206,ENSG00000125631,ENSG00000106927,ENSG00000099849,ENSG00000148600,ENSG00000089127,ENSG00000009790,ENSG00000112651,ENSG00000132432,ENSG00000011028,ENSG00000099953,ENSG00000036448,ENSG00000090530,ENSG00000004799,ENSG00000059804,ENSG00000020633
ENSG00000130347,ENSG00000108349,ENSG00000125686,ENSG00000108349,ENSG00000129691,ENSG00000078124,ENSG00000168925,ENSG00000143797,ENSG00000180596,ENSG00000137392,ENSG00000116106,ENSG00000167258,ENSG00000126500,ENSG00000109072,ENSG00000112667,ENSG00000167656,ENSG00000100342,ENSG00000010030,ENSG00000112759,ENSG00000132434,ENSG00000063660,ENSG00000103196,ENSG00000058056,ENSG00000112936,ENSG00000005249,ENSG00000067113,ENSG00000027869
ENSG00000130348,ENSG00000108352,ENSG00000131748,ENSG00000125686,ENSG00000147471,ENSG00000087884,ENSG00000172016,ENSG00000151883,ENSG00000184260,ENSG00000171790,ENSG00000124422,ENSG00000167371,ENSG00000126861,ENSG00000110245,ENSG00000130748,ENSG00000167768,ENSG00000107201,ENSG00000011600,ENSG00000137171,ENSG00000146648,ENSG00000080573,ENSG00000103888,ENSG00000065675,ENSG00000117594,ENSG00000011465,ENSG00000077157,ENSG00000054598
ENSG00000130349,ENSG00000125686,ENSG00000141736,ENSG00000126351,ENSG00000147475,ENSG00000118363,ENSG00000172023,ENSG00000183579,ENSG00000185900,ENSG00000177688,ENSG00000138336,ENSG00000171217,ENSG00000127364,ENSG00000118004,ENSG00000136149,ENSG00000168490,ENSG00000110446,ENSG00000012124,ENSG00000164663,ENSG00000146729,ENSG00000084636,ENSG00000111799,ENSG00000068976,ENSG00000118004,ENSG00000024422,ENSG00000081041,ENSG00000060138
ENSG00000164494,ENSG00000126351,ENSG00000161395,ENSG00000131748,ENSG00000147535,ENSG00000118369,ENSG00000175535,ENSG00000212916,ENSG00000197714,ENSG00000179751,ENSG00000146648,ENSG00000180189,ENSG00000132849,ENSG00000118137,ENSG00000137970,ENSG00000169469,ENSG00000111331,ENSG00000020633,ENSG00000272170,ENSG00000146731,ENSG00000088882,ENSG00000113083,ENSG00000072954,ENSG00000131480,ENSG00000042286,ENSG00000090006,ENSG00000067057
,ENSG00000131759,ENSG00000167258,ENSG00000131771,ENSG00000147548,ENSG00000137486,ENSG00000219073,,ENSG00000197837,ENSG00000223901,ENSG00000148935,ENSG00000180747,ENSG00000135976,ENSG00000118520,ENSG00000152082,ENSG00000169509,ENSG00000111335,ENSG00000023445,,ENSG00000146733,ENSG00000100985,ENSG00000122641,ENSG00000077009,ENSG00000137714,ENSG00000042445,ENSG00000102802,ENSG00000071539
,ENSG00000141736,ENSG00000188895,ENSG00000141736,ENSG00000156675,ENSG00000137492,,,ENSG00000199477,ENSG00000224891,ENSG00000154874,ENSG00000181322,ENSG00000136206,ENSG00000125144,ENSG00000160256,ENSG00000172867,ENSG00000115267,ENSG00000025708,,ENSG00000154978,ENSG00000102575,ENSG00000122861,ENSG00000077522,ENSG00000138623,ENSG00000048740,ENSG00000105971,ENSG00000075618
,ENSG00000171475,ENSG00000218227,ENSG00000141741,ENSG00000156735,ENSG00000137513,,,ENSG00000200087,ENSG00000225213,ENSG00000171217,ENSG00000181722,ENSG00000138336,ENSG00000125148,ENSG00000161677,ENSG00000173338,ENSG00000115415,ENSG00000027869,,ENSG00000164776,ENSG00000105472,ENSG00000128606,ENSG00000086967,ENSG00000140459,ENSG00000053438,ENSG00000105974,ENSG00000083444
,ENSG00000188895,ENSG00000266469,ENSG00000161395,ENSG00000165046,ENSG00000149262,,,ENSG00000201302,ENSG00000226803,ENSG00000177034,ENSG00000181800,ENSG00000139351,ENSG00000130173,ENSG00000162910,ENSG00000174564,ENSG00000117228,ENSG00000028137,,ENSG00000223612,ENSG00000106333,ENSG00000130508,ENSG00000092054,ENSG00000142494,ENSG00000062282,ENSG00000107562,ENSG00000084207
,ENSG00000266469,,ENSG00000172057,ENSG00000168615,ENSG00000158636,,,ENSG00000202058,ENSG00000228169,ENSG00000204380,ENSG00000196912,ENSG00000152926,ENSG00000130649,ENSG00000165644,ENSG00000175315,ENSG00000119917,ENSG00000051523,,,ENSG00000106538,ENSG00000130635,ENSG00000092529,ENSG00000142615,ENSG00000064989,ENSG00000107738,ENSG00000088325
,,,ENSG00000188895,ENSG00000169490,ENSG00000159063,,,ENSG00000202198,ENSG00000229591,ENSG00000212124,ENSG00000203709,ENSG00000154874,ENSG00000132693,ENSG00000174276,ENSG00000178934,ENSG00000119922,ENSG00000066336,,,ENSG00000107317,ENSG00000134013,ENSG00000100628,ENSG00000147465,ENSG00000067113,ENSG00000108342,ENSG00000099256
,,,ENSG00000266469,ENSG00000175324,ENSG00000178301,,,ENSG00000208772,ENSG00000230397,ENSG00000212719,ENSG00000212664,ENSG00000167232,ENSG00000134339,ENSG00000174775,ENSG00000186395,ENSG00000126709,ENSG00000068831,,,ENSG00000117385,ENSG00000137809,ENSG00000101470,ENSG00000148795,ENSG00000069702,ENSG00000108551,ENSG00000100142
,,,,ENSG00000183779,ENSG00000188997,,,ENSG00000212232,ENSG00000234500,ENSG00000213077,ENSG00000214650,ENSG00000171217,ENSG00000135094,ENSG00000175602,ENSG00000188508,ENSG00000130303,ENSG00000072818,,,ENSG00000129009,ENSG00000142156,ENSG00000101605,ENSG00000172346,ENSG00000073712,ENSG00000108691,ENSG00000103187
,,,,ENSG00000233170,ENSG00000198382,,,ENSG00000212283,ENSG00000234614,ENSG00000220161,ENSG00000215158,ENSG00000171790,ENSG00000135744,ENSG00000178896,ENSG00000189001,ENSG00000130589,ENSG00000077984,,,ENSG00000130203,ENSG00000144810,ENSG00000103994,ENSG00000215187,ENSG00000074416,ENSG00000110799,ENSG00000104783
,,,,ENSG00000239218,ENSG00000246174,,,ENSG00000212443,ENSG00000235426,ENSG00000220305,ENSG00000219085,ENSG00000174501,ENSG00000136872,ENSG00000182154,ENSG00000203782,ENSG00000132274,ENSG00000082074,,,ENSG00000130635,ENSG00000152377,ENSG00000104879,ENSG00000248099,ENSG00000076555,ENSG00000111077,ENSG00000105810
,,,,ENSG00000255201,ENSG00000255135,,,ENSG00000212607,ENSG00000235481,ENSG00000225602,ENSG00000219682,ENSG00000175106,ENSG00000141505,ENSG00000185641,ENSG00000213927,ENSG00000132530,ENSG00000083454,,,ENSG00000134013,ENSG00000154096,ENSG00000105048,ENSG00000254667,ENSG00000076706,ENSG00000111859,ENSG00000106462
,,,,ENSG00000272092,ENSG00000271757,,,ENSG00000238741,ENSG00000237781,ENSG00000225891,ENSG00000220161,ENSG00000177688,ENSG00000158874,ENSG00000188290,ENSG00000224858,ENSG00000133106,ENSG00000089692,,,ENSG00000138080,ENSG00000166147,ENSG00000108515,,ENSG00000077157,ENSG00000113070,ENSG00000107130
,,,,ENSG00000272128,ENSG00000272301,,,ENSG00000238795,ENSG00000238279,ENSG00000226380,ENSG00000220305,ENSG00000180189,ENSG00000162267,ENSG00000188747,ENSG00000241556,ENSG00000134321,ENSG00000091490,,,ENSG00000142156,ENSG00000166923,ENSG00000108823,,ENSG00000079215,ENSG00000116016,ENSG00000107551
