i_doc,doc,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12,Topic 13,Topic 14,Topic 15,Topic 16,Topic 17,Topic 18,Topic 19,Topic 20,Topic 21,Topic 22,Topic 23,Topic 24,Topic 25,Topic 26,Topic 27,Topic 28,Topic 29,Topic 30,Topic 31,Topic 32,Topic 33,Topic 34,Topic 35,Topic 36,Topic 37,Topic 38,Topic 39,Topic 40,Topic 41,Topic 42,Topic 43,Topic 44,Topic 45,Topic 46,Topic 47,Topic 48,Topic 49,Topic 50,Topic 51,Topic 52,Topic 53,Topic 54,Topic 55,Topic 56,Topic 57,Topic 58,Topic 59,Topic 60,Topic 61,Topic 62,Topic 63,Topic 64,Topic 65,Topic 66,Topic 67,Topic 68,Topic 69,Topic 70,Topic 71,Topic 72,Topic 73,Topic 74,Topic 75,Topic 76,Topic 77,Topic 78,Topic 79,Topic 80,Topic 81,Topic 82,Topic 83,Topic 84,Topic 85,Topic 86,Topic 87,Topic 88,Topic 89,Topic 90,Topic 91,Topic 92,Topic 93,Topic 94,Topic 95,Topic 96,Topic 97,Topic 98,Topic 99,Topic 100,Topic 101,Topic 102,Topic 103,Topic 104,Topic 105,Topic 106,Topic 107,Topic 108,Topic 109,Topic 110,Topic 111,Topic 112,Topic 113,Topic 114,Topic 115,Topic 116,Topic 117,Topic 118,Topic 119,Topic 120,Topic 121,Topic 122,Topic 123
0,dc0ce32f-d5aa-489f-ba4b-e01443815121.FPKM.txt.gz,0.004544614816183262,0.002808054683170146,0.0018474043968224644,0.018880472935525586,0.00051727323111029,0.004914095695547755,0.003583964529835581,7.389617587289857e-05,0.00014779235174579715,0.004544614816183262,0.0008498060225383337,0.005283576574912248,0.0006281174949196379,0.004175133936818769,0.00011084426380934787,0.03184925180121929,0.030408276371697764,0.007906890818400148,0.004840199519674857,0.009421762423794569,0.009643450951413264,0.0008128579346018843,0.023018658784407908,7.389617587289857e-05,0.0,0.0050988361352300015,0.001145390726029928,0.00014779235174579715,0.011343062996489931,0.0004433770552373915,0.005837797893958988,0.011232218732680583,0.001662663957140218,0.003694808793644929,0.03007574358026972,0.00011084426380934787,0.00011084426380934787,0.008719748753002032,0.0009606502863476815,0.001404027341585073,0.0064659153888786255,0.0004433770552373915,0.0,0.0034361721780897837,0.002660262331424349,0.006909292444116017,0.011084426380934787,0.0007020136707925365,0.007389617587289858,0.0024755218917421025,0.005357472750785147,0.0004433770552373915,0.0,0.008202475521891742,0.0022538333641234066,0.00011084426380934787,0.0,0.00011084426380934787,0.0014409754295215222,0.0022168852761869575,0.005653057454276741,0.010936634029188989,0.004470718640310364,0.002032144836504711,0.00022168852761869575,0.00011084426380934787,0.007426565675226307,0.00011084426380934787,0.010197672270460003,3.6948087936449286e-05,0.00040642896730094216,0.00018474043968224645,0.0005911694069831886,0.000886754110474783,0.0019951967485682615,0.0012562349898392758,7.389617587289857e-05,0.0013670792536486236,0.0007389617587289858,0.00018474043968224645,0.005505265102530944,0.000886754110474783,0.0022538333641234066,0.000258636615555145,0.00011084426380934787,0.00011084426380934787,0.0015148716053944209,3.6948087936449286e-05,0.016996120450766674,0.00018474043968224645,0.22165157953075929,3.6948087936449286e-05,0.0008128579346018843,0.00011084426380934787,0.00014779235174579715,0.00018474043968224645,0.0,0.0012192869019028265,0.001810456308886015,0.07142065398115648,0.0,0.0012931830777757251,0.0,0.0034731202660262333,0.07966007759098466,0.0007389617587289858,0.0077960465545907996,0.17221503787179013,0.0,0.0,0.0022538333641234066,0.00011084426380934787,0.04056900055422132,0.0,3.6948087936449286e-05,0.0,0.0031036393866617404,0.0,0.0,0.0,0.0,3.6948087936449286e-05,0.0
1,2b33014e-c7ff-41aa-82bf-3121756639ad.FPKM.txt.gz,0.0038595137012736396,0.001466615206483983,0.03396372057120803,0.02022385179467387,0.0013894249324585101,0.004631416441528367,0.0008490930142802007,7.719027402547279e-05,0.0008490930142802007,0.013508297954457738,0.006561173292165187,0.0017753763025858743,0.00038595137012736397,7.719027402547279e-05,0.00015438054805094558,0.008954071786954844,0.007641837128521806,0.005171748359706677,0.008490930142802007,0.010189116171362408,0.0016981860285604014,0.01790814357390969,0.011964492473948282,7.719027402547279e-05,0.00023157082207641837,0.0005403319181783095,0.0006175221922037823,0.002701659590891548,0.034812813585488225,0.0034735623311462757,0.013817059050559629,0.009340023157082208,0.0020069471246622925,0.03195677344654574,0.01551524507912003,0.00023157082207641837,0.0,0.028020069471246623,0.0007719027402547279,0.005326128907757623,0.0020841373986877653,0.008490930142802007,0.003705133153222694,0.023697414125820146,0.002547279042840602,0.0016981860285604014,0.0006947124662292551,0.03157082207641837,0.01790814357390969,0.022539560015438054,0.00030876109610189115,0.0024700887688151292,0.00038595137012736397,0.005789270551910459,0.028174450019297567,7.719027402547279e-05,0.00030876109610189115,0.0020841373986877653,0.002547279042840602,0.00015438054805094558,0.037051331532226936,0.0008490930142802007,0.0024700887688151292,0.0005403319181783095,0.0,0.007487456580470861,0.004862987263604786,0.0,0.001466615206483983,0.0,0.00023157082207641837,0.0006175221922037823,0.015901196449247396,0.0006175221922037823,0.00015438054805094558,0.0008490930142802007,0.00030876109610189115,0.00046314164415283673,0.0006947124662292551,0.013662678502508683,0.00331918178309533,0.1143187958317252,0.001080663836356619,0.03728290235430336,0.0017753763025858743,0.00030876109610189115,0.002547279042840602,0.0,0.00524893863373215,0.024392126592049403,0.0885372443072173,0.002856040138942493,0.00038595137012736397,0.00015438054805094558,0.0049401775376302585,0.0,0.00015438054805094558,0.0019297568506368198,0.00030876109610189115,0.002933230412967966,0.00023157082207641837,0.006020841373986878,0.0009262832883056735,0.00038595137012736397,0.004631416441528367,0.018448475492087998,0.020764183712852182,0.0024700887688151292,0.007487456580470861,0.0,0.014588961790814358,0.00046314164415283673,0.003010420686993439,0.00030876109610189115,0.0,0.002624469316866075,0.0007719027402547279,0.0,0.0,0.03396372057120803,0.0,0.013662678502508683,0.020069471246622925
2,397e302e-393e-4f54-b360-fcffe394271e.FPKM.txt.gz,0.0021629416005767843,0.004866618601297765,0.008651766402307137,0.029289834174477287,0.00820115356885364,0.0027937995674116797,0.0005407354001441961,0.00027036770007209804,0.004506128334534967,0.00549747656813266,0.013338139870223503,0.010544340302811823,0.0012617159336697908,0.00027036770007209804,0.006398702235039654,0.006578947368421052,0.03334534967555876,0.02874909877433309,0.0136986301369863,0.012707281903388608,0.0016222062004325882,0.0032444124008651765,0.019736842105263157,0.017213410237923575,0.007299927901946647,0.0011715933669790915,0.00045061283345349673,0.00027036770007209804,0.0037851478010093725,0.0006308579668348954,0.006218457101658255,0.009372746935832732,0.0011715933669790915,0.006218457101658255,0.022350396539293438,0.0009913482335976928,0.0019826964671953856,0.020187454938716654,0.0013518385003604902,0.0027937995674116797,0.0030641672674837778,0.0027937995674116797,0.0,0.012797404470079307,0.0013518385003604902,0.020097332372025954,0.00027036770007209804,0.0012617159336697908,0.018204758471521268,0.00973323720259553,0.00045061283345349673,0.0013518385003604902,0.0,0.011715933669790915,0.013248017303532804,0.0,0.0001802451333813987,0.00045061283345349673,0.003604902667627974,0.0003604902667627974,0.019736842105263157,0.0005407354001441961,0.005767844268204758,0.004686373467916366,0.0037851478010093725,0.00045061283345349673,0.009913482335976928,0.0005407354001441961,0.004506128334534967,0.00045061283345349673,0.003965392934390771,0.0011715933669790915,0.02874909877433309,0.0011715933669790915,0.005046863734679163,0.009012256669069935,0.0001802451333813987,0.0015320836337418889,0.0,0.00027036770007209804,0.0008111031002162941,0.012707281903388608,0.0003604902667627974,0.01505046863734679,0.001802451333813987,0.0003604902667627974,0.003695025234318673,0.0,0.003154289834174477,0.0001802451333813987,0.02208002883922134,0.003154289834174477,0.0021629416005767843,9.012256669069935e-05,0.003604902667627974,0.0,0.0,0.005317231434751261,0.001802451333813987,0.004776496034607065,0.0,0.003334534967555876,9.012256669069935e-05,0.0011715933669790915,0.02604542177361211,0.0005407354001441961,0.0548846431146359,0.001802451333813987,0.139689978370584,0.0553352559480894,0.03884282624369142,0.0025234318673395817,0.0,0.0008111031002162941,0.0,0.0,0.010273972602739725,0.0,0.0016222062004325882,0.05623648161499639,0.0,0.0,0.0015320836337418889
3,037b5a94-487e-4f5b-90a3-d696eb4a8a3e.FPKM.txt.gz,0.007342241037174229,0.0053578515676676805,0.001653657891255457,0.029567403095647572,0.0003968778939013097,0.004564095779865061,0.0007276094721524011,0.0003968778939013097,0.0005953168408519646,0.009921947347532743,0.0033734620981611322,0.007077655774573356,0.002844291572959386,0.010054239978833179,0.0,0.025267892578383383,0.02070379679851832,0.008202143140627068,0.02070379679851832,0.019579309432464612,0.010186532610133615,0.0009260484191030559,0.019050138907262867,0.00013229263130043657,0.0,0.006085461039820082,0.002116682100806985,0.0003307315782510914,0.013163116814393439,0.00013229263130043657,0.010583410504034925,0.021299113639370287,0.0011906336817039292,0.0054239978833179,0.022159015742823123,0.00019843894695065485,0.0,0.014949067336949331,0.0012567799973541474,0.005093266305066808,0.008334435771927504,0.0,0.0,0.007606826299775103,0.0023151210477576397,0.026061648366186005,0.0015213652599550204,0.0019843894695065487,0.007276094721524011,0.002116682100806985,0.0019182431538563303,0.0007276094721524011,0.0,0.022886625214975524,0.012038629448339727,0.0035719010451117873,0.0,0.0,0.00654848524937161,0.0008599021034528377,0.04359042201349385,0.0021828284164572033,0.0050271199894165895,0.005225558936367244,0.0005291705252017463,0.001389072628654584,0.009921947347532743,0.0,0.00271199894165895,0.0,0.0019843894695065487,0.0007937557878026194,0.0013229263130043656,0.0010583410504034925,0.0023812673634078583,0.003307315782510914,0.00019843894695065485,0.00046302420955152796,0.00046302420955152796,0.0005291705252017463,0.0006614631565021828,0.0009921947347532743,0.0005953168408519646,0.00013229263130043657,0.00013229263130043657,0.00013229263130043657,0.0022489747321074215,0.0,0.001653657891255457,0.00026458526260087314,0.3012303214710941,0.0,0.001653657891255457,6.614631565021828e-05,0.0005953168408519646,0.00019843894695065485,0.0,0.0035719010451117873,0.0007937557878026194,0.027913745204392115,0.0,0.017859505225558937,6.614631565021828e-05,0.0,0.07071041143008334,0.0,0.010318825241434052,0.006019314724169863,0.00019843894695065485,0.018388675750760683,0.008731313665828813,0.008202143140627068,0.0036380473607620055,0.004299510517264188,0.0,0.0,0.0005953168408519646,0.0,0.0011906336817039292,0.0,0.0,0.0009260484191030559,0.004564095779865061
4,5e010a9a-7f65-434b-ae4c-43948461187c.FPKM.txt.gz,0.010946327683615819,0.0026129943502824857,0.0006709039548022599,0.011970338983050848,0.0004943502824858757,0.05063559322033898,0.0026129943502824857,7.062146892655367e-05,7.062146892655367e-05,0.014300847457627119,0.000635593220338983,0.008509887005649718,0.0008121468926553672,0.0003884180790960452,0.000211864406779661,0.023481638418079095,0.014936440677966102,0.00882768361581921,0.0044491525423728815,0.009887005649717515,0.025247175141242938,0.0013418079096045197,0.03167372881355932,0.00014124293785310735,0.0,0.0024717514124293787,0.007556497175141243,0.00014124293785310735,0.022775423728813558,0.000211864406779661,0.000211864406779661,0.016878531073446328,0.000423728813559322,0.014088983050847458,0.005614406779661017,0.0004943502824858757,3.531073446327684e-05,0.006355932203389831,0.0018008474576271187,0.0020833333333333333,0.010911016949152542,0.000211864406779661,0.0003177966101694915,0.0029307909604519775,0.004590395480225989,0.003884180790960452,0.011405367231638418,0.0022598870056497176,0.0046963276836158195,0.0015536723163841809,0.0008121468926553672,0.0018714689265536724,7.062146892655367e-05,0.011475988700564972,0.0004943502824858757,3.531073446327684e-05,0.0002824858757062147,0.00017655367231638418,0.0009180790960451978,0.007627118644067797,0.005861581920903955,0.04187853107344633,0.002153954802259887,0.000847457627118644,0.00014124293785310735,0.00017655367231638418,0.0035663841807909605,0.0,0.0031779661016949155,3.531073446327684e-05,0.0001059322033898305,0.000211864406779661,0.0005649717514124294,0.004025423728813559,0.0007415254237288136,0.000211864406779661,0.0,0.002577683615819209,7.062146892655367e-05,0.0013771186440677966,0.002365819209039548,0.004484463276836158,0.0,0.0003177966101694915,0.0,0.006426553672316384,0.0020127118644067796,0.0,0.0007062146892655367,0.0003884180790960452,0.36550141242937856,7.062146892655367e-05,0.002401129943502825,3.531073446327684e-05,0.0010240112994350282,0.0003177966101694915,0.0,0.000847457627118644,0.00035310734463276836,0.012535310734463278,0.0,0.0001059322033898305,0.0,7.062146892655367e-05,0.008721751412429379,3.531073446327684e-05,0.004484463276836158,0.020127118644067795,0.0001059322033898305,0.0,0.002153954802259887,0.0,0.11850282485875706,7.062146892655367e-05,0.0027189265536723163,0.0,0.00211864406779661,0.0,0.00024717514124293784,0.0,0.0,0.0003884180790960452,3.531073446327684e-05
5,ae59d924-06ec-428d-b470-e78ed92c5e36.FPKM.txt.gz,0.006430868167202572,0.0011630293493876992,0.012793322843264692,0.024013135390298968,6.84134911404529e-05,0.005131011835533967,0.0005473079291236232,6.84134911404529e-05,0.0031470205924608334,0.014503660121776014,0.003967982486146268,0.0015735102962304167,0.0004788944379831703,0.0003420674557022645,0.0003420674557022645,0.011288226038174727,0.009988369706506123,0.004241636450708079,0.005609906273517137,0.047068481904631594,0.004310049941848532,0.012588082369843333,0.013614284736950127,0.0,0.0002736539645618116,0.0006157214202640761,0.000684134911404529,0.0008209618936854347,0.009714715741944312,0.06266675788465485,0.0028049531367585687,0.007867551481152084,0.001436683313949511,0.02456044331942259,0.009783129233084765,0.002189231716494493,6.84134911404529e-05,0.027502223438462065,0.002668126154477663,0.011903947458438804,0.005473079291236232,0.004378463432988986,0.0006157214202640761,0.018676883081343642,0.0008893753848258877,0.0017787507696517754,0.0005473079291236232,0.02572347266881029,0.00732024355202846,0.01956625846616953,0.000684134911404529,0.002873366627899022,0.0011630293493876992,0.011903947458438804,0.019429431483888624,0.0,0.0008893753848258877,0.0019155777519326812,0.0023260586987753984,0.0007525484025449819,0.019224191010467264,0.0005473079291236232,0.0015735102962304167,0.0002736539645618116,0.0011630293493876992,0.008825340357118424,0.009030580830539783,6.84134911404529e-05,0.004652117397550797,0.0,0.0001368269822809058,0.00020524047342135868,0.005609906273517137,0.002189231716494493,0.0008209618936854347,0.0012314428405281522,0.000684134911404529,0.00020524047342135868,6.84134911404529e-05,0.003420674557022645,0.0010262023671067935,0.030307176575220633,0.0004788944379831703,0.01204077444071971,0.00020524047342135868,0.0003420674557022645,0.004241636450708079,0.0007525484025449819,0.0248340972839844,0.017377026749675038,0.03913251693233906,0.007593897516590272,0.000684134911404529,0.000684134911404529,0.008620099883697064,0.00020524047342135868,0.0,0.000684134911404529,0.00020524047342135868,0.0017103372785113224,0.01087774509133201,0.0021208182253540397,0.004857357870972156,0.001299856331668605,0.004515290415269891,0.004241636450708079,0.030580830539782444,0.004925771362112609,0.0002736539645618116,0.0,0.0004788944379831703,0.0055414927823766846,0.005746733255798044,0.050420742970513785,6.84134911404529e-05,0.008893753848258877,0.00020524047342135868,0.0,0.0004788944379831703,0.020455633850995417,0.01607717041800643,6.84134911404529e-05,0.1410686187316139
6,2b2b6341-1f6d-4acc-8a67-0ba8ab051ee8.FPKM.txt.gz,0.008661186142102173,0.0011114839359114169,0.0007130274305846825,0.008157872661689455,0.0002516567402063585,0.01595923160808657,0.0013211978860833823,2.0971395017196544e-05,2.0971395017196544e-05,0.0034602801778374297,0.0005452562704471102,0.004466907138662864,0.0005871990604815032,0.0008807985907222549,2.0971395017196544e-05,0.030744065095210132,0.018412884825098567,0.0037329083130609847,0.0034393087828202334,0.0030198808824763025,0.009814612868047983,0.00039845650532673434,0.014491233956882812,0.0,6.291418505158963e-05,0.002705309957218354,0.0028730811173559266,0.00012582837010317925,0.01728042949416995,2.0971395017196544e-05,0.00041942790034393086,0.010234040768391914,0.0003145709252579482,0.0028311383273215336,0.0029150239073903197,6.291418505158963e-05,0.0,0.004299135978525291,0.0007969130106534687,0.0004823420853955205,0.003921650868215754,0.00012582837010317925,2.0971395017196544e-05,0.0017196543914101167,0.002076168106702458,0.004131364818387719,0.004970220619075581,0.0017406257864273132,0.0027891955372871405,0.00041942790034393086,0.0004823420853955205,0.0005662276654643067,2.0971395017196544e-05,0.004970220619075581,0.00041942790034393086,4.194279003439309e-05,2.0971395017196544e-05,0.0001467997651203758,0.00035651371529234123,0.007423873836087577,0.004194279003439309,0.0327782904118782,0.0011743981209630064,0.0006081704554986997,6.291418505158963e-05,0.00010485697508598272,0.0013002264910661858,0.0,0.0010905125408942203,0.0,2.0971395017196544e-05,0.00012582837010317925,0.0005242848754299136,0.0027472527472527475,0.0004823420853955205,4.194279003439309e-05,0.0,0.0025165674020635855,0.00016777116013757235,0.0005242848754299136,0.0009437127757738444,0.0026423957721667646,0.0,8.388558006878618e-05,4.194279003439309e-05,0.005515476889522691,0.0006501132455330929,0.0,0.00010485697508598272,0.00044039929536112744,0.4388054693398205,6.291418505158963e-05,0.002474624612029192,0.0,0.0019503397365992787,6.291418505158963e-05,0.0,0.0005242848754299136,8.388558006878618e-05,0.015372032547605066,0.0,0.0003145709252579482,0.0,0.0001467997651203758,0.006207532925090177,2.0971395017196544e-05,0.004823420853955205,0.0037538797080781815,8.388558006878618e-05,4.194279003439309e-05,0.001971311131616475,2.0971395017196544e-05,0.24742051841288482,0.0,0.004424964348628471,0.0,4.194279003439309e-05,0.0,0.00023068534518916198,0.0,0.0,0.0002516567402063585,0.0
7,87d1452e-8ec6-4c75-a03b-361738c728c0.FPKM.txt.gz,0.0007129519606178917,0.003395009336275675,0.0009845527075199457,0.017076896961466644,0.006178916992021728,0.0033271091495501613,0.00016975046681378373,0.00023765065353929723,0.002546257002206756,0.002546257002206756,0.0035647598030894585,0.008080122220336106,0.0003055508402648107,0.003089458496010864,0.0005771515871668647,0.005398064844678323,0.012934985571210322,0.008521473434051944,0.004922763537599729,0.0040061110168052964,0.0013580037345102699,0.00040740112035308096,0.009981327448650483,0.12459684264131726,0.00023765065353929723,0.0008487523340689187,0.00047530130707859445,0.00023765065353929723,0.002410456628755729,0.0006790018672551349,0.001731454761500594,0.006009166525207945,0.0016296044814123238,0.002546257002206756,0.02179595993888983,0.0003055508402648107,0.0,0.009472076048209132,0.0005092514004413513,0.0015277542013240537,0.001731454761500594,0.000271600746902054,0.0,0.0049906637243252415,0.0005092514004413513,0.012391784077406213,0.0015617042946868105,0.0007129519606178917,0.01242573417076897,0.001086402987608216,6.79001867255135e-05,0.000135800373451027,0.0,0.002138855881853675,0.003632659989814972,6.79001867255135e-05,0.0,3.395009336275675e-05,0.0007129519606178917,0.11885927686301137,0.010049227635375997,0.00016975046681378373,0.015515192666779833,0.0031573586827363777,0.0007129519606178917,0.0003055508402648107,0.0024783568154812426,0.00016975046681378373,0.0009166525207944322,0.007502970633169241,0.005194364284501782,0.0004413512137158377,0.002172805975216432,0.0008148022407061619,0.0007129519606178917,6.79001867255135e-05,0.000135800373451027,0.0013580037345102699,0.0,0.0003734510269903242,0.0016296044814123238,0.00145985401459854,6.79001867255135e-05,0.0003734510269903242,0.000135800373451027,0.0,0.001188253267696486,0.0,0.0014938041079612969,0.0,0.17076896961466645,3.395009336275675e-05,0.0016296044814123238,0.0,3.395009336275675e-05,0.0,3.395009336275675e-05,0.002138855881853675,0.0007129519606178917,0.01127143099643524,0.0,0.002342556442030216,0.00033950093362756747,0.00047530130707859445,0.008283822780512646,0.0,0.006280767272109998,0.01222203361059243,0.04498387370565269,0.017450347988456967,0.013851638092004752,0.0004413512137158377,0.00020370056017654048,0.0,0.0,0.0,0.21025292819555252,0.0,0.000271600746902054,0.0006790018672551349,0.0,3.395009336275675e-05,0.0
8,5d420937-4d97-4f04-9ce9-754054261d97.FPKM.txt.gz,0.0035220956469099113,0.0020362115458697925,0.0015409168455230863,0.023333883660778165,0.0003301964668978042,0.003467062902426944,0.0061086346376093776,0.0,5.5032744482967364e-05,0.008695173628308843,0.010896483407627538,0.011501843596940179,0.0012107203786252822,5.5032744482967364e-05,0.0004402619558637389,0.021022508392493533,0.013207858675912168,0.014803808265918221,0.012492432997633592,0.007869682461064334,0.013703153376258874,0.0008805239117274778,0.03538605470254801,0.0,0.0,0.0038522921138077156,0.00011006548896593473,0.0007704584227615431,0.00500797974795003,0.0,0.003467062902426944,0.0313686643552914,0.005063012492432998,0.008089813438996203,0.0104562214517638,0.0002751637224148368,0.0,0.014913873754884156,0.0001650982334489021,0.004457652303120356,0.0014858841010401188,0.0001650982334489021,0.0,0.007704584227615431,0.0014308513565571516,0.01645479060040724,0.0030818336910461725,0.002531506246216499,0.01733531451213472,0.00209124429035276,0.007374387760717627,0.0004952947003467063,0.0,0.007759616972098399,0.00396235760277365,5.5032744482967364e-05,0.0,0.00011006548896593473,0.0008805239117274778,0.00038522921138077156,0.019151395080072645,0.023719112872158936,0.003797259369324748,0.026635848329756205,0.00011006548896593473,0.001650982334489021,0.010566286940729735,0.0029717682020802376,0.0030818336910461725,0.0,0.0011006548896593472,0.002531506246216499,0.006824060315887954,0.0002751637224148368,0.0007704584227615431,0.0002751637224148368,0.0005503274448296736,0.0041274558362225525,0.00104562214517638,0.0007154256782785758,0.0012107203786252822,0.0007154256782785758,0.0,5.5032744482967364e-05,0.00011006548896593473,0.0002751637224148368,0.0026966044796654007,0.0,0.005558307192779704,0.00038522921138077156,0.22216718947773925,0.0,0.0008254911672445105,0.0,0.0002751637224148368,0.0,0.0,0.013262891420395134,0.00022013097793186946,0.032469319244950744,0.0,0.003467062902426944,5.5032744482967364e-05,0.0,0.019316493313521546,0.0,0.022233228771118815,0.17478399647790435,0.0037422266248417807,0.0002751637224148368,0.027241208519068846,0.0,0.0037422266248417807,0.0003301964668978042,0.0,0.0,0.00011006548896593473,0.0,5.5032744482967364e-05,0.0,0.0,0.0006603929337956084,0.0
9,c622f68c-e37c-45ee-a266-ae704629f0f6.FPKM.txt.gz,0.011167026120297149,0.001821231727773784,0.005751258087706686,0.015815959741193385,0.0012940330697340044,0.01361131080757249,0.00201294033069734,9.58543014617781e-05,0.0,0.013179966450994488,0.0025880661394680087,0.0028277018931224538,0.0024442846872753414,0.0023484303858135633,0.002060867481428229,0.02683920440929787,0.022957105200095855,0.005847112389168464,0.005751258087706686,0.036472561706206566,0.010735681763719147,0.003930026359932902,0.016439012700694942,9.58543014617781e-05,0.00033549005511622335,0.0008147615624251139,0.0031631919482386773,0.0011502516175413372,0.01710999281092739,0.009681284447639589,0.00450515216870357,0.021758926431823627,0.0021087946321591182,0.019985621854780734,0.010256410256410256,0.0008147615624251139,0.0008626887131560029,0.01615144979630961,0.0023963575365444525,0.012413132039300263,0.009681284447639589,0.0015815959741193387,0.0006230529595015577,0.007380781212556913,0.0021087946321591182,0.0022046489336208963,0.002156721782890007,0.008674814282290918,0.00603882099209202,0.03695183321351546,0.0005751258087706686,0.0010543973160795591,0.00023963575365444525,0.014713635274382937,0.012892403546609154,4.792715073088905e-05,0.0007189072609633358,0.0012940330697340044,0.0026359932901988976,0.0006709801102324467,0.010639827462257369,0.0034028277018931224,0.002923556194584232,0.0010543973160795591,0.0025880661394680087,0.0024442846872753414,0.00450515216870357,0.0,0.0036903906062784567,0.0,0.00033549005511622335,0.0004792715073088905,0.0050323508267433505,0.0025880661394680087,0.0003834172058471124,0.0013898873711957825,0.004936496525281572,0.0012461059190031153,0.00014378145219266715,0.0014857416726575606,0.0013419602204648934,0.002971483345315121,0.00014378145219266715,0.0007668344116942248,9.58543014617781e-05,0.0011502516175413372,0.005080277977474239,0.0007189072609633358,0.030817157919961657,0.03120057512580877,0.19142104001917087,0.004792715073088905,0.0012461059190031153,0.0002875629043853343,0.009489575844716032,9.58543014617781e-05,4.792715073088905e-05,0.000910615863886892,0.0005751258087706686,0.005942966690630242,0.011310807572489815,0.00100647016534867,0.004169662113587347,0.000958543014617781,0.008483105679367362,0.001917086029235562,0.012844476395878265,0.01202971483345315,0.0007668344116942248,4.792715073088905e-05,0.002156721782890007,0.0026359932901988976,0.023100886652288523,0.03819793913251857,0.0011502516175413372,0.017541337167505392,0.0011502516175413372,0.008387251377905584,0.00014378145219266715,0.000910615863886892,0.016870357057272946,0.0001917086029235562,0.053822190270788405
