i_doc,doc,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12,Topic 13,Topic 14,Topic 15,Topic 16,Topic 17,Topic 18,Topic 19,Topic 20,Topic 21,Topic 22,Topic 23,Topic 24,Topic 25,Topic 26,Topic 27,Topic 28,Topic 29,Topic 30
0,dc0ce32f-d5aa-489f-ba4b-e01443815121.FPKM.txt.gz,0.07034915943099944,0.041271014225013856,0.1793829669314613,0.07090338075004618,0.0008128579346018843,0.017808978385368556,0.0006281174949196379,0.0042120820247552185,0.00011084426380934787,0.034213929429152044,0.004951043783484205,7.389617587289857e-05,0.0005911694069831886,0.0005911694069831886,0.0007389617587289858,0.002438573803805653,0.33020506188804727,0.014188065767596528,0.0006281174949196379,3.6948087936449286e-05,0.0022168852761869575,3.6948087936449286e-05,0.0007389617587289858,0.000258636615555145,0.00022168852761869575,0.22165157953075929,0.0,0.0007389617587289858,0.0,0.0
1,2b33014e-c7ff-41aa-82bf-3121756639ad.FPKM.txt.gz,0.10243149363180239,0.035198764955615594,0.1793130065611733,0.009803164801235045,0.0011578541103820917,0.12520262446931688,0.00038595137012736397,7.719027402547279e-05,0.00015438054805094558,0.03620223851794674,0.24808954071786954,7.719027402547279e-05,0.003164801235044384,0.02848321111539946,0.02964106522578155,0.0075646468544963335,0.011732921651871864,0.001466615206483983,0.0030876109610189118,0.003164801235044384,0.00015438054805094558,0.0,0.0006947124662292551,0.03728290235430336,0.028174450019297567,0.0885372443072173,0.00030876109610189115,0.018448475492087998,0.0,0.0
2,397e302e-393e-4f54-b360-fcffe394271e.FPKM.txt.gz,0.2929884643114636,0.054614275414563804,0.17609949531362654,0.018475126171593366,0.008741888968997837,0.050288392213410235,0.0012617159336697908,0.00027036770007209804,0.006398702235039654,0.070746214852199,0.11337418889689978,0.017213410237923575,0.014329488103821196,0.005767844268204758,0.0035147801009372745,0.0009913482335976928,0.05272170151405912,0.010544340302811823,0.003424657534246575,0.0001802451333813987,0.0003604902667627974,0.00045061283345349673,0.0,0.01505046863734679,0.003424657534246575,0.02208002883922134,0.0008111031002162941,0.0005407354001441961,0.0553352559480894,0.0
3,037b5a94-487e-4f5b-90a3-d696eb4a8a3e.FPKM.txt.gz,0.11860034396084138,0.04332583675089297,0.2326365921418177,0.02811218415134277,0.0031750231512104776,0.042201349384839264,0.002844291572959386,0.010054239978833179,0.0,0.03155179256515412,0.01508135996824977,0.00013229263130043657,0.0010583410504034925,0.005291705252017462,0.0019182431538563303,0.0007937557878026194,0.13070511972483131,0.002116682100806985,0.0046963884111654985,0.0,0.0008599021034528377,0.0,0.00046302420955152796,0.00013229263130043657,0.0003307315782510914,0.3012303214710941,0.004299510517264188,0.0,0.018388675750760683,0.0
4,5e010a9a-7f65-434b-ae4c-43948461187c.FPKM.txt.gz,0.10342514124293785,0.04025423728813559,0.15102401129943502,0.19629237288135593,0.0005649717514124294,0.035451977401129944,0.0008121468926553672,0.0031073446327683617,0.000211864406779661,0.01507768361581921,0.009322033898305085,0.00014124293785310735,0.0008121468926553672,0.001271186440677966,0.0017655367231638418,0.0005649717514124294,0.04526836158192091,0.013524011299435028,0.006709039548022599,0.0002824858757062147,0.007627118644067797,3.531073446327684e-05,7.062146892655367e-05,0.0003177966101694915,0.0004590395480225989,0.36550141242937856,7.062146892655367e-05,3.531073446327684e-05,0.0,0.0
5,ae59d924-06ec-428d-b470-e78ed92c5e36.FPKM.txt.gz,0.06540329753027296,0.01956625846616953,0.14489977423547923,0.013751111719231032,0.003557501539303551,0.1086406239310392,0.0004788944379831703,0.00041048094684271736,0.0003420674557022645,0.10248340972839844,0.11301908736402819,0.0,0.004515290415269891,0.2123554764999658,0.016624478347130055,0.004857357870972156,0.012930149825545597,0.0007525484025449819,0.001436683313949511,0.037490593144968186,0.0007525484025449819,0.0,6.84134911404529e-05,0.01204077444071971,0.029828282137237462,0.03913251693233906,0.050420742970513785,0.004241636450708079,0.0,0.0
6,2b2b6341-1f6d-4acc-8a67-0ba8ab051ee8.FPKM.txt.gz,0.04538209881721332,0.023404076839191344,0.11569918630987333,0.2956547269524369,0.00012582837010317925,0.009332270782652462,0.0005871990604815032,0.005305762939350726,2.0971395017196544e-05,0.00794815871151749,0.006039761764952605,0.0,0.0003145709252579482,0.001971311131616475,0.0007549702206190756,0.0001887425551547689,0.029464809999161144,0.005012163409109974,0.0057251908396946565,2.0971395017196544e-05,0.007423873836087577,0.0,0.00016777116013757235,8.388558006878618e-05,0.000503313480412717,0.4388054693398205,0.0,2.0971395017196544e-05,4.194279003439309e-05,0.0
7,87d1452e-8ec6-4c75-a03b-361738c728c0.FPKM.txt.gz,0.10388728569003565,0.02661687319640129,0.09726701748429809,0.025326769648616534,0.007978271940247837,0.016329994907485997,0.0003055508402648107,0.003089458496010864,0.0005771515871668647,0.011780682396876591,0.006857918859276863,0.12459684264131726,0.0014938041079612969,0.0007129519606178917,0.0009506026141571889,0.00023765065353929723,0.04416907146494653,0.21181463249023935,0.0006790018672551349,0.0,0.11885927686301137,0.007502970633169241,0.0,0.0003734510269903242,0.0003734510269903242,0.17076896961466645,0.0,0.0,0.017450347988456967,0.0
8,5d420937-4d97-4f04-9ce9-754054261d97.FPKM.txt.gz,0.11914589180562435,0.0782565626547796,0.1816080567937923,0.05646359583952452,0.0011556876341423147,0.035000825491167245,0.0012107203786252822,5.5032744482967364e-05,0.0004402619558637389,0.03566121842496285,0.012492432997633592,0.0,0.0011556876341423147,0.0002751637224148368,0.002531506246216499,0.0006603929337956084,0.24302459963678388,0.003191899180012107,0.0029717682020802376,0.0,0.00038522921138077156,0.0,0.00104562214517638,5.5032744482967364e-05,0.0004402619558637389,0.22216718947773925,0.0003301964668978042,0.0,0.0002751637224148368,0.0
9,c622f68c-e37c-45ee-a266-ae704629f0f6.FPKM.txt.gz,0.07999041456985383,0.028420800383417207,0.17268152408339324,0.04299065420560748,0.0005271986580397796,0.102803738317757,0.0024442846872753414,0.0034986820033549005,0.002060867481428229,0.0801341960220465,0.029906542056074768,9.58543014617781e-05,0.005751258087706686,0.07299305056314402,0.005511622334052241,0.007236999760364246,0.02866043613707165,0.0033069734004313443,0.0021087946321591182,0.047160316319194824,0.0006709801102324467,0.0,0.00014378145219266715,0.0007668344116942248,0.040162952312485026,0.19142104001917087,0.03819793913251857,0.001917086029235562,4.792715073088905e-05,0.008387251377905584
