i_doc,doc,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10
0,7d079b75-6da9-4e35-b0b0-7dbc68fbf0d0.FPKM.txt.gz,0.27702528932704673,0.11448778396913845,0.05786540934419203,0.0014573510501500215,0.009729961423060438,0.0019288469781397343,0.10852978996999571,0.14993570510072868,0.011230175739391342,0.2678096870981569
1,dc0ce32f-d5aa-489f-ba4b-e01443815121.FPKM.txt.gz,0.23188619988915574,0.00823942360982819,0.30888601514871605,0.00103454646222058,0.048291150932939224,0.005468317014594494,0.17358211712543875,0.0009237021984112322,3.6948087936449286e-05,0.22165157953075929
2,50dcf6f0-fce9-45aa-af88-116313aa3936.FPKM.txt.gz,0.6,0.04816901408450704,0.025704225352112677,0.0035915492957746477,0.024507042253521127,0.00014084507042253522,0.18464788732394366,0.06704225352112676,0.00028169014084507044,0.04591549295774648
3,3dd9e081-d183-49b4-8d67-afa513496f21.FPKM.txt.gz,0.4245977638396509,0.060676302154349604,0.06401690755385873,0.00920370875374966,0.046973002454322337,0.0014998636487592036,0.1767793836923916,0.025293155167712026,0.0033406053995091354,0.18761930733569676
4,00068002-f4f0-4610-bfe6-67169c760d21.FPKM.txt.gz,0.2533103051237766,0.12991748224908847,0.005821019637945372,0.0020469519605961746,0.012025842768502527,0.0,0.13471502590673576,0.4027377982472974,0.058593999872065504,0.000831574233992196
5,1edd3b8b-2a9c-43f9-a20e-ca564a37d3aa.FPKM.txt.gz,0.2856465568329975,0.21524238473391016,0.004859547232428588,0.0034372407253763187,0.005926277112717791,0.0004741021690174233,0.22472442811425863,0.15716486902927582,0.05979613606732251,0.04272845798269527
6,c897eb81-97e5-4007-9d85-66aa2c565f0e.FPKM.txt.gz,0.2954024306351754,0.09751203852327447,0.010146755331346022,0.005274019720247649,0.009458839715661546,0.000343957807842238,0.1773102499426737,0.2385920660398991,0.0702247191011236,0.09573492318275625
7,2b33014e-c7ff-41aa-82bf-3121756639ad.FPKM.txt.gz,0.30760324199150907,0.29340023157082207,0.018680046314164415,0.00910845233500579,0.01883442686221536,0.0010034735623311462,0.2033963720571208,0.056348900038595134,0.0030876109610189118,0.0885372443072173
8,e7bacb69-34d7-476d-a124-5d015bec383d.FPKM.txt.gz,0.2770499266528403,0.018615003287976124,0.10551874146390813,0.0016186959380848805,0.04997723708837068,0.11325813141787647,0.1593403814052304,0.0007587637209772877,0.0,0.2738631190247357
9,397e302e-393e-4f54-b360-fcffe394271e.FPKM.txt.gz,0.29821557317952413,0.13599495313626533,0.016943042537851477,0.012076423936553712,0.17673035328046144,0.083633741888969,0.24161860129776497,0.012707281903388608,0.0,0.02208002883922134
10,0263a550-8b66-4884-b014-99501112741d.FPKM.txt.gz,0.34706796339989643,0.07337284916844104,0.041318984865051506,0.005984922598837544,0.01225758186108074,0.0018990619784772975,0.13748057777522013,0.2661564136502273,0.03009725499223111,0.08436438971053692
11,cfcc9019-4d83-44ec-840c-684f7664bdc7.FPKM.txt.gz,0.15937235879910336,0.07779370153970529,0.018006100025723,0.0020210928600301326,0.002792782861132547,0.00040421857200602655,0.07117921581597031,0.4967846249954066,0.14772351449674787,0.023922390034174842
12,037b5a94-487e-4f5b-90a3-d696eb4a8a3e.FPKM.txt.gz,0.35851303082418307,0.022489747321074217,0.04848524937161,0.0011906336817039292,0.03280857256250827,0.021100674692419632,0.19605767958724699,0.01812409048815981,0.0,0.3012303214710941
