i_doc,doc,Topic 1,Topic 2
0,dc0ce32f-d5aa-489f-ba4b-e01443815121.FPKM.txt.gz,0.5052994009308955,0.4947005990691044
1,2b33014e-c7ff-41aa-82bf-3121756639ad.FPKM.txt.gz,0.5059268251931235,0.49407317480687657
2,397e302e-393e-4f54-b360-fcffe394271e.FPKM.txt.gz,0.5019710142502947,0.49802898574970544
3,037b5a94-487e-4f5b-90a3-d696eb4a8a3e.FPKM.txt.gz,0.49917757941216534,0.5008224205878347
4,5e010a9a-7f65-434b-ae4c-43948461187c.FPKM.txt.gz,0.5030842686751711,0.49691573132482897
5,ae59d924-06ec-428d-b470-e78ed92c5e36.FPKM.txt.gz,0.4963281094404357,0.5036718905595642
6,2b2b6341-1f6d-4acc-8a67-0ba8ab051ee8.FPKM.txt.gz,0.5077861754808849,0.49221382451911505
7,87d1452e-8ec6-4c75-a03b-361738c728c0.FPKM.txt.gz,0.5067656540167768,0.49323434598322324
8,5d420937-4d97-4f04-9ce9-754054261d97.FPKM.txt.gz,0.509307110336541,0.4906928896634591
9,c622f68c-e37c-45ee-a266-ae704629f0f6.FPKM.txt.gz,0.4951431229010276,0.5048568770989724
10,4ed9b51a-78a1-48c7-90bd-8ecd2e5767ad.FPKM.txt.gz,0.5019250706984854,0.49807492930151465
11,20a96363-a968-445a-bd9a-96b27e403516.FPKM.txt.gz,0.5102695522227682,0.4897304477772318
12,5f5460db-801d-4d87-ac5c-4b28ab42d8b9.FPKM.txt.gz,0.5012713311823002,0.4987286688176997
13,314b3b08-27e7-4936-a7d9-2dce4e4d3db7.FPKM.txt.gz,0.5207791184327044,0.47922088156729564
14,47b14505-ca81-4d39-8eca-0cb773f8934e.FPKM.txt.gz,0.5048255030430424,0.49517449695695764
15,fddb387d-716e-48ca-9e99-483564c5384b.FPKM.txt.gz,0.5065050270945244,0.4934949729054755
16,83053f28-d761-4d5a-acd6-855cb22e46e2.FPKM.txt.gz,0.5040438308543786,0.49595616914562135
17,1b3deeeb-5fde-4154-a57f-bb575ccfb2be.FPKM.txt.gz,0.5007211133070539,0.49927888669294596
18,eb3fc2fd-468c-42b4-bffe-700011c0a918.FPKM.txt.gz,0.500250072099087,0.499749927900913
19,b0a26c8d-9863-4352-8abe-dde66bdb8e55.FPKM.txt.gz,0.49100152982220535,0.5089984701777948
20,dc674030-76f0-412d-8491-586a928803fb.FPKM.txt.gz,0.49092632418924825,0.5090736758107518
21,b30ff193-2e02-443a-9a87-7ab4027bccaf.FPKM.txt.gz,0.5043656224519228,0.4956343775480771
22,23e87533-2220-4b0d-b3e2-43707cb25858.FPKM.txt.gz,0.5036293537888277,0.4963706462111723
23,f387829d-a128-4eda-9d8a-10d63bb1ee9c.FPKM.txt.gz,0.5000280141114466,0.49997198588855346
24,5774022a-7bf2-4fdd-a4a5-f9aa33c2174d.FPKM.txt.gz,0.506709021258936,0.4932909787410639
25,18ec943b-2068-467c-82df-07c60f4ed200.FPKM.txt.gz,0.5001472591878723,0.4998527408121277
26,d20acb1e-7d44-4a0f-9ad4-2cc39c8fb151.FPKM.txt.gz,0.49581581854229123,0.5041841814577087
27,430d5203-9a93-4e33-94fa-aa4e0970989c.FPKM.txt.gz,0.49817485336616507,0.501825146633835
28,e78e2bc9-95d1-4ee7-a42f-c548715ca6f7.FPKM.txt.gz,0.49999481972278476,0.5000051802772153
29,ac3052a6-d735-4755-9145-80b9f633c838.FPKM.txt.gz,0.49476887164558964,0.5052311283544104
30,60f8b5a7-a7da-4dd6-88d0-97dbf4c3c269.FPKM.txt.gz,0.5010822173594723,0.49891778264052766
31,60a2aca4-1635-4343-81cd-9d7f68d3c395.FPKM.txt.gz,0.49170396920710563,0.5082960307928943
32,55adf423-02a4-425b-b57d-2d804a96320d.FPKM.txt.gz,0.5042630874636845,0.4957369125363156
33,7ea958f2-f45d-4549-9d45-07c51eebae99.FPKM.txt.gz,0.496669478855602,0.503330521144398
34,cfd41bd1-a69c-470a-be0a-885732277544.FPKM.txt.gz,0.4994738366263074,0.5005261633736926
