Topic 1,Topic 2
ENSG00000025708,ENSG00000211895
ENSG00000211895,ENSG00000025708
ENSG00000120738,ENSG00000120738
ENSG00000198502,ENSG00000167315
ENSG00000140526,ENSG00000115414
ENSG00000146731,ENSG00000198502
ENSG00000161203,ENSG00000242299
ENSG00000211445,ENSG00000175193
ENSG00000116774,ENSG00000140526
ENSG00000115414,ENSG00000146731
ENSG00000122861,ENSG00000081041
ENSG00000167315,ENSG00000161203
ENSG00000226950,ENSG00000211445
ENSG00000135480,ENSG00000187837
ENSG00000213553,ENSG00000116774
ENSG00000136826,ENSG00000178209
ENSG00000189343,ENSG00000104368
ENSG00000101460,ENSG00000121039
ENSG00000211890,ENSG00000122861
ENSG00000242299,ENSG00000163220
ENSG00000175193,ENSG00000167797
