i_doc,doc,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12,Topic 13,Topic 14,Topic 15,Topic 16,Topic 17,Topic 18,Topic 19,Topic 20,Topic 21,Topic 22,Topic 23,Topic 24,Topic 25,Topic 26
0,dc0ce32f-d5aa-489f-ba4b-e01443815121.FPKM.txt.gz,0.04010425197572905,0.037968983082349174,0.03690381907774312,0.03818502165329675,0.03743243144167213,0.03807175442535407,0.038801284841882604,0.037554450857265734,0.03881610449676388,0.03850588203382659,0.03729486886690415,0.03910780200009711,0.03829567072886259,0.03745164986287314,0.03922012885735205,0.03862034674781611,0.03871045136495338,0.03912211670314133,0.03895535747032011,0.03915260522863334,0.038530846673719366,0.03810707415652253,0.038158882113724556,0.03892301658974868,0.0385296117713345,0.03947558697811408
1,2b33014e-c7ff-41aa-82bf-3121756639ad.FPKM.txt.gz,0.037188043732126454,0.0381127989384481,0.0391622953613764,0.03897997766679486,0.0390025292985837,0.03924338456533967,0.03790948969688169,0.0390661177649009,0.03862547603919129,0.03834527814212141,0.03935434673281655,0.038577541384899265,0.038389880452083046,0.03902969400276231,0.03754325674763552,0.03782354845664893,0.037656180274473816,0.038207323722076796,0.039012037851639675,0.03733552177528509,0.03850004359072102,0.03844298023221753,0.03907521194008391,0.039061565664596565,0.039217443444769316,0.03713803252152635
2,397e302e-393e-4f54-b360-fcffe394271e.FPKM.txt.gz,0.03929847285976825,0.03871574354578236,0.03742169345957659,0.0382694362280326,0.03834265743507428,0.03800772512468834,0.03844098705145415,0.03811760185379785,0.03711933243947639,0.037904786212102776,0.037738009165904834,0.039158745389958,0.038984508204646044,0.03787942074258569,0.03876816864328123,0.03822163791131338,0.03883287510449918,0.03904384737702542,0.039196839316732915,0.03814344550030898,0.03887890909711231,0.03857136548069906,0.038666667400257135,0.03933595925659045,0.03811981673166595,0.038821348467665814
3,037b5a94-487e-4f5b-90a3-d696eb4a8a3e.FPKM.txt.gz,0.03999403679924361,0.038420368001172094,0.03736062324867323,0.03850447045847918,0.037967316084845285,0.03772474018558636,0.03842495983420485,0.03731116884403686,0.03783674566799067,0.03834586581223179,0.03778748688732165,0.03861909471875254,0.03837496068953155,0.03741989801869533,0.039138562442614114,0.038132170260415044,0.038750774815114145,0.039265207960357165,0.039059169408722325,0.03917874298955712,0.03885213268617046,0.038359322226449014,0.03958346759963306,0.038465761391036725,0.0379769646158228,0.039145988353343146
4,5e010a9a-7f65-434b-ae4c-43948461187c.FPKM.txt.gz,0.03923437337953385,0.03873317961432954,0.03781820632133418,0.03740325078071157,0.037677891629701914,0.038143858593832555,0.03816124841610852,0.037895642799459874,0.040186070750423006,0.038293811321983076,0.037985563973914144,0.03834362496545237,0.038386900989372565,0.037598162244363444,0.038918791051505856,0.038765889266837335,0.03868477779403491,0.03910150048047122,0.038148552598013086,0.03904040287521362,0.03884321705751056,0.03805055932311379,0.037759113472059395,0.03834672528556018,0.038136038847692684,0.04034264616746686
5,ae59d924-06ec-428d-b470-e78ed92c5e36.FPKM.txt.gz,0.035832864995993474,0.03862123960829342,0.039636838915962785,0.0389787807319828,0.03960941983018065,0.0391115395776683,0.03839296378438019,0.039221057188538466,0.03864822218401852,0.03846464619914367,0.03993229915378967,0.038443530506827604,0.03848378225548899,0.0393971892858167,0.03694075136330478,0.037908594673556166,0.03812131116549916,0.03769802387715385,0.038512168123145896,0.03768846903041228,0.03847634747670221,0.038367270613070645,0.038732719730604125,0.038741092630030186,0.03869854651569199,0.03734033058274353
6,2b2b6341-1f6d-4acc-8a67-0ba8ab051ee8.FPKM.txt.gz,0.040002909959336995,0.03807781999431795,0.03728352630112911,0.037920308440549555,0.037500410978003836,0.03776729394574608,0.03869667264860138,0.037523780583234814,0.039558509461999534,0.038326796198316575,0.03785282073648499,0.03867592560834838,0.038573332041198394,0.037355738324082684,0.03933422208487071,0.03873724180360817,0.03855111430983545,0.039088535416453705,0.038085961535569236,0.039732545512352106,0.038949633115127474,0.037901830042624554,0.03794396026684281,0.038710247926351825,0.037482142818584176,0.0403667199464295
7,87d1452e-8ec6-4c75-a03b-361738c728c0.FPKM.txt.gz,0.04011199915076311,0.038437784153282764,0.03750735723114072,0.03755603925511666,0.038087776132242804,0.038132533417188065,0.03844398346873821,0.03781006109119194,0.03787483201620141,0.0377695577180858,0.03718867187642877,0.039233686414768855,0.03871337031996892,0.037036434914728154,0.03876892641498247,0.03821791101368807,0.03872600860575477,0.039188583904452776,0.03951152885091158,0.03878951277518892,0.03919237363709394,0.03855158992866133,0.03882699305295054,0.03890163622243599,0.0383114557258546,0.039109392708178904
8,5d420937-4d97-4f04-9ce9-754054261d97.FPKM.txt.gz,0.04071522718044741,0.038263230315960434,0.03709125313831032,0.03846250525740075,0.03788890904128837,0.03789702730325026,0.037890831149104465,0.03737613566403674,0.03814166736641121,0.03879796381292233,0.03700843433226859,0.03896072632421041,0.03749316258004267,0.037305352976468885,0.039397258085979804,0.038403425876501515,0.038714021762976475,0.03921941188500201,0.038985215760623734,0.038957966633943616,0.038357965946551546,0.038621779728900935,0.03894576796222656,0.03918951156724668,0.038255149082398666,0.039660099265525564
9,c622f68c-e37c-45ee-a266-ae704629f0f6.FPKM.txt.gz,0.03723987209650291,0.03829542877746061,0.03983952204972866,0.038751967624776125,0.03859854670217202,0.03852292837662915,0.03866520285444843,0.039183991667629946,0.038783766540448204,0.0381658866757929,0.03939625342693363,0.03838762777410696,0.038407828899851365,0.03924763555485207,0.03738814372840263,0.03845910563966119,0.03785824979771871,0.03844839511395224,0.038261920694282414,0.038351698494071974,0.038081502765872625,0.03850520526179242,0.03835078294982721,0.038479808180683285,0.038316428926767926,0.0380122994256345
