i_doc,doc,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12,Topic 13,Topic 14,Topic 15,Topic 16,Topic 17,Topic 18,Topic 19,Topic 20,Topic 21,Topic 22,Topic 23,Topic 24,Topic 25,Topic 26,Topic 27,Topic 28,Topic 29,Topic 30,Topic 31,Topic 32,Topic 33,Topic 34,Topic 35,Topic 36,Topic 37,Topic 38
0,dc0ce32f-d5aa-489f-ba4b-e01443815121.FPKM.txt.gz,0.024807369952894134,0.026818575069543046,0.027325013102738226,0.026521039338702822,0.025676737437930894,0.02536427587752717,0.025659219435623278,0.025673625248580644,0.02715786521088225,0.026261199272621757,0.025276624333258158,0.02650656731536984,0.027049927922595116,0.02674956927617193,0.02638020594520541,0.026380425001232565,0.02645155871728392,0.02675702990218281,0.026110940001286633,0.026553293396517096,0.025547461640903983,0.026503448711083077,0.025017052716842215,0.02708529627729529,0.026246453035745177,0.02570615254590015,0.026384879841371396,0.025637293802023647,0.02568683710999208,0.025719164101450667,0.026456522991639166,0.02612341646284288,0.027778600234251095,0.026439432180240904,0.0261410566587011,0.027315413229742146,0.027769539871648614,0.026960916830178736
1,2b33014e-c7ff-41aa-82bf-3121756639ad.FPKM.txt.gz,0.027272706912933948,0.025663960360620363,0.025486745294125118,0.02646747711158783,0.02634163758271254,0.027637635858870815,0.02668414573587564,0.027136634031625233,0.025589207459469784,0.026587333561523666,0.027010839770646083,0.02622534413336384,0.026361415118796153,0.026323333641466336,0.026159577432997665,0.026207535347933904,0.025593267018586514,0.026178687402732232,0.02650067198668641,0.026195554722104084,0.026755240892262968,0.02603965506327524,0.027243772976016722,0.02629452734203935,0.026786774653657003,0.026229413794842577,0.026151490978738746,0.026652271836715948,0.026178501018446508,0.026566400204789998,0.02677034741186901,0.02633180279949616,0.025499367955510412,0.02623427856642087,0.026239358169674272,0.025848279887965057,0.025234504800377294,0.025320301163243505
2,397e302e-393e-4f54-b360-fcffe394271e.FPKM.txt.gz,0.025247597232447003,0.026673632979296636,0.02664835994236695,0.02612078386400831,0.025853704046436818,0.025795853524057055,0.02562525276702058,0.025872651324706196,0.026141587421176095,0.02580411191239194,0.025697977376692365,0.026587038725331465,0.027018678982628958,0.026768465189898668,0.026598494618246385,0.02661505712548408,0.026464935746216642,0.026901879803166502,0.026437272975498763,0.02631546399755832,0.0259458774697213,0.026955509988262447,0.025724908109183566,0.027144576435012443,0.02624871159349429,0.02595004375944237,0.026357688913594128,0.025194337174363347,0.025958616310318948,0.02627073799603088,0.026752625575209084,0.026042566598349835,0.02683851538805099,0.026355430703436395,0.026436777052762116,0.026430481993290584,0.026864729222418733,0.02733906616242896
3,037b5a94-487e-4f5b-90a3-d696eb4a8a3e.FPKM.txt.gz,0.024931052604123784,0.026365348828930775,0.027154623591446984,0.025981731821416897,0.025975091238898455,0.025368756676996878,0.025274479803560203,0.025613834033334584,0.02657330351173453,0.02620459732009746,0.025524559259832703,0.02651279709988521,0.027167131113504623,0.02646317807811614,0.026844789209315958,0.026007630739701318,0.027130721701477976,0.026996691661548052,0.026671731987329642,0.02682319635794741,0.02625555496597651,0.026766367619267074,0.02553124786454402,0.027043633275961664,0.025676107851824313,0.025741582572531653,0.02628037351576668,0.025696575875245115,0.02571294266239476,0.025946524798678157,0.026203591211271873,0.025826048339871815,0.02741188641307675,0.02653513397569404,0.026139841066932526,0.026626818051575386,0.027724335098534347,0.027296188201653783
4,5e010a9a-7f65-434b-ae4c-43948461187c.FPKM.txt.gz,0.02537026370029447,0.027858710804157884,0.027148664591037267,0.02652087504658998,0.026248164280084328,0.02536299202484451,0.026103016022539005,0.026036975735959617,0.027755803342796093,0.025899420874294882,0.02584363762709,0.026340441057193655,0.02674357989371352,0.026183520265835918,0.02574774021551108,0.026426122183132447,0.026493907718254616,0.02630166246079422,0.025454310967887184,0.026059017249616373,0.025761497513121772,0.02587333933062471,0.02550992084401344,0.026140292711988325,0.026342881362398242,0.026044313188609086,0.026460100789507588,0.02641830525314686,0.02572622846300431,0.026557109306030346,0.026376065107661276,0.025746326424561337,0.02725587688872073,0.026369918012994285,0.026080568789099187,0.02759651866828778,0.027436060433549965,0.026405850851053625
5,ae59d924-06ec-428d-b470-e78ed92c5e36.FPKM.txt.gz,0.027208460582871925,0.02568103451166983,0.025022773711370485,0.02636087877660248,0.02695249104075218,0.02781672692431109,0.027671821982643705,0.027144759239488597,0.025336349689670468,0.026793318412040617,0.027634952324803463,0.02584825173840629,0.025831497171417674,0.026134469321066486,0.025973900063727243,0.026133050051669545,0.025849460617917937,0.025875018717314322,0.02614290046285555,0.026253209887079774,0.026822241357309637,0.02582908273744219,0.027420196657980792,0.025762773818121833,0.02639046030699927,0.026651487666271716,0.02620974934772663,0.0272563377893219,0.026670830626960004,0.02660544737486308,0.026816946369571423,0.026726654169264934,0.02486052790215515,0.025894126481074663,0.026519625001715192,0.02535989631615014,0.024982616432392607,0.025555674416999376
6,2b2b6341-1f6d-4acc-8a67-0ba8ab051ee8.FPKM.txt.gz,0.025159574962393513,0.027479605779101572,0.027222853723326914,0.02667300917640049,0.026153735404439948,0.0251285876956765,0.025955095023114584,0.025461508849247652,0.027582740807750677,0.02603872145457819,0.02566918133990208,0.026412423063312332,0.02699085825231936,0.026527506535034138,0.026147695809653017,0.026416746638134914,0.026219130851106984,0.02638998278785731,0.025446151497372695,0.026417764249028503,0.025788959007861312,0.026120249141949683,0.02546684521843335,0.026502991790981048,0.02602454817351353,0.025875196846409255,0.026280440783794597,0.026654682203040295,0.02522723919571386,0.02619782145170213,0.026575754283658052,0.025598841363259357,0.027340503879772906,0.02654948744627865,0.026007109099407285,0.027838356745653974,0.02777916371696196,0.026678935751857296
7,87d1452e-8ec6-4c75-a03b-361738c728c0.FPKM.txt.gz,0.024938887391166977,0.02683409500204381,0.027451136707638633,0.0259205079531432,0.02567912484813125,0.025580405715521497,0.025496685311279486,0.02574013204767398,0.026827111854079797,0.02539049399502231,0.02541642389972487,0.026879703763754616,0.0274028806624723,0.02646471288476297,0.02634595803203808,0.026567604350542583,0.02657367181483647,0.027097724265755838,0.026518221842347058,0.02666511187248688,0.025753069055305926,0.027073279690689952,0.025370451397683024,0.02730170629752512,0.026534719623272546,0.02539666258612173,0.026758180385501748,0.024877608106587217,0.025549524233299033,0.026040462559525853,0.02632917951541874,0.02554854288270118,0.02781448589056729,0.026379661523295704,0.026190654345250503,0.0269135600307556,0.027098569059600924,0.027279088602475
8,5d420937-4d97-4f04-9ce9-754054261d97.FPKM.txt.gz,0.02502454669077608,0.02662032559868488,0.027417642024734623,0.026437034169021333,0.02569272553825253,0.0252392697822907,0.025011809275466507,0.02546240544536332,0.026722450078359865,0.026501790359010777,0.024883756860551966,0.026586787667254655,0.02672631891969816,0.026889547033820294,0.02650757647363888,0.02642265062965849,0.02662931730063308,0.026861062373609027,0.026437185573515206,0.02688717401983239,0.025556596158714688,0.02681833742128097,0.02544355952485451,0.027445680618795845,0.026116368128916965,0.025873770236491962,0.026490668397081557,0.025579868545555547,0.025707452951446635,0.025879740834235193,0.0263023278258946,0.026136941552395297,0.02754571009338687,0.026486513970502227,0.02606659743900434,0.02703085021894914,0.027717247172018306,0.02684039309630248
9,c622f68c-e37c-45ee-a266-ae704629f0f6.FPKM.txt.gz,0.026955501869159064,0.026035569322865017,0.025984659848699205,0.0260627775564122,0.026494566619545006,0.026685053562419996,0.02728777560297124,0.02669885805272218,0.02601525568240679,0.026539243808679454,0.02711969643140049,0.026234274898731275,0.02572264507111753,0.026618815656395966,0.02593356266442546,0.026353134342601326,0.02556712059745271,0.02636691412168783,0.025742936549248557,0.02618840051488609,0.026537727529888436,0.026283765227699606,0.02689459703738769,0.025792407846404554,0.026294586299749203,0.026422666897809432,0.026381575861986913,0.02702070350961732,0.02628228578749764,0.026717564128737083,0.026616415824362114,0.026780286036251162,0.02540310048812414,0.025834555309800337,0.02656294668105145,0.025930368623820785,0.025644071366339345,0.025993612769645395
