i_doc,doc,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12,Topic 13,Topic 14,Topic 15,Topic 16,Topic 17,Topic 18,Topic 19,Topic 20,Topic 21,Topic 22,Topic 23,Topic 24,Topic 25,Topic 26,Topic 27,Topic 28,Topic 29,Topic 30,Topic 31,Topic 32,Topic 33,Topic 34,Topic 35,Topic 36,Topic 37,Topic 38,Topic 39,Topic 40,Topic 41,Topic 42,Topic 43,Topic 44,Topic 45,Topic 46,Topic 47,Topic 48,Topic 49,Topic 50
0,dc0ce32f-d5aa-489f-ba4b-e01443815121.FPKM.txt.gz,0.020378153282704127,0.020189351644946243,0.019638464860797247,0.02020057900433034,0.01949690806101874,0.020310426925724347,0.020207116874030175,0.01999077496857579,0.02046978828857475,0.02081916596238789,0.019524630017907597,0.019061361967501262,0.019191833122516346,0.020247969703506213,0.020283823122692623,0.0199582694199671,0.019548563847452773,0.01909109081062162,0.019238867537786822,0.02039578661726,0.019952383227296727,0.020452896016165484,0.019715623625004217,0.019454203647686668,0.01972602299953299,0.01974537828560478,0.020748382865486786,0.019859329740582864,0.020628842255037576,0.01922200580738577,0.019666675987945505,0.020045202986313043,0.019415172578346747,0.02077233065988798,0.020373885557523126,0.019954331935214824,0.019688301687321892,0.02126886700377078,0.020213274453127306,0.020507756472009354,0.01985384153226838,0.01956364249182284,0.0204932180711415,0.019677257329954588,0.0205805297738369,0.01914673838421019,0.019875889297985495,0.020357659303763268,0.020190074695127628,0.02060735528834276
1,2b33014e-c7ff-41aa-82bf-3121756639ad.FPKM.txt.gz,0.020190113317281703,0.019433567267819023,0.020489700700793513,0.020244170790398742,0.019819826236670803,0.020146675533210104,0.020008126930321477,0.019901318249565574,0.019357547941931733,0.01939844285599507,0.020012866047330945,0.02068105420399789,0.02060291414862239,0.02041350798001344,0.01995011778210032,0.019904666353683338,0.019641740591561003,0.020274102999681697,0.02032687606315718,0.019471011696469226,0.019893760578573373,0.019912087186621834,0.02061735106613891,0.02060664123512276,0.02042080938827808,0.019660693125957196,0.01961574653692937,0.01978293823079758,0.019338299233180877,0.020680185270786532,0.02034033249516358,0.02005759094772693,0.020001514340449302,0.019549790998885645,0.019858300667865203,0.020130323805214043,0.020340579225916786,0.01924142520381863,0.020151280818869088,0.019685393164857075,0.02027645461089,0.02020799393024698,0.01912911780842083,0.0205305343534387,0.019990995812485483,0.020622554850394107,0.019917607198540948,0.019827100862141168,0.019840348630137918,0.01950390073154588
2,397e302e-393e-4f54-b360-fcffe394271e.FPKM.txt.gz,0.020600941947745203,0.02017858047271348,0.019668756470016945,0.020344562778275597,0.019621481856366085,0.020195854809776245,0.020109976959866858,0.020043452060566343,0.019606831591041,0.02027590163531103,0.019769962524770836,0.01947950676858089,0.02004670617944448,0.020692650222184212,0.020327275417247152,0.019975192497787727,0.019914996107370957,0.01947523426218036,0.01953925947029369,0.019956399673835168,0.019972525757897402,0.02043118669530227,0.02001306999233899,0.019734741279301065,0.01951824042869652,0.019815272370009452,0.020234041024029814,0.019481157077560773,0.020587851907855358,0.020047837839722294,0.020169954750805363,0.019771462606293384,0.019154201311420885,0.020399358157988913,0.020404732366161953,0.019840407165404268,0.020206006881355668,0.021045355670431663,0.02032652078091772,0.02003980141139492,0.01958529540060499,0.019785791549916373,0.020227490057971996,0.01949656688739813,0.0201505951708137,0.01947789149263628,0.019770774009575616,0.0203979482661216,0.01987116905129424,0.020219228933404176
3,037b5a94-487e-4f5b-90a3-d696eb4a8a3e.FPKM.txt.gz,0.020328361942124687,0.02002991080844909,0.01974079024631817,0.020098016507729674,0.019775579810481662,0.02007990942461665,0.01976890600581443,0.019773827571621348,0.02028438297307907,0.021000031539536765,0.020030576982377573,0.019293882354244292,0.019437527000307212,0.020322661850152298,0.02019798989539633,0.019940877298456387,0.020169737135608313,0.019211302902566084,0.01943912299427058,0.02069902424344218,0.020016507285453324,0.020263345513578845,0.019973060638146807,0.019554719584703673,0.019487123774257695,0.019851381017127783,0.020561696376274807,0.02014367064673309,0.02050171754863057,0.019574040201128632,0.01970886778261949,0.019702074513862636,0.019543761259409285,0.02057887666284771,0.020104024246494375,0.01987097642124846,0.019776651530432263,0.021036711662779855,0.020318219547490097,0.020375143319943327,0.01950689986047895,0.019370409548654113,0.02053641850933573,0.019628527949911274,0.02025947919544835,0.019253205765817946,0.01995314214132684,0.020210930469922807,0.020185749943041058,0.020530247596307467
4,5e010a9a-7f65-434b-ae4c-43948461187c.FPKM.txt.gz,0.01990625204929788,0.02052563977940515,0.019887386810203588,0.01991473908946004,0.019899721247625308,0.02004435632945493,0.020015071734493236,0.020025657710525547,0.02112553136535553,0.020083711237313593,0.019689897698129736,0.019359919159700697,0.019265727565531087,0.019316972101721334,0.02026933736570796,0.020114247512239877,0.019527422845951197,0.019603238533735995,0.019394810629972104,0.020067637245327116,0.020155240176287746,0.020202841756071403,0.019787078524133375,0.019305541716570732,0.020156058966207674,0.019926334722298256,0.020778326211431226,0.020126931832368543,0.02059271346685533,0.01936644109115872,0.019672019363544083,0.01995465824446283,0.019786467362279316,0.02091004653257253,0.020364248008500657,0.020478522235942858,0.019484459493568248,0.020618153928548513,0.02011576596798855,0.020132678578835356,0.019927651813826563,0.019763095755797815,0.0202389141952387,0.019849574088064224,0.020726417613043734,0.019023740111412883,0.019948387041812003,0.019908959163994377,0.01992531882204858,0.0207361352039831
5,ae59d924-06ec-428d-b470-e78ed92c5e36.FPKM.txt.gz,0.019620494954033216,0.019655219684405995,0.02048248763891973,0.02010634292581062,0.020135095097549377,0.02001795395924337,0.02044063184590328,0.01961830139804046,0.019230984707063314,0.019021710416230703,0.020141691648929625,0.020805086985784885,0.020592713922991574,0.02027644318617502,0.019805532213194057,0.019905247923674207,0.019959198992922367,0.0203771646783931,0.02057131728958161,0.019482045685050922,0.019894783751656896,0.01989738410776977,0.020610370273748842,0.02063275084263236,0.02049889546614487,0.02001431940362174,0.019475542101870413,0.02002303414057261,0.019395666225747777,0.020855573674558692,0.0204024600464208,0.020176001127451496,0.019947231918008294,0.019349333290620403,0.019819651448936618,0.020015555865911906,0.02047269359600064,0.01930311174848066,0.019916157990148946,0.019663292808890936,0.020632128355520474,0.020106314034416525,0.01909881180547718,0.020267170316515617,0.01980683839681473,0.02103421022542545,0.019973470793109536,0.01964846594634711,0.019722414674364145,0.019100700468917032
6,2b2b6341-1f6d-4acc-8a67-0ba8ab051ee8.FPKM.txt.gz,0.020337322246289168,0.02045903079551379,0.019623676515056497,0.020217490784437193,0.019774363902847238,0.020128185787762844,0.020199336950450692,0.019953186014196333,0.02089911817297171,0.0204447376287479,0.019676305745333814,0.01914978564925747,0.01931742532459311,0.019677568420954875,0.020490185790585338,0.019980352274732417,0.01948212108086914,0.019247921464358074,0.019146891612486745,0.020366027303208925,0.02029238123781897,0.02026091155623289,0.019904442595184386,0.01935734268809883,0.019692843621434527,0.01989737697700512,0.020694541124958145,0.02043948305304431,0.02041185615336499,0.0192682525745305,0.019732714017908742,0.019952250343255276,0.01934488855056618,0.021018160633318926,0.02032453592934016,0.02039310898107576,0.019469043549892113,0.020957973781318983,0.020135492630292025,0.020149126453258264,0.01997701087350212,0.019488133210094308,0.0201406230163874,0.01973885828935297,0.020606959652007897,0.018806733616915348,0.020016350415993686,0.019894655564421534,0.020098614979885392,0.020964300464887
7,87d1452e-8ec6-4c75-a03b-361738c728c0.FPKM.txt.gz,0.02054602881624045,0.020022719373886777,0.019807425407668118,0.020183282708365946,0.019620781011008632,0.020226198410141477,0.02006419036300471,0.020094445175488255,0.02005948977410901,0.020376588674296422,0.01984269197217593,0.01925867770699495,0.019709093749636874,0.020211596511814058,0.020243344030082572,0.020060094052494117,0.01972179011005163,0.019441255572799895,0.019521172577068355,0.020331125896841325,0.020006410697416006,0.020538142656427182,0.01975134100281488,0.019496405275639082,0.019443870833446158,0.019707972479751503,0.020672992712593888,0.019376240724900108,0.020407112873176973,0.019705696517498785,0.019694232182636228,0.01931657075765099,0.019504350533512405,0.020652590828217153,0.02035800013248559,0.0198145175682376,0.020059488627832116,0.021119260839336136,0.02048653004677563,0.020454934481084486,0.01967377352860559,0.019691255765956733,0.02079930061023276,0.019722460069244174,0.020581535448419647,0.0188625572666825,0.019714712109809015,0.02054491806971336,0.02001843413180293,0.02048239933393085
8,5d420937-4d97-4f04-9ce9-754054261d97.FPKM.txt.gz,0.020667751971602942,0.020161941272221068,0.019698000383710137,0.02018442876062924,0.01962997969214505,0.020216200910856304,0.01981735512067691,0.019836043966217805,0.020293721958848862,0.021107008966531355,0.019499650003935446,0.01919176514279367,0.019122543155913354,0.020346471024777584,0.020289936689488856,0.019873879903814423,0.019602531745282748,0.019179070067573262,0.01933935245600402,0.02050771221905073,0.019864718811608808,0.020615352414391896,0.020078023598145724,0.019643271065719465,0.01938930661184783,0.019849077122111414,0.020600943506326436,0.019842549389069094,0.020708893100758026,0.019394758145516958,0.019746130964899775,0.01994145240358062,0.01932393062032902,0.020677298378832545,0.020434237672101833,0.019848787131592445,0.019917255402713215,0.021123115785502026,0.020541412435815164,0.020020537284851064,0.019799528057262577,0.019672533683251198,0.02053640222129493,0.019653666833675344,0.020380427178888265,0.018873429610902045,0.01998664358394792,0.020383290835456144,0.019954747736229954,0.020632933001304577
9,c622f68c-e37c-45ee-a266-ae704629f0f6.FPKM.txt.gz,0.01994497546936935,0.02003279835799818,0.020457239824291713,0.01985286524064555,0.019939823738668497,0.020136918922410905,0.02035765780686516,0.01970736227137003,0.019894126164984424,0.019219470150522635,0.020180123721983297,0.020342378328287433,0.02005071772156578,0.02019188069938285,0.01996952971186132,0.02012192327922643,0.01992903701464581,0.020027690988398676,0.02028453405181012,0.019592269079279433,0.019959953567498974,0.02051366094951613,0.020336730041515427,0.020147712047303208,0.02014780023832496,0.019986687936084584,0.019871049006524175,0.020098358917771796,0.019720979176640667,0.02038489266174102,0.020136252903089426,0.02040543097716406,0.0197850552661199,0.019790221638593588,0.01989870782660523,0.020292596259426764,0.019956407638036078,0.019487800356517766,0.020009940791060308,0.019821738813999283,0.020197108167927105,0.01986924495328546,0.019352247163102115,0.01990668776227988,0.019906945893686415,0.020466255355600753,0.020004781117737576,0.019799518340350496,0.019951019636902368,0.019560892052026845
