,Topic 3
ENSG00000168878,0.2390006170796053
ENSG00000185303,0.2104067039472514
ENSG00000122852,0.17930365932740766
ENSG00000129538,0.045772376809946114
ENSG00000131400,0.04479077024720509
ENSG00000175899,0.024466561017801126
ENSG00000197249,0.023845644286571908
ENSG00000162896,0.019179699232121348
ENSG00000211445,0.009989782780304659
ENSG00000244734,0.00926700779878391
ENSG00000116016,0.009063988957449412
ENSG00000105974,0.008380980553097276
ENSG00000102760,0.007894712056842484
ENSG00000166482,0.0074325128046634345
ENSG00000143416,0.005853012265896079
ENSG00000171476,0.005799990163004596
ENSG00000213853,0.005563483677738635
ENSG00000019169,0.004543157026701861
ENSG00000006016,0.0045121111901404
ENSG00000162551,0.004425950272941739
ENSG00000099994,0.004414438895340299
ENSG00000167972,0.004278744171493015
ENSG00000197766,0.003259812838953385
ENSG00000125740,0.00319004691409617
ENSG00000110799,0.003056793997618889
ENSG00000138821,0.002818892193855785
ENSG00000081041,0.0027759861500685976
ENSG00000134020,0.0027131968176971034
ENSG00000168497,0.0025918041084455486
ENSG00000154146,0.002445993325493969
ENSG00000112936,0.002436574925638245
ENSG00000107742,0.0024041337705796397
ENSG00000079308,0.0023347166753467105
ENSG00000144655,0.0023256471051152725
ENSG00000169583,0.002253788202512341
ENSG00000179593,0.0022426256545351863
ENSG00000131477,0.0022042543958637178
ENSG00000257017,0.002199370781123713
ENSG00000149564,0.0021885570627708443
ENSG00000170323,0.0020441415983164088
ENSG00000123358,0.0019810034363206288
ENSG00000008853,0.00194088802952773
ENSG00000131471,0.0019255395260591426
ENSG00000188536,0.0018787963564048085
ENSG00000122679,0.0018571689196990719
ENSG00000163815,0.001791240120709003
ENSG00000127920,0.0017525200324132488
ENSG00000173391,0.0017371715289446613
ENSG00000175445,0.0017085674997532028
ENSG00000241644,0.0016618243300988687
ENSG00000131771,0.0015760122425244939
ENSG00000127528,0.0015254319470030127
ENSG00000115525,0.0014828747328401114
