subtissue,tissue,l0,l1,l2
unknown,LUAD,0,0,0
unknown,LUAD,0,0,0
unknown,LUAD,0,0,0
unknown,LUAD,0,0,0
unknown,LUAD,0,0,0
unknown,LUAD,1,0,0
unknown,LUAD,1,0,0
unknown,LUAD,1,0,0
unknown,LUAD,1,0,0
unknown,LUAD,2,0,0
unknown,LUAD,2,0,0
unknown,LUAD,2,0,0
unknown,LUAD,2,0,0
unknown,LUAD,3,0,0
unknown,LUAD,3,0,0
unknown,LUSC,3,0,0
unknown,LUSC,3,0,0
unknown,LUAD,4,0,0
unknown,Discordant_LUSC,5,1,0
unknown,LUAD,5,1,0
unknown,LUAD,5,1,0
unknown,LUAD,5,1,0
unknown,LUAD,5,1,0
unknown,LUAD,5,1,0
unknown,Discordant_LUSC,6,1,0
unknown,Discordant_LUSC,6,1,0
unknown,LUAD,6,1,0
unknown,LUAD,6,1,0
unknown,LUAD,6,1,0
unknown,LUAD,6,1,0
unknown,Discordant_LUSC,7,1,0
unknown,LUAD,7,1,0
unknown,LUAD,7,1,0
unknown,LUAD,7,1,0
unknown,LUAD,7,1,0
unknown,LUAD,8,1,0
unknown,LUAD,8,1,0
unknown,LUAD,8,1,0
unknown,LUAD,8,1,0
unknown,LUAD,8,1,0
unknown,LUAD,8,1,0
unknown,Discordant_LUSC,9,1,0
unknown,Discordant_LUSC,9,1,0
unknown,LUAD,9,1,0
unknown,LUAD,9,1,0
unknown,LUAD,10,2,0
unknown,LUAD,10,2,0
unknown,LUAD,10,2,0
unknown,LUAD,10,2,0
unknown,LUAD,10,2,0
unknown,LUAD,10,2,0
unknown,LUAD,10,2,0
unknown,LUAD,11,2,0
unknown,LUAD,11,2,0
unknown,LUAD,11,2,0
unknown,LUAD,11,2,0
unknown,LUAD,11,2,0
unknown,LUAD,12,2,0
unknown,LUAD,12,2,0
unknown,LUAD,12,2,0
unknown,LUAD,12,2,0
unknown,LUAD,13,2,0
unknown,LUAD,13,2,0
unknown,LUAD,13,2,0
unknown,LUAD,13,2,0
unknown,LUAD,13,2,0
unknown,LUAD,13,2,0
unknown,LUAD,13,2,0
unknown,LUAD,14,2,0
unknown,LUAD,14,2,0
unknown,LUAD,14,2,0
unknown,LUAD,14,2,0
unknown,LUAD,14,2,0
unknown,LUAD,15,2,0
unknown,LUAD,15,2,0
unknown,LUAD,15,2,0
unknown,LUAD,15,2,0
unknown,LUAD,15,2,0
unknown,LUAD,16,2,0
unknown,LUAD,16,2,0
unknown,LUAD,16,2,0
unknown,LUAD,16,2,0
unknown,LUAD,16,2,0
unknown,LUAD,16,2,0
unknown,LUAD,17,2,0
unknown,LUAD,17,2,0
unknown,LUAD,17,2,0
unknown,LUAD,18,2,0
unknown,LUAD,18,2,0
unknown,LUAD,18,2,0
unknown,LUAD,18,2,0
unknown,LUAD,18,2,0
unknown,LUAD,19,2,0
unknown,LUAD,19,2,0
unknown,LUAD,19,2,0
unknown,LUAD,19,2,0
unknown,LUAD,20,2,0
unknown,LUAD,20,2,0
unknown,LUAD,21,3,0
unknown,LUAD,21,3,0
unknown,LUAD,21,3,0
unknown,LUAD,21,3,0
unknown,LUAD,21,3,0
unknown,LUAD,21,3,0
unknown,LUAD,21,3,0
unknown,LUAD,21,3,0
unknown,LUAD,21,3,0
unknown,LUAD,21,3,0
unknown,LUAD,21,3,0
unknown,LUAD,21,3,0
unknown,LUSC,21,3,0
unknown,LUSC,21,3,0
unknown,LUSC,21,3,0
unknown,LUAD,22,3,0
unknown,LUAD,22,3,0
unknown,LUAD,22,3,0
unknown,LUAD,22,3,0
unknown,LUAD,22,3,0
unknown,LUSC,22,3,0
unknown,LUSC,22,3,0
unknown,LUSC,22,3,0
unknown,LUSC,22,3,0
unknown,LUAD,23,4,0
unknown,LUAD,23,4,0
unknown,LUAD,23,4,0
unknown,LUAD,24,4,0
unknown,LUAD,24,4,0
unknown,LUAD,25,4,0
unknown,LUSC,26,5,1
unknown,LUSC,26,5,1
unknown,LUSC,26,5,1
unknown,LUSC,26,5,1
unknown,LUSC,26,5,1
unknown,LUSC,27,5,1
unknown,LUSC,27,5,1
unknown,LUSC,27,5,1
unknown,LUSC,27,5,1
unknown,LUSC,27,5,1
unknown,LUSC,27,5,1
unknown,LUSC,27,5,1
unknown,LUSC,27,5,1
unknown,LUSC,27,5,1
unknown,LUSC,28,5,1
unknown,LUSC,28,5,1
unknown,LUSC,28,5,1
unknown,LUSC,28,5,1
unknown,LUSC,28,5,1
unknown,LUSC,28,5,1
unknown,LUSC,28,5,1
unknown,LUSC,29,5,1
unknown,LUSC,29,5,1
unknown,LUSC,29,5,1
unknown,LUSC,29,5,1
unknown,LUSC,29,5,1
unknown,LUSC,29,5,1
unknown,LUSC,29,5,1
unknown,LUSC,29,5,1
unknown,LUSC,30,5,1
unknown,LUSC,30,5,1
unknown,LUSC,30,5,1
unknown,LUSC,30,5,1
unknown,LUSC,31,5,1
unknown,LUSC,31,5,1
unknown,LUSC,31,5,1
unknown,LUSC,31,5,1
unknown,LUSC,31,5,1
unknown,LUSC,32,5,1
unknown,LUSC,32,5,1
unknown,LUSC,32,5,1
unknown,LUSC,32,5,1
unknown,LUSC,32,5,1
unknown,LUAD,33,5,1
unknown,LUSC,33,5,1
unknown,LUSC,33,5,1
unknown,LUSC,33,5,1
unknown,LUSC,34,5,1
unknown,LUSC,34,5,1
unknown,LUSC,34,5,1
unknown,LUSC,34,5,1
unknown,LUSC,35,5,1
unknown,LUSC,35,5,1
unknown,LUSC,35,5,1
unknown,LUSC,35,5,1
unknown,LUSC,35,5,1
unknown,LUSC,35,5,1
unknown,LUSC,36,5,1
unknown,LUSC,36,5,1
unknown,LUSC,36,5,1
unknown,LUSC,36,5,1
unknown,LUSC,37,6,1
unknown,LUSC,37,6,1
unknown,LUSC,37,6,1
unknown,LUSC,37,6,1
unknown,LUSC,37,6,1
unknown,LUSC,37,6,1
unknown,LUSC,37,6,1
unknown,LUSC,37,6,1
unknown,LUSC,37,6,1
unknown,LUSC,37,6,1
unknown,LUSC,37,6,1
unknown,LUSC,37,6,1
unknown,LUSC,37,6,1
unknown,LUSC,38,6,1
unknown,LUSC,38,6,1
unknown,LUSC,38,6,1
unknown,LUSC,38,6,1
unknown,LUSC,38,6,1
unknown,LUSC,38,6,1
unknown,LUSC,38,6,1
unknown,LUSC,38,6,1
unknown,LUSC,38,6,1
unknown,LUSC,38,6,1
unknown,LUSC,38,6,1
unknown,LUSC,39,6,1
unknown,LUSC,39,6,1
unknown,LUSC,39,6,1
unknown,LUSC,39,6,1
unknown,LUSC,39,6,1
unknown,LUSC,39,6,1
