i_doc,doc,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12,Topic 13,Topic 14,Topic 15,Topic 16,Topic 17,Topic 18,Topic 19,Topic 20,Topic 21,Topic 22,Topic 23,Topic 24,Topic 25,Topic 26,Topic 27,Topic 28,Topic 29,Topic 30,Topic 31,Topic 32,Topic 33,Topic 34,Topic 35,Topic 36,Topic 37,Topic 38,Topic 39,Topic 40,Topic 41,Topic 42
0,dc0ce32f-d5aa-489f-ba4b-e01443815121.FPKM.txt.gz,0.0370712198123,0.00334991197935,0.0268505699978,0.0402502179152,0.0780734587841,0.0193132680442,0.0178775914817,0.0243894101762,0.0267309302842,0.090669811482,0.0157924421884,0.089695602386,0.0421815447196,0.0330034695517,0.00746893640295,0.0699721410381,0.0366439351211,0.0116392349895,0.117845117845,0.00586234596387,0.019518364696,0.000410193303594,0.00719547420055,0.0036062827941,0.00146985933788,0.000290553590046,0.0103915636911,0.00162368182673,0.000205096651797,0.0128014493497,0.000102548325899,1.70913876498e-05,0.00102548325899,0.0527098395119,0.00427284691244,0.0,0.0299099283871,0.00786203831889,0.0181852364593,0.0111435847476,0.0192790852689,0.0032986378164
1,2b33014e-c7ff-41aa-82bf-3121756639ad.FPKM.txt.gz,0.00650773406586,0.0453906275549,0.0567382844436,0.0288760260309,0.021043853625,0.0108407730796,0.0802348016613,0.0124268288695,0.00639327643154,0.00771771477158,0.0282219824062,0.380113803591,0.0216651950685,0.0297262827431,0.00170051342425,0.000261617449884,0.0242813695674,0.0868569933615,0.00372804866085,0.00224009941463,0.0117727852448,0.000474181627915,0.00371169757023,0.028957781484,0.000196213087413,0.00179861996795,0.00336832466726,0.00734163968737,0.0217469505216,0.00294319631119,0.000735799077798,0.000670394715328,3.27021812355e-05,0.0117073808823,0.00835540730567,1.63510906177e-05,0.000735799077798,0.00120998070571,0.0114294123418,0.0262598515321,0.000850256712123,0.000719447987181
2,397e302e-393e-4f54-b360-fcffe394271e.FPKM.txt.gz,0.010488121408,0.0392245146595,0.0433032285404,0.0886193288662,0.0867918531663,0.0107529729587,0.0121831713325,0.0363376327568,0.0343512461265,0.00500569430834,0.0337420875599,0.125221813174,0.0200757475435,0.0809121487406,0.0031517334534,0.0004502476362,0.0295044627486,0.0353841671743,0.0116799533861,0.0117064385412,0.0156527266467,0.00227772333607,0.00545594194454,0.00903143787907,0.00813094260667,0.0449188229997,0.00847524962259,0.00143019837381,0.000768069497047,0.0177185687422,0.0196784702174,0.000291336705776,0.000105940620282,0.0871096750271,0.0178245093625,0.0,0.00707153640385,0.00105940620282,0.00177450538973,0.0251079270069,0.000158910930423,0.00707153640385
3,037b5a94-487e-4f5b-90a3-d696eb4a8a3e.FPKM.txt.gz,0.0306667608087,0.0052484172374,0.043964320177,0.0409282402504,0.0759019981642,0.0173221304338,0.0203582103603,0.0496363764739,0.0264539057168,0.0678057850267,0.0286427075243,0.0519193202947,0.0837628562687,0.0413048083033,0.010285014945,0.000847278119043,0.0422226929323,0.0296782696698,0.0498481960037,0.0502953705665,0.0205700298901,0.00390689354892,0.00614276636306,0.003836287039,0.000258890536374,0.000423639059521,0.013579985408,0.00470710066135,0.00169455623809,0.01473322507,0.00863752971357,0.00167102073478,0.000305961542988,0.067217397444,0.00374214502577,0.0,0.00188284026454,0.000588387582668,0.0411165242769,0.00461295864812,0.00167102073478,0.0316081809409
4,5e010a9a-7f65-434b-ae4c-43948461187c.FPKM.txt.gz,0.0422935690378,0.00398076235661,0.0226172293894,0.026727975823,0.0428622493745,0.1261820427,0.0187826991194,0.0325610112761,0.00729535631885,0.0312774185162,0.0164754817535,0.0920937185195,0.018668963052,0.0177915705326,0.00279465765444,0.00736034835733,0.124102297469,0.00708413219381,0.0269879439769,0.00485815487603,0.0410099762779,0.000438696259708,0.0202937640139,0.00342833002957,0.00105612062522,0.000259968153901,0.0109836545023,0.000633672375134,0.000194976115426,0.00404575439509,0.000113736067332,8.12400480941e-05,0.00352581808728,0.0116498228967,0.003623306145,1.62480096188e-05,4.87440288565e-05,0.000324960192376,0.139066714327,0.00796152471322,0.0772592857375,0.00118610470217
5,ae59d924-06ec-428d-b470-e78ed92c5e36.FPKM.txt.gz,0.0118322663474,0.0259026006697,0.0433387116362,0.0233348947761,0.0134110584847,0.00798070750707,0.0910668124013,0.0227450163951,0.00471902704766,0.00501396623814,0.0346466801992,0.0790784017766,0.0154409340898,0.0492027967175,0.015111296171,0.000988913756311,0.0306563264456,0.0498447231909,0.00376481201964,0.00341782473672,0.0277069345408,0.000433734103645,0.00529155606447,0.0263710335016,5.20480924374e-05,0.000121445549021,0.0233001960478,0.00725203421295,0.0592133798296,0.0776731032808,3.46987282916e-05,0.0318881313,0.000190843005604,0.0650080674543,0.0168462325856,0.00385155884037,0.0292857266781,0.00636721664151,0.00508336369472,0.0051874598796,0.00157879213727,0.0757646732247
6,2b2b6341-1f6d-4acc-8a67-0ba8ab051ee8.FPKM.txt.gz,0.0528771384137,0.00268627173759,0.0129247372638,0.0194519063104,0.0319524954051,0.053466233093,0.0128658277958,0.0244356472972,0.00481879447665,0.0384325368773,0.00811772468071,0.126808520665,0.00960224327254,0.0238701164051,0.0177788774212,0.00123709882652,0.0309745982374,0.00682171638626,0.0276756680334,0.00428860926528,0.0119704038833,0.000918987699703,0.0238229888308,0.00275696309911,0.000106037042273,0.000153164616617,0.00256845280173,0.000600876572883,4.71275743437e-05,0.00514868749705,0.000200292190961,1.17818935859e-05,0.00417079032942,0.0174961119751,0.00371129647957,0.0,0.00081295065743,5.89094679297e-05,0.210271454828,0.0438286441397,0.158113011923,0.00214430463264
7,87d1452e-8ec6-4c75-a03b-361738c728c0.FPKM.txt.gz,0.00999445892421,0.0125392492868,0.0343341473926,0.0736552629959,0.121411127301,0.0174236049829,0.020112052866,0.016294867322,0.0161922548074,0.0987132390666,0.0146941120939,0.0263303712521,0.0219796006321,0.0288135941059,0.00180598025735,0.00716235352064,0.0265766412872,0.017649352515,0.020645637942,0.0145709770764,0.0153303096846,0.000964557637449,0.00355039300593,0.00420711309951,0.20898064728,0.0309889794159,0.00644406591828,0.00104664764915,0.0,0.00264740287725,0.0148993371232,0.000410450058489,0.0718492827385,0.00605413836271,0.00114926016377,0.0,0.000472017567263,0.000902990128676,0.00625936339196,0.0202557103864,0.00018470252632,0.00250374535678
8,5d420937-4d97-4f04-9ce9-754054261d97.FPKM.txt.gz,0.0318367726343,0.00306748466258,0.0421081985499,0.0637664993493,0.123257110987,0.0143381669455,0.0257715188697,0.0201245584681,0.039133667968,0.0856339468303,0.0182654768544,0.0560977876929,0.0534950734337,0.0605363450455,0.00271890686001,0.0556097787693,0.0286530953709,0.0211238148355,0.14805261201,0.0235638594534,0.0196365495445,0.000371816322737,0.00508923591746,0.00422941067113,4.64770403421e-05,0.00174288901283,0.00841234430191,0.0019287971742,0.000139431121026,0.00313720022309,0.000116192600855,0.000139431121026,0.000162669641197,0.014129020264,0.00455474995352,0.0,0.00113868748838,0.00234709053727,0.00952779327012,0.00213794385574,0.00220765941625,0.00164993493214
9,c622f68c-e37c-45ee-a266-ae704629f0f6.FPKM.txt.gz,0.0316349293589,0.00918172706993,0.0469431961463,0.0232614529113,0.0220814070027,0.0223562122143,0.0468462060716,0.0446639293912,0.00703178041447,0.0148071514015,0.033590895865,0.109598784391,0.0223885422392,0.0240535385212,0.0100223077172,0.00337848760144,0.0390061750348,0.0430797581714,0.00910090200769,0.00893925188322,0.0390385050596,0.000759755585012,0.0131098250946,0.0353205521968,0.000468785360965,0.000436455336071,0.0425301477482,0.00935954220685,0.0604894765769,0.0195919950858,0.000177815136918,0.0246193139569,0.000226310174259,0.0603601564773,0.0321198797323,0.000177815136918,0.00389576799974,0.0103941030035,0.0503216837477,0.00611037470499,0.00923022210727,0.00929488215706
