i_doc,doc,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12
0,dc0ce32f-d5aa-489f-ba4b-e01443815121.FPKM.txt.gz,0.390692030286,0.0797313233861,0.246013433831,0.0616999094156,0.089695602386,0.000410193303594,0.00249534259687,0.000393101915945,0.0393956485327,0.000222188039447,0.0,0.0892512263071
1,2b33014e-c7ff-41aa-82bf-3121756639ad.FPKM.txt.gz,0.224745740541,0.284329114752,0.0337159488538,0.0410248863599,0.380113803591,0.000474181627915,0.000228915268648,0.00253441904575,0.00928741947088,0.0224173452369,1.63510906177e-05,0.00111187416201
2,397e302e-393e-4f54-b360-fcffe394271e.FPKM.txt.gz,0.498794925444,0.173583706333,0.0292131260429,0.0868448234764,0.125221813174,0.00227772333607,0.00823688322695,0.0645972932172,0.00956114098048,0.00105940620282,0.0,0.000609158566623
3,037b5a94-487e-4f5b-90a3-d696eb4a8a3e.FPKM.txt.gz,0.496175480713,0.119819247335,0.176092635741,0.12939819718,0.0519193202947,0.00390689354892,0.000564852079362,0.00906116877309,0.00717832850856,0.00336557697286,0.0,0.00251829885382
4,5e010a9a-7f65-434b-ae4c-43948461187c.FPKM.txt.gz,0.380284665129,0.0684041204952,0.32351411952,0.0443895622786,0.0920937185195,0.000438696259708,0.00458193871251,0.000373704221233,0.00100737659637,0.00027621616352,1.62480096188e-05,0.0846196340948
5,ae59d924-06ec-428d-b470-e78ed92c5e36.FPKM.txt.gz,0.302677006888,0.345651381877,0.0218428494596,0.109491837124,0.0790784017766,0.000433734103645,0.000242891098041,0.000156144277312,0.0429049775326,0.0911015111296,0.00385155884037,0.00256770589358
6,2b2b6341-1f6d-4acc-8a67-0ba8ab051ee8.FPKM.txt.gz,0.235555398464,0.0446769404779,0.329845892832,0.0966822187662,0.126808520665,0.000918987699703,0.0042768273717,0.000353456807578,0.00147273669824,5.89094679297e-05,0.0,0.15935011075
7,87d1452e-8ec6-4c75-a03b-361738c728c0.FPKM.txt.gz,0.354444148008,0.0794426088206,0.143041845383,0.0588790608903,0.0263303712521,0.000964557637449,0.280829930018,0.0458883165391,0.00242165534509,0.000410450058489,0.0,0.00734705604696
8,5d420937-4d97-4f04-9ce9-754054261d97.FPKM.txt.gz,0.457543223648,0.0885620003718,0.257552519056,0.0742935489868,0.0560977876929,0.000371816322737,0.000209146681539,0.00185908161368,0.00541457519985,0.000278862242052,0.0,0.0578174381855
9,c622f68c-e37c-45ee-a266-ae704629f0f6.FPKM.txt.gz,0.353431832143,0.262261161941,0.0965859493712,0.0545084219715,0.109598784391,0.000759755585012,0.000695095535224,0.000614270472988,0.02364941321,0.0851087905338,0.000177815136918,0.0126087097087
10,4ed9b51a-78a1-48c7-90bd-8ecd2e5767ad.FPKM.txt.gz,0.548228795152,0.179078061731,0.0633396798155,0.0860529350245,0.100989514896,0.0010726448741,5.36322437049e-05,0.00860797511464,0.0105923681317,0.00101901263039,0.0,0.000965380386688
