,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12
ENSG00000000938,0.00031299776828303574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000001084,0.0,0.0016772104536519003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000001631,0.0002577348442026215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000002933,0.0009494742042436685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000003147,0.0002988247338744812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000003436,0.0006667281228494803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000003989,0.0004365056395575822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000004399,0.000790116892994543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000004776,0.0,0.0,0.0006575438417792543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000004799,0.0,0.0,0.0014581078295158002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000004838,0.0,0.0,0.0002490643517402587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000005243,0.0,0.0007752289952460469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000005249,0.00015923821011964184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000005513,5.955056474182567e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000005884,0.0,0.0,0.0,0.011208379129760134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000005961,3.3348316255422375e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000006016,0.0,0.0,0.0045121111901404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000006118,0.0,0.0008834835865019347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000006128,0.0,0.0,0.0,0.0,5.1796719596787604e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000006210,0.0009293461133609315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000006327,0.0,0.0,0.0,0.011101700394388053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000006453,0.0008655079079576943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000006534,0.0007028157650830266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000006652,0.0002449910233478708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000007312,0.0,0.0,0.0,0.0008366199004331803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000007516,7.551011609263495e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000007944,0.0006732786849710811,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000008256,0.0004315033921192688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000008311,0.00011957753400158595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000008394,0.0017192248040965071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
