i_doc,doc,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5
0,dc0ce32f-d5aa-489f-ba4b-e01443815121.FPKM.txt.gz,0.390692030286,0.477140269018,0.0925498641235,0.0396178365722,0.0
1,2b33014e-c7ff-41aa-82bf-3121756639ad.FPKM.txt.gz,0.224745740541,0.739183753556,0.00434939010432,0.0317047647078,1.63510906177e-05
2,397e302e-393e-4f54-b360-fcffe394271e.FPKM.txt.gz,0.498794925444,0.414863469026,0.0757210583468,0.0106205471833,0.0
3,037b5a94-487e-4f5b-90a3-d696eb4a8a3e.FPKM.txt.gz,0.496175480713,0.477229400551,0.0160512132552,0.0105439054814,0.0
4,5e010a9a-7f65-434b-ae4c-43948461187c.FPKM.txt.gz,0.380284665129,0.528401520814,0.0900139732883,0.00128359275989,1.62480096188e-05
5,ae59d924-06ec-428d-b470-e78ed92c5e36.FPKM.txt.gz,0.302677006888,0.556064470237,0.00340047537258,0.134006488662,0.00385155884037
6,2b2b6341-1f6d-4acc-8a67-0ba8ab051ee8.FPKM.txt.gz,0.235555398464,0.598013572741,0.164899382629,0.00153164616617,0.0
7,87d1452e-8ec6-4c75-a03b-361738c728c0.FPKM.txt.gz,0.354444148008,0.307693886346,0.335029860242,0.00283210540358,0.0
8,5d420937-4d97-4f04-9ce9-754054261d97.FPKM.txt.gz,0.457543223648,0.476505856107,0.0602574828035,0.0056934374419,0.0
9,c622f68c-e37c-45ee-a266-ae704629f0f6.FPKM.txt.gz,0.353431832143,0.522954317675,0.0146778313019,0.108758203744,0.000177815136918
10,4ed9b51a-78a1-48c7-90bd-8ecd2e5767ad.FPKM.txt.gz,0.548228795152,0.429460191467,0.0106996326191,0.0116113807621,0.0
11,20a96363-a968-445a-bd9a-96b27e403516.FPKM.txt.gz,0.368267607795,0.607658602288,0.0188737148995,0.00520007501748,0.0
12,5f5460db-801d-4d87-ac5c-4b28ab42d8b9.FPKM.txt.gz,0.200019522035,0.540597699653,0.00494558232605,0.248369096618,0.00606809936716
13,314b3b08-27e7-4936-a7d9-2dce4e4d3db7.FPKM.txt.gz,0.334716145788,0.625664534347,0.0372662146381,0.00235310522738,0.0
14,47b14505-ca81-4d39-8eca-0cb773f8934e.FPKM.txt.gz,0.442100510968,0.532535757526,0.0189407153557,0.00642301614988,0.0
15,fddb387d-716e-48ca-9e99-483564c5384b.FPKM.txt.gz,0.414170732209,0.492126227382,0.0863541859651,0.00734885444328,0.0
16,83053f28-d761-4d5a-acd6-855cb22e46e2.FPKM.txt.gz,0.36516351939,0.6054089474,0.0245428009769,0.00488473223328,0.0
17,1b3deeeb-5fde-4154-a57f-bb575ccfb2be.FPKM.txt.gz,0.578079562638,0.353088286612,0.0581889031057,0.0106432476445,0.0
18,eb3fc2fd-468c-42b4-bffe-700011c0a918.FPKM.txt.gz,0.248541046363,0.577133134836,0.0130157379838,0.146609953211,0.0147001276053
19,b0a26c8d-9863-4352-8abe-dde66bdb8e55.FPKM.txt.gz,0.500899858594,0.45320735313,0.0331983545443,0.0126944337318,0.0
20,dc674030-76f0-412d-8491-586a928803fb.FPKM.txt.gz,0.468223647055,0.443872296601,0.004567954553,0.0816085844324,0.00172751735823
21,b30ff193-2e02-443a-9a87-7ab4027bccaf.FPKM.txt.gz,0.371227282009,0.476434551766,0.147886461099,0.00445170512559,0.0
22,23e87533-2220-4b0d-b3e2-43707cb25858.FPKM.txt.gz,0.392588303416,0.593731905038,0.00490373480023,0.00875796178344,1.80949623625e-05
23,f387829d-a128-4eda-9d8a-10d63bb1ee9c.FPKM.txt.gz,0.497036649671,0.46204296858,0.0126596069203,0.028260774829,0.0
24,5774022a-7bf2-4fdd-a4a5-f9aa33c2174d.FPKM.txt.gz,0.255152904676,0.608379244659,0.134734056508,0.00172238761706,1.14065405103e-05
25,18ec943b-2068-467c-82df-07c60f4ed200.FPKM.txt.gz,0.411628710372,0.468044962929,0.0112673062103,0.0858866360182,0.0231723844703
26,d20acb1e-7d44-4a0f-9ad4-2cc39c8fb151.FPKM.txt.gz,0.44177852349,0.533536073826,0.00551593959732,0.0191065436242,6.29194630872e-05
27,430d5203-9a93-4e33-94fa-aa4e0970989c.FPKM.txt.gz,0.251610004493,0.613868503819,0.00194698217762,0.12754230942,0.00503220008986
28,e78e2bc9-95d1-4ee7-a42f-c548715ca6f7.FPKM.txt.gz,0.263804325005,0.471572538316,0.00113373923997,0.26332143607,0.000167961368885
29,ac3052a6-d735-4755-9145-80b9f633c838.FPKM.txt.gz,0.517155110793,0.452287348106,0.00388670478914,0.0266484989278,2.23373838456e-05
30,60f8b5a7-a7da-4dd6-88d0-97dbf4c3c269.FPKM.txt.gz,0.32102552231,0.351828809538,0.299583309219,0.0275623589328,0.0
31,60a2aca4-1635-4343-81cd-9d7f68d3c395.FPKM.txt.gz,0.321722309998,0.583730785701,0.00366197599043,0.0901466266999,0.000738301610974
32,55adf423-02a4-425b-b57d-2d804a96320d.FPKM.txt.gz,0.512391530719,0.458266805507,0.0164757607312,0.0128427629295,2.31401133866e-05
33,7ea958f2-f45d-4549-9d45-07c51eebae99.FPKM.txt.gz,0.532697853013,0.40075600245,0.0131329279407,0.0534132165962,0.0
34,cfd41bd1-a69c-470a-be0a-885732277544.FPKM.txt.gz,0.512407395614,0.432422679318,0.0348977902312,0.0202721348362,0.0
35,2c4641bd-928f-4fa2-9931-3351955c2396.FPKM.txt.gz,0.328003473533,0.650456845126,0.0185003398022,0.00302046364117,1.88778977573e-05
36,d38d30c2-78fe-4e5f-a94b-56080bf4371a.FPKM.txt.gz,0.503920415564,0.466578457316,0.0167107713418,0.0127903557777,0.0
37,f0051b3a-479d-4410-ab85-270618818492.FPKM.txt.gz,0.472663890466,0.464335289293,0.034576313963,0.028424506278,0.0
38,04c8f4a3-77c8-4085-ae46-ae66ab486c08.FPKM.txt.gz,0.425634271708,0.369661051053,0.197717170609,0.00698750663081,0.0
39,f5abf3ae-a7bd-4606-bd9a-2633a82eb65c.FPKM.txt.gz,0.47155042442,0.387162064479,0.127677151531,0.0136103595696,0.0
40,c962af41-67e1-4e18-9d59-cee591ef98f9.FPKM.txt.gz,0.306607142857,0.553839285714,0.138988095238,0.000550595238095,1.4880952381e-05
