Topic 1,Topic 2,Topic 3,Topic 4,Topic 5
ENSG00000211895,ENSG00000087086,ENSG00000168484,ENSG00000186081,ENSG00000186847
ENSG00000211890,ENSG00000168878,ENSG00000096088,ENSG00000205420,ENSG00000188508
ENSG00000227097,ENSG00000185303,ENSG00000161055,ENSG00000211892,ENSG00000125780
ENSG00000100097,ENSG00000163220,ENSG00000202198,ENSG00000118785,ENSG00000244617
ENSG00000198502,ENSG00000122852,ENSG00000163993,ENSG00000196754,ENSG00000143536
ENSG00000139329,ENSG00000124107,ENSG00000204305,ENSG00000124102,ENSG00000203782
ENSG00000101443,ENSG00000211679,ENSG00000171557,ENSG00000169469,ENSG00000272102
ENSG00000115414,ENSG00000211897,ENSG00000164266,ENSG00000186832,ENSG00000115705
ENSG00000165272,ENSG00000132465,ENSG00000160180,ENSG00000171401,ENSG00000168925
ENSG00000120129,ENSG00000211899,ENSG00000171560,ENSG00000169474,
ENSG00000122862,ENSG00000168542,ENSG00000171564,ENSG00000241794,
ENSG00000143819,ENSG00000129538,ENSG00000130600,ENSG00000081277,
ENSG00000143320,ENSG00000108821,ENSG00000167653,ENSG00000171346,
ENSG00000185499,ENSG00000131400,ENSG00000245532,ENSG00000169429,
ENSG00000128016,ENSG00000090382,ENSG00000171747,ENSG00000165474,
ENSG00000176907,ENSG00000126709,ENSG00000200087,ENSG00000178363,
ENSG00000125148,ENSG00000010278,ENSG00000229314,ENSG00000163209,
ENSG00000225630,ENSG00000143546,ENSG00000021826,ENSG00000167656,
ENSG00000125730,ENSG00000164692,ENSG00000142748,ENSG00000164687,
ENSG00000145824,ENSG00000112378,ENSG00000183036,ENSG00000163739,
ENSG00000170345,ENSG00000196154,ENSG00000129437,ENSG00000203785,
ENSG00000011600,ENSG00000175899,ENSG00000120875,ENSG00000107159,
ENSG00000118523,ENSG00000197249,ENSG00000108176,ENSG00000136689,
ENSG00000196352,ENSG00000176153,ENSG00000188257,ENSG00000178934,
ENSG00000115461,ENSG00000162896,ENSG00000166292,ENSG00000140519,
ENSG00000175061,ENSG00000115758,ENSG00000113924,ENSG00000129194,
ENSG00000130208,ENSG00000135480,ENSG00000148677,ENSG00000114270,
ENSG00000103811,ENSG00000136235,ENSG00000168309,ENSG00000114948,
ENSG00000153395,ENSG00000198848,ENSG00000162482,ENSG00000174564,
ENSG00000142173,ENSG00000117394,ENSG00000212232,ENSG00000189001,
ENSG00000120738,ENSG00000135046,ENSG00000238741,ENSG00000131015,
ENSG00000111341,ENSG00000104419,ENSG00000115386,ENSG00000163032,
ENSG00000187837,ENSG00000161203,ENSG00000135346,ENSG00000092295,
ENSG00000090339,ENSG00000146674,ENSG00000091513,ENSG00000117407,
ENSG00000135047,ENSG00000148346,ENSG00000212443,ENSG00000064300,
ENSG00000146731,ENSG00000163347,ENSG00000252481,ENSG00000169509,
ENSG00000142871,ENSG00000181019,ENSG00000208772,ENSG00000167768,
ENSG00000106624,ENSG00000069849,ENSG00000167588,ENSG00000234964,
ENSG00000122861,ENSG00000115457,ENSG00000169347,ENSG00000184163,
ENSG00000137331,ENSG00000187608,ENSG00000254911,ENSG00000249379,
ENSG00000152583,ENSG00000159228,ENSG00000109072,ENSG00000100628,
ENSG00000110092,ENSG00000152661,ENSG00000095932,ENSG00000213963,
ENSG00000013588,ENSG00000145423,ENSG00000182327,ENSG00000118514,
ENSG00000140564,ENSG00000168209,ENSG00000270640,ENSG00000148600,
ENSG00000168899,ENSG00000165949,ENSG00000136872,ENSG00000227879,
ENSG00000179344,ENSG00000100342,ENSG00000238018,ENSG00000157150,
ENSG00000234741,ENSG00000211445,ENSG00000178623,ENSG00000130270,
ENSG00000133321,ENSG00000165092,ENSG00000023171,ENSG00000231233,
ENSG00000187244,ENSG00000187840,ENSG00000269951,ENSG00000173338,
ENSG00000142156,ENSG00000121858,ENSG00000251791,ENSG00000117013,
ENSG00000120885,ENSG00000244734,ENSG00000134548,ENSG00000139547,
ENSG00000137077,ENSG00000165283,ENSG00000141527,ENSG00000214544,
ENSG00000125968,ENSG00000121552,ENSG00000168298,ENSG00000118520,
ENSG00000130707,ENSG00000075618,ENSG00000164530,ENSG00000226085,
ENSG00000169442,ENSG00000109062,ENSG00000148935,ENSG00000204791,
ENSG00000166741,ENSG00000116016,ENSG00000224093,ENSG00000074317,
ENSG00000106366,ENSG00000070087,ENSG00000174501,ENSG00000188859,
ENSG00000166226,ENSG00000096696,ENSG00000139540,ENSG00000253356,
ENSG00000135677,ENSG00000143556,ENSG00000167701,,
ENSG00000175567,ENSG00000072274,ENSG00000222112,,
ENSG00000237973,ENSG00000254709,ENSG00000271347,,
ENSG00000166033,ENSG00000198431,ENSG00000197714,,
ENSG00000117525,ENSG00000108602,ENSG00000101049,,
ENSG00000169245,ENSG00000105974,ENSG00000254595,,
ENSG00000136167,ENSG00000187134,ENSG00000273017,,
ENSG00000167797,ENSG00000102760,ENSG00000273338,,
ENSG00000025708,ENSG00000116285,ENSG00000261448,,
ENSG00000168394,ENSG00000117472,ENSG00000204584,,
ENSG00000011465,ENSG00000166482,ENSG00000238795,,
ENSG00000102575,ENSG00000144476,ENSG00000118271,,
ENSG00000109472,ENSG00000154277,ENSG00000176919,,
ENSG00000145860,ENSG00000243955,ENSG00000270108,,
ENSG00000164442,ENSG00000167900,ENSG00000187288,,
ENSG00000106538,ENSG00000146386,ENSG00000233578,,
ENSG00000124942,ENSG00000041982,ENSG00000254165,,
ENSG00000120708,ENSG00000103257,ENSG00000225313,,
ENSG00000132432,ENSG00000005884,ENSG00000254528,,
ENSG00000137801,ENSG00000105854,ENSG00000269825,,
ENSG00000133048,ENSG00000105825,ENSG00000249741,,
ENSG00000121966,ENSG00000185633,ENSG00000225422,,
ENSG00000244187,ENSG00000006327,ENSG00000249835,,
ENSG00000206341,ENSG00000143416,ENSG00000226312,,
ENSG00000188186,ENSG00000096092,ENSG00000225938,,
ENSG00000179820,ENSG00000171476,ENSG00000214439,,
ENSG00000065154,ENSG00000047457,ENSG00000226380,,
ENSG00000179085,ENSG00000175193,ENSG00000229325,,
ENSG00000164932,ENSG00000226084,ENSG00000266964,,
ENSG00000235174,ENSG00000213853,ENSG00000228060,,
ENSG00000162496,ENSG00000177383,ENSG00000203709,,
ENSG00000176788,ENSG00000109814,ENSG00000260618,,
ENSG00000165507,ENSG00000187193,ENSG00000254604,,
ENSG00000198189,ENSG00000116044,ENSG00000271964,,
ENSG00000157992,ENSG00000175063,ENSG00000196358,,
ENSG00000163513,ENSG00000136997,ENSG00000206172,,
ENSG00000169710,ENSG00000091409,ENSG00000272072,,
ENSG00000166165,ENSG00000105835,ENSG00000158874,,
ENSG00000166920,ENSG00000117595,ENSG00000272037,,
ENSG00000100985,ENSG00000163359,ENSG00000132693,,
ENSG00000137876,ENSG00000186340,ENSG00000212607,,
ENSG00000196205,ENSG00000172724,ENSG00000266236,,
ENSG00000169715,ENSG00000185033,ENSG00000242100,,
ENSG00000106991,ENSG00000117632,ENSG00000272367,,
ENSG00000168615,ENSG00000204262,ENSG00000228663,,
ENSG00000008394,ENSG00000019169,ENSG00000272650,,
ENSG00000115380,ENSG00000063660,ENSG00000211454,,
ENSG00000108551,ENSG00000006016,ENSG00000239300,,
ENSG00000139318,ENSG00000136518,ENSG00000232545,,
ENSG00000135678,ENSG00000162551,ENSG00000215158,,
ENSG00000169116,ENSG00000099994,ENSG00000272529,,
ENSG00000141756,ENSG00000100292,ENSG00000197599,,
ENSG00000197142,ENSG00000110400,ENSG00000261596,,
ENSG00000062716,ENSG00000085662,ENSG00000254667,,
ENSG00000136048,ENSG00000167972,ENSG00000138161,,
ENSG00000187653,ENSG00000124466,ENSG00000273449,,
ENSG00000169738,ENSG00000130635,ENSG00000273138,,
ENSG00000071967,ENSG00000160862,ENSG00000233337,,
ENSG00000107175,ENSG00000120306,ENSG00000271119,,
ENSG00000197930,ENSG00000161202,ENSG00000180139,,
ENSG00000087074,ENSG00000074181,ENSG00000232934,,
ENSG00000180573,ENSG00000226278,ENSG00000252464,,
ENSG00000067082,ENSG00000167600,ENSG00000246859,,
ENSG00000134291,ENSG00000134531,ENSG00000245275,,
ENSG00000064115,ENSG00000135069,ENSG00000236304,,
