,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5
ENSG00000000938,0.00031299776828303574,0.0,0.0,0.0,0.0
ENSG00000001084,0.0,0.000689943982151904,0.0,0.0,0.0
ENSG00000001631,0.0002577348442026215,0.0,0.0,0.0,0.0
ENSG00000002933,0.0009494742042436685,0.0,0.0,0.0,0.0
ENSG00000003147,0.0002988247338744812,0.0,0.0,0.0,0.0
ENSG00000003436,0.0006667281228494803,0.0,0.0,0.0,0.0
ENSG00000003989,0.0004365056395575822,0.0,0.0,0.0,0.0
ENSG00000004399,0.000790116892994543,0.0,0.0,0.0,0.0
ENSG00000004776,0.0,0.00016299591507160536,0.0,0.0,0.0
ENSG00000004799,0.0,0.00036144452254605324,0.0,0.0,0.0
ENSG00000004838,0.0,6.173956676982824e-05,0.0,0.0,0.0
ENSG00000005243,0.0,0.0003189012916626422,0.0,0.0,0.0
ENSG00000005249,0.00015923821011964184,0.0,0.0,0.0,0.0
ENSG00000005513,5.955056474182567e-06,0.0,0.0,0.0,0.0
ENSG00000005884,0.0,0.0014990435987699473,0.0,0.0,0.0
ENSG00000005961,3.3348316255422375e-06,0.0,0.0,0.0,0.0
ENSG00000006016,0.0,0.0011184892103189472,0.0,0.0,0.0
ENSG00000006118,0.0,0.00036343333211987124,0.0,0.0,0.0
ENSG00000006128,0.0,1.072227770232311e-05,0.0,0.0,0.0
ENSG00000006210,0.0009293461133609315,0.0,0.0,0.0,0.0
ENSG00000006327,0.0,0.0014847760518273399,0.0,0.0,0.0
ENSG00000006453,0.0008655079079576943,0.0,0.0,0.0,0.0
ENSG00000006534,0.0007028157650830266,0.0,0.0,0.0,0.0
ENSG00000006652,0.0002449910233478708,0.0,0.0,0.0,0.0
ENSG00000007312,0.0,0.00011189215602262988,0.0,0.0,0.0
ENSG00000007516,7.551011609263495e-05,0.0,0.0,0.0,0.0
ENSG00000007944,0.0006732786849710811,0.0,0.0,0.0,0.0
ENSG00000008256,0.0004315033921192688,0.0,0.0,0.0,0.0
ENSG00000008311,0.00011957753400158595,0.0,0.0,0.0,0.0
ENSG00000008394,0.0017192248040965071,0.0,0.0,0.0,0.0
ENSG00000008438,0.0,0.0,2.276914365250723e-05,0.0,0.0
ENSG00000008441,0.0006498157624628018,0.0,0.0,0.0,0.0
ENSG00000008513,0.0005371460939712676,0.0,0.0,0.0,0.0
ENSG00000008517,0.0012078045540937082,0.0,0.0,0.0,0.0
ENSG00000008735,0.0,5.075787912309408e-05,0.0,0.0,0.0
ENSG00000008853,0.0,0.00048111897690101445,0.0,0.0,0.0
ENSG00000010278,0.0,0.008059002273036403,0.0,0.0,0.0
ENSG00000010282,0.0,1.1759917479967283e-05,0.0,0.0,0.0
ENSG00000010292,0.0,0.0006750711453390042,0.0,0.0,0.0
ENSG00000010327,0.00024380001205303431,0.0,0.0,0.0,0.0
ENSG00000010438,0.0,8.102237263771577e-05,0.0,0.0,0.0
ENSG00000011422,0.0008313258837958864,0.0,0.0,0.0,0.0
ENSG00000011426,0.0,0.000323830080606452,0.0,0.0,0.0
ENSG00000011465,0.002096179878912264,0.0,0.0,0.0,0.0
ENSG00000011600,0.004540373258175756,0.0,0.0,0.0,0.0
ENSG00000012124,4.1923597578245274e-05,0.0,0.0,0.0,0.0
ENSG00000012171,0.0,0.00015754830623897345,0.0,0.0,0.0
ENSG00000013297,0.0,4.556968023487322e-05,0.0,0.0,0.0
ENSG00000013588,0.0030188563290221107,0.0,0.0,0.0,0.0
ENSG00000013810,0.00037314383867227967,0.0,0.0,0.0,0.0
ENSG00000014914,0.00019473034670576994,0.0,0.0,0.0,0.0
ENSG00000015475,0.0,0.0003866072871539244,0.0,0.0,0.0
ENSG00000015479,0.0,0.0,2.573903195500817e-05,0.0,0.0
ENSG00000018280,0.0,0.00010488808752353172,0.0,0.0,0.0
ENSG00000018625,0.0,5.707018777042947e-06,0.0,0.0,0.0
ENSG00000019102,0.0,0.0005574719705393314,0.0,0.0,0.0
ENSG00000019169,0.0,0.001126185038669808,0.0,0.0,0.0
ENSG00000019549,0.0,0.00047117492903192445,0.0,0.0,0.0
ENSG00000019991,0.0,3.0350963496092032e-05,0.0,0.0,0.0
ENSG00000020633,0.0002792921486391624,0.0,0.0,0.0,0.0
ENSG00000021300,0.0002491595628797986,0.0,0.0,0.0,0.0
ENSG00000021826,0.0,0.0,0.004531059586848939,0.0,0.0
ENSG00000022567,0.00020914158337329177,0.0,0.0,0.0,0.0
ENSG00000023171,0.0,0.0,0.00027322972383008674,0.0,0.0
ENSG00000023287,0.0005147550816283411,0.0,0.0,0.0,0.0
ENSG00000023445,0.0,0.0003686215310080921,0.0,0.0,0.0
ENSG00000023839,0.0,8.067649271183437e-05,0.0,0.0,0.0
ENSG00000023909,0.0,0.0006177415476241638,0.0,0.0,0.0
ENSG00000025423,0.0,0.0003366276378640635,0.0,0.0,0.0
ENSG00000025708,0.002130600105333039,0.0,0.0,0.0,0.0
ENSG00000026103,0.00034039102806427557,0.0,0.0,0.0,0.0
ENSG00000026297,0.00031633259990857795,0.0,0.0,0.0,0.0
ENSG00000029153,0.0,0.00029339264712888966,0.0,0.0,0.0
ENSG00000029534,3.811236143476843e-06,0.0,0.0,0.0,0.0
ENSG00000031081,0.0,0.0001500254178510532,0.0,0.0,0.0
ENSG00000033327,0.00027309888990601253,0.0,0.0,0.0,0.0
ENSG00000033867,0.00010230787022645651,0.0,0.0,0.0,0.0
ENSG00000034677,0.0007160359904557119,0.0,0.0,0.0,0.0
ENSG00000034971,0.0,1.5910476590543972e-05,0.0,0.0,0.0
ENSG00000038427,0.0,0.0005773600662775114,0.0,0.0,0.0
ENSG00000038945,0.00047295058517957947,0.0,0.0,0.0,0.0
ENSG00000041802,0.0,0.0005488249723922966,0.0,0.0,0.0
ENSG00000041982,0.0,0.001544786218967761,0.0,0.0,0.0
ENSG00000042062,0.0,5.966428721453989e-06,0.0,0.0,0.0
