i_doc,doc,MEgrey60,MEsalmon,MEyellow,MEbrown,MEblue,MEmidnightblue,MEcyan,MEgreen,MEmagenta,MEred,MEblack,MEpurple,MEgreenyellow,MElightcyan,MEturquoise,MEpink,MEtan,MEgrey
0,dc0ce32f-d5aa-489f-ba4b-e01443815121.FPKM.txt.gz,0.09409401823922099,-0.00731052353569322,-0.0248691944106475,0.003991447771386471,-0.00528232501733567,0.0409784311882087,-0.0130839309943558,-0.0308773547930345,-0.00503836602985811,-0.00548822107117004,-0.00885530129113296,-0.0149790613343815,-0.0105409115040764,-0.0166111092458402,-0.00847810767750257,-0.0191053452835659,-0.00843632426218628,-0.0560573220358819
1,2b33014e-c7ff-41aa-82bf-3121756639ad.FPKM.txt.gz,-0.0086690215146511,-0.00611520183082661,-0.0158741042224306,-0.0390089617398295,-0.0205778528940436,-0.0265929081870265,-0.00568772776039189,-0.0416519737110822,0.0451780793307929,-0.00863610799123846,0.0004824788718168,0.0175650636918681,0.00727410313128617,0.0641070967641447,-0.0035884670878155705,-0.00592934795793306,0.0134946578510798,0.0743681862383786
2,397e302e-393e-4f54-b360-fcffe394271e.FPKM.txt.gz,-0.0151179584877754,0.00503260210988874,-0.0206193675669736,-0.0431192895814716,-0.029806590248127002,-0.0331297378449788,-0.0164586916896915,-0.035723338013006006,-0.0190479150384351,-0.0074591588554101295,-0.00959210133310111,-0.0169567550616411,-0.0227566736814784,-0.0221588200403453,-0.0023975615688884198,0.00934558451696104,-0.0025001628234500102,-0.021548009981724
3,037b5a94-487e-4f5b-90a3-d696eb4a8a3e.FPKM.txt.gz,-0.0109702625722072,-0.00810914309886081,-0.0151754210247553,-0.00225932206797771,-0.0152922522049081,0.0245533605948617,-0.0134456800027706,-0.0316036661166202,-0.0148505198654044,-0.0015250260736392,-0.007780545635020421,-0.00841809649936463,-0.00259065980815168,0.00669741554278211,0.0300384309116515,-0.0011600987594595801,-0.000432619444301129,-0.042999026956780005
4,5e010a9a-7f65-434b-ae4c-43948461187c.FPKM.txt.gz,-0.00487812990498965,-0.00642249788752043,0.0448339619442262,0.0829277618157486,0.249952025591507,0.0813076015858665,-0.0125924218326269,0.0129681818439734,0.0156477763723539,0.00199267756523374,-0.0153201099800115,-0.00242671124526787,0.00886664997389287,-0.0174092427312938,-0.00676886490599312,-0.00876345349499317,-0.0189274722143839,-0.0617500347744065
5,ae59d924-06ec-428d-b470-e78ed92c5e36.FPKM.txt.gz,-0.009235949414365759,-0.00920208091790323,-0.0227695714010097,-0.0208782155715929,-0.0252065808456332,-0.0290826880869827,-0.00111376991645207,-0.00207296948388367,0.00170560215374062,0.0065352390472326,-0.004300149541576021,-0.0045469429392139705,0.0140932279286922,0.0184280369155144,-0.00590428232665991,-0.0082102754085792,-0.00194342840890513,0.0711919304202365
6,2b2b6341-1f6d-4acc-8a67-0ba8ab051ee8.FPKM.txt.gz,0.00415355616328391,-0.009205725803358109,0.0626721210725007,0.10066518848646301,0.0834883636552801,0.13392374777723198,-0.008719732082285341,-0.0365066360203431,0.0038307917384708796,-0.00522040930523267,-0.0163243971209002,-0.0119143903222801,0.00437829628283231,-0.0259171076101136,-0.0100374350714185,-0.0237550384227249,-0.0130505077661085,-0.0459058880181114
7,87d1452e-8ec6-4c75-a03b-361738c728c0.FPKM.txt.gz,-0.013346835877711998,0.0267535773197747,-0.0126412778271246,-0.0431946394876132,-0.0117207684770034,-0.0260091546444878,-0.00176544764991244,-0.030130977767672994,-0.0117325530498178,0.00230079015830874,-0.0132884289759781,-0.00784361857245924,-0.009866995592432891,0.021111047967616002,0.00135085285128774,-0.0176422353217353,-0.0119819705577727,-0.0554859831097757
8,5d420937-4d97-4f04-9ce9-754054261d97.FPKM.txt.gz,0.012433184819256,-0.00734153148792299,0.0165142524245501,-0.0290386100263238,-0.0201550827303303,-0.0098293671286921,-0.0149859405997755,-0.0413530421180205,-0.0184385700197154,-0.00413569479060828,0.000320718139092818,-0.00912685720068794,-0.00918319700185198,0.0083965156137691,-0.00699143441013704,-0.00223341359876843,0.000147815699265762,-0.0570003459811623
9,c622f68c-e37c-45ee-a266-ae704629f0f6.FPKM.txt.gz,0.009255661075068,-0.00379038792708434,-0.00014803044161375902,0.0416821183202934,4.80718016500205e-05,0.0016382704816161199,0.0101365891726689,0.0221944472630304,0.0104469509348679,-0.00691943818587876,0.0016476400382424699,0.00378652909557318,0.0110504582265882,-0.0182410238893468,-0.00669797341329514,-0.00379741284580138,-0.00234322260955129,0.0260750992971313
10,4ed9b51a-78a1-48c7-90bd-8ecd2e5767ad.FPKM.txt.gz,-0.00647916373248134,-0.00730869261845775,0.017947991695983996,-0.0076801006305992296,-0.0117347903939906,-0.0242944828755756,-0.0013905857252054,-0.00203813790466127,-0.0121452420795533,0.0050817374019044795,-0.00598952935979577,-0.00550853030321235,-0.0115272531555557,0.0141824313059887,0.00681093195356537,-0.0068474648066589395,-0.014132304102286001,-0.038539835880557004
11,20a96363-a968-445a-bd9a-96b27e403516.FPKM.txt.gz,0.0073868093837089295,-0.0093528722429521,0.0412586058134914,-0.040488347530794,-0.024167675811801004,0.0554919155118611,-0.009794987188549771,-0.047503063902445,-0.0171319938832695,-0.00344505718984492,-0.0116614582287241,-0.0117400034968348,-0.0125099840174465,-0.0063120317567927,-0.00911185743389225,-0.0204344818286401,-0.00955768358773224,-0.0487869846618113
12,5f5460db-801d-4d87-ac5c-4b28ab42d8b9.FPKM.txt.gz,0.0059611049767427,-0.00560549958942726,-0.0187950201694648,-0.0346950301839722,-0.02968034753011,-0.0332742792100273,-0.00256905270737168,-0.0314023035560015,-0.0144595804601197,0.000598669759624569,-0.00935475968053984,-0.009475318623390409,-0.00982536855988022,-0.00421457201937692,-0.010650335701808001,-0.0110441716794727,0.0230264028163178,0.0807594868117723
13,314b3b08-27e7-4936-a7d9-2dce4e4d3db7.FPKM.txt.gz,-0.0115286533455007,0.000855617565303244,-0.0100062342160487,-0.0451081672794539,0.0054913116052317705,0.00388137040095593,-0.000826167779314017,-0.0422267961201505,0.00190878989050314,-0.00701484929705921,-0.0025449882747416,-0.0174383614975442,-0.0112998394116701,0.0109726012930869,0.00573972822620518,-0.0204238343234532,-0.005397670744616,-0.0622373167987769
14,47b14505-ca81-4d39-8eca-0cb773f8934e.FPKM.txt.gz,-0.00556466679381608,-0.00917530910576369,-0.0211412710419634,0.0213265496015644,-0.0155003863071817,-0.0239856055429123,0.16378573529905,-0.0110448292918302,-0.0140065874979188,-0.00381959556489752,0.0012267011317799198,-0.009755285778454541,-0.0174383062098813,-0.0302918158254483,-0.0161174621759467,-0.0149983795919723,-0.00446526138392036,-0.0285208953617142
15,fddb387d-716e-48ca-9e99-483564c5384b.FPKM.txt.gz,-0.0114416444801649,0.0197596183122342,-0.006457696719074179,-0.0193515789791501,-0.0236216847475492,-0.0071394244965266905,-0.00603877676473302,-0.0372391618282015,-0.0132134910458494,-0.0100955421933267,-0.0148315215350181,-0.0074922442982015905,-0.00330973336990978,-0.00748505399686123,-0.0026119494555855802,-0.0168376214684267,-0.0039667196378203,-0.0318032838346892
16,83053f28-d761-4d5a-acd6-855cb22e46e2.FPKM.txt.gz,-0.00209235635035195,-0.0072947145341886,-0.0226475319887005,-0.00735331912955709,-0.0200608040348777,0.0956443674116197,-0.0114202666940205,-0.043683895439462994,-0.0157816109550864,-0.0034413244156601,-0.0101097055020591,-0.0125738054973468,-0.009878728825441621,-0.0132550809149673,-0.0010208285507635302,-0.00869659356226586,0.00549000187778436,-0.0534396507485099
17,1b3deeeb-5fde-4154-a57f-bb575ccfb2be.FPKM.txt.gz,-0.00821879499141176,-0.00723795726449441,-0.0186351645989273,-0.0448205286960646,-0.0274638988023362,0.00144719729778613,0.0152634907755649,-0.0272738903053499,-0.0189637260535554,-0.00673732129056865,-0.00599008583906,-0.0131718821650354,-0.020690627136855,-0.00797495513304301,0.0016014518127821199,-0.0228295529874349,-0.00554167057501841,-0.0378332306497162
18,eb3fc2fd-468c-42b4-bffe-700011c0a918.FPKM.txt.gz,-0.0102327612551394,-0.00881702026059955,-0.0255639832231699,-0.0196350163988902,-0.0125489960708043,0.00182908402770534,-0.0038498695092050203,0.00496269843430046,-0.00660135194464617,0.0101440860786402,-0.0145760585804661,-0.0050228448062309295,-0.0185663063662023,-0.00974906790822591,-0.009770450714540241,0.0107005138329682,0.000999281742921838,0.0531557058823406
19,b0a26c8d-9863-4352-8abe-dde66bdb8e55.FPKM.txt.gz,0.0124610962615559,-0.00935039057012425,-0.0163837927366447,-0.046127934380265995,-0.0299571812452175,-0.0300531300658487,-0.00700270046600762,-0.0421183404378827,0.0136964819696205,-0.0116099479607964,0.0148040617047315,0.00352666480118201,-0.00615092737702342,0.037740365331902996,0.00920272582867628,0.0133945068689254,-0.0060757171927554605,0.0138374511798729
20,dc674030-76f0-412d-8491-586a928803fb.FPKM.txt.gz,0.00202041464366679,-0.0008637535429250861,-0.0249874524350837,-0.000418215290893605,0.007524771792660091,-0.0136316638808468,-0.00448038739195316,0.120169594530062,0.0145168114966601,-0.00409231732910489,-0.006074015168801221,-0.00366834919716586,-0.0060794426132087,0.00246411673990492,-0.0038132502422653205,-0.0161376101638202,-0.0106557825703296,0.010328501575312
21,b30ff193-2e02-443a-9a87-7ab4027bccaf.FPKM.txt.gz,-0.0089927334539143,-0.0038896233740533205,-0.0269051470840831,-0.0337025158475278,-0.0137285561515709,0.00318362318190658,-0.00372861430978168,-0.0250416532572613,-0.0106051612167544,-0.00902056817531463,-0.0194667384522912,-0.0120264573211033,-0.0153065786422637,-0.0147770562368306,-0.0107406590856131,-0.00198843301609805,-0.007784171351697891,-0.0403483741254116
22,23e87533-2220-4b0d-b3e2-43707cb25858.FPKM.txt.gz,0.0198854331267079,-0.00816906043864974,-0.0198289005192705,-0.000416394578412963,-0.0215628547488809,0.0418832391950063,-0.0142321127880652,-0.0370974251674024,-0.0130874646616455,-0.006566669295900071,-0.008778561369058059,-0.015107021611818,-0.0085305876737706,-0.0155371954591557,-0.000394519820174901,-0.000701554794208775,-0.00697691470813773,-0.0489124561810591
