MEgrey60,MEsalmon,MEyellow,MEbrown,MEblue,MEmidnightblue,MEcyan,MEgreen,MEmagenta,MEred,MEblack,MEpurple,MEgreenyellow,MElightcyan,MEturquoise,MEpink,MEtan,MEgrey
ENSG00000099994,ENSG00000091513,ENSG00000004838,ENSG00000000938,ENSG00000000938,ENSG00000000938,ENSG00000127328,ENSG00000038427,ENSG00000007944,ENSG00000078814,ENSG00000041802,ENSG00000072071,ENSG00000019991,ENSG00000001631,ENSG00000015479,ENSG00000105063,ENSG00000074201,ENSG00000001084
ENSG00000107614,ENSG00000109072,ENSG00000007516,ENSG00000011600,ENSG00000004776,ENSG00000004776,ENSG00000127337,ENSG00000049323,ENSG00000048052,ENSG00000087250,ENSG00000043514,ENSG00000085377,ENSG00000096872,ENSG00000105810,ENSG00000033867,ENSG00000108106,ENSG00000149269,ENSG00000005243
ENSG00000115226,ENSG00000110169,ENSG00000018625,ENSG00000018280,ENSG00000004799,ENSG00000004799,ENSG00000135678,ENSG00000065534,ENSG00000059804,ENSG00000089199,ENSG00000078070,ENSG00000085382,ENSG00000100505,ENSG00000127914,ENSG00000052795,ENSG00000142409,ENSG00000172890,ENSG00000006118
ENSG00000124813,ENSG00000117594,ENSG00000105479,ENSG00000019169,ENSG00000008441,ENSG00000018625,ENSG00000164442,ENSG00000080573,ENSG00000079215,ENSG00000095739,ENSG00000084072,ENSG00000099337,ENSG00000120159,ENSG00000127980,ENSG00000062716,ENSG00000160469,ENSG00000172893,ENSG00000010278
ENSG00000136457,ENSG00000125551,ENSG00000105519,ENSG00000031081,ENSG00000012171,ENSG00000019169,ENSG00000166225,ENSG00000084636,ENSG00000085788,ENSG00000111052,ENSG00000090621,ENSG00000112276,ENSG00000127399,ENSG00000127989,ENSG00000080200,ENSG00000163221,ENSG00000205863,ENSG00000010292
ENSG00000157368,ENSG00000135346,ENSG00000111834,ENSG00000038945,ENSG00000018625,ENSG00000025423,ENSG00000166226,ENSG00000087303,ENSG00000088305,ENSG00000114115,ENSG00000116990,ENSG00000115705,ENSG00000137055,ENSG00000157259,ENSG00000090376,ENSG00000179922,ENSG00000219529,ENSG00000015475
ENSG00000162576,ENSG00000158874,ENSG00000117477,ENSG00000064205,ENSG00000019169,ENSG00000031081,,ENSG00000088882,ENSG00000108984,ENSG00000125378,ENSG00000117000,ENSG00000134245,ENSG00000147894,,ENSG00000091844,ENSG00000179943,ENSG00000224126,ENSG00000019549
ENSG00000166823,ENSG00000176919,ENSG00000118729,ENSG00000066056,ENSG00000031081,ENSG00000038945,,ENSG00000091986,ENSG00000133069,ENSG00000127863,ENSG00000164002,ENSG00000153157,ENSG00000165887,,ENSG00000102908,ENSG00000213015,ENSG00000236498,ENSG00000023909
ENSG00000166825,ENSG00000223609,ENSG00000120055,ENSG00000066336,ENSG00000038945,ENSG00000048740,,ENSG00000099953,ENSG00000135547,ENSG00000138028,ENSG00000182109,ENSG00000161835,ENSG00000171045,,ENSG00000104043,ENSG00000218891,ENSG00000237575,ENSG00000029153
ENSG00000181218,ENSG00000224220,ENSG00000126861,ENSG00000072163,ENSG00000048740,ENSG00000064205,,ENSG00000101230,ENSG00000138735,ENSG00000140807,ENSG00000187801,ENSG00000175265,ENSG00000171130,,ENSG00000104093,ENSG00000261221,ENSG00000246174,ENSG00000041802
