"","x"
"dc0ce32f-d5aa-489f-ba4b-e01443815121.FPKM.txt.gz",1
"2b33014e-c7ff-41aa-82bf-3121756639ad.FPKM.txt.gz",1
"397e302e-393e-4f54-b360-fcffe394271e.FPKM.txt.gz",1
"037b5a94-487e-4f5b-90a3-d696eb4a8a3e.FPKM.txt.gz",1
"5e010a9a-7f65-434b-ae4c-43948461187c.FPKM.txt.gz",1
"ae59d924-06ec-428d-b470-e78ed92c5e36.FPKM.txt.gz",1
"2b2b6341-1f6d-4acc-8a67-0ba8ab051ee8.FPKM.txt.gz",1
"87d1452e-8ec6-4c75-a03b-361738c728c0.FPKM.txt.gz",1
"5d420937-4d97-4f04-9ce9-754054261d97.FPKM.txt.gz",1
"c622f68c-e37c-45ee-a266-ae704629f0f6.FPKM.txt.gz",1
"4ed9b51a-78a1-48c7-90bd-8ecd2e5767ad.FPKM.txt.gz",1
"20a96363-a968-445a-bd9a-96b27e403516.FPKM.txt.gz",1
"5f5460db-801d-4d87-ac5c-4b28ab42d8b9.FPKM.txt.gz",1
"314b3b08-27e7-4936-a7d9-2dce4e4d3db7.FPKM.txt.gz",1
"47b14505-ca81-4d39-8eca-0cb773f8934e.FPKM.txt.gz",1
"fddb387d-716e-48ca-9e99-483564c5384b.FPKM.txt.gz",1
"83053f28-d761-4d5a-acd6-855cb22e46e2.FPKM.txt.gz",1
"1b3deeeb-5fde-4154-a57f-bb575ccfb2be.FPKM.txt.gz",1
"eb3fc2fd-468c-42b4-bffe-700011c0a918.FPKM.txt.gz",1
"b0a26c8d-9863-4352-8abe-dde66bdb8e55.FPKM.txt.gz",1
"dc674030-76f0-412d-8491-586a928803fb.FPKM.txt.gz",1
"b30ff193-2e02-443a-9a87-7ab4027bccaf.FPKM.txt.gz",1
"23e87533-2220-4b0d-b3e2-43707cb25858.FPKM.txt.gz",1
"f387829d-a128-4eda-9d8a-10d63bb1ee9c.FPKM.txt.gz",1
"5774022a-7bf2-4fdd-a4a5-f9aa33c2174d.FPKM.txt.gz",1
"18ec943b-2068-467c-82df-07c60f4ed200.FPKM.txt.gz",1
"d20acb1e-7d44-4a0f-9ad4-2cc39c8fb151.FPKM.txt.gz",1
"430d5203-9a93-4e33-94fa-aa4e0970989c.FPKM.txt.gz",1
"e78e2bc9-95d1-4ee7-a42f-c548715ca6f7.FPKM.txt.gz",1
"ac3052a6-d735-4755-9145-80b9f633c838.FPKM.txt.gz",1
"60f8b5a7-a7da-4dd6-88d0-97dbf4c3c269.FPKM.txt.gz",1
"60a2aca4-1635-4343-81cd-9d7f68d3c395.FPKM.txt.gz",1
"55adf423-02a4-425b-b57d-2d804a96320d.FPKM.txt.gz",1
"7ea958f2-f45d-4549-9d45-07c51eebae99.FPKM.txt.gz",1
"cfd41bd1-a69c-470a-be0a-885732277544.FPKM.txt.gz",1
"2c4641bd-928f-4fa2-9931-3351955c2396.FPKM.txt.gz",1
"d38d30c2-78fe-4e5f-a94b-56080bf4371a.FPKM.txt.gz",1
"f0051b3a-479d-4410-ab85-270618818492.FPKM.txt.gz",1
"04c8f4a3-77c8-4085-ae46-ae66ab486c08.FPKM.txt.gz",1
"f5abf3ae-a7bd-4606-bd9a-2633a82eb65c.FPKM.txt.gz",1
"c962af41-67e1-4e18-9d59-cee591ef98f9.FPKM.txt.gz",1
"73912113-540a-41bd-ada5-4f427592dfee.FPKM.txt.gz",1
"430d6c41-8efd-4e14-9876-5901e770f74d.FPKM.txt.gz",1
"f9deb5e8-3a97-4eba-8b67-c71068a1bc93.FPKM.txt.gz",1
"3d936a71-67c1-4173-82a4-12a667bcf3e9.FPKM.txt.gz",1
"1477e0a8-d5fb-4572-8caa-c6f2d1786402.FPKM.txt.gz",1
"8cd200d8-da0a-4176-8665-d527343c7264.FPKM.txt.gz",1
"433237bf-1db2-4d5b-98f8-2e1c5796c65f.FPKM.txt.gz",1
"7b39751b-6e15-416c-b879-42c76270e133.FPKM.txt.gz",1
"69f590a7-8b7d-46e4-9a90-a1a3d59771f9.FPKM.txt.gz",1
"bfcc0178-87a0-481d-b694-eb429fdfbaf4.FPKM.txt.gz",1
"5230a3f7-5cec-4a22-a2d8-600d0f6b0d2f.FPKM.txt.gz",1
"ed610a8d-576a-4f6a-8259-01f9dd48b9d4.FPKM.txt.gz",1
