i_doc,doc,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12,Topic 13,Topic 14,Topic 15
0,TCGA-43-7657-11A-01R-2125-07,0.2964063463586926,0.17155351236194427,0.1030442338958345,0.1299545887761395,0.03223636261703201,0.17721589953467512,0.0005606323933396871,0.006671525480742277,0.003307731120704154,0.00829735942142737,0.010988394909457869,0.012726355328810899,0.001177328026013343,0.044177832595167346,0.0016818971800190614
1,TCGA-58-8386-11A-01R-2296-07,0.2966810804739709,0.17105632616386815,0.10540798562363116,0.13006121188296738,0.03150446453641826,0.17622283371707756,0.0009546807435278262,0.005615769079575448,0.004717246026843376,0.0076374459482226095,0.01128769584994665,0.011456168922333913,0.0011231538159150896,0.04548772954456113,0.0007862076711405628
2,TCGA-22-5478-11A-11R-1635-07,0.3143989431968296,0.17611384652335776,0.09415155518193827,0.13083943797285938,0.025939714182778913,0.17449261438693406,0.0006004563468235859,0.005284015852047556,0.0021616428485649094,0.005704335294824067,0.007926023778071334,0.012129218205836435,0.0009607301549177375,0.04851687282334574,0.0007805932508706617
3,TCGA-22-5472-11A-11R-1635-07,0.29845293143803164,0.17274647485299993,0.10526916709482217,0.12901752583204887,0.02979962322315465,0.17679968031055546,0.0005708740081064109,0.005366215676200263,0.004909516469715134,0.007364274704572701,0.010446994348347319,0.012616315579151681,0.0015413598218873095,0.04458526003311069,0.0005137866072957698
4,TCGA-43-5670-11A-01R-2125-07,0.2903457417430686,0.16767922235722965,0.11068154203026621,0.12785816856290733,0.03490555616922567,0.17635038108914172,0.0007732243455208218,0.006903788799293052,0.0054678007290400975,0.009278692146249863,0.01088037114768585,0.01187451673478405,0.002209212415773777,0.04319010272837733,0.001601679001435988
5,TCGA-60-2709-11A-01R-1820-07,0.3043883133511815,0.17174950529624025,0.10150157141194273,0.12879757886159934,0.029449423815621,0.17477592829705504,0.00046560353858689327,0.006867652194156675,0.003957630077988592,0.007391456175066931,0.00878826679082761,0.012454894657199395,0.0011640088464672331,0.0469095565126295,0.0013386101734373182
6,TCGA-22-5489-11A-01R-1635-07,0.2965897347571478,0.17062808588816167,0.10770467332644391,0.12854518314387414,0.029509702606499023,0.17883798369502812,0.0005167068549776093,0.005741187277528993,0.004248478585371454,0.0085543690435182,0.009013664025720519,0.012630612010563785,0.0018371799288092777,0.044953496383052016,0.0006889424733034792
7,TCGA-77-8007-11A-01R-2187-07,0.30142135557382826,0.17655350640197345,0.10113943380711853,0.13485257840949136,0.02830964407376953,0.17655350640197345,0.000646070715376483,0.005697169035592623,0.002584282861505932,0.005520967931399037,0.009691060730647245,0.009691060730647245,0.0008222718195700693,0.04598848819452602,0.0005286033125807588
8,TCGA-22-5471-11A-01R-1635-07,0.3008726003490401,0.17254217568353694,0.10663176265270506,0.12600349040139616,0.02716695753344968,0.17958115183246073,0.0005817335660267597,0.006689936009307737,0.0029086678301337987,0.007678883071553229,0.008900523560209424,0.012565445026178011,0.0008726003490401396,0.04648051192553811,0.0005235602094240838
9,TCGA-22-4609-11A-01R-2125-07,0.30812687577237685,0.1760725004413582,0.0930383098923086,0.13170128876596246,0.02712881774848467,0.17807332431001,0.0007650208909550991,0.005825928323427294,0.0030012358029776966,0.0048255163891013945,0.00865062084387689,0.013534984993820985,0.0012946507385393985,0.047607838521744245,0.0003530865650561996
10,TCGA-22-5482-11A-01R-1635-07,0.3037996251490884,0.17305617084114272,0.10194808882830693,0.12994831601067758,0.029420116998920883,0.17356733117510081,0.0009087294825921509,0.006645084341455103,0.003294144374396547,0.007837791787357301,0.009598455159879593,0.011813483273697961,0.0017606633725222923,0.04555006531493156,0.0008519338899301414
11,TCGA-56-8082-11A-01R-2247-07,0.3046032741999886,0.17312189835149164,0.09959500313729965,0.12959899606411499,0.03182933089954937,0.17357823284467513,0.0005133763048314414,0.005476013918202042,0.004164052250299469,0.006274599281273174,0.009354857110261822,0.013176658490673664,0.0016542125377902001,0.046317951058125605,0.0007415435514231932
12,TCGA-22-5483-11A-11R-1820-07,0.3120291616038882,0.18238153098420412,0.08426488456865128,0.1339003645200486,0.026913730255164033,0.17806804374240584,0.0005467800729040097,0.006196840826245444,0.0027339003645200487,0.005042527339003645,0.008080194410692588,0.010753341433778858,0.0009720534629404617,0.04738760631834751,0.0007290400972053463
13,TCGA-56-8623-11A-01R-A28V-07,0.2973502884992437,0.16957033219427484,0.10850932720855974,0.1292924766119545,0.029466136350904712,0.17836535768304296,0.0005601927062909641,0.006162119769200605,0.003305136967116688,0.008290852053106269,0.010027449442608256,0.01215618172651392,0.0010643661419528318,0.045207551397680804,0.0006722312475491569
14,TCGA-33-4587-11A-01R-2125-07,0.30363498453818777,0.173230643561468,0.10298150417177199,0.12941245113483868,0.02841472664682887,0.17556450201295293,0.00035007876772273763,0.005951339051286539,0.0037341735223758677,0.0074100005834646125,0.009627166112375284,0.012019371025147324,0.0012252756870295817,0.045743625649104384,0.0007001575354454753
15,TCGA-56-7579-11A-01R-2045-07,0.2999135695764909,0.16974935177182368,0.10492653414001729,0.1286084701815039,0.0289253817343705,0.17689426678190723,0.0004609622587150677,0.006568712186689715,0.0036300777873811583,0.008585422068568136,0.009680207433016421,0.012503601267646212,0.0016709881878421205,0.04609622587150677,0.0017862287525208873
16,TCGA-43-3394-11A-01R-1758-07,0.29542541929013205,0.16821752939209897,0.10854181757396779,0.12380899314648688,0.033041733994539475,0.17440240708753552,0.001281551234189558,0.007354989691870507,0.006853513121970246,0.00858082130718226,0.010140970635760851,0.013149830055162423,0.0028417005627681506,0.04507717167214576,0.001281551234189558
17,TCGA-34-8454-11A-01R-2326-07,0.3058470764617691,0.17748817898742936,0.09456810056510206,0.13337561988236651,0.030907623111521162,0.17137585053627033,0.0004036443316803137,0.005651020643524391,0.004440087648483451,0.0058816745473417135,0.009629800484373199,0.01216699342636374,0.0016145773267212547,0.04532349210010379,0.001326259946949602
18,TCGA-77-7338-11A-01R-2045-07,0.31460471817035834,0.17756167837205114,0.0940032414910859,0.13248094123296716,0.02485143165856294,0.175700822378294,0.0001200552254036857,0.005162374692358485,0.0019208836064589711,0.004742181403445585,0.008043700102046941,0.012605798667386998,0.000780358965123957,0.04712167597094664,0.00030013806350921425
19,TCGA-43-6143-11A-01R-1820-07,0.3048880074661689,0.1782547830144657,0.08860242650489968,0.1344493700419972,0.030564629024731685,0.1739384041063929,0.0005249650023331778,0.00635790947270182,0.0045496966868875405,0.006882874475034998,0.01108259449370042,0.012190853943070462,0.0010499300046663555,0.046021931871208586,0.0006416238917405507
20,TCGA-43-6773-11A-01R-1949-07,0.30086532061238075,0.17250942977590414,0.10650099844686044,0.12902152207676948,0.03039715997337475,0.17184379853561127,0.0005546927002440647,0.00582427335256268,0.005435988462391835,0.007321943643221655,0.010317284224539605,0.010816507654759264,0.0013312624805857556,0.04598402485023297,0.001275793210561349
21,TCGA-51-4080-11A-01R-1758-07,0.30665972342764564,0.17485390267893305,0.09951975930104727,0.13105363652143726,0.028698721286813632,0.17392813747613262,0.0002893016258751374,0.005901753167852804,0.0044552450384771165,0.006653937395128161,0.0075797025979286005,0.011803506335705607,0.001562228779725742,0.046519701440722094,0.0005207429265752473
22,TCGA-34-7107-11A-01R-1949-07,0.30497877710221405,0.17844441895147414,0.0903980727314443,0.135482390730756,0.0307445221980039,0.17070092921876792,0.0005162326488470804,0.005907995870138809,0.007514052999885282,0.004703453022828955,0.010095216244120684,0.010840885625788688,0.0016634163129517036,0.047436044510726166,0.0005735918320523115
23,TCGA-39-5040-11A-01R-2125-07,0.3133436865368534,0.17608409986859397,0.09407478198542588,0.13242145502329472,0.025743638752837177,0.1747103094015052,0.0003583801218492414,0.006450842193286345,0.0023294707920200695,0.00501732170588938,0.008541392904073587,0.012423844224107037,0.0003583801218492414,0.04694779596225063,0.001194600406164138
24,TCGA-43-6771-11A-01R-1820-07,0.32054530100132705,0.18120400530823982,0.08173482929183255,0.1369887803112559,0.023766437447219207,0.1745083846061045,0.0003619254433586681,0.006213053444323802,0.0018096272167933405,0.0042827844130775726,0.0077813970322113644,0.009952949692363372,0.0008444927011702256,0.04898057666787309,0.0010254554228495596
