Cluster 1,Cluster 2,Cluster 3,Cluster 4,Cluster 5
TCGA-05-5420-01A-01R-1628-07,TCGA-55-7283-01A-11R-2039-07,TCGA-86-A4P8-01A-11R-A24X-07,TCGA-38-4625-01A-01R-1206-07,TCGA-44-5643-01A-01R-1628-07
TCGA-MP-A4TA-01A-21R-A24X-07,TCGA-55-8208-01A-11R-2241-07,TCGA-44-6148-01A-11R-1755-07,TCGA-38-4625-01A-01R-1206-07-1,TCGA-66-2783-01A-01R-1201-07
TCGA-44-A4SS-01A-11R-A24X-07,TCGA-75-6205-01A-11R-1755-07,TCGA-L4-A4E6-01A-11R-A24H-07,,TCGA-66-2781-01A-01R-0851-07
TCGA-50-5936-01A-11R-1628-07,TCGA-44-8117-01A-11R-2241-07,TCGA-55-7816-01A-11R-2170-07,,TCGA-34-2600-01A-01R-0851-07
TCGA-MP-A4TF-01A-11R-A262-07,TCGA-86-8669-01A-11R-2403-07,TCGA-55-8512-01A-11R-2403-07,,TCGA-22-0940-01A-01R-0692-07
TCGA-62-A46O-01A-11R-A24H-07,TCGA-86-8668-01A-11R-2403-07,TCGA-49-AARR-01A-11R-A41B-07,,TCGA-43-6647-01A-11R-1820-07
TCGA-93-8067-01A-11R-2287-07,TCGA-55-7227-01A-11R-2039-07,TCGA-55-6980-11A-01R-1949-07,,TCGA-63-7022-01A-11R-1949-07
TCGA-86-8585-01A-11R-2403-07,TCGA-55-A48Z-01A-12R-A24X-07,TCGA-55-6984-11A-01R-1949-07,,TCGA-56-A5DS-01A-11R-A27Q-07
TCGA-62-8398-01A-11R-2326-07,TCGA-97-A4M7-01A-11R-A24X-07,TCGA-50-5936-11A-01R-1628-07,,TCGA-85-8353-01A-21R-2296-07
TCGA-69-8255-01A-11R-2287-07,TCGA-69-7763-01A-11R-2170-07,TCGA-91-6849-11A-01R-1949-07,,TCGA-18-3417-01A-01R-1443-07
TCGA-53-7624-01A-11R-2066-07,TCGA-78-7536-01A-11R-2066-07,TCGA-55-6968-11A-01R-1949-07,,TCGA-22-5485-01A-01R-1635-07
TCGA-50-6591-01A-11R-1755-07,TCGA-97-8172-01A-11R-2287-07,TCGA-50-5930-11A-01R-1755-07,,TCGA-37-A5EL-01A-11R-A26W-07
TCGA-78-7150-01A-21R-2039-07,TCGA-NJ-A4YP-01A-11R-A262-07,TCGA-49-6745-11A-01R-1858-07,,TCGA-63-A5MU-01A-11R-A26W-07
TCGA-75-6214-01A-41R-1949-07,TCGA-05-4420-01A-01R-1206-07,TCGA-50-5931-11A-01R-1858-07,,TCGA-77-7463-01A-11R-2045-07
TCGA-55-7570-01A-11R-2039-07,TCGA-L9-A444-01A-21R-A24H-07,TCGA-44-6778-11A-01R-1858-07,,TCGA-51-4081-01A-01R-1100-07
TCGA-78-7155-01A-11R-2039-07,TCGA-49-6744-01A-11R-1858-07,TCGA-50-5939-11A-01R-1628-07,,TCGA-60-2724-01A-01R-0851-07
TCGA-05-4397-01A-01R-1206-07,TCGA-MP-A4TK-01A-11R-A24X-07,TCGA-44-2655-11A-01R-1758-07,,TCGA-MF-A522-01A-11R-A262-07
TCGA-55-7726-01A-11R-2170-07,TCGA-53-7626-01A-12R-2066-07,TCGA-91-6829-11A-01R-1858-07,,TCGA-43-3920-01A-01R-0980-07
TCGA-64-5781-01A-01R-1628-07,TCGA-55-8302-01A-11R-2326-07,TCGA-44-3398-11B-01R-1758-07,,TCGA-21-5786-01A-01R-1635-07
TCGA-35-5375-01A-01R-1628-07,TCGA-67-3770-01A-01R-0946-07,TCGA-50-5935-11A-01R-1858-07,,TCGA-77-8128-01A-11R-2247-07
