,Topic 1,Topic 2
A1BG,4745.982592700119,736743.8965229039
A1CF,19.33921582239225,2573.2580229795517
A2ML1,436.42598816019284,223851.3240502119
A4GALT,4666.1548001686615,1034296.8355345376
A4GNT,56.182176739355555,7687.630821813121
AADAC,929.4905181239415,243865.05225322855
AADACL3,2.795025796339845,202.9073626601753
AADACL4,3.7756324754503874,479.4524787479977
AATK,1610.7507454585002,320530.85888185434
ABCA3,16721.49021391548,4116749.253221332
ABCA4,1049.920186527506,283895.30313632736
ABCA8,2657.9543076479604,379768.50797431206
ABCC2,496.1339252547918,83487.83886673427
ABCC3,10156.692244450327,1453423.860565167
ABCC5,4025.52344661368,1669476.366690002
ABCC8,455.8698618987572,79327.12886093643
ABHD12B,160.73109227167257,39527.3392164816
ABI3BP,11595.879536141807,1602600.9288401941
ABLIM3,3072.837052427094,416938.97998657264
AC002472.1,3.054734872211247,630.0495185982434
AC003102.1,26.82761120282447,5211.915499270383
AC006538.4,583.2391922193307,86972.40098702098
AC007421.1,8.067207107706913,1430.43129648088
AC007557.1,1.7398705435894328,242.1674797365223
AC008271.1,72.32520017367743,4436.222389584363
AC008498.1,1.4649829044891358,307.58461334538947
AC009065.1,1198.5956458529915,216106.51273189313
AC011298.1,30.279173988977732,41616.483458984476
AC012215.1,11.277662307257136,1952.9520849325706
AC015660.1,4.716688572188821,1390.3214399998647
AC018867.2,228.23605400653494,37903.01733562363
AC025262.1,392.8695771362325,69195.56844496423
AC026369.1,3.1523180827405732,759.7273101986524
AC026703.1,1816.8519683528175,332081.29150477605
AC027309.1,1.2795762799350006,284.40029486005756
AC040977.1,287.1237797171009,34318.759736645894
AC069547.2,5.216182681451566,751.6108542968578
AC073342.1,7.490103018014235,2681.3759658710014
AC073657.1,2.3502715048474236,450.03616587540716
AC079354.2,14.766823836771612,5505.531510344766
AC083862.1,10.506091523898494,2825.1512528926587
AC084121.16,2.967373479671125,1289.9654127354793
AC091801.1,33.28838184362226,6309.130109477434
AC106017.1,4.761738536832605,426.3537262201576
AC110615.1,1168.2383292422398,150610.4476089308
AC110792.1,8.910241037377505,736.5070909057588
AC114783.1,1.3762253559340965,116.0453888044496
AC117834.1,155.2023674090291,31711.53539265307
AC142381.1,268.5653708106201,88013.28662932318
ACAD8,5335.229162574245,841125.4724481503
ACADL,1051.451006365018,310086.80395602074
ACE,8927.488345280195,1430387.2527364593
ACE2,624.938252951214,93185.69070928759
ACHE,1407.9493612299402,175825.77207607657
ACKR3,8302.653003840463,2277509.668034066
ACMSD,140.6696610875283,16829.7345508761
ACSL4,6764.031180256393,1132711.7016093736
ACSL5,10734.180271578985,1633291.2077660607
ACSM3,2621.5858700970184,435801.3992255142
ACTA1,119.28675489826787,20191.261644414386
ACTG2,10009.295458069855,1439113.5207537506
ACTL6B,23.25839325950773,5039.51838362388
ACTL8,84.01531838739209,17692.25569989442
ACTRT2,2.1351986610432943,272.57883959600673
ACVRL1,10076.807052854734,1752055.796289092
ADAD1,1.9232178182226838,382.2363041624816
ADAM18,3.107361884484334,2432.0190435627396
