i_doc,doc,Topic 1,Topic 2
0,TCGA-05-5420-01A-01R-1628-07,4.598137460147289e-07,0.999999540186254
1,TCGA-55-7283-01A-11R-2039-07,4.978888824361818e-07,0.9999995021111177
2,TCGA-55-8208-01A-11R-2241-07,3.9573823925194597e-07,0.9999996042617608
3,TCGA-75-6205-01A-11R-1755-07,5.535270994102072e-07,0.9999994464729005
4,TCGA-44-8117-01A-11R-2241-07,5.755555214017366e-07,0.9999994244444786
5,TCGA-MP-A4TA-01A-21R-A24X-07,5.167996091631257e-07,0.9999994832003908
6,TCGA-86-8669-01A-11R-2403-07,4.33815713018848e-07,0.999999566184287
7,TCGA-86-8668-01A-11R-2403-07,4.1531741663301434e-07,0.9999995846825833
8,TCGA-44-A4SS-01A-11R-A24X-07,3.9758291283940453e-07,0.9999996024170872
9,TCGA-55-7227-01A-11R-2039-07,3.8311837632480817e-07,0.9999996168816236
10,TCGA-50-5936-01A-11R-1628-07,5.307724620011125e-07,0.999999469227538
11,TCGA-55-A48Z-01A-12R-A24X-07,4.5249794648566283e-07,0.9999995475020536
12,TCGA-MP-A4TF-01A-11R-A262-07,6.005443550272774e-07,0.999999399455645
13,TCGA-97-A4M7-01A-11R-A24X-07,3.503818310436085e-07,0.999999649618169
14,TCGA-69-7763-01A-11R-2170-07,3.687659788663401e-07,0.9999996312340211
15,TCGA-62-A46O-01A-11R-A24H-07,3.758045029709545e-07,0.9999996241954971
16,TCGA-78-7536-01A-11R-2066-07,5.28685379439294e-07,0.9999994713146205
17,TCGA-97-8172-01A-11R-2287-07,4.996199677497142e-07,0.9999995003800323
18,TCGA-93-8067-01A-11R-2287-07,3.9666994059069056e-07,0.9999996033300593
19,TCGA-NJ-A4YP-01A-11R-A262-07,4.4338649170445145e-07,0.9999995566135083
20,TCGA-05-4420-01A-01R-1206-07,4.981377855801395e-07,0.9999995018622144
21,TCGA-L9-A444-01A-21R-A24H-07,3.9565834704108133e-07,0.9999996043416529
22,TCGA-49-6744-01A-11R-1858-07,4.118062758209262e-07,0.9999995881937243
23,TCGA-MP-A4TK-01A-11R-A24X-07,4.625806336488992e-07,0.9999995374193664
24,TCGA-53-7626-01A-12R-2066-07,4.4756801252470887e-07,0.9999995524319876
25,TCGA-55-8302-01A-11R-2326-07,4.692122630237144e-07,0.9999995307877368
26,TCGA-67-3770-01A-01R-0946-07,4.2299954109535494e-07,0.9999995770004588
27,TCGA-78-8648-01A-11R-2403-07,4.5831872272896165e-07,0.9999995416812772
28,TCGA-49-4510-01A-01R-1206-07,3.5989864495809447e-07,0.9999996401013551
29,TCGA-50-5045-01A-01R-1628-07,4.348901108528455e-07,0.9999995651098891
30,TCGA-95-8039-01A-11R-2241-07,4.621976797278369e-07,0.9999995378023202
31,TCGA-75-6206-01A-11R-1755-07,4.4989233756432836e-07,0.9999995501076625
32,TCGA-MP-A4TC-01A-11R-A24X-07,5.155135651536938e-07,0.9999994844864348
33,TCGA-95-7039-01A-11R-1949-07,4.848391103095312e-07,0.9999995151608897
34,TCGA-44-7669-01A-21R-2066-07,5.451741697423619e-07,0.9999994548258302
35,TCGA-97-A4LX-01A-11R-A24X-07,5.237468402544362e-07,0.9999994762531598
36,TCGA-44-2662-01A-01R-A278-07,5.047342128413644e-07,0.9999994952657872
37,TCGA-55-8614-01A-11R-2403-07,4.575032753666767e-07,0.9999995424967247
38,TCGA-55-7815-01A-11R-2170-07,3.2524565890302013e-07,0.999999674754341
39,TCGA-73-4658-01A-01R-1755-07,4.181005104801366e-07,0.9999995818994896
40,TCGA-55-1592-01A-01R-0946-07,3.691937248071808e-07,0.9999996308062752
41,TCGA-91-6840-01A-11R-1949-07,5.3678318265283e-07,0.9999994632168173
42,TCGA-86-8585-01A-11R-2403-07,3.7951478898016217e-07,0.999999620485211
43,TCGA-44-6146-01A-11R-1755-07,3.476302230887651e-07,0.999999652369777
44,TCGA-62-8398-01A-11R-2326-07,4.264550977869528e-07,0.9999995735449022
45,TCGA-78-7145-01A-11R-2039-07,5.979194162415026e-07,0.9999994020805838
46,TCGA-55-6543-01A-11R-1755-07,3.4171245994965573e-07,0.99999965828754
47,TCGA-86-8054-01A-11R-2241-07,6.232781810536021e-07,0.9999993767218189
48,TCGA-78-7161-01A-11R-2039-07,2.85240729798889e-07,0.9999997147592702
49,TCGA-86-A4D0-01A-11R-A24H-07,3.5759914492383e-07,0.999999642400855
50,TCGA-38-4628-01A-01R-1206-07,5.521789311318754e-07,0.9999994478210689
51,TCGA-69-8255-01A-11R-2287-07,3.047053235894387e-07,0.9999996952946764
52,TCGA-86-A4P8-01A-11R-A24X-07,3.288041233344798e-07,0.9999996711958766
53,TCGA-44-7661-01A-11R-2066-07,5.137166221928729e-07,0.9999994862833779
54,TCGA-44-6774-01A-21R-1858-07,4.348009013816079e-07,0.9999995651990987
55,TCGA-93-A4JQ-01A-11R-A24X-07,4.4189081317036324e-07,0.9999995581091868
56,TCGA-97-7547-01A-11R-2039-07,4.397814882085036e-07,0.9999995602185119
57,TCGA-MP-A4T7-01A-11R-A24X-07,3.5646410770708947e-07,0.9999996435358922
58,TCGA-93-7348-01A-21R-2039-07,3.18189206963062e-07,0.999999681810793
59,TCGA-05-4398-01A-01R-1206-07,4.938925299033475e-07,0.9999995061074701
60,TCGA-67-3773-01A-01R-0946-07,4.3058416766765414e-07,0.9999995694158323
61,TCGA-50-6593-01A-11R-1755-07,4.3626907800669026e-07,0.999999563730922
62,TCGA-44-6776-01A-11R-1858-07,3.7298581368511144e-07,0.9999996270141864
63,TCGA-NJ-A4YG-01A-22R-A262-07,3.931246164694248e-07,0.9999996068753835
64,TCGA-05-4389-01A-01R-1206-07,4.822281948299555e-07,0.9999995177718052
65,TCGA-44-7659-01A-11R-2066-07,4.1595257126372993e-07,0.9999995840474286
66,TCGA-44-2662-01A-01R-0946-07,4.817775072041198e-07,0.9999995182224928
67,TCGA-50-8459-01A-11R-2326-07,3.0746937387839814e-07,0.999999692530626
68,TCGA-55-7573-01A-11R-2039-07,4.2891021985583907e-07,0.9999995710897802
69,TCGA-95-A4VK-01A-11R-A262-07,3.8460949995598334e-07,0.9999996153905001
70,TCGA-86-8674-01A-21R-2403-07,3.874852619678115e-07,0.999999612514738
71,TCGA-69-8254-01A-11R-2287-07,3.596753822093696e-07,0.9999996403246179
72,TCGA-91-6828-01A-11R-1858-07,4.686176604312667e-07,0.9999995313823395
73,TCGA-75-7030-01A-11R-1949-07,3.167859098683152e-07,0.9999996832140902
74,TCGA-97-A4M3-01A-11R-A24X-07,3.373136967175293e-07,0.9999996626863032
75,TCGA-38-4626-01A-01R-1206-07,3.458314455427076e-07,0.9999996541685544
76,TCGA-44-6148-01A-11R-1755-07,2.687142932913519e-07,0.9999997312857067
77,TCGA-78-7159-01A-11R-2039-07,3.838162021429694e-07,0.9999996161837978
78,TCGA-MP-A4TI-01A-21R-A24X-07,4.903354186315167e-07,0.9999995096645814
79,TCGA-78-7153-01A-11R-2039-07,2.602883906805815e-07,0.9999997397116093
80,TCGA-86-A4JF-01A-11R-A24X-07,4.0464957135787544e-07,0.9999995953504287
81,TCGA-50-5944-01A-11R-1755-07,3.5233799953265385e-07,0.9999996476620004
82,TCGA-50-5051-01A-21R-1858-07,3.09807402041884e-07,0.9999996901925979
83,TCGA-44-2668-01A-01R-A278-07,5.259433214526158e-07,0.9999994740566786
84,TCGA-97-A4M6-01A-11R-A24X-07,4.748867179932067e-07,0.9999995251132819
85,TCGA-62-A46Y-01A-11R-A24H-07,3.5978577068852675e-07,0.9999996402142293
86,TCGA-55-8510-01A-11R-2403-07,3.527515376446733e-07,0.9999996472484624
87,TCGA-75-6212-01A-11R-1755-07,3.521171117857697e-07,0.9999996478828882
88,TCGA-53-7624-01A-11R-2066-07,6.544384761230243e-07,0.9999993455615239
89,TCGA-49-4487-01A-21R-1858-07,4.190133497212021e-07,0.9999995809866503
90,TCGA-50-6591-01A-11R-1755-07,6.334221320078235e-07,0.9999993665778679
91,TCGA-97-7938-01A-11R-2170-07,4.2166659673904385e-07,0.9999995783334031
92,TCGA-64-1678-01A-01R-0946-07,4.6755788064821645e-07,0.9999995324421194
93,TCGA-86-A456-01A-11R-A24H-07,3.70749076886036e-07,0.9999996292509231
94,TCGA-75-7031-01A-11R-1949-07,2.897049979376688e-07,0.999999710295002
95,TCGA-55-8203-01A-11R-2241-07,4.4986384947348815e-07,0.9999995501361505
96,TCGA-44-8120-01A-11R-2241-07,6.760191116116485e-07,0.9999993239808884
97,TCGA-35-3615-01A-01R-0946-07,3.8540629993335977e-07,0.9999996145937
98,TCGA-50-5942-01A-21R-1755-07,3.9383675606322034e-07,0.9999996061632439
99,TCGA-55-6642-01A-11R-1858-07,4.798689599201901e-07,0.9999995201310401
100,TCGA-44-6777-01A-11R-1858-07,4.3535776856687723e-07,0.9999995646422315
101,TCGA-55-6971-01A-11R-1949-07,4.02261170798585e-07,0.9999995977388292
102,TCGA-38-7271-01A-11R-2039-07,3.188143440940509e-07,0.9999996811856559
103,TCGA-80-5611-01A-01R-1628-07,6.332354029843085e-07,0.999999366764597
104,TCGA-78-7150-01A-21R-2039-07,4.5657352539021336e-07,0.9999995434264746
105,TCGA-73-A9RS-01A-11R-A41B-07,4.1284016545282307e-07,0.9999995871598345
106,TCGA-MP-A4SV-01A-11R-A24X-07,5.969556257581219e-07,0.9999994030443743
107,TCGA-91-6849-01A-11R-1949-07,3.2564862335703115e-07,0.9999996743513766
108,TCGA-05-5715-01A-01R-1628-07,3.8260253665544303e-07,0.9999996173974633
109,TCGA-91-6835-01A-11R-1858-07,5.378039509208623e-07,0.9999994621960491
110,TCGA-75-6214-01A-41R-1949-07,2.4801935259982993e-07,0.9999997519806474
111,TCGA-55-7570-01A-11R-2039-07,4.6058972223225905e-07,0.9999995394102779
112,TCGA-55-6981-01A-11R-1949-07,3.580330828099947e-07,0.9999996419669172
113,TCGA-50-6673-01A-11R-1949-07,3.812652092900473e-07,0.9999996187347908
114,TCGA-55-8616-01A-11R-2403-07,4.308737210646988e-07,0.999999569126279
115,TCGA-99-AA5R-01A-11R-A39D-07,2.8660371737481205e-07,0.9999997133962827
116,TCGA-50-5933-01A-11R-1755-07,5.82205889841186e-07,0.9999994177941102
117,TCGA-69-7760-01A-11R-2170-07,2.0169707428290836e-07,0.9999997983029257
118,TCGA-78-7155-01A-11R-2039-07,8.443508722680356e-07,0.9999991556491277
119,TCGA-99-8025-01A-11R-2241-07,4.0558549758796135e-07,0.9999995944145024
120,TCGA-97-8547-01A-11R-2403-07,3.7972401937756884e-07,0.9999996202759807
121,TCGA-91-7771-01A-11R-2170-07,3.619578385004797e-07,0.9999996380421614
122,TCGA-55-A490-01A-11R-A466-07,3.1665864192984675e-07,0.999999683341358
123,TCGA-44-7662-01A-11R-2066-07,5.370072557829442e-07,0.9999994629927441
124,TCGA-55-A493-01A-11R-A24H-07,5.131405429149444e-07,0.999999486859457
125,TCGA-55-1595-01A-01R-0946-07,5.051627828546049e-07,0.9999994948372172
126,TCGA-69-7973-01A-11R-2187-07,5.972371077872067e-07,0.9999994027628922
127,TCGA-55-6972-01A-11R-1949-07,3.6903709128268804e-07,0.9999996309629087
128,TCGA-44-6147-01A-11R-1755-07,4.0933202134658e-07,0.9999995906679787
129,TCGA-67-3774-01A-01R-0946-07,4.361736680683088e-07,0.9999995638263318
130,TCGA-44-2668-01A-01R-0946-07,4.897556638603642e-07,0.9999995102443362
131,TCGA-55-6969-01A-11R-1949-07,5.699543562501655e-07,0.9999994300456437
132,TCGA-67-6216-01A-11R-1755-07,4.289927529428582e-07,0.9999995710072471
133,TCGA-MP-A5C7-01A-11R-A262-07,4.0582028742044137e-07,0.9999995941797126
134,TCGA-62-A46V-01A-11R-A24H-07,4.695761104598552e-07,0.9999995304238896
135,TCGA-62-A46R-01A-11R-A24H-07,3.6286595891768086e-07,0.999999637134041
136,TCGA-55-A4DG-01A-11R-A24H-07,3.709030774416148e-07,0.9999996290969226
137,TCGA-44-7672-01A-11R-2066-07,3.944048740880819e-07,0.9999996055951258
138,TCGA-55-7913-01B-11R-2241-07,4.7606535698289665e-07,0.999999523934643
139,TCGA-91-8496-01A-11R-2403-07,2.188702510570255e-07,0.999999781129749
140,TCGA-44-3917-01A-01R-A278-07,5.091804219513997e-07,0.9999994908195781
141,TCGA-78-7156-01A-11R-2039-07,3.1635745213174536e-07,0.9999996836425479
142,TCGA-55-6968-01A-11R-1949-07,5.196982126035572e-07,0.9999994803017874
143,TCGA-44-2666-01A-01R-A278-07,5.499943721509017e-07,0.9999994500056278
144,TCGA-05-4397-01A-01R-1206-07,6.521300840808324e-07,0.9999993478699158
145,TCGA-97-A4M0-01A-11R-A24X-07,5.477196698580703e-07,0.9999994522803302
146,TCGA-67-6217-01A-11R-1755-07,4.010171289176827e-07,0.999999598982871
147,TCGA-78-7146-01A-11R-2039-07,6.785553548026994e-07,0.9999993214446452
148,TCGA-55-6978-01A-11R-1949-07,5.723308072949288e-07,0.9999994276691927
149,TCGA-75-5126-01A-01R-1755-07,4.197000423291618e-07,0.9999995802999577
150,TCGA-55-6986-01A-11R-1949-07,5.057971644541933e-07,0.9999994942028355
151,TCGA-55-8507-01A-11R-2403-07,4.662548910624794e-07,0.999999533745109
152,TCGA-50-5939-01A-11R-1628-07,4.822768575419422e-07,0.9999995177231426
153,TCGA-86-8359-01A-11R-2326-07,3.433069567703194e-07,0.9999996566930432
154,TCGA-05-4244-01A-01R-1107-07,4.4366631517771273e-07,0.9999995563336849
155,TCGA-78-7147-01A-11R-2039-07,5.2777633589528e-07,0.9999994722236641
156,TCGA-50-7109-01A-11R-2039-07,4.392770063576387e-07,0.9999995607229937
157,TCGA-55-7726-01A-11R-2170-07,3.2364696813544864e-07,0.9999996763530319
158,TCGA-55-8096-01A-11R-2241-07,3.782073744175279e-07,0.9999996217926256
159,TCGA-91-6831-01A-11R-1858-07,5.706666986549262e-07,0.9999994293333014
160,TCGA-64-5781-01A-01R-1628-07,4.89725267051166e-07,0.999999510274733
161,TCGA-55-6979-01A-11R-1949-07,4.365321866091012e-07,0.9999995634678134
162,TCGA-86-8281-01A-11R-2287-07,4.890617781564013e-07,0.9999995109382218
163,TCGA-35-4123-01A-01R-1107-07,4.945275401083921e-07,0.9999995054724599
164,TCGA-44-A47A-01A-21R-A24H-07,6.193198104141136e-07,0.9999993806801896
165,TCGA-05-4410-01A-21R-1858-07,3.922717510047602e-07,0.9999996077282489
166,TCGA-44-2656-01A-02R-0946-07,4.87425650571267e-07,0.9999995125743494
167,TCGA-97-7553-01A-21R-2039-07,3.9361253393426074e-07,0.9999996063874661
168,TCGA-86-8671-01A-11R-2403-07,4.285984259757005e-07,0.999999571401574
169,TCGA-69-7761-01A-11R-2170-07,3.8050799649754016e-07,0.9999996194920036
170,TCGA-69-8453-01A-12R-2326-07,3.169350836860897e-07,0.9999996830649163
171,TCGA-75-5125-01A-01R-1755-07,5.482853683876186e-07,0.9999994517146317
172,TCGA-35-5375-01A-01R-1628-07,3.634111460275643e-07,0.9999996365888539
173,TCGA-55-6980-01A-11R-1949-07,3.165305700468437e-07,0.9999996834694299
174,TCGA-44-A47G-01A-21R-A24H-07,3.4908038746308067e-07,0.9999996509196125
175,TCGA-78-7542-01A-21R-2066-07,5.302342443663841e-07,0.9999994697657556
176,TCGA-MP-A4T9-01A-11R-A24X-07,4.630430917177168e-07,0.9999995369569084
177,TCGA-44-3919-01A-02R-1107-07,4.4184555560896483e-07,0.9999995581544443
178,TCGA-05-4433-01A-22R-1858-07,3.278191585323409e-07,0.9999996721808415
179,TCGA-55-A48Y-01A-11R-A24H-07,3.429139565398474e-07,0.9999996570860435
180,TCGA-55-7911-01A-11R-2170-07,4.451851708520859e-07,0.9999995548148292
181,TCGA-55-6987-01A-11R-1949-07,3.528218946584344e-07,0.9999996471781053
182,TCGA-MP-A4TH-01A-31R-A262-07,3.571675240091382e-07,0.9999996428324761
183,TCGA-91-A4BC-01A-11R-A24H-07,3.811186841418768e-07,0.9999996188813159
184,TCGA-91-6830-01A-11R-1949-07,3.9523210553910993e-07,0.9999996047678944
185,TCGA-38-4625-01A-01R-1206-07,1.8252814612821629e-06,0.9999981747185387
186,TCGA-55-7281-01A-11R-2039-07,3.460421329815335e-07,0.999999653957867
187,TCGA-69-7974-01A-11R-2187-07,4.786389644800447e-07,0.9999995213610355
188,TCGA-73-4670-01A-01R-1206-07,4.501970969084095e-07,0.9999995498029031
189,TCGA-50-5932-01A-11R-1755-07,5.393184468947055e-07,0.9999994606815531
190,TCGA-44-6145-01A-11R-1755-07,4.6927223765453855e-07,0.9999995307277624
191,TCGA-55-8615-01A-11R-2403-07,3.5949056992661243e-07,0.99999964050943
192,TCGA-NJ-A4YF-01A-12R-A262-07,3.4626433168430814e-07,0.9999996537356682
193,TCGA-80-5607-01A-31R-1949-07,4.366629611044906e-07,0.9999995633370389
194,TCGA-55-6982-01A-11R-1949-07,4.4618084749452514e-07,0.9999995538191525
195,TCGA-05-4403-01A-01R-1206-07,3.3735528418529724e-07,0.9999996626447158
196,TCGA-55-7576-01A-11R-2066-07,4.458826051760985e-07,0.9999995541173948
197,TCGA-05-4427-01A-21R-1858-07,5.920339887732773e-07,0.9999994079660113
198,TCGA-91-6847-01A-11R-1949-07,5.81770718552344e-07,0.9999994182292815
199,TCGA-83-5908-01A-21R-2287-07,5.908470408691394e-07,0.9999994091529592
200,TCGA-55-8619-01A-11R-2403-07,2.65887601097932e-07,0.9999997341123988
201,TCGA-50-6590-01A-12R-1858-07,5.679759841026257e-07,0.9999994320240159
202,TCGA-55-8299-01A-11R-2287-07,3.695353240634181e-07,0.999999630464676
203,TCGA-93-A4JP-01A-11R-A24X-07,3.551849584939415e-07,0.9999996448150414
204,TCGA-MP-A4T6-01A-32R-A262-07,4.945496598094666e-07,0.9999995054503401
205,TCGA-86-8074-01A-11R-2241-07,6.029259409683782e-07,0.999999397074059
206,TCGA-86-7953-01A-11R-2187-07,6.367176687119629e-07,0.9999993632823312
207,TCGA-49-AARN-01A-21R-A41B-07,2.8764600409808517e-07,0.9999997123539959
208,TCGA-50-5055-01A-01R-1628-07,4.721490698464657e-07,0.9999995278509302
209,TCGA-55-7903-01A-11R-2170-07,4.0685935296580243e-07,0.999999593140647
210,TCGA-86-8278-01A-11R-2287-07,4.960833890596343e-07,0.9999995039166109
211,TCGA-49-6745-01A-11R-1858-07,5.474812546420754e-07,0.9999994525187454
212,TCGA-55-8620-01A-11R-2403-07,4.4649878817985017e-07,0.9999995535012118
213,TCGA-62-8397-01A-11R-2326-07,2.2069235852029113e-07,0.9999997793076414
214,TCGA-49-AAR3-01A-11R-A41B-07,4.0823935068299737e-07,0.9999995917606492
215,TCGA-62-8402-01A-11R-2326-07,5.509871073813288e-07,0.9999994490128926
216,TCGA-67-6215-01A-11R-1755-07,5.018427395696201e-07,0.9999994981572604
217,TCGA-97-8177-01A-11R-2287-07,3.670354641540252e-07,0.9999996329645359
218,TCGA-05-5429-01A-01R-1628-07,3.8570092010020815e-07,0.9999996142990799
219,TCGA-86-7701-01A-11R-2170-07,4.0191376952643314e-07,0.9999995980862305
220,TCGA-97-7554-01A-11R-2039-07,5.103614133756888e-07,0.9999994896385865
221,TCGA-64-1679-01A-21R-2066-07,4.875930073776686e-07,0.9999995124069926
222,TCGA-69-A59K-01A-11R-A262-07,5.847431427946753e-07,0.9999994152568572
223,TCGA-55-6984-01A-11R-1949-07,2.3630908945646829e-07,0.9999997636909106
224,TCGA-95-A4VN-01A-11R-A262-07,3.670111685548108e-07,0.9999996329888315
225,TCGA-55-7284-01B-11R-2241-07,3.556614544758425e-07,0.9999996443385456
226,TCGA-55-7727-01A-11R-2170-07,3.745286057384178e-07,0.9999996254713942
227,TCGA-97-A4M1-01A-11R-A24X-07,3.2427761750374624e-07,0.9999996757223825
228,TCGA-49-6767-01A-11R-1858-07,6.317320190513713e-07,0.999999368267981
229,TCGA-J2-A4AG-01A-11R-A24H-07,4.074472856957324e-07,0.9999995925527142
230,TCGA-55-8089-01A-11R-2241-07,4.211964701491252e-07,0.9999995788035297
231,TCGA-55-8207-01A-11R-2241-07,3.4768252135062446e-07,0.9999996523174787
232,TCGA-75-7027-01A-11R-1949-07,4.148550948053223e-07,0.9999995851449052
233,TCGA-86-7955-01A-11R-2187-07,4.523606255905389e-07,0.9999995476393744
234,TCGA-75-5147-01A-01R-1628-07,5.574673540369964e-07,0.999999442532646
235,TCGA-86-8076-01A-31R-2241-07,4.317274825201901e-07,0.9999995682725175
236,TCGA-80-5608-01A-31R-1949-07,2.9023247637190745e-07,0.9999997097675236
237,TCGA-50-5941-01A-11R-1755-07,4.83571546348982e-07,0.9999995164284536
238,TCGA-L9-A5IP-01A-21R-A39D-07,3.719322604031283e-07,0.9999996280677397
239,TCGA-62-8399-01A-21R-2326-07,5.098651417058581e-07,0.9999994901348583
240,TCGA-49-AAR9-01A-21R-A41B-07,6.18646907072272e-07,0.999999381353093
241,TCGA-86-8279-01A-11R-2287-07,5.988069950372014e-07,0.9999994011930049
242,TCGA-38-4630-01A-01R-1206-07,7.779971689504357e-07,0.999999222002831
243,TCGA-49-6742-01A-11R-1858-07,3.0226592327164934e-07,0.9999996977340767
244,TCGA-L4-A4E6-01A-11R-A24H-07,2.961364777823513e-07,0.9999997038635222
245,TCGA-44-A4SU-01A-11R-A24X-07,3.705710309292602e-07,0.999999629428969
246,TCGA-55-7574-01A-11R-2039-07,4.189359813841241e-07,0.9999995810640186
247,TCGA-86-8280-01A-11R-2287-07,4.510680582559358e-07,0.9999995489319418
248,TCGA-55-1594-01A-01R-0946-07,6.728201690283386e-07,0.999999327179831
249,TCGA-44-4112-01A-01R-1107-07,4.988128889922696e-07,0.999999501187111
250,TCGA-55-8085-01A-11R-2241-07,4.338979724361948e-07,0.9999995661020277
251,TCGA-05-4395-01A-01R-1206-07,4.3411958381043127e-07,0.9999995658804163
252,TCGA-78-7162-01A-21R-2066-07,3.597536376796089e-07,0.9999996402463622
253,TCGA-44-2659-01A-01R-0946-07,2.77600067739031e-07,0.9999997223999323
254,TCGA-91-6848-01A-11R-1949-07,6.145138699852525e-07,0.9999993854861301
255,TCGA-05-5425-01A-02R-1628-07,5.398678127988143e-07,0.9999994601321872
256,TCGA-55-A491-01A-11R-A24H-07,4.1929511361257244e-07,0.9999995807048864
257,TCGA-97-8179-01A-11R-2287-07,3.989713485579286e-07,0.9999996010286515
258,TCGA-J2-8192-01A-11R-2241-07,4.551860972454074e-07,0.9999995448139027
259,TCGA-50-8460-01A-11R-2326-07,3.084020096058252e-07,0.9999996915979904
260,TCGA-05-5428-01A-01R-1628-07,5.472466473436907e-07,0.9999994527533527
261,TCGA-O1-A52J-01A-11R-A262-07,4.03742515350039e-07,0.9999995962574846
262,TCGA-05-4396-01A-21R-1858-07,3.7059174101685786e-07,0.999999629408259
263,TCGA-49-AAQV-01A-11R-A39D-07,4.2017193901460627e-07,0.9999995798280611
