i_doc,doc,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5
0,TCGA-05-5420-01A-01R-1628-07,5.791164796542695e-07,0.9999976608225348,5.810281229811902e-07,6.063490958674819e-07,5.72683766655811e-07
1,TCGA-55-7283-01A-11R-2039-07,4.978694867055441e-07,0.9999980085018273,4.978715601428496e-07,4.978950391264635e-07,4.978620866887994e-07
2,TCGA-55-8208-01A-11R-2241-07,7.194649022885834e-07,0.9999970223050316,7.553847970771787e-07,8.203186576915252e-07,6.825266111991713e-07
3,TCGA-75-6205-01A-11R-1755-07,5.535071534372699e-07,0.9999977859541175,5.535087190440062e-07,5.535310735099051e-07,5.534989367144365e-07
4,TCGA-44-8117-01A-11R-2241-07,5.755325485072069e-07,0.9999976978422546,5.755403196881797e-07,5.755583217287914e-07,5.755265555286381e-07
5,TCGA-MP-A4TA-01A-21R-A24X-07,0.00028396389059692274,0.9986442039129373,0.00037732298976881446,0.0004297886195946811,0.00026472058710224456
6,TCGA-86-8669-01A-11R-2403-07,4.337981339660609e-07,0.9999982647893548,4.337960884672759e-07,4.338267099562178e-07,4.337897127047818e-07
7,TCGA-86-8668-01A-11R-2403-07,4.153031965496194e-07,0.999998338769496,4.153039338689561e-07,4.153271863534849e-07,4.152961872691669e-07
8,TCGA-44-A4SS-01A-11R-A24X-07,1.1814605015635331e-06,0.9999950920162355,1.1987253984180254e-06,1.464588583075394e-06,1.063209281162583e-06
9,TCGA-55-7227-01A-11R-2039-07,4.244289824409716e-07,0.9999983003252966,4.2464651113133005e-07,4.266349821171756e-07,4.239642279176426e-07
10,TCGA-50-5936-01A-11R-1628-07,5.392762741162992e-07,0.9999978429074463,5.392468331917113e-07,5.392993936311558e-07,5.392700527473669e-07
11,TCGA-55-A48Z-01A-12R-A24X-07,4.5247994688104233e-07,0.9999981900650217,4.5248340662858755e-07,4.524964983437937e-07,4.524751263485161e-07
12,TCGA-MP-A4TF-01A-11R-A262-07,6.00522163730469e-07,0.9999975978961945,6.005251488226168e-07,6.005421660289411e-07,6.005143269086825e-07
