Topic 1,Topic 2,Topic 3,Topic 4,Topic 5
MAGEA11,MAGEA4,GAGE12I,MAGEA4,MAGEA4
MAGEA4,SFTPC,MAGEA4,CT45A2,GAGE12I
CT45A2,MT-ATP8,MAGEA9B,CT45A4,MAGEA9B
MAGEA9B,MT-ND2,MAGEA11,SFTPC,CT45A2
GAGE12I,GAPDH,SCGB1A1,GAGE12I,SCGB1A1
SCGB1A1,MT-ND6,CARD18,HOXB13,TFF1
LCE3A,SCGB1A1,PADI3,SCGB3A1,CARD18
GAGE2D,S100A6,SFTPC,MAGEA9B,SCGB3A1
CARD18,S100A9,AGER,SCGB3A2,PADI3
PGC,MT-ND5,MT-ND6,SLPI,HBA2
SFTPC,HLA-DRA,MT-ATP8,PGC,SFTPC
SCGB3A2,NAPSA,HLA-DRA,HBB,S100A6
HOXB13,SLPI,MT-ND2,MAGEA11,LYZ
MT-ATP8,SCGB3A2,AKR1B10,CARD18,AGER
CT45A4,KRT5,CT45A4,SCGB1A1,LCE3A
AKR1C2,SCGB3A1,HBA1,FOLR1,SLC34A2
SLPI,S100A8,KRT14,HOPX,TFF2
PADI3,HBB,PGC,SFTA2,NAPSA
INS,AGER,SCGB3A2,AQP1,CLDN18
ADIRF,KRT6A,GAPDH,SLC34A2,CT45A4
KRT5,HBA2,FAM83C,GKN2,MSLN
