,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12,Topic 13,Topic 14,Topic 15,Topic 16,Topic 17,Topic 18,Topic 19,Topic 20,Topic 21,Topic 22,Topic 23,Topic 24,Topic 25,Topic 26,Topic 27,Topic 28,Topic 29,Topic 30,Topic 31,Topic 32,Topic 33,Topic 34,Topic 35,Topic 36,Topic 37,Topic 38,Topic 39,Topic 40,Topic 41,Topic 42,Topic 43,Topic 44,Topic 45,Topic 46,Topic 47,Topic 48,Topic 49,Topic 50,Topic 51,Topic 52,Topic 53,Topic 54,Topic 55,Topic 56,Topic 57,Topic 58,Topic 59,Topic 60,Topic 61,Topic 62,Topic 63,Topic 64,Topic 65
A1BG,149.5021964431644,3981.2209575240213,133.9911008740726,226720.21822793412,164.35945851210235,131.82948040381325,178.82827704164143,97.63835027820969,101.34809091552506,103.92286293478125,32304.0991731706,88.87208118477703,103.4836478474791,106.0918197201096,5104.590120360469,11305.325719939363,178.0410703519789,130.7937919071854,51049.32736455011,185.06041889306223,92.78889344106807,119.20572423989918,224.72140269140283,80.58552790880479,201.94014084271086,126.44998663160325,76.11321678649543,115.35478920082197,104.49338224963101,100.60152598932676,164.91266519438514,85.43690091126194,127.3738829067951,141.34678474026552,251086.0045810603,99.5137516747556,122150.96161100693,162.70280798865662,100.05756065266365,105.24815590740137,103.83043023467555,161.54395468487272,26337.633022278435,109.41023057705027,4367.166682770193,105.61288145256485,108.49879874380314,84.94992313253353,90.68396621615888,81.9937808341455,73.37854924446745,144.57163575411022,280.5312808134368,119.71508852421135,113.81138672493557,99.33759455340171,240.22788852560623,95.397116328148,153.85596947383996,320.06157235554707,132.7551176809976,113.77706660238948,106.90807019087617,82.13133708522774,140.73469390964095
A1CF,1.589966890902837,3.117923158776824,1.3971520483432212,277.76539440756375,1.5662410690318254,1.5382440083415272,1.7607079669481143,1.594657638289233,1.3865155734933567,1.613467440864691,33.89999494514137,1.4520153125937254,1.8114805537703957,1.6093293307550187,3.639070666793063,3.2164820686621183,1.4726261898993926,1.509191015956146,1355.4717140667788,1.6547672384781207,1.5148769461350642,1.7432587359576257,1.6718493714942075,1.4982762513888304,1.5532193378972394,1.4625615226289967,1.4615984188432585,1.604629086701474,1.3523145447781875,1.5127451492016477,2.0033374924225673,1.5604225488100283,1.4214105255042313,1.3810869519127458,331.3343895799248,1.6141357711285482,547.893067812187,1.4864724038572439,1.7679834349595456,1.5231776206867023,1.6907498994005352,1.435987549411438,10.904876497533305,1.5845214051135104,3.0308587269969527,1.6596511404805114,1.4610384023329899,1.6288818278653132,1.5660769521522606,1.4837077348190941,1.5163774836472694,1.3982481788362207,1.4038390987964384,1.574845588915287,1.4778812500285587,1.765922278797257,1.4709969908519829,1.509324574017725,1.4239521606231307,1.551848904947057,1.348048610554037,1.5276738930315878,1.7030038526017905,1.5390204298440842,1.5180465004267063
A2ML1,12.406218105658457,23.128121985962586,11.63623181376292,4258.895629509218,13.290589627744728,11.700234010872938,10.710024926728401,7.981126563591431,12.900730977873,7.765613025861377,483.8662443858944,5.122506380015576,17.311013876574474,16.135574925821086,25.626426051318756,35.23527190666433,7.898240181857635,24.221512379520853,95.23556295863858,19.971706563268963,11.309472611573426,11.079492372806543,10.094495230750686,18.346587205081153,13.944488268611261,6.780839895214059,8.603097750053779,12.095592765842367,9.180233021511917,11.218948929195399,11.423702096021467,6.574894800126616,10.934936110792234,13.14447470354814,216753.9196560349,13.455084498439843,1669.5580513632099,10.36899806615598,17.523592764671513,20.067696993501812,19.27853116175143,7.267837476905471,301.00257560716045,20.21776745623687,28.324758673754474,11.368388858847434,28.366579607156282,6.8443401471413345,16.30950403149456,5.077291514070184,6.988590457319884,10.819550738804578,5.876089315573704,15.09230734949111,8.33330189068944,14.331636995480181,16.986890316280597,9.139532010336927,8.761395045110945,11.057816853580013,11.66257299301673,8.496412866343773,9.616281152209954,8.75436263463313,20.110946694713952
A4GALT,132.8174767973422,4016.8543366808008,157.19206656872902,167312.48602939447,159.87933258112372,132.8332888022144,233.7905324299732,107.46938001040475,78.16946087111387,117.42114179024007,41505.25901993895,92.34343927453459,142.58130504625024,112.26188730503205,4747.670257625929,5703.741193258164,144.83621840707622,118.33675026115719,14780.937371431968,176.21511176394011,165.18263232011785,103.05925423563042,301.8568466672877,128.64256512267417,154.72679948205368,81.79352767480803,88.51791834705318,83.87722910446752,87.98773915152144,81.03817228032301,195.6916264259713,155.87444969116342,126.0917425475963,160.11305826889716,635380.915748343,143.68272536189718,113443.1329970384,154.9505327158354,147.84556264239967,156.8806786899873,144.258196302745,117.73039398045883,39515.34411313566,123.24623167476935,4697.378371197702,133.20547406376554,107.01725228925689,105.29541922850322,100.60751685701119,85.30800437020592,92.7105187793822,101.30830843867068,440.4517708780365,109.77154715355249,135.75356554239337,163.4993694397253,400.9699280098223,160.37763693560353,109.14947961648782,245.2549911462391,141.5146645193311,101.3026226507002,151.93763332509718,84.10446262169003,143.53491983070307
A4GNT,3.686136636066331,68.66040574572767,2.451435503324356,1182.7205485357126,2.4940852569746377,2.60923826725805,3.8248231985100967,2.4392341902777783,1.9414786623628872,2.5690692038165945,170.80500940713245,2.1716594058940077,3.0557729739012442,2.621689626679978,36.368555403383816,102.278066149774,3.4129146777086024,2.6315831492471196,3625.367219059218,3.5283226580152736,3.4610554665802273,2.746665488278174,2.150390865068516,3.145833002448438,3.02106113868611,2.304521160723193,1.8993133475305872,2.183813919214711,2.6671421903535744,2.315616759512943,2.8215343534295316,2.464936139831483,2.973309901001572,2.5696684943020585,511.50031235315214,2.7608350095972387,1502.6449710198553,2.316253202184882,2.906639513724886,2.3543681665342895,2.5323985933747446,2.8477346681987292,378.6075272340528,2.8369314530858447,75.68112351862834,2.2621006231653626,2.4968133806845105,2.493302984154352,2.396331121804492,1.9008894613866432,2.119856808000388,2.277592630521356,3.2552807216422828,2.205496591823326,2.763629060171356,2.337828001954098,7.82155321032611,2.5522578472747988,2.833415689681131,4.383877242323386,2.506249039885428,2.382423260388112,3.2887856528807236,1.926488517124696,3.255911884332022
AADAC,34.66785892578655,14279.97766598005,23.033960693488428,30053.2701342307,20.14894316210438,19.638646500162313,65.6857725002102,15.930534305777659,23.02507441497825,39.23048427649604,3606.8685101562523,11.941973591573008,26.2292424574964,24.24209274715755,20063.2280617406,32046.363302626807,64.09011520950381,19.419757474415697,12244.768825166784,67.3130704375973,30.634339129346056,30.267458557346046,20.07915118539499,24.496022415957004,67.18472277698302,30.578011945703384,17.649981270085608,22.108156044891565,35.32845254637402,19.08929959440447,30.105685698762446,25.653138906888064,25.925344961605393,36.620032027325756,68975.63311409688,28.030912620374284,29453.68775644085,36.979285701569545,27.06680277626481,27.69341211167415,26.806864734126524,76.25255335395914,19018.8804714201,20.95450659139105,13381.625224925407,29.221999172498496,13.841495106581087,15.858521695247259,13.739046718415329,9.217999368229297,11.010310419157575,15.708604470135365,25.741665813207817,18.370896787348304,31.31908109219086,23.09757129407505,187.08127914402976,28.310267093847802,16.40206269830915,40.15876375142857,33.27653143814852,20.33160739050963,42.78051217067955,17.856896322675578,25.81038136857049
AADACL3,1.0373455180921087,4.299127591945304,1.069990114509079,27.23573418664907,1.0533044205304574,1.0401702873548992,1.0254477738623626,1.0216223051725284,1.0318837076576874,1.0270585186127261,4.235705604874062,1.014420262943267,1.0873604403743073,1.0536313137031132,4.156936038893531,5.291845170714121,1.035169972159525,1.0427378591457228,1.6694905317882418,1.0312460079574568,1.0546048001882153,1.0384558738772682,1.0136287535626816,1.0350018173266402,1.028677700041355,1.036093778864352,1.021605099072785,1.042243504686615,1.0256923635766666,1.0497851548938668,1.0694279330991452,1.0307085759635162,1.0396121708904003,1.046887152699284,152.59971079188153,1.0331272290885583,4.860429989972243,1.043761636369861,1.0569065709057959,1.0862305788644806,1.0407453501350417,1.0263856186656306,2.503989655524726,1.06252985742935,4.627873202113444,1.046103036174897,1.097009851353668,1.0443643156726445,1.0226105865833957,1.0122870324298874,1.0164593908485495,1.0428919801968493,1.0083399425144597,1.045864800450202,1.0409999407791202,1.0461178059197938,1.056165144346577,1.0305824221964517,1.034548132167682,1.0301446163690282,1.023918901153374,1.044709802048077,1.0363270954407444,1.0310485926937412,1.0576902809957296
AADACL4,1.100145682858988,5.139456849607988,1.0972921030716933,235.9406998821515,1.0877070976514231,1.0781193010088839,1.1284083092704642,1.0662258536976197,1.0614278025974122,1.1115057769344316,17.770901231888796,1.0625434961995053,1.067023262497009,1.079033889511655,4.775020193850343,6.0385001220793795,1.1307775911046047,1.0589204465990083,35.305888721641026,1.1180332061252385,1.073971450266453,1.07360248339181,1.2107906787123073,1.0700289975252768,1.1213684207141146,1.1053870393707912,1.0509356118010555,1.0739588261032584,1.0817242360764818,1.0697135800035638,1.106765867702769,1.0713776463596743,1.0828268340319216,1.1046270105666576,117.14863347043296,1.077113095579942,37.94908060056355,1.0722306452749422,1.0815290827718111,1.065601642537801,1.0761765873840086,1.0907401845733153,20.640468830961797,1.0538770360947165,5.2286275596559175,1.131251351599103,1.0663213330306416,1.0869347452222784,1.0539804701871953,1.0460565928559238,1.0527598143588668,1.0520311940416558,1.3893707680977838,1.075574720582269,1.0728604317220827,1.0900100215411013,1.1893131817441827,1.0655631187488601,1.0665753599929872,1.391694780064123,1.073041491407153,1.086513724106119,1.0772915206209817,1.0680012644736856,1.0955554052394443
AATK,62.146609343280176,10235.755149458062,45.4016379881045,48062.97399886689,34.80415623055427,34.29284826172948,84.92627043618825,36.870292882299566,40.058871507305405,73.28429215892582,19199.37131890604,33.971728456627865,33.720610398307706,41.22455234447115,14583.688677348056,54850.617562001724,83.69240030492595,24.987911348848215,18606.38150000282,149.79817630099774,46.84705087390748,40.76087302209559,37.22386109633473,39.77170477308499,140.42068472839136,47.08562042610592,34.094682035363654,35.43944445267954,60.881335028332536,33.8240176955984,77.76135353914462,44.90626606221132,32.57352797375257,54.71617660727494,6626.892187855601,65.72891860402304,81145.73005639938,65.28035998881298,51.3690474367884,36.74407909358739,41.98580644693756,69.89484077861563,49233.938174660296,42.07861188183236,16097.3813395707,69.59636739194664,30.24686429357661,37.70451717989515,37.64620930082237,25.50898691761009,22.652671063754863,35.847074472596006,434.04378370853755,46.087346225290844,51.160839067850176,52.17264413080641,382.961144008466,61.322388796898146,45.803732519175796,104.59884889516668,61.337581868822625,39.26326658133899,72.75911067866481,35.848355595324186,36.755153808636344
ABCA3,465.2597923540026,172652.91046569665,405.69679337713836,318126.7790362956,464.73532131592685,273.50237850983996,871.7578521355487,289.72310137538307,369.6611667189043,876.2128935960804,153119.43326056123,305.7756145882306,329.5546104414431,471.09991020012524,365150.33570597786,1325194.903451799,1520.626856114716,176.85438209997872,391907.2998566764,1489.9436259546171,784.1693125883558,442.8503060750513,322.4432463828614,321.56170010979207,1625.572465117516,624.2067468506407,436.14797088568736,480.27214069346905,798.5424455596661,239.44068655281632,757.8510427613269,737.8249386893722,424.05988213015314,631.5839164446866,38062.47660687937,472.6520653843948,730858.9514647456,743.1938229134923,493.54636318630077,617.12925242641,622.2688687148075,927.2762281846769,327072.3199903791,280.33864587922176,262190.0113596443,839.9944689021668,330.29073562942693,320.92145997432806,334.7288117864502,253.31483289580004,269.37218923040496,407.95192064557455,9699.489223516935,426.638040126637,500.8546089818124,430.8829748521677,8820.46577260266,534.1861889517427,436.9952017316111,1439.5799803219693,1297.1612395308493,368.3654053083777,630.4819462074792,308.4613059508241,454.8488895597954
