subtissue,tissue,l0,l1,l2,l3
unknown,LUAD,1,0,0,0
unknown,LUAD,1,0,0,0
unknown,LUAD,1,0,0,0
unknown,LUAD,1,0,0,0
unknown,LUAD,1,0,0,0
unknown,LUAD,1,0,0,0
unknown,LUAD,1,0,0,0
unknown,LUAD,1,0,0,0
unknown,LUAD,1,0,0,0
unknown,LUAD,1,0,0,0
unknown,LUAD,1,0,0,0
unknown,LUAD,1,0,0,0
unknown,LUAD,1,0,0,0
unknown,LUAD,1,0,0,0
unknown,LUAD,1,0,0,0
unknown,LUAD,1,0,0,0
unknown,LUAD,1,0,0,0
unknown,LUAD,1,0,0,0
unknown,LUAD,1,0,0,0
unknown,LUAD,1,0,0,0
unknown,LUAD,1,0,0,0
unknown,LUAD,1,0,0,0
unknown,LUSC,1,0,0,0
unknown,LUSC,1,0,0,0
unknown,LUSC,1,0,0,0
unknown,LUSC,1,0,0,0
unknown,LUSC,1,0,0,0
unknown,LUSC,1,0,0,0
unknown,LUSC,1,0,0,0
unknown,LUSC,1,0,0,0
unknown,LUSC,1,0,0,0
unknown,LUSC,1,0,0,0
unknown,LUSC,1,0,0,0
unknown,LUSC,1,0,0,0
unknown,LUSC,1,0,0,0
unknown,LUSC,1,0,0,0
unknown,LUSC,1,0,0,0
unknown,LUSC,1,0,0,0
unknown,LUSC,1,0,0,0
unknown,LUSC,1,0,0,0
unknown,LUSC,1,0,0,0
unknown,healthy,1,0,0,0
unknown,healthy,1,0,0,0
unknown,LUAD,2,0,0,0
unknown,LUAD,2,0,0,0
unknown,LUAD,2,0,0,0
unknown,LUAD,2,0,0,0
unknown,LUAD,2,0,0,0
unknown,LUAD,2,0,0,0
unknown,LUAD,2,0,0,0
unknown,LUAD,2,0,0,0
unknown,LUAD,2,0,0,0
unknown,LUAD,2,0,0,0
unknown,LUAD,2,0,0,0
unknown,LUAD,2,0,0,0
unknown,LUAD,2,0,0,0
unknown,LUAD,2,0,0,0
unknown,LUAD,2,0,0,0
unknown,LUAD,2,0,0,0
unknown,LUAD,2,0,0,0
unknown,LUAD,2,0,0,0
unknown,LUAD,2,0,0,0
unknown,LUAD,2,0,0,0
unknown,LUAD,2,0,0,0
unknown,LUAD,2,0,0,0
unknown,LUSC,2,0,0,0
unknown,LUSC,2,0,0,0
unknown,LUSC,2,0,0,0
unknown,LUSC,2,0,0,0
unknown,LUSC,2,0,0,0
unknown,LUSC,2,0,0,0
unknown,LUSC,2,0,0,0
unknown,LUSC,2,0,0,0
unknown,LUSC,2,0,0,0
unknown,LUSC,2,0,0,0
unknown,LUSC,2,0,0,0
unknown,LUSC,2,0,0,0
unknown,LUSC,2,0,0,0
unknown,healthy,2,0,0,0
unknown,healthy,2,0,0,0
unknown,LUAD,3,0,0,0
unknown,LUAD,3,0,0,0
unknown,LUAD,3,0,0,0
unknown,LUAD,3,0,0,0
unknown,LUAD,3,0,0,0
unknown,LUAD,3,0,0,0
unknown,LUAD,3,0,0,0
unknown,LUAD,3,0,0,0
unknown,LUAD,3,0,0,0
unknown,LUAD,3,0,0,0
unknown,LUSC,3,0,0,0
unknown,LUSC,3,0,0,0
unknown,LUSC,3,0,0,0
unknown,LUSC,3,0,0,0
unknown,LUSC,3,0,0,0
unknown,LUSC,3,0,0,0
unknown,healthy,3,0,0,0
unknown,healthy,3,0,0,0
unknown,healthy,3,0,0,0
unknown,healthy,3,0,0,0
unknown,healthy,3,0,0,0
unknown,healthy,3,0,0,0
unknown,healthy,3,0,0,0
unknown,healthy,3,0,0,0
unknown,healthy,3,0,0,0
unknown,healthy,3,0,0,0
unknown,healthy,3,0,0,0
unknown,healthy,3,0,0,0
unknown,healthy,3,0,0,0
unknown,healthy,3,0,0,0
unknown,healthy,3,0,0,0
unknown,healthy,3,0,0,0
unknown,healthy,3,0,0,0
unknown,healthy,3,0,0,0
unknown,healthy,3,0,0,0
unknown,healthy,3,0,0,0
unknown,healthy,3,0,0,0
unknown,LUAD,4,0,0,0
unknown,LUAD,4,0,0,0
unknown,LUSC,4,0,0,0
unknown,LUSC,4,0,0,0
unknown,LUSC,4,0,0,0
unknown,healthy,4,0,0,0
unknown,healthy,4,0,0,0
unknown,healthy,4,0,0,0
unknown,healthy,4,0,0,0
unknown,healthy,4,0,0,0
unknown,healthy,4,0,0,0
unknown,healthy,4,0,0,0
unknown,healthy,4,0,0,0
unknown,healthy,4,0,0,0
unknown,healthy,4,0,0,0
unknown,healthy,4,0,0,0
unknown,healthy,4,0,0,0
unknown,healthy,4,0,0,0
unknown,healthy,4,0,0,0
unknown,healthy,4,0,0,0
unknown,healthy,4,0,0,0
unknown,healthy,4,0,0,0
unknown,healthy,4,0,0,0
unknown,healthy,4,0,0,0
unknown,healthy,4,0,0,0
unknown,healthy,4,0,0,0
unknown,healthy,4,0,0,0
unknown,healthy,4,0,0,0
unknown,Discordant_LUSC,5,0,0,0
