,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12,Topic 13,Topic 14,Topic 15
A1BG,0.0017825237036898692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A2M,0.0,0.004502324104317363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A2ML1,0.0,0.0,0.0020822657801509055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A4GALT,0.0,0.0,0.0,0.003812841694317737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A4GNT,0.0,0.0,0.0006521779441741107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AADAC,0.0,0.0,0.0,0.0,0.008024732489769471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AATK,0.0013012905515193396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABCA3,0.0,0.0,0.0,0.0,0.0,0.0032999728942054536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABCA4,0.0,0.0,0.0,0.0,0.0,0.0018138819490116892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABCA8,0.0,0.0,0.0,0.0,0.0,0.002060775814066857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABCB6,0.0,0.0,0.0,0.004015267995794138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABCC1,0.0,0.0,0.0,0.003985527638705188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABCC12,0.0,0.0,0.0,0.0,0.0,0.0,0.020373774509803922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABCC2,0.0,0.0,0.0020352293680884178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABCC3,0.0,0.0031104665947995144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABCC5,0.0,0.0,0.0,0.0039493915058981845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABCC6,0.0,0.0,0.0,0.0,0.0,0.002448189059765125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABCC8,0.0,0.0,0.0,0.0016475518249706434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABHD12B,0.0,0.0,0.0,0.0,0.0,0.0009710283182010157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABI3BP,0.0017706952044773982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABLIM3,0.0014802744211817294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC003102.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006581198301366555,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC006538.4,0.0,0.0010926453604129425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC008948.1,0.0,0.0,0.0,0.0,0.0,0.0019882835728378925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC009065.1,0.0,0.0,0.00044187090947164087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC011298.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018784256109914733,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC012215.1,0.0,0.0,0.0,0.0,0.0004469034987144344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC016559.1,0.0,0.0,9.950010243987819e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC018867.2,0.0,0.0,0.0,0.0,0.0,0.00020618264262585808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC025262.1,0.0,0.0,0.0,0.0,0.0,0.00048249364904930103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC026703.1,0.0,0.002245579735944038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC040977.1,0.0,0.0,0.0,0.0005938477754212898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC079354.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006395395315372932,0.0,0.0,0.0,0.0,0.0,0.0
AC091801.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002617246017649901,0.0,0.0,0.0,0.0,0.0,0.0
AC092291.2,0.0,0.0,7.28159840582745e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC104534.3,0.0,0.0,0.0,0.0008359278863496238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC110615.1,0.0,0.0,0.00043327771880637866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC117834.1,0.0,0.0,0.0,0.0,0.0,0.00045517773206447395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC142381.1,0.0,0.0,0.0006006188001825374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACADL,0.0,0.0,0.003157771432887407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACE,0.001870770533340804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACE2,0.0,0.0,0.0,0.0,0.0,0.0017455921565496214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACHE,0.0,0.0,0.003510544523356066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACKR3,0.0,0.0,0.0,0.004059398848248709,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACMSD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015751940480742785,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACSL4,0.0019166837868628953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACSL5,0.0,0.0,0.0,0.0,0.0,0.0032532206516737304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACSM3,0.0,0.0,0.0,0.0,0.0,0.0025753131349637434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACTA1,0.0005388192667575594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACTG2,0.0018503819360140448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACTL6B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0030163475263257117,0.0,0.0,0.0,0.0,0.0
ACVRL1,0.0018878907295693803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADA,0.0,0.0,0.0,0.0034105474016521567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADAD1,0.0,0.0,0.0,0.0,8.386620927031802e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADAM18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011203576526352644,0.0,0.0,0.0,0.0,0.0
