Topic 1,Topic 2,Topic 3,Topic 4
MT-ATP8,GAPDH,MT-ND6,GSTA1
MT-ND2,SLPI,MT-ND5,AKR1B10
S100A6,RNASE1,HLA-DRA,MSMB
S100A9,A2M,C3,UGT1A6
HLA-DRB1,SERPINA1,APOC1,HNF1B
SFTPC,MT1X,LYZ,EFCAB1
MT2A,HSPA1B,IGJ,CALML3
HLA-DPB1,GPNMB,IFI6,CSF3
C1QB,FABP5,FOS,SERPINB3
WFDC2,HOPX,C19orf33,MUC21
ZFP36,SPP1,HLA-DQB1,ITLN2
GPX3,LPCAT1,SLC9A3R2,LGI3
NAPSA,EMP2,AK1,ALOX15
KRT7,SERPINB1,SOCS3,DSC3
S100A8,TNFAIP2,ENG,CHIA
LAMP1,TNFSF10,THBS1,DEFA1
DUSP1,CES1,SLC15A3,SLC1A7
IGFBP2,GPRC5A,LCP1,SLC6A4
LAPTM5,CAV1,TFPI,APOH
FCER1G,PERP,CCND1,ADH7
RHOB,PTRF,CITED2,CCNA1
TSC22D3,ITGB4,PLIN2,PPP1R14D
AGR2,EGR1,KLF6,CPB2
TGM2,LMO7,ID2,FOLR3
SLC34A2,HMGB3,F3,KLK8
AQP1,APOL1,HSD17B11,DSG3
CTSS,CFB,FCGR2A,UPK1B
CCT6A,IGFBP5,GLRX,BEX1
CD52,DMKN,MYO15B,FGL1
CEACAM6,CAV2,PLA2G16,FOXE1
HLA-DMA,EIF4EBP1,NCOA7,SLC51B
PTGDS,ERRFI1,SLC2A3,CHST9
FASN,MYADM,RAB11FIP1,MYBPHL
SCGB3A2,PFN2,CCL5,CLDN8
HLA-DQA1,IGLL5,SAMHD1,NR0B2
ICAM1,SLC2A1,SIK1,SERPINB4
IGFBP3,MALL,TRIB1,PF4
HBB,C2,ETS1,TMPRSS6
DNAJB1,SERPINE1,SYNPO,GSTA2
NQO1,AGER,CDH11,CALML5
CYR61,LDLR,CECR1,MUC13
MT1E,TNC,RGS5,TFF1
EMP1,LAD1,NCF2,KLK12
CCT2,TFDP1,PLBD1,KLK6
CCL18,ERO1L,SIRPA,C1orf110
SGK1,KANK2,KRT5,FXYD4
RGCC,MEST,XAF1,ATP10B
ISG15,UPK3BL,COL8A1,RBP2
SEC11C,CCDC80,TRPV2,DPCR1
CBR1,GOLM1,CYBB,SERPINB13
LTBP4,MBIP,NFKBIZ,FGB
RARRES3,TINAGL1,IFIT3,ECEL1
TXNRD1,NPNT,ITGAX,SPOCK3
HIST2H2AA4,GSR,KRT6A,AKR1B15
ID1,MGLL,PODN,RAET1L
IER3,HBA1,PEG10,SERPINB7
C8orf4,UGDH,KIAA0040,AMBP
