,Topic 1,Topic 2,Topic 3,Topic 4
A1BG,0.0007355537985384103,0.0,0.0,0.0
A2M,0.0,0.004502324104317363,0.0,0.0
A2ML1,0.00029568581930243965,0.0,0.0,0.0
A4GALT,0.0007657389277895282,0.0,0.0,0.0
A4GNT,9.261054548959991e-05,0.0,0.0,0.0
AADAC,0.0,0.0,0.003207164948832289,0.0
AATK,0.0005369741822736095,0.0,0.0,0.0
ABCA3,0.0008069063061937123,0.0,0.0,0.0
ABCA4,0.0004435287289536595,0.0,0.0,0.0
ABCA8,0.0005038989874558952,0.0,0.0,0.0
ABCB6,0.0008063925167596508,0.0,0.0,0.0
ABCC1,0.0008004197145886849,0.0,0.0,0.0
ABCC12,0.0,0.0,0.0,0.0005451579318429617
ABCC2,0.0002890065566596391,0.0,0.0,0.0
ABCC3,0.0,0.0031104665947995144,0.0,0.0
ABCC5,0.000793162438832565,0.0,0.0,0.0
ABCC6,0.0005986289143609992,0.0,0.0,0.0
ABCC8,0.0003308803955356579,0.0,0.0,0.0
ABHD12B,0.00023743494221570795,0.0,0.0,0.0
ABI3BP,0.0007306727989148254,0.0,0.0,0.0
ABLIM3,0.0006108314134199616,0.0,0.0,0.0
AC003102.1,0.0,0.0,0.0,0.0010052630284547847
AC006538.4,0.0,0.0010926453604129425,0.0,0.0
AC008948.1,0.0004861732519807707,0.0,0.0,0.0
AC009065.1,6.274653463477054e-05,0.0,0.0,0.0
AC011298.1,0.0,0.0,0.0,0.0002869252272857693
AC012215.1,0.0,0.0,0.00017860947245465432,0.0
AC016559.1,1.4129209436693467e-05,0.0,0.0,0.0
AC018867.2,5.04155882172926e-05,0.0,0.0,0.0
AC025262.1,0.00011797889879639045,0.0,0.0,0.0
AC026703.1,0.0,0.002245579735944038,0.0,0.0
AC040977.1,0.0001192633723815444,0.0,0.0,0.0
AC079354.2,0.0,0.0,0.0,0.00018855086364493413
AC091801.1,0.0,0.0,0.0,0.000771623914807801
AC092291.2,1.034001236048931e-05,0.0,0.0,0.0
AC104534.3,0.00016788069757962148,0.0,0.0,0.0
AC110615.1,6.152628472887427e-05,0.0,0.0,0.0
AC117834.1,0.0001112996361535899,0.0,0.0,0.0
AC142381.1,8.528904605422238e-05,0.0,0.0,0.0
ACADL,0.00044840972857724447,0.0,0.0,0.0
ACE,0.0007719686246775249,0.0,0.0,0.0
ACE2,0.0004268305723466581,0.0,0.0,0.0
ACHE,0.0004985041983982486,0.0,0.0,0.0
ACKR3,0.000815255384497213,0.0,0.0,0.0
ACMSD,0.0,0.0,0.0,0.002406072977382094
ACSL4,0.0007909146100585457,0.0,0.0,0.0
ACSL5,0.0007954744912858422,0.0,0.0,0.0
ACSM3,0.0006297131751217247,0.0,0.0,0.0
ACTA1,0.000222342377590149,0.0,0.0,0.0
ACTG2,0.0007635553226947665,0.0,0.0,0.0
ACTL6B,0.0,0.0,0.0,0.0005738504545715386
ACVRL1,0.0007790332293958716,0.0,0.0,0.0
ADA,0.0006849455392833447,0.0,0.0,0.0
ADAD1,0.0,0.0,3.3517972979922276e-05,0.0
ADAM18,0.0,0.0,0.0,0.00021314445455514292
ADAM23,0.0,0.0,0.00324986592810808,0.0
ADAM28,0.0,0.002508816958332351,0.0,0.0
ADAM8,0.0,0.002873776387298618,0.0,0.0
ADAMDEC1,0.0,0.0020024388519284423,0.0,0.0
ADAMTS1,0.0,0.002917690608187149,0.0,0.0
ADAMTS18,0.0,0.0,0.0009284019365123677,0.0
