,Topic 1
A1BG,0.0005033187041457236
A2M,0.0007974962476322751
A2ML1,0.0002023294607427671
A4GALT,0.0005239735361503067
A4GNT,6.337078244810385e-05
AADAC,0.00030696596074896354
AATK,0.00036743627742621103
ABCA3,0.0005521432112884721
ABCA4,0.0003034941911141506
ABCA8,0.0003448038551233168
ABCB6,0.0005517916396798835
ABCC1,0.0005477046197300405
ABCC12,2.3379511971145113e-05
ABCC2,0.00019775902983111467
ABCC3,0.0005509566571094854
ABCC5,0.0005427386707587258
ABCC6,0.00040962487045684883
ABCC8,0.00022641211593108952
ABHD12B,0.0001624700296190291
ABI3BP,0.0004999787738641315
ABLIM3,0.0004179746961608292
AC003102.1,4.3111468503183e-05
AC006538.4,0.00019354017052805088
AC008948.1,0.0003326746346270085
AC009065.1,4.2935682698888674e-05
AC011298.1,1.230500630060269e-05
AC012215.1,1.7095169467623025e-05
AC016559.1,9.668219236187828e-06
AC018867.2,3.4497964092761115e-05
AC025262.1,8.072963062216837e-05
AC026703.1,0.00039775932866698195
AC040977.1,8.160855964363999e-05
AC079354.2,8.08614699753891e-06
AC091801.1,3.309167765840652e-05
AC092291.2,7.075378622846547e-06
AC104534.3,0.00011487602310634083
AC110615.1,4.210070012849063e-05
AC117834.1,7.615919971051593e-05
AC142381.1,5.836088702571562e-05
ACADL,0.0003068341213957428
ACE,0.0005282363419044441
ACE2,0.00029206811383501957
ACHE,0.000341112353233136
ACKR3,0.0005578562499280377
ACMSD,0.00010318626712076828
ACSL4,0.0005412005449711505
ACSL5,0.0005443207429973747
ACSM3,0.0004308949527764621
ACTA1,0.00015214261361673755
ACTG2,0.0005224793568138049
ACTL6B,2.461001260120538e-05
ACVRL1,0.000533070451522538
ADA,0.00046868890069974177
ADAD1,3.208090928371416e-06
ADAM18,9.140861823304855e-06
ADAM23,0.0003110529806988066
ADAM28,0.00044438651325605144
ADAM8,0.0005090317427852892
ADAMDEC1,0.0003546918066148726
ADAMTS1,0.000516810264625313
ADAMTS18,8.885972407078086e-05
ADAMTS19,3.594819697818929e-05
ADAMTS4,0.0004041755105237248
ADAMTS8,0.00032568714890630906
ADAMTSL4,0.000508416492470259
ADCY4,0.00042729134378842844
ADCYAP1,0.00015983324255461424
ADH1B,0.0005119761550072191
ADH4,7.29950552332181e-05
ADH7,0.0002542741659117399
ADIPOQ,1.2568685007044176e-05
ADIRF,0.0006279508393903995
ADM,0.0005757424555149852
ADRA2A,0.0003078009433193616
ADRB1,0.0002957156692741268
ADRB2,0.00038497091140456987
ADTRP,0.0003710398864142447
AF165138.7,6.644703402325453e-05
AFM,5.800931541712697e-06
AFP,8.648661571280748e-05
AGER,0.0006069004893261541
AGR2,0.0007027037526665607
AGR3,0.0005668652723981218
AGRP,0.0001830809151725386
AGT,0.000337860315853691
AGXT,3.085040865365389e-05
AHCYL2,0.0005282363419044441
AHNAK2,0.0004983088087233354
AHSG,7.022642881558249e-05
AIF1,0.0006302800012972993
AIM1,0.0004651292381627817
AIM2,0.00035684518271747803
AIRE,3.3399302815921586e-05
AK1,0.000663239839602485
AK4,0.0004458806925925532
AKAP12,0.0004297083985974754
AKAP14,0.00020360390782390094
AKAP2,0.000532543094109655
AKNA,0.0004903105546279436
AKR1B1,0.0006533958345620028
AKR1B10,0.00039020053908232603
AKR1B15,0.00019789086918433542
AKR1C1,0.0006335320386767442
AKR1C2,0.0006007479861758528
AKR1C3,0.000639332970218457
AKR1C4,7.435739521649911e-05
AKR7A3,0.0002680733515488443
AL022328.1,0.00012230297333777601
AL049829.1,1.9819849434185047e-05
AL117190.2,7.484080617830851e-05
AL158147.2,1.6655704956887213e-05
AL163636.6,0.00039982481186744026
AL353354.2,0.00019679220790749588
AL359693.1,2.329161906899795e-06
AL590235.1,8.08614699753891e-06
AL590714.1,2.1533761026054707e-05
AL603965.1,0.00030397760207596003
ALB,0.00019995635238479373
ALDH1A1,0.000639332970218457
ALDH1A2,0.0003491985002306749
ALDH1A3,0.00045642784085021267
ALDH3A1,0.0004724243490409961
ALDH3B1,0.0005300820928495345
ALDH3B2,0.00036541474067682634
ALDH8A1,0.00018277329001502353
ALDOB,0.00011808411403471225
ALG1L,0.00040312079569795883
ALOX15,0.00028239989459883177
ALOX15B,0.00045642784085021267
ALOX5,0.0005709522923479649
ALOX5AP,0.0006249185342663224
ALPL,0.000563173770507941
ALPP,0.00020562544457328568
ALPPL2,0.00011913882886047819
ALS2CL,0.0004927276094369906
ALX3,7.541211004226506e-05
ALX4,2.882887190426916e-05
AMACR,0.00047510508255648457
AMBP,0.0001931007060173151
AMICA1,0.0005052523479929611
AMIGO2,0.0005051205086397404
AMTN,0.00015952561739709917
AMY1A,0.00013003754872672628
AMY1B,0.00026060245486633554
AMY1C,0.00040707597629458116
AMY2A,5.33070451522538e-05
ANG,0.0004901347688236493
ANGPT1,0.00037793947923279693
ANGPTL1,0.00029303493575863834
ANGPTL3,4.280384334566793e-05
