i_doc,doc,MEpurple,MEturquoise,MEbrown,MEred,MEgreenyellow,MEpink,MEmagenta,MEgreen,MEyellow,MEblack,MEblue,MEgrey
0,TCGA-05-5420-01A-01R-1628-07,-0.0309154132630568,-0.00862573291430835,0.0567164151714032,0.0216800303311646,-0.0127161453336583,-0.00672386642863845,-0.0113378820921583,0.0036906111373269,0.0253380982422046,0.00684883727300335,-0.0168994550673766,-0.0252431161721101
1,TCGA-55-7283-01A-11R-2039-07,-0.0128243552674963,0.00435129181484228,-0.007504998158273709,0.00259647739789854,0.0420512451102108,-0.0067238664286393395,-0.0113378820921539,-0.0232959258146058,-0.0229978506892686,-0.0229453683075595,-0.0183365157810835,-0.0406785128825367
2,TCGA-55-8208-01A-11R-2241-07,-0.00888399793458285,0.007007494280414471,0.0498164168061971,0.0240306410995437,-0.00620479988175326,-0.00672386642863757,-0.00114704417234895,0.0336942623882571,0.0154872834103962,0.0291248890707277,0.0024218851680560603,-0.00727212825648282
3,TCGA-75-6205-01A-11R-1755-07,0.000866445839736902,-0.00378752047422271,0.0325568240866675,0.0445032270337131,0.0307605118200201,-0.00672386642863802,-0.0113378820921544,0.0285973854763722,-0.0156737911238391,-0.0198793782572948,-0.00546438469140921,-0.0209905509645797
4,TCGA-44-8117-01A-11R-2241-07,-0.0364721084016742,-0.012630674891446,-0.0121664190114183,-0.0317382684272333,-0.00179657170728942,-0.0067238664286379,-0.011337882092155001,0.0180909675883067,0.020947516166476002,-0.0211019847409887,-0.0216972942195205,-0.0344632883471817
5,TCGA-MP-A4TA-01A-21R-A24X-07,-0.0224579815805789,-0.0168916067392972,0.00907693622471444,0.0314140368117844,0.0253406307837306,-0.00672386642863746,0.0560774573488686,0.0115420859048871,0.0369403638976053,0.0439882536532454,0.0006293519315669429,-0.007158299391830259
6,TCGA-86-8669-01A-11R-2403-07,-0.0484833760230817,-0.00818079092531259,0.00261265139819522,-0.0420788197710752,-0.0227759034489914,-0.0067238664286375606,-0.0113378820921545,-0.017494334332207002,-0.0233862136852196,-0.0175546085803535,-0.0181499972261842,-0.0340289206982221
7,TCGA-86-8668-01A-11R-2403-07,-0.0176113034480293,0.0076080886108878705,0.0118018318498714,-0.007210731790779609,0.0151961924928205,-0.00672386642863754,-0.0113378820921545,0.0185529691275599,-0.0217716399856475,-0.0175116912811048,-0.0173927159030147,-0.0250640818947752
8,TCGA-44-A4SS-01A-11R-A24X-07,0.00964658171443238,-0.0113399033653778,0.0247870681998309,0.011996501478171002,0.0317492694050274,0.005539489192882639,0.111697780640985,0.0242541523031283,-0.0140288178630205,0.000123698834819345,0.00325742130411331,-0.0131857192842193
9,TCGA-55-7227-01A-11R-2039-07,-0.0203574965573115,0.00389308640544807,0.0129067638856281,0.0159267317091894,0.0388609773624416,-0.00672386642863754,-0.0113378820921545,0.0234864144647503,-0.00499750166891535,-0.0165825390979636,-0.0115571654422719,-0.026348497820834996
