"","MMpurple","MMturquoise","MMbrown","MMred","MMgreenyellow","MMpink","MMmagenta","MMgreen","MMyellow","MMblack","MMblue","MMgrey"
"A1BG",-0.0772650534761875,0.125569252173757,0.23890103818141,0.0916471902170118,0.171482377520446,0.0489769260282172,0.00841314117660768,0.221133689607851,0.103386641272229,0.0778791914158038,-0.0271199834346591,-0.00758189121687625
"A1CF",-0.165478643850645,0.0387637536083744,0.0670680450440397,0.031435711911375,-0.0334352504404652,0.0734679956520508,0.0393573200986908,-0.055331026990762,0.0852382400640672,0.0446122631251997,-0.112953304384692,-0.152926076293951
"A2ML1",0.411657651640196,-0.486556674348293,-0.0948757956950615,-0.214043567455246,-0.331930499837255,0.114551898264266,0.155616431912653,0.285673570396942,0.296693891013657,0.469876535492227,0.794462037157641,0.743151578286047
"A4GALT",0.388186574785015,-0.169399960193631,-0.00640236635145397,-0.071316001081576,-0.304077584359824,0.0593504540695588,0.1269544465668,0.263325230016824,0.20948933988106,0.301036504544842,0.514892336661359,0.543422749236906
"A4GNT",0.201176757447984,0.457241758832186,0.152033955512568,0.241110795477985,-0.0986976327826226,-0.0701914204894506,-0.11134127505164,-0.18120357237301,-0.242648484667457,-0.243205283502515,-0.278212735309543,-0.120564668239714
"AADAC",0.493580709702995,0.390357181240605,0.035691640352792,0.0629065637518711,-0.249095856352124,-0.0273972683606561,-0.0672303633134782,-0.380900458110792,-0.287070627000571,-0.0992045947120085,-0.0565389970053906,0.116835794342079
"AADACL3",0.0859062648541429,-0.0306195464260817,0.0109396502670153,0.000458690072799904,0.00511726340115227,0.0141412838669259,0.0531532614951592,0.0434415350142948,-0.0198182651506507,0.0565343227387782,0.0723242959060211,0.0963648850510207
"AADACL4",0.0251619268471221,0.191776216268465,0.0965894965564349,0.0901981600639981,-0.0333547224599268,-0.0133375996025095,-0.0440634016737374,-0.0355490482370282,-0.0816405330938251,-0.0671281176697631,-0.134842649649531,-0.0591544085395788
"AATK",0.195221420029428,0.780775700453477,0.0732029924271772,0.229088009484302,-0.000304111948548416,-0.0998727304324208,-0.17741169268,-0.518049041488493,-0.462977113298402,-0.408850697047221,-0.636573034827936,-0.400519556488367
"ABCA3",0.0482872439714914,0.814773083912406,0.135194785512902,0.235285221079902,0.171548207899315,-0.119279585580753,-0.231557190183883,-0.425881548600429,-0.544544343581936,-0.450849451975782,-0.675344169786148,-0.525348617252247
"ABCA4",-0.110630800016032,-0.114852321735046,0.0581470666756319,0.0205819549026052,0.20144790314967,-0.00657055536652575,0.0514187943378234,0.201991650038272,0.101702380070346,-0.0372815222751276,0.123958105403191,-0.0419896336765031
"ABCA8",0.22337133461521,0.908839135843068,0.24491217170182,0.341429607842549,-0.0652027531543893,-0.102674175339877,-0.186640091003102,-0.378409423177527,-0.465021747638939,-0.424382848048758,-0.654926071869531,-0.350100527939522
"ABCC2",-0.112231950676751,-0.268540053194374,-0.0333984031055201,-0.1358158737682,0.00638132831212257,0.102702587748197,0.205016105503613,0.0835161655747051,0.139202946480376,0.216545188316911,0.188206243251632,0.0503530295173713
"ABCC3",-0.400190139429572,-0.00335050135028066,0.050646559415484,0.0628022958697921,0.428701407756358,-0.0632177416515199,0.0130619597346379,0.112893364725618,-0.00889848207398959,-0.236634090488713,-0.188826054622844,-0.47449865859204
"ABCC5",0.24935502043153,-0.511233155361594,-0.0810369312767169,-0.269720165363504,-0.27334769837568,0.100408025541961,0.0672892351709271,0.279217961329154,0.336685647335014,0.43914155640851,0.78412034225937,0.708807825650761
"ABCC8",-0.0611255143428817,0.417861805997673,-0.0723397133516045,-0.0257172640081487,-0.0499390408758312,-0.0364556116922558,-0.169801662459778,-0.393901665829572,-0.281113487574197,-0.175600209777625,-0.372073829096995,-0.209446965685751
"ABHD12B",0.267269362954573,0.335492244542774,0.0545766337990684,0.160223804952795,-0.105321083238065,-0.0305607345214577,0.0222257102262452,-0.111752262791053,-0.143932946230603,-0.0770303552747714,-0.0810183034514752,0.0619679241994149
"ABI3BP",0.268847726542832,0.884721721624847,0.411264129133759,0.406667387839371,-0.0837400857061086,-0.0980899583880825,-0.151774147408689,-0.257729532057694,-0.434509939451919,-0.403769593393032,-0.586538408420293,-0.283693747011854
"ABLIM3",0.245449521758445,0.776149013547928,0.21721544449179,0.359437253163086,-0.0282095688438198,-0.0862203307383883,-0.0278584616861251,-0.227453219871498,-0.388947152873548,-0.408969188711482,-0.547018611308514,-0.337749165317012
"AC002472.1",0.0390380948210131,0.0295026944925056,0.0204766255105976,0.0132794711925481,-0.02377768110487,-0.0116837337042777,-0.0195008939889007,-0.0261180003977115,-0.0284141702972669,-0.0177816263486858,-5.00698030749935e-06,-0.00456088828318829
"AC003102.1",0.117784446639555,0.484953123340503,0.0846692130122656,0.188174030453085,-0.0582024056942276,-0.0555414694756758,-0.109368888117475,-0.293650201272581,-0.209624810284551,-0.23904862704583,-0.391311795991235,-0.161693137346617
"AC006538.4",-0.00849331124109777,-0.205577804382154,-0.0739605473337152,-0.0515824231351149,-0.0336682520810378,-0.0184921282217591,-0.0332065074072152,0.168657951846426,0.0362278298812238,0.108185743152057,0.205956185600044,0.148666224587207
"AC007421.1",-0.034347636201332,0.0211712107425677,-0.00203392444049514,0.0141889204349225,0.0345257021329678,-0.0180489028913033,-0.0181358705439873,-0.0021202261371697,-0.0158422027334849,0.00388530882599774,-0.0276283353744352,-0.0241329848485536
"AC007557.1",0.050049376982437,0.0840841946148917,0.0141344700333599,-0.00554668354371552,-0.0357743568094083,0.0277319352718477,0.0101107630908174,-0.0499287810034342,-0.0140501168817599,-0.0366802241426027,-0.0358534292604366,0.0212089883172469
"AC008271.1",-0.279697239821206,-0.106583680276584,0.011801648991534,0.00486407866474767,0.273794636283265,0.0221885989686878,0.0258016750062475,0.110809706927366,0.0791378725924974,0.128503801368997,-0.0363555242168365,-0.134258960446906
"AC008498.1",0.0578551829086748,0.0184584642069518,-0.0107724342846329,-0.00073044547912333,-0.00129618337175983,0.00599293678679816,-0.0200216803234222,-0.0370761592477889,-0.00196284971010568,0.00365196731740409,0.00508105319882171,0.0135049711444714
"AC009065.1",-0.173711399467839,-0.190406643646038,-0.100462478055677,-0.0788734341993039,0.0968892367689362,-0.0251289610523208,0.0262529316275412,0.0566241938722578,0.118478994133843,0.0305924469702528,0.0146101216942366,-0.0798742283347521
"AC011298.1",-0.0216821932424702,-0.126574019983783,0.0304697824801948,0.0404636969700406,0.0108138033691827,-0.00480384429383085,0.0326478826294159,0.0773176298373336,0.0959780468344343,0.0593573891502783,0.0852506707603954,0.0425523392003137
"AC012215.1",-0.045239108217243,0.09787675247777,-0.0700643879068215,-0.0385487432738323,-0.0702678734277587,0.0596597195986908,-0.00738424131692113,-0.071992688690413,-0.0152918901759687,-0.0118341947172399,-0.109202522418714,0.000701800508132216
"AC015660.1",0.00241539554307512,0.0209488841913307,-0.00796087526832072,-0.016761638855993,0.0204932047793395,-0.0136355240674489,-0.0117692825727857,0.0318351549563537,0.00246364685866422,-0.00065117249635125,-0.00940584165400444,-0.010653577717842
"AC018867.2",0.0107492363058172,0.112980699065602,0.0159918653911777,0.0397289045364433,0.00414931549806035,-0.0140509971879984,-0.00296445216799237,-0.0771310228185269,-0.00791300944845142,-0.0861739746389652,-0.107428653832801,-0.0815576514256637
"AC025262.1",0.00696638796403732,-0.00683446457127113,0.0173064723474711,-0.0404152791824398,0.0097593675416654,-0.00119646232728629,0.018794955569239,0.0310366352268914,0.0103037734639984,-0.0405848279164711,0.0287072216038222,0.0199581898016621
"AC026369.1",0.0378579592146688,0.0504186674490543,-0.0163231611160571,0.01590870007107,-0.0106143217621585,-0.00951201032126171,-0.00664274051488537,-0.0404098653345372,-0.0437894768720113,-0.0240909131065618,-0.042201339436849,-0.0188024974796945
"AC026703.1",0.363251390276679,0.55094304671061,0.116335372389566,0.186051516859577,-0.190665641707202,-0.0555462159370393,-0.0902321365340213,-0.166033551768105,-0.262906838190525,-0.174751404357417,-0.21290832304841,0.0103187938017175
"AC027309.1",0.00379271813724752,0.0384504659188094,0.0437225355159302,0.0108597883217398,-0.00185119613940247,-0.00257835555512256,-0.00800508113005902,0.0208310854913137,0.00576828845094759,-0.0120558495307097,-0.0222062878448425,-0.0144030636705627
"AC040977.1",0.0565286502191218,-0.0446448783749943,-0.0220299315585369,-0.0414097115010027,-0.0589316673650838,0.0244107860083817,-0.0203750667735239,0.0689837294425774,-0.00674044765241051,0.0741113222852919,0.0934954043550255,0.123553224247013
"AC069547.2",-0.0457638590278005,0.116465759185595,0.0311367707741693,0.06298460247201,0.023529636156285,-0.0223215287898495,-0.0473811377177484,-0.017999825291758,0.26404596476213,-0.0892762849819665,-0.122479762477343,-0.0798985057553322
"AC073342.1",0.0420899824541642,0.0658123239984919,0.00922042293649574,0.0580819884306021,0.010714038771902,0.0513600446759098,0.0294100137104941,-0.026575126613529,-0.0335552009739028,0.004218809759618,-0.0392996236813545,0.00201678338516081
"AC073657.1",0.0302580058258983,-0.00437243540885867,0.0262522316634202,0.0569137136412018,0.0207453543057831,-0.0161334132554611,-0.00154104671785384,0.0533041564872029,0.0173973725413128,-0.00135731846429232,0.0428660187037092,0.0360388339599944
"AC079354.2",-0.0242325288325048,-0.0380446116153091,-0.0232488068705156,-0.0310486543351092,0.0142634393234412,0.056269111395012,-0.0243762728912414,0.00806864884370196,0.118869379007195,0.00923409342349672,0.0347200032431668,0.0194096926579496
"AC083862.1",-0.00403319342617244,0.0516541637519272,0.0107590562202052,0.01796345468347,-0.00846415946736582,-0.0118620120307297,-0.0172548012561171,0.019193057573916,0.0771642985153499,-0.0458143823174165,-0.0369043039606869,-0.0296116880508999
"AC084121.16",0.186650682707989,-0.0422296174994413,-0.00740380162942959,-0.0829198963269215,-0.147740802795453,0.0499529684573886,0.0132838539130566,0.0304934838171636,0.0738889978097861,0.153769660913417,0.195470492570966,0.327076812255269
